행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시_2020,6.0,11.0,9.0,10.0,13.0,17.0,19.0,22.0,662.0,27.0,6.0,403.0,2200.0
경기도 수원시_2020,12.0,16.0,13.0,10.0,18.0,25.0,29.0,24.0,1877.0,173.0,62.0,17358.0,67474.0
경기도 성남시_2020,10.0,16.0,12.0,10.0,15.0,25.0,28.0,24.0,1821.0,129.0,43.0,9035.0,45788.0
경기도 안양시_2020,11.0,16.0,12.0,10.0,17.0,24.0,27.0,25.0,968.0,84.0,48.0,5709.0,27336.0
경기도 부천시_2020,12.0,15.0,12.0,9.0,15.0,24.0,28.0,23.0,1160.0,107.0,61.0,9698.0,38989.0
경기도 광명시_2020,11.0,15.0,12.0,10.0,15.0,24.0,27.0,25.0,515.0,32.0,63.0,3040.0,17318.0
경기도 평택시_2020,12.0,15.0,13.0,11.0,15.0,23.0,27.0,26.0,673.0,64.0,68.0,7118.0,31602.0
경기도 안산시_2020,11.0,16.0,13.0,9.0,15.0,24.0,27.0,21.0,866.0,93.0,72.0,6755.0,33219.0
경기도 과천시_2020,10.0,16.0,13.0,8.0,15.0,25.0,29.0,21.0,74.0,2.0,76.0,357.0,2882.0
경기도 오산시_2020,12.0,17.0,15.0,11.0,15.0,25.0,31.0,27.0,278.0,12.0,100.0,5171.0,16481.0
경기도 시흥시_2020,12.0,16.0,13.0,11.0,16.0,24.0,27.0,26.0,755.0,35.0,71.0,6013.0,30471.0
경기도 군포시_2020,11.0,15.0,12.0,10.0,15.0,23.0,27.0,25.0,401.0,35.0,65.0,2995.0,14676.0
경기도 의왕시_2020,11.0,14.0,11.0,9.0,16.0,22.0,26.0,21.0,166.0,10.0,73.0,1331.0,7455.0
경기도 하남시_2020,13.0,17.0,12.0,9.0,17.0,26.0,28.0,23.0,353.0,15.0,75.0,3029.0,16940.0
경기도 용인시_2020,13.0,16.0,13.0,12.0,16.0,25.0,30.0,28.0,1908.0,60.0,64.0,15301.0,68903.0
경기도 이천시_2020,11.0,15.0,12.0,9.0,14.0,22.0,26.0,23.0,368.0,27.0,61.0,2242.0,12879.0
경기도 안성시_2020,11.0,12.0,12.0,11.0,14.0,19.0,26.0,24.0,204.0,21.0,82.0,2398.0,10657.0
경기도 김포시_2020,13.0,17.0,14.0,12.0,17.0,25.0,30.0,27.0,789.0,38.0,66.0,9947.0,32551.0
경기도 화성시_2020,13.0,17.0,15.0,12.0,16.0,25.0,32.0,30.0,1478.0,59.0,72.0,17822.0,66535.0
경기도 광주시_2020,11.0,17.0,13.0,10.0,15.0,25.0,28.0,24.0,412.0,12.0,79.0,2414.0,19933.0
경기도 여주시_2020,10.0,11.0,9.0,8.0,11.0,18.0,24.0,19.0,116.0,7.0,69.0,1039.0,5248.0
경기도 양평군_2020,7.0,11.0,7.0,7.0,9.0,18.0,21.0,20.0,95.0,5.0,72.0,490.0,5086.0
경기도 의정부시_2020,11.0,16.0,13.0,10.0,15.0,24.0,27.0,23.0,684.0,54.0,58.0,4628.0,22170.0
경기도 동두천시_2020,9.0,15.0,11.0,8.0,9.0,22.0,24.0,19.0,85.0,5.0,72.0,544.0,4787.0
경기도 고양시_2020,12.0,16.0,13.0,10.0,15.0,24.0,28.0,24.0,1882.0,127.0,54.0,12679.0,54930.0
경기도 구리시_2020,12.0,15.0,13.0,10.0,17.0,24.0,28.0,24.0,365.0,19.0,51.0,2107.0,9738.0
경기도 남양주시_2020,12.0,17.0,13.0,11.0,15.0,25.0,28.0,25.0,1027.0,32.0,73.0,9449.0,44660.0
경기도 파주시_2020,13.0,15.0,14.0,12.0,16.0,23.0,30.0,26.0,620.0,39.0,77.0,6860.0,29154.0
경기도 양주시_2020,10.0,14.0,14.0,12.0,13.0,22.0,28.0,29.0,253.0,13.0,93.0,2593.0,13384.0
경기도 포천시_2020,9.0,11.0,8.0,8.0,9.0,17.0,21.0,19.0,118.0,10.0,98.0,906.0,6334.0
경기도 연천군_2020,10.0,8.0,6.0,7.0,13.0,13.0,18.0,16.0,34.0,0.0,98.0,393.0,1702.0
경기도 가평군_2020,8.0,9.0,10.0,8.0,8.0,15.0,23.0,19.0,49.0,3.0,98.0,265.0,2449.0
강원특별자치도 춘천시_2020,10.0,14.0,11.0,10.0,17.0,21.0,25.0,25.0,394.0,36.0,62.0,3005.0,14913.0
강원특별자치도 원주시_2020,11.0,13.0,11.0,11.0,16.0,21.0,24.0,26.0,546.0,57.0,58.0,4603.0,19691.0
강원특별자치도 강릉시_2020,10.0,12.0,12.0,9.0,16.0,19.0,25.0,22.0,376.0,44.0,47.0,1708.0,9771.0
강원특별자치도 동해시_2020,11.0,14.0,11.0,9.0,15.0,21.0,23.0,22.0,120.0,18.0,71.0,1037.0,4913.0
강원특별자치도 태백시_2020,7.0,9.0,8.0,8.0,11.0,15.0,21.0,21.0,47.0,7.0,83.0,255.0,2100.0
강원특별자치도 속초시_2020,10.0,13.0,12.0,10.0,17.0,20.0,25.0,24.0,110.0,7.0,73.0,540.0,3832.0
강원특별자치도 삼척시_2020,10.0,9.0,6.0,7.0,15.0,14.0,16.0,18.0,61.0,6.0,78.0,720.0,2667.0
강원특별자치도 홍천군_2020,8.0,7.0,7.0,9.0,11.0,11.0,18.0,23.0,69.0,4.0,73.0,545.0,2626.0
강원특별자치도 횡성군_2020,7.0,7.0,5.0,7.0,12.0,11.0,13.0,19.0,42.0,0.0,70.0,259.0,1578.0
강원특별자치도 영월군_2020,6.0,6.0,4.0,5.0,9.0,10.0,12.0,16.0,35.0,2.0,60.0,224.0,1213.0
강원특별자치도 평창군_2020,5.0,6.0,6.0,6.0,8.0,10.0,16.0,17.0,33.0,1.0,86.0,195.0,1448.0
강원특별자치도 정선군_2020,6.0,6.0,5.0,4.0,10.0,10.0,15.0,14.0,21.0,0.0,121.0,250.0,1366.0
강원특별자치도 철원군_2020,8.0,8.0,9.0,8.0,14.0,13.0,21.0,21.0,45.0,2.0,90.0,295.0,1996.0
강원특별자치도 화천군_2020,8.0,6.0,7.0,6.0,11.0,10.0,17.0,18.0,16.0,0.0,115.0,261.0,1022.0
강원특별자치도 양구군_2020,9.0,6.0,5.0,8.0,12.0,11.0,15.0,20.0,20.0,0.0,97.0,156.0,1029.0
강원특별자치도 인제군_2020,6.0,7.0,6.0,6.0,10.0,12.0,16.0,17.0,26.0,1.0,99.0,266.0,1461.0
강원특별자치도 고성군_2020,9.0,5.0,6.0,5.0,12.0,9.0,15.0,15.0,13.0,0.0,116.0,165.0,938.0
강원특별자치도 양양군_2020,5.0,6.0,7.0,8.0,10.0,10.0,17.0,20.0,19.0,1.0,96.0,195.0,914.0
경상남도 창원시_2020,11.0,14.0,12.0,9.0,17.0,22.0,25.0,22.0,1766.0,177.0,52.0,15720.0,58402.0
경상남도 진주시_2020,11.0,14.0,11.0,9.0,18.0,21.0,24.0,22.0,797.0,70.0,35.0,4406.0,20126.0
