시군별,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6
시군별,총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개)
전체,1564615,1401287,89.6,798050,613735,438,318301,1566639,1418255,90.5,798050,624285,440,328874,1567091,1427534,91.1,777050,625556,438,341161,1561313,1437201,92.1,784050,652773,454,349549,1560571,1442558,92.4,842150,653506,453,358057,1560172,1450469,93.0,838050,656747,453,365906,1555876,1451433,93.3,838050,673341,464,371827,1556970,1461694,93.9,839950,678674,464,383350
춘천시,281005,269358,95.9,153000,89786,333,39205,283951,272537,96.0,153000,90823,333,39677,284192,274303,96.5,153000,94832,346,41117,285002,277161,97.2,153000,100386,362,42490,285585,278011,97.3,186000,103893,374,43911,286489,281082,98.1,186000,102973,366,44926,288320,283088,98.2,186000,107666,380,45754,290797,286335,98.5,186000,105104,367,46802
원주시,336031,300060,89.3,86500,116101,387,50993,341130,316845,92.9,86500,120478,380,54162,344614,321112,93.2,86500,120614,376,56654,347421,331477,95.4,86500,122462,369,59080,352860,336987,95.5,86500,125348,372,61429,357710,341792,95.6,86500,124022,363,62957,361056,345037,95.6,86500,124004,359,63811,364891,350920,96.2,86500,123284,351,64887
강릉시,216330,204001,94.3,116800,85555,419,50183,215721,204391,94.7,116800,87945,430,52219,215856,204417,94.7,116800,89630,438,53827,215239,204728,95.1,116800,92793,453,55496,215911,206869,95.8,116800,94096,455,56462,215603,204962,95.1,116800,97797,477,58179,215322,205582,95.5,116800,100667,490,58951,214011,205628,96.1,116800,103187,502,60191
동해시,94558,93607,99.0,75000,50769,542,17411,93958,93046,99.0,75000,47291,508,17625,93657,92940,99.2,75000,45518,490,17732,92137,91390,99.2,75000,46842,513,18282,91453,91061,99.6,75000,46128,507,18461,91492,91097,99.6,75000,48220,529,18677,90809,90414,99.6,75000,49603,549,18901,90261,89866,99.6,75000,48337,538,19173
태백시,47779,46835,98.0,17000,29290,625,15141,47333,46386,98.0,17000,17411,375,16093,46142,45219,98.0,5000,17681,391,15744,45112,44191,98.0,5000,21831,494,15632,44124,43220,98.0,15000,17753,411,14916,42945,42041,97.9,15000,16832,400,14822,41093,40189,97.8,15000,17233,429,14832,39726,38872,97.9,15000,19833,510,14837
속초시,82978,82806,99.8,52000,36226,437,18612,82670,82400,99.7,52000,36362,441,18886,83213,82943,99.7,52000,35984,434,18976,82694,82349,99.6,52000,34518,419,19149,82824,82479,99.6,52000,35017,425,19317,83674,83401,99.7,52000,34887,418,19360,83825,83552,99.7,52000,35403,424,19482,84011,83678,99.6,52000,35627,426,19438
삼척시,71534,63127,88.2,50000,27819,441,19776,70371,62988,89.5,50000,42270,671,20106,69339,63780,92.0,50000,32024,502,20326,69115,63201,91.4,50000,33493,530,20589,68001,62040,91.2,50000,33434,539,20649,65939,60060,91.1,50000,32592,543,20905,64064,58373,91.1,50000,33450,573,21248,64203,57923,90.2,50700,37500,647,21395
홍천군,71159,49963,70.2,39850,25123,503,11078,70961,50706,71.5,39850,25281,499,11448,71285,51699,72.5,37850,24985,483,11914,70898,52219,73.7,37850,25125,481,12359,70065,52617,75.1,37850,22584,429,13249,70052,54016,77.1,37850,22205,411,14212,69118,55056,79.7,37850,20997,381,14973,68874,55806,81.0,37850,21145,379,15901
횡성군,46451,34205,73.6,500,14991,438,11039,46662,34829,74.6,500,15759,452,11772,46912,35820,76.4,-,16550,462,12568,47340,38124,80.5,-,16861,442,13443,47257,38671,81.8,-,17246,446,14549,47097,39610,84.1,-,17116,432,15816,47163,41806,88.6,-,18443,441,15931,47439,43132,90.9,-,19880,461,17557
영월군,40461,32625,80.6,19400,9694,297,10358,40330,30700,76.1,19400,10881,354,10467,40327,31527,78.2,19400,11849,376,13314,39998,31246,78.1,19400,13037,417,12190,39408,30479,77.3,19400,12874,422,12354,38902,30639,78.8,19400,13525,441,11595,38149,30032,78.7,19400,13820,460,11513,37988,30426,80.1,19400,14808,487,13116
평창군,43980,34964,79.5,31900,14294,409,11481,43782,35112,80.2,31900,12746,363,11823,43592,35058,80.4,31900,14117,403,11751,43021,35379,82.2,38900,17132,484,11934,42577,34869,81.9,38900,17806,511,12172,42132,34491,81.9,38900,18975,550,12434,41460,34156,82.4,38900,19439,569,13407,41526,35059,84.4,38900,20202,576,13823
정선군,39502,31325,79.3,16400,17900,571,11581,38993,31323,80.3,16400,18300,584,11751,38429,30812,80.2,16400,19119,621,11994,37965,30595,80.6,16400,21510,703,12298,37573,30595,81.4,16400,21306,696,12428,37135,30883,83.2,16400,20220,655,12746,35939,29155,81.1,16400,22273,764,12824,35232,28515,80.9,16400,23735,832,12820
철원군,49422,44462,90.0,32000,22887,515,14589,48699,44015,90.4,32000,24276,552,15006,47921,43176,90.1,32000,23108,535,15142,47138,42553,90.3,32000,23301,548,15368,46295,41191,89.0,32000,23480,570,15789,45325,42036,92.7,32000,24762,589,16044,43950,41047,93.4,32000,25316,617,16368,43036,40288,93.6,33200,25910,643,16318
화천군,27231,18033,66.2,8800,8798,488,3624,26489,16664,62.9,8800,8517,511,3654,26252,17133,65.3,8800,10428,609,4872,25342,16279,64.2,8800,12521,769,4075,25181,17189,68.3,8800,12274,714,4502,25081,17198,68.6,8800,11966,696,4563,24425,16651,68.2,8800,11380,683,4614,23614,16082,68.1,8800,10883,677,4745
양구군,24329,19420,79.8,9400,13723,707,4379,24264,19608,80.8,9400,14462,738,4705,24098,20029,83.1,15400,14713,735,4892,23666,19389,81.9,15400,13945,719,5603,23052,18734,81.3,15400,14545,776,5746,22526,18264,81.1,15400,14291,782,5894,22079,17817,80.7,15400,14721,826,6042,21769,19139,87.9,15400,12334,644,6214
인제군,33599,26863,80.0,25000,20062,747,9468,33061,26939,81.5,25000,19975,741,9654,32901,26908,81.8,25000,21320,792,9745,32455,26799,82.6,25000,21435,800,10109,31981,27305,85.4,33100,21357,782,10365,31959,27383,85.7,29000,21061,769,10447,32476,27758,85.5,29000,21663,780,10566,32736,27556,84.2,29000,20630,749,12516
고성군,30500,25485,83.6,42000,14304,561,10579,30749,25598,83.2,42000,15129,591,10697,30871,25982,84.2,29500,15958,614,11047,29118,24775,85.1,29500,16371,661,11286,28392,24433,86.1,29500,15092,618,11478,27869,25313,90.8,29500,15207,601,11709,28432,25549,89.9,29500,17155,671,11895,28647,26128,91.2,29500,17450,668,12504
양양군,27766,24148,87.0,22500,16415,680,8804,27515,24168,87.8,22500,16379,678,9129,27490,24676,89.8,22500,17126,694,9546,27652,25346,91.7,22500,19210,758,10166,28032,25808,92.1,29500,19272,747,10280,28242,26201,92.8,29500,20097,767,10620,28196,26171,92.8,29500,20111,768,10715,28209,26341,93.4,29500,18826,715,11113
