행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6
행정구역(시군)별(1),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개)
합계,3447018,3208319,93.1,1929350,1083983,338,414317,3454892,3233486,93.6,2051478,1110757,341,426651,3455540,3249405,94.0,1930000,1122532,343,440447,3448292,3254025,94.4,1931160,1139576,350,452435,3438676,3257877,94.7,1934160,1121501,344,464070,3407455,3241505,95.1,2054410,1146453,351,476208,3377331,3224295,95.5,1939940,1143451,355,485588,3350883,3208025,95.7,1397140,1154421,360,490139
창원시,1086852,1066759,98.2,652550,339146,318,93679,1080133,1061001,98.2,774286,339748,320,94365,1072657,1052865,98.2,652550,342073,318,94383,1068955,1051334,98.4,652550,334381,318,94583,1059813,1044667,98.6,652550,325112,311,95143,1050207,1036720,98.7,772550,340689,321,95175,1045601,1032807,98.8,652550,320997,311,96081,1035475,1025073,99.0,640000,328381,320,94089
진주시,348835,348486,99.9,238500,156806,450,54131,351279,350886,99.9,238500,152951,436,54698,351547,351308,99.9,238500,150018,427,55048,351095,350941,100.0,238500,153865,438,55537,352553,352465,100.0,238500,152429,433,55844,352754,352687,100.0,238500,152310,432,56257,351595,351558,100.0,238500,152286,433,56483,348690,348678,100.0,200000,153320,440,56898
통영시,143771,141896,98.7,66400,42666,301,25996,142493,140389,98.5,66400,44237,315,26275,139525,137722,98.7,66400,47279,343,26867,137520,136148,99.0,66400,45692,336,27024,135366,134068,99.0,66400,44278,330,27198,131974,130716,99.0,66400,44510,341,28240,128899,127119,98.6,66400,45978,362,28362,126669,125336,98.9,1500,45302,361,27408
사천시,118569,112514,94.9,61500,42006,373,24090,118044,112837,95.6,61500,43357,384,24585,117365,112250,95.6,61500,44130,393,25014,117207,112888,96.3,58500,45435,403,25906,115342,111460,96.6,58500,46093,414,26525,114032,110467,96.9,61500,46125,418,25431,112885,109928,97.4,65470,46163,420,27145,112496,110069,97.8,2000,45741,416,27294
김해시,547387,533165,97.4,273450,162384,305,46977,547854,535291,97.7,275472,166502,311,49118,550758,539250,97.9,273450,169793,315,51138,552360,541866,98.1,274700,174522,322,52415,561468,551645,98.3,274700,170835,310,53332,559242,550587,98.5,273450,175941,320,54193,553719,545726,98.6,274700,182252,334,55017,553040,545432,98.6,270000,186085,341,55775
밀양시,109985,86638,78.8,62500,25214,291,21665,110683,87627,79.2,62500,26517,303,22960,110395,90251,81.8,58600,26685,296,24472,109371,89252,81.6,58600,30731,344,25308,108422,92596,85.4,58600,29591,320,27147,107419,92838,86.4,62500,31625,341,29314,105995,92630,87.4,58600,34414,372,30235,105959,93372,88.1,16000,36398,390,31452
거제시,270879,262133,96.8,126000,77030,294,22846,271361,263051,96.9,126000,80972,308,23732,263162,255056,96.9,124000,79743,313,24332,257989,250457,97.1,124000,79943,319,24638,256578,249802,97.4,124000,78679,315,25104,252395,246114,97.5,124000,78691,320,26318,246620,241819,98.1,124000,84247,348,25625,242523,237723,98.0,5000,78106,329,26435
양산시,307040,293044,95.4,223000,103583,353,15722,322975,312948,96.9,223000,111806,357,17148,344450,338306,98.2,223000,120580,356,18054,354747,349115,98.4,223000,124635,357,18932,357078,351334,98.4,223000,123741,352,19368,358005,352433,98.4,223000,124853,354,19629,360332,354745,98.4,223000,125340,353,20096,359912,354617,98.5,130500,126502,357,20587
의령군,29339,19688,67.1,12300,7605,386,6693,28880,19903,68.9,12300,8442,424,6915,28624,19957,69.7,12300,9034,453,6996,28426,19801,69.7,12300,10276,519,8925,27933,20381,73.0,15300,11764,577,8840,27518,20865,75.8,15300,13174,631,10037,27024,20942,77.5,16600,12974,620,10532,26801,21245,79.3,15300,11354,534,11806
함안군,72899,66497,91.2,20700,24942,375,15808,72640,67406,92.8,20700,26893,399,16574,71822,68743,95.7,20700,24298,354,18231,70622,67633,95.8,20700,25422,376,18625,69198,66548,96.2,20700,26078,392,18964,67261,65502,97.4,20700,24995,382,19500,65363,64155,98.2,21680,25403,396,20171,64614,63504,98.3,21680,26832,423,20484
창녕군,65908,64373,97.7,30750,27338,425,24191,66267,65709,99.2,30170,28265,430,24920,66517,66116,99.4,34650,25930,392,25846,66098,65836,99.6,34650,25472,387,26182,65120,64989,99.8,34650,24433,376,26705,63634,63492,99.8,30750,24510,386,26980,62259,62133,99.8,34650,25114,404,27200,60855,60729,99.8,6500,25071,413,27457
고성군,57175,44201,77.3,35100,15144,343,12279,56413,44807,79.4,35100,14976,334,12894,55471,44132,79.6,35100,14647,332,13875,54494,43486,79.8,35100,15529,357,14259,53532,43002,80.3,35100,15464,360,15228,52498,42275,80.5,35100,15916,377,16000,51498,41970,81.5,35130,16863,402,16913,51642,42672,82.6,-,17302,406,16913
남해군,46711,30553,65.4,24200,10877,356,10562,45994,30416,66.1,25150,12607,415,11190,45476,30664,67.4,25150,13318,434,12052,44819,31148,69.5,29060,14168,455,13373,44483,32773,73.7,29060,15050,459,14402,43738,33283,76.1,26060,14814,445,15484,43015,33526,77.9,22060,15206,454,16218,42462,34479,81.2,15560,16646,483,16853
하동군,50870,27353,53.8,41500,7962,291,8184,50151,27064,54.0,39500,8405,311,8568,49386,26846,54.4,39500,8585,320,8863,48082,26505,55.1,39500,9180,346,9438,47099,27314,58.0,39500,9360,343,10241,45255,27242,60.2,39500,9366,344,10471,43889,26686,60.8,39500,9675,363,11349,42965,26133,60.8,6000,9142,350,11423
산청군,36655,16708,45.6,9100,6737,403,5668,36701,17131,46.7,9100,7595,443,5817,36971,17285,46.8,11100,8080,468,6753,36629,17675,48.3,11100,9081,514,6868,36025,16969,47.1,11100,8751,516,7004,35430,16872,47.6,11100,8532,506,7459,34871,17442,50.0,11100,7568,434,7578,34647,19172,55.3,11100,7924,413,8233
함양군,40784,23232,57.0,11000,8626,371,6573,40668,25299,62.2,11000,11346,449,6985,40582,25967,64.0,12700,11753,453,7537,40462,26454,65.4,12700,12141,459,8356,40141,25007,62.3,12700,10774,431,8610,39506,25319,64.1,12700,9641,381,9124,38677,26015,67.3,14700,10290,396,9617,38104,25950,68.1,14700,10258,395,10224
거창군,63699,47544,74.6,24900,16874,355,9694,63819,47771,74.9,24900,17274,362,9884,63290,48977,77.4,24900,17762,363,10487,62958,48331,76.8,24900,19405,402,11263,62726,48371,77.1,24900,19219,397,11561,62005,49007,79.0,24900,20084,410,12016,61585,49538,80.4,24900,17202,347,11687,61131,47709,78.0,24900,18174,381,11964
합천군,49660,23535,47.4,15900,9042,384,9559,48537,23950,49.3,15900,8864,370,10023,47542,23710,49.9,15900,8823,372,10499,46458,25155,54.1,14900,9698,386,10803,45799,24486,53.5,14900,9852,402,12854,44582,25086,56.3,16400,10676,426,14580,43504,25556,58.7,16400,11479,449,15279,42898,26132,60.9,16400,11883,455,14844
