구군별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6
구군별(1),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개)
합계,3559780,3559780,100.0,1899000,1087000,305,347722,3546887,3546887,100.0,1899000,1089373,307,350504,3520306,3520306,100.0,1899000,1090435,310,353705,3494019,3494019,100.0,1899000,1083256,310,354553,3466563,3466563,100.0,1899000,1091505,315,355538,3438710,3438710,100.0,1899000,1060316,308,357630,3396109,3396109,100.0,1899000,1088766,321,361702,3367246,3367246,100.0,1899000,1085158,322,363971
중구,47530,47530,100.0,...,21317,448,9474,47117,47117,100.0,...,21089,448,9535,46066,46066,100.0,...,20762,451,9601,44852,44852,100.0,...,19678,439,9652,44072,44072,100.0,...,19889,451,9695,43617,43617,100.0,...,17618,404,9744,42609,42609,100.0,...,17154,403,9822,41909,41909,100.0,...,17335,414,9843
서구,117608,117608,100.0,...,35993,306,21440,114752,114752,100.0,...,35575,310,21059,111945,111945,100.0,...,34965,312,20740,112621,112621,100.0,...,34072,303,20869,110350,110350,100.0,...,33644,305,20794,110051,110051,100.0,...,32544,296,20692,107143,107143,100.0,...,34150,319,20568,107402,107402,100.0,...,33258,310,20492
동구,93877,93877,100.0,...,29768,317,19957,91807,91807,100.0,...,29137,317,19889,90856,90856,100.0,...,28754,316,19864,89144,89144,100.0,...,28003,314,19349,90477,90477,100.0,...,28355,313,19328,91061,91061,100.0,...,27561,303,19379,89712,89712,100.0,...,27404,305,19433,88601,88601,100.0,...,27322,308,19432
영도구,131251,131251,100.0,...,33570,256,19909,128259,128259,100.0,...,33699,263,19765,125347,125347,100.0,...,32704,261,19745,121934,121934,100.0,...,31669,260,19783,118628,118628,100.0,...,31475,265,20068,115144,115144,100.0,...,30533,265,20116,112451,112451,100.0,...,30912,275,20149,110254,110254,100.0,...,30007,272,20182
부산진구,384274,384274,100.0,...,104646,272,42132,379309,379309,100.0,...,108604,286,41832,374504,374504,100.0,...,108668,290,41194,365337,365337,100.0,...,105965,290,40317,361044,361044,100.0,...,104230,289,39460,362701,362701,100.0,...,101058,279,38687,355902,355902,100.0,...,102978,289,38364,358644,358644,100.0,...,102140,285,38237
동래구,273993,273993,100.0,...,72370,264,24442,273939,273939,100.0,...,71437,261,24322,271967,271967,100.0,...,71180,262,24634,267735,267735,100.0,...,69263,259,24414,272500,272500,100.0,...,69907,257,24419,271966,271966,100.0,...,70124,258,24741,268004,268004,100.0,...,71639,267,25124,274445,274445,100.0,...,71844,262,25509
남구,286940,286940,100.0,...,87192,304,28520,283070,283070,100.0,...,82895,293,28559,279309,279309,100.0,...,83444,299,28865,286093,286093,100.0,...,82178,287,27740,280852,280852,100.0,...,83686,298,26491,273144,273144,100.0,...,80221,294,26635,267422,267422,100.0,...,81910,306,26978,262253,262253,100.0,...,80558,307,26450
