행정구역(읍면동)별,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6
행정구역(읍면동)별,총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개)
합계,214364,188058,87.7,100300,59295,315,11727,246793,222224,90.0,100300,128186,577,12492,284225,264475,93.1,100300,67293,254,13409,319066,304947,95.6,100300,76093,256,15047,346275,335194,96.8,134916,82885,268,16777,360907,353328,97.9,166615,89432,271,18412,376779,371734,98.7,163913,105310,283,20514
조치원읍,47139,45518,96.6,21650,17015,374,6092,47524,46297,97.4,21650,30259,654,6129,46620,46608,100.0,21650,13572,291,6241,45913,45913,100.0,21650,13522,-,6297,44821,44821,100.0,-,-,-,-,44462,43941,98.8,20721,11122,34,2290,...,...,...,-,-,-,-
연기면,2668,1679,62.9,3200,603,359,170,2827,1777,62.9,3200,2533,1425,220,2879,2524,87.7,3200,776,307,281,2804,2227,79.4,3200,862,-,483,2697,2368,86.6,-,-,-,-,2835,2704,95.4,1275,684,2,141,...,...,...,-,-,-,-
연동면,3894,1900,48.8,2980,594,313,375,3777,2464,65.2,2980,2298,933,432,3613,2942,81.4,2980,805,274,613,3549,2841,80.1,2980,1045,-,828,3639,3234,87.7,-,-,-,-,3625,3080,85.0,1453,780,2,161,...,...,...,-,-,-,-
부강면,6937,5814,83.8,1800,2036,350,1010,6993,6135,87.7,1800,3810,621,1192,6739,6855,101.7,1800,1753,256,1416,6657,6657,100.0,1800,1858,-,1809,6582,6582,100.0,-,-,-,-,6479,6337,97.8,2988,1604,5,330,...,...,...,-,-,-,-
금남면,9987,5683,56.9,4000,2977,524,962,9953,5696,57.2,4000,6764,1188,979,9635,5429,56.3,4000,2287,421,1068,9368,5260,56.2,4000,2270,-,1179,9181,5967,63.8,-,-,-,-,9202,7411,80.5,3495,1876,6,386,...,...,...,-,-,-,-
장군면,6087,2896,47.6,1500,1542,532,756,6586,3692,56.1,1500,4034,1093,802,6671,3373,50.6,1500,1670,495,859,6741,4270,63.4,1500,2297,-,1013,6888,5482,78.4,-,-,-,-,7229,5439,75.2,2565,1377,4,283,...,...,...,-,-,-,-
연서면,7919,3254,41.1,1800,2125,653,845,8249,3549,43.0,1800,6085,1715,883,8197,4753,58.0,1800,1845,388,906,7964,7054,88.6,1800,1760,-,953,7753,7043,89.1,-,-,-,-,7693,6801,88.4,3207,1721,5,354,...,...,...,-,-,-,-
