군구별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6
군구별(1),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개)
합계,2983484,2940926,98.6,1881780,978575,331,380848,3002172,2965367,98.7,1958080,1002097,337,394677,3011138,2974416,98.8,1958080,1021165,343,410210,3022511,2986455,98.8,1958080,1056945,354,420141,3029258,2999125,99.0,1958080,1079455,360,426618,3010476,2981928,99.1,1958080,1071526,359,430715,3014739,2987177,99.1,1958080,1077863,361,435888
강화군,68413,46690,68.2,-,-,-,15539,68785,48661,70.7,-,-,-,-,69543,49723,71.5,-,-,-,-,69726,50551,72.5,…,…,…,…,70037,54095,77.2,…,…,…,25072,70025,54896,78.4,…,…,…,75334,70456,55631,79.0,…,…,…,28943
옹진군,21143,5515,26.1,-,-,-,2221,21522,6256,29.1,-,-,-,-,21741,6501,29.9,-,-,-,-,21227,5377,25.3,…,…,…,…,20791,7357,35.4,…,…,…,2867,20670,7971,38.6,…,…,…,26486,20535,8259,40.2,…,…,…,3075
중구,118781,114386,96.3,-,-,-,15872,119434,118837,99.5,-,-,-,-,121838,121241,99.5,-,-,-,-,126522,125889,99.5,…,…,…,…,139385,138750,99.5,…,…,…,20962,143656,143021,99.5,…,…,…,21442,147535,147161,99.7,…,…,…,22201
동구,73531,73531,100.0,-,-,-,12527,71915,71915,100.0,-,-,-,-,70387,70387,100.0,-,-,-,-,67161,67161,100.0,…,…,…,…,65362,65362,100.0,…,…,…,12104,63397,63397,100.0,…,…,…,12082,62335,62335,100.0,…,…,…,11544
미추홀구,412207,412207,100.0,-,-,-,80703,424869,424869,100.0,-,-,-,-,427604,427604,100.0,-,-,-,-,425471,425471,100.0,…,…,…,…,418467,418467,100.0,…,…,…,88680,413246,413246,100.0,…,…,…,89181,416551,416551,100.0,…,…,…,89634
연수구,325755,325755,100.0,-,-,-,12279,336256,336256,100.0,-,-,-,-,344277,344277,100.0,-,-,-,-,357362,357362,100.0,…,…,…,…,379727,379727,100.0,…,…,…,13955,399869,399869,100.0,…,…,…,14134,402103,402103,100.0,…,…,…,14275
남동구,543899,543604,99.9,-,-,-,63302,543038,542743,99.9,-,-,-,-,548759,548210,99.9,-,-,-,-,549691,549691,100.0,…,…,…,…,545131,545131,100.0,…,…,…,71912,536938,536938,100.0,…,…,…,72718,529200,529200,100.0,…,…,…,73511
부평구,565972,565972,100.0,-,-,-,75236,560649,560649,100.0,-,-,-,-,552162,552162,100.0,-,-,-,-,538137,538137,100.0,…,…,…,…,526126,526126,100.0,…,…,…,76131,508881,508881,100.0,…,…,…,2949,500546,500546,100.0,…,…,…,74743
계양구,337448,337448,100.0,-,-,-,38942,333344,333344,100.0,-,-,-,-,326892,326892,100.0,-,-,-,-,315903,315903,100.0,…,…,…,…,306817,306732,100.0,…,…,…,40678,299904,299864,100.0,…,…,…,75546,298802,298760,100.0,…,…,…,41220
서구,516335,515818,99.9,-,-,-,64227,522360,521837,99.9,-,-,-,-,527935,527419,99.9,-,-,-,-,551311,550913,99.9,…,…,…,…,557415,557378,100.0,…,…,…,74257,553890,553845,100.0,…,…,…,40843,566676,566631,100.0,…,…,…,76742
