행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6
행정구역(시군)별(1),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당 급수량 (ℓ),급수전수 (개)
합계,1939562,1680268,86.6,681570,599909,357,355535,1935664,1697091,87.7,680372,611522,359,373566,1927645,1715497,89.0,653500,616872,360,396670,1916012,1721157,89.8,653000,648873,377,401331,1903383,1725427,90.7,690650,656717,381,414278,1884455,1731959,91.9,690250,662841,382,427487
목포시,241213,240629,99.8,120000,83679,348,30194,240555,239991,99.8,120000,84061,349,30364,237247,236704,99.8,120000,84769,358,30993,235423,234880,99.8,120000,82598,352,30775,233175,232633,99.8,120000,82369,354,30899,227178,226459,99.7,120000,83850,369,30876
여수시,294073,268084,91.2,157720,101210,378,36742,293036,268128,91.5,156720,101209,376,37217,290528,268495,92.4,156720,102830,383,38244,287868,268142,93.1,156720,106054,396,39660,287479,272394,94.8,156720,108329,398,41711,284866,272056,95.5,156720,105748,388,43329
순천시,280594,265951,94.8,158000,92333,347,34719,280397,268189,95.6,158000,91960,342,35662,281189,270050,96.0,130000,86469,320,36631,281397,271429,96.5,129500,86173,318,37047,281722,272460,96.7,157500,88130,323,37881,284238,277322,97.6,157500,89348,321,38554
나주시,100250,80518,80.3,1600,22791,283,18920,106760,85942,80.5,1600,25730,299,20467,112674,91894,81.6,1600,29809,324,29000,116640,96592,82.8,1600,34205,354,23335,117445,97607,83.1,1600,35525,364,24531,118251,100519,85.0,1600,37940,376,25850
광양시,155117,132615,85.5,75100,44281,334,16273,157177,136429,86.8,75100,43915,321,16802,157403,137117,87.1,75100,41112,300,17528,158162,138896,87.8,75100,46253,333,18156,158437,139853,88.3,75100,46234,331,18668,153332,135981,88.7,75100,47815,351,19185
담양군,48024,37092,77.2,5650,13121,354,13637,48300,37663,78.0,5650,13167,349,13762,48334,38095,78.8,5000,12791,336,14379,47952,37833,78.9,5000,14201,375,14846,47533,37569,79.0,5000,13335,355,15000,47199,39244,83.1,5000,13686,348,14978
곡성군,31046,24306,78.3,4500,9217,379,9740,30795,24004,77.9,4500,9605,399,10065,30566,24149,79.0,4500,10094,418,10084,30118,24490,81.3,4500,10976,448,10795,29376,25172,85.7,4500,11126,442,11372,28514,24598,86.3,4500,10095,409,11773
구례군,27536,16048,58.3,9100,9411,586,7162,27640,16159,58.5,9100,8973,554,7353,27770,20529,73.9,9100,9722,474,7648,27350,19740,72.2,9100,11226,569,7906,26784,19799,73.9,9100,10667,539,8106,25925,20376,78.6,11200,11349,556,8844
고흥군,69391,47558,68.5,20600,23568,496,18598,68469,46985,68.6,20600,24642,523,19503,67631,49456,73.1,24100,24149,488,20232,66757,51194,76.7,24100,25029,489,21270,65972,50022,75.8,24100,25183,503,22269,64923,50641,78.0,24100,23354,460,23324
보성군,45781,25621,56.0,7760,9077,354,7431,44962,25199,56.0,7760,8571,339,7695,44245,25199,57.0,7760,11909,473,8486,43295,25668,59.3,7760,10799,421,8830,41908,25251,60.3,10260,11093,439,9156,40921,25143,61.4,10260,10455,415,9481
화순군,66727,58680,87.9,10900,20182,344,13451,66229,57728,87.2,10900,21455,371,13914,65636,57568,87.7,10900,20830,362,14353,64833,57118,88.1,10900,25201,441,14847,63646,57514,90.4,10900,26185,455,15411,63359,57522,90.8,10900,25310,439,16118
장흥군,44043,34316,77.9,1900,11212,327,11488,41234,33149,80.4,1900,11734,353,12471,40686,34107,83.8,-,11221,329,13489,39913,34476,86.4,-,12492,362,14826,39155,34106,87.1,-,12389,363,15531,38334,35841,93.5,-,12523,348,16245
강진군,39168,22974,58.7,6460,8244,359,7170,38161,23233,60.9,5560,7960,342,7841,37307,23556,63.1,5560,7793,331,8203,36598,24061,65.7,5560,8883,369,8618,35742,23911,66.9,5560,8570,358,8949,35042,24770,70.7,5560,8823,355,9529
해남군,77517,51505,66.4,12500,17589,342,14995,76509,52506,68.6,13002,17956,341,16637,74969,55384,73.9,11650,17658,319,18485,73280,55515,75.8,11650,19843,357,18743,71806,55808,77.7,12500,20314,364,19366,70218,56680,80.7,12500,21353,376,20497
영암군,63605,51860,81.5,13000,31635,600,15880,61891,51670,83.5,13000,33945,655,16276,59304,50796,85.7,13000,36386,716,16472,58703,50862,86.6,13000,37690,741,16998,59109,52521,88.9,13000,38704,737,17286,57868,53296,92.1,13000,39385,732,17825
무안군,83753,77388,92.4,-,24146,312,13680,83781,82335,98.3,-,27562,334,14892,84558,83349,98.6,-,28512,342,16904,83591,82538,98.7,-,31004,376,18100,82733,81680,98.7,-,32768,401,18784,87630,87331,99.7,-,33055,378,19432
함평군,35484,27270,76.9,10000,8491,311,10030,35043,29837,85.1,10000,8986,300,11370,34984,30508,87.2,10000,9831,322,12428,34100,30941,90.7,10000,11462,370,13505,33560,31232,93.1,10000,11748,376,14339,32685,31372,96.0,10000,11809,375,14760
영광군,57017,52196,91.5,21150,19268,369,17361,56379,51642,91.6,21150,20291,392,17602,55632,52097,93.6,21150,18713,359,18248,55016,51730,94.0,21150,19683,381,18584,54773,52045,95.0,21150,19547,376,18793,54026,51869,96.0,21150,20286,390,19143
장성군,47456,40916,86.2,5000,7867,192,10008,47218,41505,87.9,5000,8787,211,13152,47259,43336,91.7,5000,13336,308,14198,46900,43435,92.6,5000,13926,321,12881,46836,43602,93.1,5000,13747,315,14433,45457,42450,93.4,5000,14827,348,15026
완도군,54378,52411,96.4,19990,17601,336,18075,54336,52546,96.7,19990,17937,340,18549,53878,51913,96.4,19970,16018,309,19092,53449,51540,96.4,19970,16922,328,19587,52858,51408,97.3,24070,15810,308,19988,52128,50481,96.8,24070,16307,322,20577
진도군,33369,33151,99.3,9890,12270,370,13959,33417,33183,99.3,9890,11359,341,15733,33008,32721,99.1,8890,10815,331,15020,32631,32295,99.0,8890,11592,359,15121,32232,31915,99.0,11090,11522,361,15294,32659,32309,98.9,8590,11953,369,15378
신안군,44020,39179,89.0,10750,12716,325,16022,43375,39068,90.1,10950,11710,299,16239,42837,38474,89.8,13500,12105,315,16553,42036,37782,89.9,13500,12661,335,16901,41102,36925,89.8,13500,13422,363,16511,39702,35699,89.9,13500,13567,379,16763
