행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6
행정구역(시군)별(1),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개)
합계,2134232,1986336,93.1,536586,710016,394.0,269318,2157080,2041245,94.6,528456,713754,385.6,270530,2180925,2096110,96.1,528714,702733,364.6,303599,2194516,2130268,97.1,551584,736956,374.0,299159,2194384,2142809,97.6,556194,746024,373.0,313677,2185575,2145345,98.2,116100,764853,356.5,320624,2181835,2040530,93.5,116100,764853,374.8,341722,2194196,2161394,98.4,116100,874365,405.2,377077
천안시,622836,571583,91.8,164577,249273,437.9,46719,635783,607231,95.5,163977,239697,406.7,48438,650402,643902,99.0,150857,224780,358.9,50507,666153,659976,99.1,160027,230639,358.9,51894,672556,666636,99.1,160027,231870,356.4,53040,-,-,-,-,-,-,-,676430,656488,97.1,30000,245712,374.3,55193,677789,672540,99.2,30000,275136,409.1,56521
공주시,113057,109592,96.9,28363,32932,375.9,14788,111849,107131,95.8,27377,34451,377.8,1245,110428,105575,95.6,27883,35388,386.8,16564,109687,105466,96.2,28183,32224,355.4,16439,108629,105026,96.7,28183,36406,390.8,17146,-,-,-,-,-,-,-,105094,94017,89.5,30500,38167,406.0,18990,104724,104033,98.0,30500,43049,413.8,19648
보령시,107279,101405,94.5,28800,37514,445.5,17713,106501,102635,96.4,28800,32601,381.2,18605,106001,104294,98.4,28800,36789,422.2,19325,104881,102812,98.0,28800,41484,470.4,19963,104162,102458,98.4,28800,45058,501.7,20456,-,-,-,-,-,-,-,101266,90607,89.5,13900,45420,501.3,22155,100389,98878,98.5,13900,48341,488.9,23307
아산시,311143,303227,97.5,82570,108360,367.9,29885,317599,314823,99.1,82570,116417,382.0,31069,327657,326595,99.7,92730,116265,366.8,31839,330242,329423,99.8,92730,123310,385.1,31841,333074,332255,99.8,92730,123309,379.7,35944,-,-,-,-,-,-,-,340953,333060,97.7,11500,122678,368.3,38146,352571,351344,99.7,11500,160318,456.3,39228
서산시,173715,161744,93.1,46820,50862,326.3,22741,174762,165534,94.7,46800,51531,321.4,24653,175769,169409,96.4,47420,51933,314.4,29166,178621,175039,98.0,47420,56620,328.9,30904,179151,176079,98.3,47820,58014,334.3,31116,-,-,-,-,-,-,-,180499,177908,98.6,-,60395,339.5,34168,180811,178887,98.9,-,62718,350.6,35331
논산시,127735,116974,91.6,20365,33270,334.3,21648,127022,118294,93.1,21377,34473,343.9,22798,126192,114518,90.7,22669,35466,351.7,23771,124298,116116,93.4,22669,37532,368.2,24662,122981,115772,94.1,22669,38328,373.5,27751,-,-,-,-,-,-,-,118184,110263,93.3,-,39178,355.3,28212,117143,109889,93.8,-,43923,399.7,32287
계룡시,41920,41483,99.0,12000,13703,339.1,1492,42838,42198,98.5,12000,14341,348.7,1559,44174,43922,99.4,12000,14899,347.7,1636,43934,43682,99.4,12000,15349,360.2,1705,43188,42936,99.4,12000,15096,360.7,1745,-,-,-,-,-,-,-,43522,42601,97.9,-,15215,357.1,2193,44668,44416,99.4,-,16429,369.9,2421
당진시,170259,151397,88.9,43461,43461,331.5,21488,171870,160304,93.3,32305,53920,403.2,23644,172816,159868,92.5,32305,47179,345.4,25080,173544,164623,94.9,35305,49333,344.7,26457,173024,166231,96.1,39105,52620,353.1,28409,-,-,-,-,-,-,-,172204,156047,90.6,2400,55777,357.4,31513,174079,170343,97.9,2400,57031,334.8,32722
금산군,56417,53783,95.3,12100,16541,385.7,13753,56339,53698,95.3,12100,16744,380.9,14843,55807,51019,91.4,12100,17670,402.7,15759,55470,51130,92.2,12100,18547,422.4,16601,54596,50019,91.6,12100,17930,410.0,17040,-,-,-,-,-,-,-,52422,43920,83.8,-,18119,412.5,18308,52499,48743,92.8,-,21920,449.7,19631
부여군,72257,66186,91.6,4500,22371,442.9,15129,71362,52650,73.8,6900,22468,509.0,16330,70295,60748,86.4,6900,22116,412.6,17346,69254,64105,92.6,6900,22405,392.6,18942,67984,64435,94.8,6900,20689,366.4,19101,-,-,-,-,-,-,-,64893,57345,88.4,-,18640,325.1,21859,63717,62301,97.8,-,20684,332.0,21656
서천군,58143,54685,94.1,9560,20669,473.8,14693,57228,54464,95.2,10660,17603,402.2,15384,56422,53908,95.2,10660,17674,394.8,16106,55289,52772,95.4,10660,19385,427.4,17389,54205,52600,97.0,11070,19366,426.3,18332,-,-,-,-,-,-,-,52015,45677,87.8,-,19208,420.5,20709,51399,50252,97.8,-,21699,431.8,21645
청양군,33038,30498,92.3,4690,4649,319.3,3263,33324,30806,92.4,4690,4665,317.3,3500,33426,30900,92.4,4690,4578,299.8,4362,32910,30510,92.7,4690,5892,375.3,5031,32359,30079,93.0,4690,5963,377.9,5285,-,-,-,-,-,-,-,31062,15135,48.7,-,4925,325.4,6528,30991,29970,96.7,1800,10444,348.5,7110
홍성군,96463,93160,96.6,44340,31586,381.2,20078,102075,99653,97.6,44340,31500,352.5,20748,103766,101321,97.6,45140,29087,315.2,21998,103367,102065,98.7,45140,31463,336.3,22616,102872,101630,98.8,45140,31007,332.2,23034,-,-,-,-,-,-,-,101579,94164,92.7,1800,31609,335.7,24910,100836,99965,99.1,-,35658,356.7,25647
예산군,85257,78227,91.8,14560,23054,432.4,11586,83371,78191,93.8,14560,23361,419.2,11879,82494,76029,92.2,14560,25517,453.2,13015,82288,75997,92.4,16960,27956,488.6,13183,81488,77118,94.6,16960,25079,414.6,13781,-,-,-,-,-,-,-,78805,62609,79.4,26000,22969,366.9,15485,79571,78934,99.2,26000,27327,346.2,15941
태안군,64713,52392,81.0,19880,21771,422.2,14342,65157,53633,82.3,20000,19982,378.2,15835,65276,54102,82.9,20000,23392,432.9,17125,64578,56552,87.6,28000,24817,439.8,1532,64115,59535,92.9,28000,25289,425.8,1497,-,-,-,-,-,-,-,62907,60689,96.5,-,26842,442.3,3353,63009,60899,96.7,-,29688,487.5,23982
