시도별,하수도보급률,상수도보급률
경기도 수원시,99.4,100
경기도 성남시,99.7,100
경기도 안양시,100,100
경기도 부천시,99.9,100
경기도 광명시,98.9,99.9
경기도 평택시,77.4,99.8
경기도 안산시,99.1,99.9
경기도 과천시,98.5,98.4
경기도 오산시,98.1,100
경기도 시흥시,94.6,99.9
경기도 군포시,99.8,100
경기도 의왕시,99,99.9
경기도 하남시,95.4,98.4
경기도 용인시,95.7,99.1
경기도 이천시,91.5,98.1
경기도 안성시,78.1,92.4
경기도 김포시,88.2,94.9
경기도 화성시,84,100
경기도 광주시,94.5,91.1
경기도 여주시,82.2,88.4
경기도 양평군,78.4,77
경기도 의정부시,98.8,99.3
경기도 동두천시,98.9,98.5
경기도 고양시,93.8,99.7
경기도 구리시,99.7,99.9
경기도 남양주시,96.6,97.1
경기도 파주시,93.8,99
경기도 양주시,92.7,97.9
경기도 포천시,84.9,84.8
경기도 연천군,86.8,97.6
경기도 가평군,80.3,81.6
강원특별자치도 춘천시,95,97.2
강원특별자치도 원주시,87.5,95.4
강원특별자치도 강릉시,91.8,95.1
강원특별자치도 동해시,98.4,99.2
강원특별자치도 태백시,81.2,98
강원특별자치도 속초시,99.5,99.6
강원특별자치도 삼척시,89.3,91.4
강원특별자치도 홍천군,79.3,73.7
강원특별자치도 횡성군,65.4,80.5
강원특별자치도 영월군,75.2,78.1
강원특별자치도 평창군,76.5,82.2
강원특별자치도 정선군,86,80.6
강원특별자치도 철원군,82,90.3
강원특별자치도 화천군,68.6,64.2
강원특별자치도 양구군,86.3,81.9
강원특별자치도 인제군,73.7,82.6
강원특별자치도 고성군,86.1,85.1
강원특별자치도 양양군,75.2,91.7
경상남도 창원시,100,98.4
경상남도 진주시,100,100
경상남도 통영시,100,99
경상남도 사천시,100,96.3
경상남도 김해시,97.6,98.1
경상남도 밀양시,86.4,81.6
경상남도 거제시,80.5,97.1
경상남도 양산시,100,98.4
경상남도 의령군,98.3,69.7
경상남도 함안군,100,95.8
경상남도 창녕군,100,99.6
경상남도 고성군,98.6,79.8
경상남도 남해군,100,69.5
경상남도 하동군,100,55.1
경상남도 산청군,100,48.3
경상남도 함양군,99,65.4
경상남도 거창군,100,76.8
경상남도 합천군,100,54.1
경상북도 포항시,83.4,95.6
경상북도 경주시,93.1,95.5
경상북도 김천시,80,88
경상북도 안동시,78.9,91.6
경상북도 구미시,97.9,99.9
경상북도 영주시,86.8,88.4
경상북도 영천시,72.7,95.8
경상북도 상주시,72.6,75.1
경상북도 문경시,82.4,93.3
경상북도 경산시,93.2,99.3
경상북도 군위군,38.1,74.7
경상북도 의성군,44.2,89.2
경상북도 청송군,43.6,71.5
경상북도 영양군,54.7,89.2
경상북도 영덕군,74.7,93
경상북도 청도군,56,79.7
경상북도 고령군,62.3,96.3
경상북도 성주군,38.1,73.9
경상북도 칠곡군,77.3,92.9
경상북도 예천군,57.9,86.4
경상북도 봉화군,61.9,67.4
경상북도 울진군,70.8,73.8
경상북도 울릉군,1.6,89.4
광주광역시 동구,99.5,100
광주광역시 서구,99.9,100
광주광역시 남구,99.4,100
광주광역시 북구,99.2,99.78
광주광역시 광산구,95.7,99.92
대구광역시 중구,100,100
대구광역시 동구,98.9,99.8
대구광역시 서구,100,100
대구광역시 남구,100,100
대구광역시 북구,99.8,100
대구광역시 수성구,99.6,100
대구광역시 달서구,100,100
대구광역시 달성군,89.6,100
대전광역시 동구,99.2,99.99
