시군별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7
시군별(1),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%)
시군별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
전체,1561915,216424,1345491,1345491,851,182538,1162102,86.1,1566639,202741,1363898,1363898,588,158385,1204925,87.1,1567091,201993,1365098,1353792,-,55632,1298160,87.1,1561313,188742,1372571,1360935,-,51837,1309098,87.9,1560571,167882,1392689,1380478,-,15318,1365160,89.2,1560172,162747,1397425,1385915,-,14290,1371625,89.6,1555876,154630,1401246,1390595,-,9300,1381295,90.1,1556970,135228,1421742,1411013,-,10037,1400976,91.3
춘천시,281005,18822,262183,262183,0,97,262086,93.3,283951,18808,265143,265143,-,96,265047,93.4,284192,14250,269942,268164,-,-,268164,95.0,285002,14282,270720,268856,-,-,268856,95.0,285585,13446,272139,270239,-,-,270239,95.3,286489,13118,273371,271489,-,-,271489,95.4,288320,12862,275458,273561,-,-,273561,95.5,290797,12038,278759,276194,-,-,276194,95.9
원주시,336031,43197,292834,292834,0,6141,286693,87.1,341130,33337,307793,307793,-,2691,305102,90.2,344614,43859,300755,298924,-,2593,296331,87.3,347421,43563,303858,302027,-,-,302027,87.5,352860,31467,321393,319562,-,-,319562,91.1,357710,31898,325812,323957,-,-,323957,91.1,361056,31412,329644,327789,-,-,327789,91.3,364891,19429,345462,344147,-,-,344147,94.7
강릉시,216330,19240,197090,197090,0,23910,173180,91.1,215721,18411,197310,197310,-,4897,192413,91.5,215856,18013,197843,197843,-,4979,192864,91.7,215239,17583,197656,197656,-,4919,192737,91.8,215911,17715,198196,198196,-,4919,193277,91.8,215603,16623,198980,198980,-,4865,194115,92.3,215322,16623,198699,198699,-,-,198699,92.3,214011,14416,199595,199595,-,-,199595,93.3
동해시,94558,1821,92737,92737,0,92737,0,98.1,93958,1821,92137,92137,-,92137,-,98.1,93657,2051,91606,91506,-,-,91506,97.8,92137,1500,90637,90537,-,-,90537,98.4,91453,1464,89989,89889,-,-,89889,98.4,91492,1464,90028,89928,-,-,89928,98.4,90809,1464,89345,89245,-,-,89245,98.4,90261,1464,88797,88697,-,-,88697,98.4
태백시,47501,9026,38475,38475,0,38475,0,81.0,47333,8899,38434,38434,-,38434,-,81.2,46142,8674,37468,37468,-,37468,-,81.2,45112,8472,36640,36640,-,36640,-,81.2,44124,8330,35794,35794,-,-,35794,81.1,42945,8113,34832,34832,-,-,34832,81.1,41093,7409,33684,33684,-,-,33684,82.0,39726,6870,32856,32856,-,-,32856,82.7
속초시,82978,719,82259,82259,0,0,82259,99.1,82670,443,82227,82227,-,-,82227,99.5,83213,433,82780,82780,-,-,82780,99.5,82694,433,82261,82261,-,-,82261,99.5,82824,429,82395,82395,-,-,82395,99.5,83674,424,83250,83250,-,-,83250,99.5,83825,421,83404,83404,-,-,83404,99.5,84011,380,83631,83631,-,-,83631,99.5
