시군별(1),시군별(2),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7
시군별(1),시군별(2),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),하수도 보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),하수도 보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),하수도 보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),하수도 보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),하수도 보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),하수도 보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),공공하수처리시설 처리인구(d=d1+d2+d3) (명),하수도 보급률 (%)
시군별(1),시군별(2),소계,소계,소계,소계,물리적(1차)(d1),생물학적(2차)(d2),고도(3차)(d3),소계,소계,소계,소계,소계,물리적(1차)(d1),생물학적(2차)(d2),고도(3차)(d3),소계,소계,소계,소계,소계,물리적(1차)(d1),생물학적(2차)(d2),고도(3차)(d3),소계,소계,소계,소계,소계,물리적(1차)(d1),생물학적(2차)(d2),고도(3차)(d3),소계,소계,소계,소계,소계,물리적(1차)(d1),생물학적(2차)(d2),고도(3차)(d3),소계,소계,소계,소계,소계,물리적(1차)(d1),생물학적(2차)(d2),고도(3차)(d3),소계,소계,소계,소계,소계,물리적(1차)(d1),생물학적(2차)(d2),고도(3차)(d3),소계
합계,소계,12892271,770825,12121446,12108143,-,941615,11166528,94.0,13090703,759172,12331531,12311626,-,687966,11623660,94.2,13255523,723403,12532120,12297251,-,4038,12293213,94.5,13485679,722001,12763678,12712777,-,4382,12708395,94.6,13653984,699198,12954786,12954786,-,4372,12950414,94.9,13807158,674410,13132748,13100354,-,3160,13097194,95.1,13925862,646233,13279629,13252935,-,3142,13249793,95.4
남부,소계,9543258,514376,9028882,9015628,-,938495,8077133,94.6,9699633,526171,9173462,9160005,-,683753,8476252,94.6,9838189,523419,9314770,9112398,-,233,9112165,94.7,10023388,537117,9486271,9464886,-,415,9464471,94.6,10144708,504518,9640190,9640190,-,415,9639775,95.0,10252116,481283,9770833,9761789,-,415,9761374,95.3,10332513,450477,9882036,9873620,-,233,9873387,95.6
남부,수원시,1221975,12535,1209440,1209440,-,-,1209440,99.0,1231224,12535,1218689,1218689,-,-,1218689,99.0,1240480,7685,1232795,1232795,-,-,1232795,99.4,1242212,6853,1235359,1235359,-,-,1235359,99.4,1235022,1958,1233064,1233064,-,-,1233064,99.8,1221913,1853,1220060,1220060,-,-,1220060,99.8,1216965,1838,1215127,1215127,-,-,1215127,99.8
남부,성남시,989662,4684,984978,984978,-,-,984978,99.5,992159,4014,988145,988145,-,-,988145,99.6,984446,3294,981152,976314,-,-,976314,99.7,972280,3294,968986,964148,-,-,964148,99.7,960342,3842,956500,956500,-,-,956500,99.6,955248,3593,951655,951655,-,-,951655,99.6,945037,3593,941444,941444,-,-,941444,99.6
남부,안양시,605451,-,605451,605451,-,302727,302724,100.0,604652,-,604652,604652,-,-,604652,100.0,594697,-,594697,594697,-,-,594697,100.0,584239,-,584239,584239,-,-,584239,100.0,574464,-,574464,574464,-,-,574464,100.0,556570,-,556570,556570,-,-,556570,100.0,553249,-,553249,553249,-,-,553249,100.0
남부,부천시,869165,-,869165,869165,-,-,869165,100.0,871785,736,871049,871049,-,-,871049,99.9,871674,736,870938,870938,-,-,870938,99.9,868106,736,867370,867370,-,-,867370,99.9,855685,736,854949,854949,-,-,854949,99.9,842788,736,842052,842052,-,-,842052,99.9,829846,736,829110,829110,-,-,829110,99.9
남부,광명시,350717,5357,345360,345360,-,345360,-,98.5,345403,4544,340859,340859,-,340859,-,98.7,338633,3956,334677,334677,-,-,334677,98.8,333114,3733,329381,329381,-,-,329381,98.9,322494,1136,321358,321358,-,-,321358,99.6,303068,2537,300531,300531,-,-,300531,99.2,296471,3833,292638,292638,-,-,292638,98.7
남부,평택시,479176,70569,408607,408607,-,-,408607,85.3,490767,80424,410343,410343,-,-,410343,83.6,502870,85686,417184,417184,-,-,417184,83.0,518672,117141,401531,401531,-,-,401531,77.4,537135,94193,442942,442942,-,-,442942,82.5,560475,74991,485484,485484,-,-,485484,86.6,588046,56776,531270,531270,-,-,531270,90.3
남부,안산시,753604,8290,745314,745314,-,-,745314,98.9,744356,8152,736204,736204,-,-,736204,98.9,731443,6492,724951,724951,-,-,724951,99.1,717130,6655,710475,710475,-,-,710475,99.1,707385,6445,700940,700940,-,-,700940,99.1,706185,5173,701012,701012,-,-,701012,99.3,700138,4315,695823,695823,-,-,695823,99.4
남부,과천시,69220,1050,68170,68170,-,-,68170,98.5,64013,960,63053,63053,-,-,63053,98.5,57738,866,56872,56872,-,-,56872,98.5,58325,866,57459,57459,-,-,57459,98.5,58462,868,57594,57594,-,-,57594,98.5,63397,868,62529,62529,-,-,62529,98.6,73528,946,72582,72582,-,-,72582,98.7
남부,오산시,214909,2438,212471,212471,-,-,212471,98.9,216699,2412,214287,214287,-,-,214287,98.9,221865,2477,219388,219388,-,-,219388,98.9,229520,4272,225248,225248,-,-,225248,98.1,236075,2432,233643,233643,-,-,233643,99.0,238956,2432,236524,236524,-,-,236524,99.0,238579,2327,236252,236252,-,-,236252,99.0
남부,시흥시,429770,23576,406194,392940,-,-,392940,94.5,434187,26276,407911,394454,-,-,394454,93.9,451695,26219,425476,412019,-,-,412019,94.2,483327,25913,457414,443957,-,-,443957,94.6,508379,12026,496353,496353,-,-,496353,97.6,533305,20268,513037,513037,-,-,513037,96.2,543553,20513,523040,523040,-,-,523040,96.2
남부,군포시,294516,716,293800,293800,-,142203,151597,99.8,291662,747,290915,290915,-,140762,150153,99.7,287988,747,287241,287241,-,-,287241,99.7,283876,623,283253,283253,-,-,283253,99.8,282862,623,282239,282239,-,-,282239,99.8,280039,623,279416,279416,-,-,279416,99.8,274100,623,273477,273477,-,-,273477,99.8
남부,의왕시,159125,1171,157954,157954,-,-,157954,99.3,157997,1135,156862,156862,-,-,156862,99.3,156957,1565,155392,155392,-,-,155392,99.0,155084,1565,153519,153519,-,-,153519,99.0,162344,739,161605,161605,-,-,161605,99.5,164857,88,164769,164769,-,-,164769,99.9,164363,80,164283,164283,-,-,164283,100.0
남부,하남시,168464,20259,148205,148205,-,148205,-,88.0,212941,11042,201899,201899,-,201899,-,94.8,234634,10982,223652,223652,-,-,223652,95.3,256760,11706,245054,245054,-,-,245054,95.4,274734,11065,263669,263669,-,-,263669,96.0,295620,1705,293915,293915,-,-,293915,99.4,322271,1705,320566,320566,-,-,320566,99.5
남부,용인시,992396,70461,921935,921935,-,-,921935,92.9,1008012,71569,936443,936443,-,-,936443,92.9,1021007,71569,949438,949438,-,-,949438,93.0,1053522,45629,1007893,1007893,-,182,1007711,95.7,1078591,76477,1002114,1002114,-,182,1001932,92.9,1090907,76094,1014813,1008859,-,182,1008677,93.0,1093665,77247,1016418,1011092,-,-,1011092,92.9
