행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7
행정구역(시군)별(1),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),공공하수처리인구 (명),하수도보급률 (%)
행정구역(시군)별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
합계,3447018,393001,3054017,3054017,-,21943,3032074,88.6,3454892,368579,3086313,3086313,-,30656,3055657,89.3,3455540,73378,3382162,3130076,-,90756,3039320,97.9,3448292,79671,3368621,3139631,-,97263,3042368,97.7,3438676,288963,3149713,3073356,-,8479,3064877,91.6,3407455,263286,3144169,3067410,-,27623,3039787,90.0,3377331,254378,3122953,3063489,-,26769,3036720,92.5,3350883,240217,3110666,3044569,-,21997,3022572,92.8
창원시,1086852,41297,1045555,1045555,-,-,1045555,96.2,1080133,39426,1040707,1040707,-,-,1040707,96.3,1072657,-,1072657,1034709,-,-,1034709,100.0,1068955,-,1068955,1031759,-,-,1031759,100.0,1059813,36550,1023263,1023263,-,-,1023263,96.6,1050207,36548,1013659,1013659,-,-,1013659,96.5,1045601,35369,1010232,1010232,-,-,1010232,96.6,1035475,36028,999447,999447,-,-,999447,96.5
진주시,348835,28340,320495,320495,-,-,320495,91.9,351279,28294,322985,322985,-,-,322985,91.9,351547,-,351547,323891,-,-,323891,100.0,351095,-,351095,323439,-,-,323439,100.0,352553,27656,324897,324897,-,-,324897,92.2,352754,21166,331588,330729,-,-,330729,93.8,351595,21711,329884,323157,-,-,323157,93.8,348690,18392,330298,324218,-,-,324218,94.7
통영시,143771,25598,118173,118173,-,-,118173,82.2,142493,24695,117798,117798,-,228,117570,82.7,139525,-,139525,120050,-,-,120050,100.0,137520,-,137520,118338,-,-,118338,100.0,135366,18611,116755,116755,-,-,116755,86.3,131974,12326,119648,119648,-,-,119648,90.7,128899,16548,112351,112351,-,-,112351,87.2,126669,16080,110589,110589,-,-,110589,87.3
사천시,118569,9103,109466,109466,-,-,109466,92.3,118044,7648,110396,110396,-,-,110396,93.5,117365,-,117365,113309,-,-,113309,100.0,117207,-,117207,113460,-,20,113440,100.0,115342,3534,111808,111808,-,20,111788,96.9,114032,4654,109378,106286,-,-,106286,93.2,112885,4539,108346,104509,-,-,104509,96.0,112496,4689,107807,104195,-,-,104195,95.8
김해시,547387,24546,522841,522841,-,-,522841,95.5,547854,18411,529443,529443,-,95,529348,96.6,550758,13741,537017,548222,-,13741,534481,97.5,552360,13009,539351,549410,-,13009,536401,97.6,561468,3088,558380,545902,-,-,545902,99.5,559242,2503,556739,546325,-,-,546325,97.7,553719,2360,551359,541266,-,-,541266,99.6,553040,2160,550880,541631,-,-,541631,99.6
밀양시,109985,30664,79321,79321,-,48,79273,72.1,110683,29721,80962,80962,-,3761,77201,73.1,110395,9208,101187,89744,-,14758,74986,91.7,109371,14828,94543,91813,-,20603,71210,86.4,108422,16989,91433,76532,-,665,75867,84.3,107419,16989,90430,77942,-,10341,67601,72.6,105995,16318,89677,77189,-,10138,67051,84.6,105959,16328,89631,68796,-,6359,62437,84.6
