행정구역(구군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6
행정구역(구군)별(1),총인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%),총인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도보급률 (%)
행정구역(구군)별(1),소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
합계,2513970,2470958,-,-,2470958,98.3,2511050,2469270,-,-,2469270,98.3,2501673,2463575,-,-,2463575,98.5,2489802,2456647,-,-,2456647,98.7,2468222,2468222,2438916,-,-,2438916,98.8,2446144,2417577,2417577,-,-,2417577,98.8,2412642,2412642,2385817,-,-,2385817,98.9,2393259,2393259,2366279,-,-,2366279,98.9
중구,81734,81734,-,-,81734,100.0,80497,80497,-,-,80497,100.0,79759,79759,-,-,79759,100.0,80225,80225,-,-,80225,100.0,78219,78219,78219,-,-,78219,100.0,77262,77262,77262,-,-,77262,100.0,75511,75511,75511,-,-,75511,100.0,80965,80965,80965,-,-,80965,100.0
동구,351486,346989,-,-,346989,98.7,353140,348690,-,-,348690,98.7,351206,346781,-,-,346781,98.7,353178,349293,-,-,349293,98.9,347376,347376,343902,-,-,343902,99.0,343685,340322,340322,-,-,340322,99.0,343096,343096,339768,-,-,339768,99.0,341326,341326,337998,-,-,337998,99.0
서구,208516,208516,-,-,208516,100.0,201981,201981,-,-,201981,100.0,194379,194379,-,-,194379,100.0,186796,186796,-,-,186796,100.0,177758,177758,177758,-,-,177758,100.0,172879,172879,172879,-,-,172879,100.0,166559,166559,166559,-,-,166559,100.0,161935,161935,161935,-,-,161935,100.0
남구,161949,161949,-,-,161949,100.0,157557,157557,-,-,157557,100.0,153963,153963,-,-,153963,100.0,151821,151821,-,-,151821,100.0,149660,149660,149660,-,-,149660,100.0,148247,148247,148247,-,-,148247,100.0,145002,145002,145002,-,-,145002,100.0,143474,143474,143474,-,-,143474,100.0
북구,447887,446615,-,-,446615,99.7,445230,444051,-,-,444051,99.7,446201,445267,-,-,445267,99.8,444616,443769,-,-,443769,99.8,442943,442943,442096,-,-,442096,99.8,444923,444059,444059,-,-,444059,99.8,441642,441642,440778,-,-,440778,99.8,436173,436173,435309,-,-,435309,99.8
수성구,453266,450641,-,-,450641,99.4,448550,446035,-,-,446035,99.4,440743,439035,-,-,439035,99.6,434399,432746,-,-,432746,99.6,430334,430334,428613,-,-,428613,99.6,425987,424283,424283,-,-,424283,99.6,418730,418730,417227,-,-,417227,99.6,413211,413211,411553,-,-,411553,99.6
달서구,611460,611460,-,-,611460,100.0,600510,600510,-,-,600510,100.0,586532,586532,-,-,586532,100.0,582422,582422,-,-,582422,100.0,579352,579352,579352,-,-,579352,100.0,568481,568481,568481,-,-,568481,100.0,554629,554629,554629,-,-,554629,100.0,547387,547387,547387,-,-,547387,100.0
달성군,197672,163054,-,-,163054,82.5,223585,189949,-,-,189949,85.0,248890,217859,-,-,217859,87.5,256345,229575,-,-,229575,89.6,262580,262580,239316,-,-,239316,91.1,264680,242044,242044,-,-,242044,91.4,267473,267473,246343,-,-,246343,92.1,268788,268788,247658,-,-,247658,92.1
