구군별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7
구군별(1),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률(C/A*100) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률(C/A*100) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률(C/A*100) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률(C/A*100) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률(C/A*100) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률(C/A*100) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률(C/A*100) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률(C/A*100) (%)
구군별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
합계,3553768,28741,3525027,3525027,-,2205252,1319775,99.19,3540369,30103,3510266,3510266,-,798,3509468,99.15,3513490,23259,3490231,3489703,-,-,3489703,99.30,3487191,23827,3463364,3462918,-,413159,3049759,99.30,3459840,21297,3438543,3438157,-,409899,3028258,99.40,3432312,22214,3410098,3409718,-,142641,3267077,99.35,3389800,14469,3375331,3375331,-,144195,3231136,99.57,3360675,13848,3346827,3346827,-,130162,3216665,99.59
중구,47334,-,47334,47334,-,-,47334,100.00,46907,-,46907,46907,-,-,46907,100.00,45851,-,45851,45770,-,-,45770,100.00,44639,-,44639,44639,-,-,44639,100.00,43844,-,43844,43844,-,-,43844,100.00,43393,-,43393,43393,-,-,43393,100.00,42375,-,42375,42375,-,-,42375,100.00,41671,-,41671,41671,-,-,41671,100.00
서구,117428,-,117428,117428,-,-,117428,100.00,114553,-,114553,114553,-,-,114553,100.00,111712,-,111712,111712,-,-,111712,100.00,112377,-,112377,112377,-,-,112377,100.00,110106,-,110106,110106,-,-,110106,100.00,109826,-,109826,109826,-,-,109826,100.00,106930,-,106930,106930,-,-,106930,100.00,107175,-,107175,107175,-,-,107175,100.00
동구,93482,-,93482,93482,-,93482,-,100.00,91341,-,91341,91341,-,-,91341,100.00,90370,-,90370,90364,-,-,90364,100.00,88626,-,88626,88620,-,-,88620,100.00,89959,-,89959,89953,-,-,89953,100.00,90574,-,90574,90574,-,-,90574,100.00,89242,-,89242,89242,-,-,89242,100.00,88077,-,88077,88077,-,-,88077,100.00
영도구,131039,-,131039,131039,-,-,131039,100.00,128026,-,128026,128026,-,-,128026,100.00,125113,-,125113,125113,-,-,125113,100.00,121704,-,121704,121704,-,-,121704,100.00,118372,-,118372,118372,-,-,118372,100.00,114913,-,114913,114913,-,-,114913,100.00,112213,-,112213,112213,-,-,112213,100.00,109989,-,109989,109989,-,-,109989,100.00
부산진구,383836,-,383836,383836,-,383836,-,100.00,378850,-,378850,378850,-,-,378850,100.00,373987,-,373987,373987,-,-,373987,100.00,364819,-,364819,364819,-,-,364819,100.00,360541,-,360541,360541,-,-,360541,100.00,362216,-,362216,362216,-,-,362216,100.00,355467,-,355467,355467,-,-,355467,100.00,358201,-,358201,358201,-,-,358201,100.00
동래구,273716,-,273716,273716,-,273716,-,100.00,273665,-,273665,273665,-,-,273665,100.00,271672,-,271672,271672,-,-,271672,100.00,267452,-,267452,267452,-,-,267452,100.00,272214,-,272214,272214,-,-,272214,100.00,271676,-,271676,271676,-,-,271676,100.00,267739,-,267739,267739,-,-,267739,100.00,274141,-,274141,274141,-,-,274141,100.00
남구,286483,-,286483,286483,-,286483,-,100.00,282624,-,282624,282624,-,-,282624,100.00,278861,-,278861,278861,-,-,278861,100.00,285635,-,285635,285635,-,-,285635,100.00,280411,-,280411,280411,-,-,280411,100.00,272754,-,272754,272754,-,-,272754,100.00,267024,-,267024,267024,-,-,267024,100.00,261871,-,261871,261871,-,-,261871,100.00
