행정구역(읍면동)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7
행정구역(읍면동)별(1),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),물리적(1차)처리인구 (명),생물학적(2차)처리인구 (명),고도(3차)처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),물리적(1차)처리인구 (명),생물학적(2차)처리인구 (명),고도(3차)처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),물리적(1차)처리인구 (명),생물학적(2차)처리인구 (명),고도(3차)처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),물리적(1차)처리인구 (명),생물학적(2차)처리인구 (명),고도(3차)처리인구 (명),하수도보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),물리적(1차)처리인구 (명),생물학적(2차)처리인구 (명),고도(3차)처리인구 (명),하수도보급률 (%)
합계,214364,22499,191865,191865,-,495,191370,89.50,246793,28146,218647,167740,-,490,218157,88.60,284225,21168,263057,257637,-,478,257159,92.55,360907,15481,345426,344914,-,6589,338325,95.71,376779,11383,365396,364884,-,3718,361166,96.98
조치원읍,47139,-,47139,47139,-,-,47139,100.00,47524,-,47524,47524,-,-,47524,100.00,46620,-,46620,46430,-,-,46430,100.00,44462,-,44462,44272,-,-,44272,100.00,44712,-,44712,44522,-,-,44522,100.00
연기면,2668,247,2421,2421,-,-,2421,90.74,2827,261,2566,2566,-,-,2566,90.77,2879,314,2565,2565,-,-,2565,89.09,2835,317,2518,2508,-,-,2508,88.80,2896,324,2572,2562,-,-,2562,88.80
연동면,3894,3507,387,387,-,167,220,9.94,3777,3402,375,375,-,162,213,9.93,3613,3250,363,363,-,154,209,10.05,3625,2154,1471,1463,-,281,1182,40.60,3418,1995,1423,1415,-,279,1136,41.60
부강면,6937,1637,5300,5300,-,-,5300,76.40,6993,6905,88,88,-,-,88,1.26,6739,1421,5318,88,-,-,88,78.91,6479,1000,5479,5474,-,321,5153,84.60,6369,1194,5175,5170,-,96,5074,81.30
금남면,9987,4791,5196,5196,-,-,5196,52.03,9953,4772,5181,5181,-,-,5181,52.05,9635,3654,5981,5981,-,-,5981,62.08,9202,1387,7815,7802,-,627,7175,84.90,9269,1397,7872,7859,-,630,7229,84.90
장군면,6087,6087,-,-,-,-,-,-,6586,6586,-,-,-,-,-,-,6671,6671,-,-,-,-,-,-,7229,7229,-,-,-,-,-,-,7467,3254,4213,4213,-,-,4213,56.40
연서면,7919,1620,6299,6299,-,107,6192,79.54,8249,1689,6560,6560,-,111,6449,79.52,8197,1628,6569,6569,-,110,6459,80.14,7693,319,7374,7299,-,488,6811,95.90,7560,230,7330,7255,-,467,6788,97.00
전의면,7007,2124,4883,4883,-,93,4790,69.69,6920,2096,4824,4824,-,92,4732,69.71,6777,1975,4802,4802,-,87,4715,70.86,6078,1801,4277,4194,-,1104,3090,70.40,5903,1785,4118,4035,-,411,3624,69.80
전동면,4323,2433,1890,1890,-,128,1762,43.72,4233,2381,1852,1852,-,125,1727,43.75,4104,2245,1859,1859,-,127,1732,45.30,3731,1264,2467,2447,-,1252,1195,66.10,3523,1194,2329,2309,-,1089,1220,66.10
소정면,3046,53,2993,2993,-,-,2993,98.26,3078,54,3024,3024,-,-,3024,98.25,3034,10,3024,3024,-,-,3024,99.67,2634,10,2624,2516,-,2516,-,95.52,2462,10,2452,2344,-,746,1598,99.60
한솔동,21512,-,21512,21512,-,-,21512,100.00,34566,-,34566,34566,-,-,34566,100.00,20208,-,20208,20208,-,-,20208,100.00,19302,-,19302,19302,-,-,19302,100.00,18679,-,18679,18679,-,-,18679,100.00
새롬동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23346,-,23346,23346,-,-,23346,100.00,57040,-,57040,57040,-,-,57040,100.00,38414,-,38414,38414,-,-,38414,100.00
도담동,29263,-,29263,29263,-,-,29263,100.00,31477,-,31477,31477,-,-,31477,100.00,32732,-,32732,32732,-,-,32732,100.00,39679,-,39679,39679,-,-,39679,100.00,33509,-,33509,33509,-,-,33509,100.00
해밀동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8583,-,8583,8583,-,-,8583,100.00
아름동,64582,-,64582,64582,-,-,64582,100.00,50907,-,50907,-,-,-,50907,100.00,24564,-,24564,24564,-,-,24564,100.00,23634,-,23634,23634,-,-,23634,100.00,23418,-,23418,23418,-,-,23418,100.00
종촌동,-,-,-,-,-,-,-,-,29703,-,29703,29703,-,-,29703,100.00,30647,-,30647,30647,-,-,30647,100.00,29690,-,29690,29690,-,-,29690,100.00,29256,-,29256,29256,-,-,29256,100.00
고운동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26396,-,26396,26396,-,-,26396,100.00,34525,-,34525,34525,-,-,34525,100.00,34265,-,34265,34265,-,-,34265,100.00
소담동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32599,-,32599,32599,-,-,32599,100.00,20476,-,20476,20476,-,-,20476,100.00
반곡동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17755,-,17755,17755,-,-,17755,100.00
