군구별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7
군구별(1),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%)
군구별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
합계,2983484,72014,2911470,2911470,-,-,2911470,97.6,3002172,75380,2926792,2926792,0,0,2926792,97.5,3011138,91509,2919629,2919629,-,-,2919629,97.0,3022511,93454,2929057,2929057,-,-,2929057,96.9,3029180,87750,2941430,2941430,-,-,2941430,97.1,3010476,83298,2927178,2927178,-,-,2927178,97.2,3014739,82715,2932024,2932024,-,-,2932024,97.3
강화군,68413,37006,31407,31407,-,-,31407,46.0,68785,37853,30932,30932,0,0,30932,45.0,69543,48023,21520,21520,-,-,21520,30.9,69726,47877,21849,21849,-,-,21849,31.3,69932,46005,23927,23927,-,-,23927,34.2,70025,44410,25615,25615,-,-,25615,36.6,70456,44410,26046,26046,-,-,26046,37.0
옹진군,21143,13695,7448,7448,-,-,7448,35.0,21522,13888,7634,7634,0,0,7634,35.5,21741,12074,9667,9667,-,-,9667,44.5,21227,12074,9153,9153,-,-,9153,43.1,20791,11413,9378,9378,-,-,9378,45.1,20670,9157,11513,11513,-,-,11513,55.7,20535,8091,12444,12444,-,-,12444,60.6
중구,118781,15813,102968,102968,-,-,102968,87.0,119434,16198,103236,103236,0,0,103236,86.4,121838,16198,105640,105640,-,-,105640,86.7,126522,16198,110324,110324,-,-,110324,87.2,139385,16198,123187,123187,-,-,123187,88.4,143656,16198,127458,127458,-,-,127458,88.7,147535,12821,134714,134714,-,-,134714,91.3
동구,73531,-,73531,73531,-,-,73531,100.0,71915,0,71915,71915,0,0,71915,100.0,70387,-,70387,70387,-,-,70387,100.0,67161,1131,66030,66030,-,-,66030,98.3,65362,1131,64231,64231,-,-,64231,98.3,63397,212,63185,63185,-,-,63185,99.7,62335,125,62210,62210,-,-,62210,99.8
미추홀구,412207,-,412207,412207,-,-,412207,100.0,424869,0,424869,424869,0,0,424869,100.0,427604,-,427604,427604,-,-,427604,100.0,425471,-,425471,425471,-,-,425471,100.0,418494,-,418494,418494,-,-,418494,100.0,413246,-,413246,413246,-,-,413246,100.0,416551,-,416551,416551,-,-,416551,100.0
연수구,325755,-,325755,325755,-,-,325755,100.0,336256,0,336256,336256,0,0,336256,100.0,344277,1552,342725,342725,-,-,342725,99.5,357362,1552,355810,355810,-,-,355810,99.6,379727,1552,378175,378175,-,-,378175,99.6,399869,1554,398315,398315,-,-,398315,99.6,402103,1554,400549,400549,-,-,400549,99.6
남동구,543899,-,543899,543899,-,-,543899,100.0,543038,1961,541077,541077,0,0,541077,99.6,548759,4251,544508,544508,-,-,544508,99.2,549691,4251,545440,545440,-,-,545440,99.2,545131,4262,540869,540869,-,-,540869,99.2,536938,4378,532560,532560,-,-,532560,99.2,529200,7938,521262,521262,-,-,521262,98.5
부평구,565972,-,565972,565972,-,-,565972,100.0,560649,0,560649,560649,0,0,560649,100.0,552162,-,552162,552162,-,-,552162,100.0,538137,-,538137,538137,-,-,538137,100.0,526126,-,526126,526126,-,-,526126,100.0,508881,-,508881,508881,-,-,508881,100.0,500546,-,500546,500546,-,-,500546,100.0
계양구,337448,1700,335748,335748,-,-,335748,100.0,333344,1680,331664,331664,0,0,331664,99.5,326892,1647,325245,325245,-,-,325245,99.5,315903,2607,313296,313296,-,-,313296,99.2,306817,2155,304662,304662,-,-,304662,99.3,299904,2155,297749,297749,-,-,297749,99.3,298802,2676,296126,296126,-,-,296126,99.1
서구,516335,3800,512535,512535,-,-,512535,99.0,522360,3800,518560,518560,0,0,518560,99.3,527935,7764,520171,520171,-,-,520171,98.5,551311,7764,543547,543547,-,-,543547,98.6,557415,5034,552381,552381,-,-,552381,99.1,553890,5234,548656,548656,-,-,548656,99.1,566676,5100,561576,561576,-,-,561576,99.1
