행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015.10,2015.11,2015.12,2015.13,2015.14,2015.15,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.10,2016.11,2016.12,2016.13,2016.14,2016.15,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.10,2017.11,2017.12,2017.13,2017.14,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14
행정구역(시군)별(1),총인구 (명),총면적 (㎢),하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 외,하수처리구역 외,하수처리구역 외,하수처리구역 외,하수도보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 외,하수처리구역 외,하수처리구역 외,하수처리구역 외,하수도보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 외,하수처리구역 외,하수도보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 외,하수처리구역 외,하수도보급률 (%),총인구 (명),총면적 (㎢),하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 내,하수처리구역 외,하수처리구역 외,하수도보급률 (%)
행정구역(시군)별(1),소계,소계,하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),면적 (㎢),인구 (명),인구 (명),인구 (명),면적 (㎢),소계,소계,소계,하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),면적 (㎢),인구 (명),인구 (명),인구 (명),면적 (㎢),소계,소계,소계,하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),미접속인구 (명),면적 (㎢),인구 (명),면적 (㎢),소계,소계,소계,하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),미접속인구 (명),면적 (㎢),인구 (명),면적 (㎢),소계,소계,소계,하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),하수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),폐수종말처리인구 (명),미접속인구 (명),면적 (㎢),인구 (명),면적 (㎢),소계
행정구역(시군)별(1),소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,시가,비시가,소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,시가,비시가,소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계
합계,1939562,11714.05,1454672,-,168894,1285778,21528,-,19018,2510,1017.64,463362,22841,440521,10696.42,76.1,1935664,12317.34,1480500,-,173348,1307152,12284,-,9796,2488,1003.33,442880,23043,419837,11312.00,77.1,1927645,12242.51,1488859,-,122308,1366551,12461,1472,8725,2264,19829,755.93,406496,11486.58,78.9,1916012,12335.27,1511797,-,144517,1367280,15344,1472,11688,2184,19992,577.26,368879,11758.01,80.7,1903383,12311.95,1525495,-,106993,1418502,15625,1472,12227,1926,22390,521.62,339873,11790.32,82.1
목포시,241213,52.00,236421,-,-,236421,-,-,-,-,25.80,4792,4030,762,26.20,98.0,240555,52.20,235829,-,-,235829,-,-,-,-,26.00,4726,4011,715,26.20,98.0,237247,51.70,232706,-,-,232706,-,-,-,-,-,35.06,4541,16.64,98.0,235423,51.70,230870,-,-,230870,-,-,-,-,12,35.06,4541,16.64,98.1,233175,51.70,228622,-,-,228622,-,-,-,-,12,35.06,4541,16.64,98.1
여수시,294073,503.86,246858,-,9656,237202,-,-,-,-,105.36,47215,-,47215,398.50,83.9,293036,509.52,246207,-,9656,236551,-,-,-,-,41.93,46829,-,46829,467.59,84.0,290528,509.44,244875,-,9656,235219,-,-,-,-,-,41.85,45653,467.59,84.2,287868,509.44,242820,-,-,242820,-,-,-,-,-,41.85,45048,467.59,84.4,287479,516.58,251785,-,-,251785,-,-,-,-,-,48.99,35694,467.59,87.6
순천시,280594,907.11,254405,-,5508,248897,-,-,-,-,69.30,26189,-,26189,837.81,90.7,280397,907.11,256608,-,3120,253488,-,-,-,-,69.30,23789,381,23408,837.80,91.5,281189,907.10,270116,-,10082,260034,-,-,-,-,-,74.40,11073,832.70,96.0,281397,907.10,270324,-,10290,260034,-,-,-,-,-,74.40,11073,832.70,96.1,281722,913.40,274122,-,10290,263832,-,-,-,-,-,80.70,7600,832.70,97.3
나주시,100250,608.62,67023,-,46563,20460,-,-,-,-,15.05,33227,1997,31230,593.57,66.9,106760,608.32,72779,-,43415,29364,-,-,-,-,38.40,33981,3689,30292,570.00,68.2,112674,607.83,81290,-,4166,77124,-,-,-,-,-,38.83,31384,569.00,72.1,116640,607.83,90279,-,4166,86113,-,-,-,-,-,38.83,26361,569.00,77.4,117445,607.83,92393,-,4166,88227,-,-,-,-,-,39.17,25052,568.67,78.7
광양시,155117,459.50,141583,-,-,141583,2166,-,-,2166,65.00,11368,-,11368,394.50,92.7,157177,463.20,143484,-,-,143484,2144,-,-,2144,68.30,11549,-,11549,395.00,92.7,157403,442.58,144527,-,-,144527,2077,-,-,2077,609,47.68,10190,394.90,93.5,158162,504.01,146105,-,-,146105,1997,-,-,1997,609,103.60,9451,400.41,94.0,158437,463.10,151576,-,-,151576,1739,-,-,1739,1851,22.71,3271,440.39,97.9
담양군,48024,454.97,35130,-,-,35130,-,-,-,-,11.80,12894,2624,10270,443.17,73.2,48300,455.89,35406,-,-,35406,-,-,-,-,18.77,12894,2624,10270,437.12,73.3,48334,441.03,35503,-,-,35503,-,-,-,-,-,5.98,12831,435.05,73.4,47952,453.75,35218,-,-,35218,-,-,-,-,-,18.74,12734,435.01,73.4,47533,455.09,37110,-,-,37110,-,-,-,-,-,25.28,10423,429.81,78.1
곡성군,31046,-,23179,-,568,22611,-,-,-,-,-,7867,349,7518,-,74.7,30795,547.45,23879,-,568,23311,-,-,-,-,6.28,6916,233,6683,541.17,77.5,30566,550.85,23873,-,568,23305,-,-,-,-,764,10.25,5929,540.60,80.6,30118,550.85,23923,-,502,23421,-,-,-,-,590,10.25,5605,540.60,81.4,29376,550.85,23662,-,502,23160,-,-,-,-,620,10.25,5094,540.60,82.7
