행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7
행정구역(시군)별(1),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A+B) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),하수도보급률(b/A) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A+B) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),하수도보급률(b/A) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A+B) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),하수도보급률(b/A) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A+B) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),하수도보급률(b/A) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A+B) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),하수도보급률(b/A) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A+B) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),하수도보급률(b/A) (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A+B) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),공공하수처리시설 처리인구(b) (명),하수도보급률(b/A) (%)
행정구역(시군)별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
합계,1888410,-,1888410,1609186,-,76680,1532506,85,1892111,-,1892111,1619161,-,52718,1566443,86,1883195,-,1883195,1640717,-,63780,1576937,87,1868179,-,1868179,1643880,-,34422,1609458,88,1851991,-,1851991,1653199,-,30657,1622542,89,1835392,-,1835392,1640480,-,28024,1612456,89,1817186,5115,1812071,1644956,-,31081,1613875,91
전주시,658211,-,658211,649671,-,-,649671,99,658369,-,658369,647169,-,-,647169,98,656117,-,656117,646174,-,-,646174,99,659052,-,659052,649109,-,-,649109,99,663098,-,663098,655121,-,-,655121,99,666177,-,666177,657745,-,-,657745,99,666170,5115,661055,657738,-,-,657738,99
군산시,278398,-,278398,256885,-,7004,249881,92,283041,-,283041,260147,-,2263,257884,92,280263,-,280263,249224,-,17198,232026,89,278345,-,278345,259628,-,8763,250865,93,276232,-,276232,250832,-,3827,247005,91,273651,-,273651,250034,-,3505,246529,91,271126,-,271126,249667,-,3312,246355,92
익산시,306304,-,306304,265376,-,6881,258495,87,305031,-,305031,266333,-,4867,261466,87,305354,-,305354,275235,-,6428,268807,90,299341,-,299341,268334,-,3359,264975,90,292916,-,292916,269837,-,3359,266478,92,286990,-,286990,263158,-,3399,259759,92,282572,-,282572,258740,-,3913,254827,92
정읍시,118137,-,118137,88409,-,2960,85449,75,117318,-,117318,90897,-,2905,87992,77,116006,-,116006,89978,-,3628,86350,78,114783,-,114783,89764,-,3546,86218,78,113415,-,113415,92081,-,3546,88535,81,111239,-,111239,92593,-,3546,89047,83,108967,-,108967,93233,-,3546,89687,86
남원시,85800,-,85800,68219,-,3652,64567,80,85140,-,85140,68224,-,3642,64582,80,84257,-,84257,68167,-,3318,64849,81,83566,-,83566,68151,-,3297,64854,82,82463,-,82463,66769,-,3297,63472,81,81615,-,81615,66752,-,3297,63455,82,80319,-,80319,71777,-,3297,68480,89
김제시,88721,-,88721,52047,-,4980,47067,59,89747,-,89747,52820,-,4351,48469,59,88878,-,88878,54993,-,5455,49538,62,87329,-,87329,54791,-,5190,49601,63,85924,-,85924,55910,-,5509,50401,65,84326,-,84326,55910,-,5509,50401,66,82655,-,82655,54239,-,5279,48960,66
