행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7
행정구역(시군)별(1),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),하수도보급률 (%),총인구(A) (명),미처리인구(B) (명),처리대상인구(C=A-B) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),공공하수처리시설 처리인구(d) (명),하수도보급률 (%)
행정구역(시군)별(1),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
합계,2134232,547509,1586723,1586723,-,21454,1565269,74.35,2157080,497905,1659175,1659175,-,18306,1640869,76.92,2180801,480697,1700104,1695327,-,17321,1678006,77.90,2194516,445286,1749230,1736771,-,14421,1722350,79.70,2194384,420778,1773606,1746312,-,16572,1729740,80.82,2185575,398472,1787103,1757446,-,12783,1744663,81.80,2181835,376980,1804855,1774844,-,11959,1762885,82.70,2194196,364898,1829298,1799221,-,8194,1791027,83.40
천안시,622836,24951,597885,597885,-,960,596925,95.99,635783,25067,610716,610716,-,1903,608813,96.06,650402,24905,625497,625497,-,551,624946,96.10,666153,24728,641425,641425,-,545,640880,96.30,672556,22753,649803,649803,-,473,649330,96.62,-,-,-,-,-,-,-,-,676430,21370,655060,655060,-,-,655060,96.80,677789,21012,656777,656777,-,-,656777,96.90
공주시,113057,35873,77184,77184,-,1907,75277,68.27,111849,34191,77658,77658,-,1327,76331,69.43,110428,33927,76501,74779,-,322,74457,69.20,109687,30605,79082,79082,-,-,79082,72.10,108629,28487,80142,80142,-,-,80142,73.78,-,-,-,-,-,-,-,-,105094,21957,83137,83137,-,-,83137,79.10,104724,21593,83131,83131,-,-,83131,79.40
보령시,107279,36153,71126,71126,-,2684,68442,66.30,106501,35505,70996,70996,-,1153,69843,66.66,106001,35082,70919,70919,-,2335,68584,66.90,104881,25168,79713,79713,-,3878,75835,76.00,104162,25983,78179,78179,-,3526,74653,75.06,-,-,-,-,-,-,-,-,101266,21881,79385,79385,-,2642,76743,78.40,100389,21330,79059,79059,-,2632,76427,78.80
아산시,311143,90231,220912,220912,-,1336,219576,71.00,317599,52260,265339,265339,-,4066,261273,83.55,327657,50615,277042,277042,-,3992,273050,84.50,330242,49168,281074,270784,-,-,270784,82.00,333074,47962,285112,274605,-,-,274605,85.60,-,-,-,-,-,-,-,-,340953,45688,295265,284758,-,485,284273,86.60,352571,45834,306737,296230,-,485,295745,87.00
서산시,173715,49289,124426,124426,-,-,124426,71.63,174762,49554,125208,125208,-,-,125208,71.64,175769,43891,131878,130121,-,-,130121,75.00,178621,44501,134120,132896,-,-,132896,75.10,179151,38814,140337,124502,-,-,124502,78.33,-,-,-,-,-,-,-,-,180499,37244,143255,124540,-,-,124540,79.40,180811,35111,145700,126865,-,-,126865,80.60
논산시,127735,48550,79185,79185,-,967,78218,61.99,127022,43564,83458,83458,-,967,82491,65.70,126192,41863,84329,84329,-,967,83362,66.80,124298,33412,90886,90886,-,967,89919,73.10,122981,33412,89569,89569,-,967,88602,72.83,-,-,-,-,-,-,-,-,118184,26765,91419,91419,-,908,90511,77.40,117143,25618,91525,91525,-,894,90631,78.10
계룡시,41920,1763,40157,40157,-,-,40157,95.79,42838,1719,41119,41119,-,-,41119,95.99,44174,1743,42431,42431,-,-,42431,96.00,43934,1277,42657,42657,-,-,42657,97.10,43188,1432,41756,41756,-,-,41756,96.68,-,-,-,-,-,-,-,-,43522,1163,42359,42359,-,-,42359,97.30,44668,1390,43278,43278,-,-,43278,96.90
당진시,170259,65550,104709,104709,-,2961,101748,61.50,171870,64551,107319,107319,-,3102,104217,62.44,172692,63205,109487,108189,-,3534,104655,63.40,173544,61859,111685,110853,-,3545,107308,64.40,173024,58587,114437,113595,-,3590,110005,66.14,-,-,-,-,-,-,-,-,172204,52310,119894,119105,-,-,119105,69.60,174079,48600,125479,124751,-,-,124751,72.10
