시군별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7
시군별(1),총인구 (명),미처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%),총인구 (명),미처리인구 (명),처리대상인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),공공하수처리시설 처리인구 (명),하수도 보급률 (%)
시군별(1),소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계,소계,소계,소계,소계,물리적(1차),생물학적(2차),고도(3차),소계
계 ,1616589,223274,1393315,2469,18560,1372286,86.2,1626694,230257,1396576,4352,9779,1382445,85.9,1631088,221168,1409920,-,8348,1401572,86.4,1638789,201294,1437495,1353893,-,7246,1346647,87.7,1640721,198175,1442546,1420731,-,7905,1412826,87.9,1637897,184847,1453050,1370449,-,5991,1364458,88.7,1633472,173824,1459648,1459966,-,5598,1454368,89.4,1636328,171790,1464538,1464538,-,5510,1459028,89.5
청주시,842960,65880,777080,2469,4927,769684,92.2,846949,65940,781009,2469,4927,773613,92.2,847915,66250,781665,-,1210,780455,92.2,851328,58808,792520,732698,-,1210,731488,93.1,853714,58700,795014,795014,-,1210,793804,93.1,857527,51831,805696,745874,-,1210,744664,94.0,860831,51861,808970,808970,-,1210,807760,94.0,863625,51025,812600,812600,-,1210,811390,94.0
충주시,211976,16242,195734,-,2826,192908,92.3,213075,25697,187378,-,2931,184447,87.9,213359,17280,196079,-,3186,192893,91.9,215859,17077,198782,187232,-,3156,184076,92.1,216070,15656,200414,188863,-,3047,185816,92.8,214961,14015,200946,189395,-,2910,186485,93.5,213883,13852,200031,200031,-,2860,197171,93.5,213337,13647,199690,199690,-,2792,196898,93.6
제천시,137609,7169,130440,-,-,130440,94.8,137609,6909,130673,-,-,130673,95.0,137908,9312,128596,-,-,128596,93.2,136906,9312,127594,126824,-,692,126132,93.2,136242,8912,127330,126560,-,692,125868,93.5,134520,8912,125608,124838,-,692,124146,93.4,133091,8444,124647,124647,-,329,124318,93.7,132637,8823,123814,123814,-,329,123485,93.3
보은군,34731,10122,24609,-,6887,17722,70.9,34682,9975,24707,-,-,24707,71.2,34538,10067,24471,-,-,24471,70.9,34189,9919,24270,24270,-,-,24270,71.0,33453,7859,25594,25594,-,-,25594,76.5,32912,7301,25611,25611,-,-,25611,77.8,32382,6767,25615,25615,-,-,25615,79.1,32004,6998,25006,25006,-,-,25006,78.1
옥천군,53193,7335,45858,-,-,45858,86.2,53043,6744,46299,-,-,46299,87.3,52507,6611,45896,-,-,45896,87.4,52251,6335,45916,45003,-,-,45003,87.9,51770,6335,45435,45435,-,317,45118,87.8,51205,4868,46337,45465,-,-,45465,90.5,50773,4584,46189,46189,-,20,46169,91.0,50290,4592,45698,45698,-,-,45698,90.9
영동군,51251,16861,34390,-,-,34390,67.1,51160,16508,34652,-,-,34652,67.7,50798,16454,34344,-,-,34344,67.6,50318,15698,34620,34620,-,-,34620,68.8,49591,14900,34691,34691,-,-,34691,70.0,48247,14352,33895,33895,-,-,33895,70.3,46574,12720,33854,33854,-,-,33854,72.7,45913,11330,34583,34583,-,-,34583,75.3
