시군별,산업별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,Unnamed: 10
합계,합계,사업체수[개],개,856163,878275,909032,934349,1455644,1481054,
합계,합계,여성대표자 사업체수[개],개,312959,324629,337744,348442,515675,529270,
합계,합계,종사자수[명],명,4802623,4953790,5174364,5302740,5886850,5994570,
합계,합계,남성 종사자수[명],명,2807081,2875889,2998015,3070494,3490747,3511953,
합계,합계,여성 종사자수[명],명,1995542,2077901,2176349,2232246,2396103,2482617,
합계,농업 임업 및 어업,사업체수[개],개,413,457,522,558,1700,1649,
합계,농업 임업 및 어업,종사자수[명],명,4127,4528,4820,5051,7782,8262,
합계,광업,사업체수[개],개,100,101,94,92,123,116,
합계,광업,종사자수[명],명,1389,1319,1454,1589,1502,1497,
합계,제조업,사업체수[개],개,125983,130282,132785,133317,184016,184432,
합계,제조업,종사자수[명],명,1262904,1300516,1317605,1321095,1382830,1373285,
합계,전기가스증기 및 공기조절 공급업,사업체수[개],개,283,246,276,367,5307,6090,
합계,전기가스증기 및 공기조절 공급업,종사자수[명],명,10401,8149,8568,9005,14427,15557,
합계,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,2038,2138,2255,2285,3455,3538,
합계,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,22256,25750,27224,28916,33057,34744,
합계,건설업,사업체수[개],개,28259,28854,30361,31261,111359,113884,
합계,건설업,종사자수[명],명,248488,264621,284619,292943,435271,421535,
합계,도매 및 소매업,사업체수[개],개,202024,204601,209233,212226,374438,376406,
합계,도매 및 소매업,종사자수[명],명,686385,701193,735964,742267,891493,909374,
합계,운수 및 창고업,사업체수[개],개,84752,85870,90679,94190,149340,155809,
합계,운수 및 창고업,종사자수[명],명,235784,237171,250124,263440,312842,325661,
합계,숙박 및 음식점업,사업체수[개],개,145626,149870,154477,160465,180827,181248,
합계,숙박 및 음식점업,종사자수[명],명,454494,471850,503155,518752,459082,468186,
합계,정보통신업,사업체수[개],개,6577,6751,7117,7750,28719,31523,
합계,정보통신업,종사자수[명],명,100650,107991,114719,117021,158961,176080,
합계,금융 및 보험업,사업체수[개],개,6925,7118,7208,7213,10396,10337,
합계,금융 및 보험업,종사자수[명],명,103510,104380,103879,103692,102522,106379,
합계,부동산업,사업체수[개],개,39697,38130,41103,43792,76086,80072,
합계,부동산업,종사자수[명],명,129873,113123,122637,130321,172368,180814,
합계,"전문, 과학 및 기술서비스업",사업체수[개],개,18894,19552,21528,23241,50467,53057,
합계,"전문, 과학 및 기술서비스업",종사자수[명],명,235577,239956,260658,273434,324468,343646,
합계,사업시설관리 및 사업지원 및 임대서비스업,사업체수[개],개,9658,13708,14535,15159,38974,36130,
합계,사업시설관리 및 사업지원 및 임대서비스업,종사자수[명],명,185548,207712,213523,217284,274985,269408,
합계,"공공행정, 국방 및 사회보장행정",사업체수[개],개,1827,1842,1863,1880,1871,1924,
합계,"공공행정, 국방 및 사회보장행정",종사자수[명],명,110825,113016,119126,125943,137286,146970,
합계,교육서비스업,사업체수[개],개,42002,43757,45488,46798,59752,64609,
합계,교육서비스업,종사자수[명],명,354257,371525,383886,393038,382033,390147,
합계,보건업 및 사회복지서비스업,사업체수[개],개,32308,33888,34409,35199,37112,38264,
합계,보건업 및 사회복지서비스업,종사자수[명],명,343264,383865,412597,441605,486652,510794,
합계,"예술, 스포츠 및 여가관련서비스업",사업체수[개],개,24990,27508,28561,29701,35417,35761,
합계,"예술, 스포츠 및 여가관련서비스업",종사자수[명],명,101416,106875,112954,116150,104314,108123,
합계,"협회 및 단체, 수리 기타 개인서비스업",사업체수[개],개,83807,83602,86538,88855,106285,106205,
합계,"협회 및 단체, 수리 기타 개인서비스업",종사자수[명],명,211475,190250,196852,201194,204975,204108,
남부,합계,사업체수[개],개,639165,654188,676648,696568,1080994,1102128,
남부,합계,여성대표자 사업체수[개],개,231686,239970,249733,257562,380415,390726,
남부,합계,종사자수[명],명,3753273,3867765,4049482,4148908,4600030,4680012,
남부,합계,남성 종사자수[명],명,2226155,2280399,2382671,2442374,2768181,2780692,
남부,합계,여성 종사자수[명],명,1527118,1587366,1666811,1706534,1831849,1899320,
남부,농업 임업 및 어업,사업체수[개],개,320,344,392,424,1262,1227,
남부,농업 임업 및 어업,종사자수[명],명,3203,3566,3754,3990,6072,6400,
남부,광업,사업체수[개],개,64,61,54,48,78,81,
남부,광업,종사자수[명],명,665,584,663,644,713,778,
남부,제조업,사업체수[개],개,97034,99792,101772,101889,141641,142089,
남부,제조업,종사자수[명],명,1027018,1055685,1074524,1078136,1129849,1125521,
남부,전기가스증기 및 공기조절 공급업,사업체수[개],개,194,164,185,262,3727,4307,
남부,전기가스증기 및 공기조절 공급업,종사자수[명],명,7372,5506,5904,6266,10184,11119,
남부,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,1466,1530,1636,1668,2548,2621,
남부,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,16023,18479,19521,20639,23912,25190,
남부,건설업,사업체수[개],개,21303,21601,22598,23310,81376,83217,
남부,건설업,종사자수[명],명,195218,211138,224776,231940,342363,327868,
남부,도매 및 소매업,사업체수[개],개,149145,150443,153966,155789,271433,273675,
남부,도매 및 소매업,종사자수[명],명,510907,520158,548854,552342,657274,671064,
남부,운수 및 창고업,사업체수[개],개,63483,64384,67493,71457,111941,118058,
남부,운수 및 창고업,종사자수[명],명,181097,182612,191977,203902,236235,246583,
남부,숙박 및 음식점업,사업체수[개],개,106366,109594,112931,117546,132800,132991,
남부,숙박 및 음식점업,종사자수[명],명,336424,349749,374824,384951,340553,346584,
남부,정보통신업,사업체수[개],개,4961,5067,5370,5933,22036,24004,
남부,정보통신업,종사자수[명],명,87016,93542,99982,102459,137846,152980,
남부,금융 및 보험업,사업체수[개],개,5240,5374,5456,5484,7843,7786,
남부,금융 및 보험업,종사자수[명],명,78223,79676,80263,80030,80063,82516,
남부,부동산업,사업체수[개],개,30332,29279,31601,33712,58751,61426,
남부,부동산업,종사자수[명],명,98247,87517,95068,101234,134484,140399,
남부,"전문, 과학 및 기술서비스업",사업체수[개],개,14849,15374,16909,18185,39297,41309,
남부,"전문, 과학 및 기술서비스업",종사자수[명],명,214195,217445,236253,247209,288948,307264,
남부,사업시설관리 및 사업지원 및 임대서비스업,사업체수[개],개,7539,10457,11054,11541,29077,27069,
남부,사업시설관리 및 사업지원 및 임대서비스업,종사자수[명],명,159574,176553,183497,186646,235049,227392,
남부,"공공행정, 국방 및 사회보장행정",사업체수[개],개,1320,1328,1343,1360,1353,1389,
남부,"공공행정, 국방 및 사회보장행정",종사자수[명],명,84100,84684,89539,93999,103725,111452,
남부,교육서비스업,사업체수[개],개,31314,32711,33982,35007,44636,48340,
남부,교육서비스업,종사자수[명],명,269305,282187,291764,298581,290437,296228,
남부,보건업 및 사회복지서비스업,사업체수[개],개,23774,24924,25296,25907,27350,28193,
남부,보건업 및 사회복지서비스업,종사자수[명],명,249423,280165,300549,321718,353617,369461,
남부,"예술, 스포츠 및 여가관련서비스업",사업체수[개],개,18601,20383,21157,22002,26132,26494,
남부,"예술, 스포츠 및 여가관련서비스업",종사자수[명],명,75750,79007,83205,86075,77232,79747,
남부,"협회 및 단체, 수리 기타 개인서비스업",사업체수[개],개,61860,61378,63453,65044,77713,77852,
남부,"협회 및 단체, 수리 기타 개인서비스업",종사자수[명],명,159513,139512,144565,148147,151474,151466,
수원시,합계,사업체수[개],개,70004,71898,73441,74015,109330,110987,
수원시,합계,여성대표자 사업체수[개],개,28217,29444,30074,30452,41965,42995,
수원시,합계,종사자수[명],명,411761,423649,449540,438591,477961,481383,
수원시,합계,남성 종사자수[명],명,222195,227667,246482,238116,268529,257222,
수원시,합계,여성 종사자수[명],명,189566,195982,203058,200475,209432,224161,
수원시,농업 임업 및 어업,사업체수[개],개,5,6,6,6,32,26,
수원시,농업 임업 및 어업,종사자수[명],명,196,205,252,221,237,243,
수원시,광업,사업체수[개],개,-,-,-,-,-,1,
수원시,광업,종사자수[명],명,-,-,-,-,-,10,
수원시,제조업,사업체수[개],개,3641,3900,3892,3858,5570,5521,
수원시,제조업,종사자수[명],명,39903,42643,47932,38044,38712,38897,
수원시,전기가스증기 및 공기조절 공급업,사업체수[개],개,12,9,10,15,85,81,
수원시,전기가스증기 및 공기조절 공급업,종사자수[명],명,829,654,685,537,692,875,
수원시,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,67,78,80,85,135,129,
수원시,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,690,1012,1021,1138,1443,1419,
수원시,건설업,사업체수[개],개,2297,2376,2409,2510,9148,9259,
수원시,건설업,종사자수[명],명,22230,23943,24865,25568,39914,31798,
수원시,도매 및 소매업,사업체수[개],개,16945,17131,17186,16891,28231,28027,
수원시,도매 및 소매업,종사자수[명],명,56115,57152,58530,57653,64823,67121,
수원시,운수 및 창고업,사업체수[개],개,7503,7306,7715,7587,10065,10979,
