행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015.10,2015.11,2015.12,2015.13,2015.14,2015.15,2015.16,2015.17,2015.18,2015.19,2015.20,2015.21,2015.22,2015.23,2015.24,2015.25,2015.26,2015.27,2015.28,2015.29,2015.30,2015.31,2015.32,2015.33,2015.34,2015.35,2015.36,2015.37,2015.38,2015.39,2015.40,2015.41,2015.42,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.10,2016.11,2016.12,2016.13,2016.14,2016.15,2016.16,2016.17,2016.18,2016.19,2016.20,2016.21,2016.22,2016.23,2016.24,2016.25,2016.26,2016.27,2016.28,2016.29,2016.30,2016.31,2016.32,2016.33,2016.34,2016.35,2016.36,2016.37,2016.38,2016.39,2016.40,2016.41,2016.42,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.10,2017.11,2017.12,2017.13,2017.14,2017.15,2017.16,2017.17,2017.18,2017.19,2017.20,2017.21,2017.22,2017.23,2017.24,2017.25,2017.26,2017.27,2017.28,2017.29,2017.30,2017.31,2017.32,2017.33,2017.34,2017.35,2017.36,2017.37,2017.38,2017.39,2017.40,2017.41,2017.42,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2018.15,2018.16,2018.17,2018.18,2018.19,2018.20,2018.21,2018.22,2018.23,2018.24,2018.25,2018.26,2018.27,2018.28,2018.29,2018.30,2018.31,2018.32,2018.33,2018.34,2018.35,2018.36,2018.37,2018.38,2018.39,2018.40,2018.41,2018.42,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14,2019.15,2019.16,2019.17,2019.18,2019.19,2019.20,2019.21,2019.22,2019.23,2019.24,2019.25,2019.26,2019.27,2019.28,2019.29,2019.30,2019.31,2019.32,2019.33,2019.34,2019.35,2019.36,2019.37,2019.38,2019.39,2019.40,2019.41,2019.42,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2020.8,2020.9,2020.10,2020.11,2020.12,2020.13,2020.14,2020.15,2020.16,2020.17,2020.18,2020.19,2020.20,2020.21,2020.22,2020.23,2020.24,2020.25,2020.26,2020.27,2020.28,2020.29,2020.30,2020.31,2020.32,2020.33,2020.34,2020.35,2020.36,2020.37,2020.38,2020.39,2020.40,2020.41,2020.42,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2021.8,2021.9,2021.10,2021.11,2021.12,2021.13,2021.14,2021.15,2021.16,2021.17,2021.18,2021.19,2021.20,2021.21,2021.22,2021.23,2021.24,2021.25,2021.26,2021.27,2021.28,2021.29,2021.30,2021.31,2021.32,2021.33,2021.34,2021.35,2021.36,2021.37,2021.38,2021.39,2021.40,2021.41,2021.42
행정구역(시군)별(1),합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도하수 및 폐기물 처리 원료 재생업,수도하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 지원 및 임대서비스업,사업시설관리 지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육 서비스업,교육 서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도하수 및 폐기물 처리 원료 재생업,수도하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 지원 및 임대서비스업,사업시설관리 지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육 서비스업,교육 서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도하수 및 폐기물 처리 원료 재생업,수도하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 지원 및 임대서비스업,사업시설관리 지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육 서비스업,교육 서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도하수 및 폐기물 처리 원료 재생업,수도하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 지원 및 임대서비스업,사업시설관리 지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육 서비스업,교육 서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도하수 및 폐기물 처리 원료 재생업,수도하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 지원 및 임대서비스업,사업시설관리 지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육 서비스업,교육 서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도하수 및 폐기물 처리 원료 재생업,수도하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 지원 및 임대서비스업,사업시설관리 지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육 서비스업,교육 서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도하수 및 폐기물 처리 원료 재생업,수도하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 지원 및 임대서비스업,사업시설관리 지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육 서비스업,교육 서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업
행정구역(시군)별(1),사업체수 (개),여자대표자 사업체수 (개),종사자수 (명),남자 종사자수 (명),여자 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여자대표자 사업체수 (개),종사자수 (명),남자 종사자수 (명),여자 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여자대표자 사업체수 (개),종사자수 (명),남자 종사자수 (명),여자 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여자대표자 사업체수 (개),종사자수 (명),남자 종사자수 (명),여자 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여자대표자 사업체수 (개),종사자수 (명),남자 종사자수 (명),여자 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여자대표자 사업체수 (개),종사자수 (명),남자 종사자수 (명),여자 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여자대표자 사업체수 (개),종사자수 (명),남자 종사자수 (명),여자 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
합계,218796,87573,1066260,641512,424748,376,4121,146,1356,26496,323127,212,7794,787,7259,9350,66822,54862,130108,17459,44159,46840,109479,1054,8044,2290,26050,5313,16032,3369,22190,2414,31401,1296,44800,9345,78321,6974,75568,5322,17802,24891,51827,222541,89748,1086649,651083,435566,418,3991,143,1288,27110,323717,237,9555,788,7544,9447,69377,54902,130089,17326,44785,47453,111543,1126,8599,2326,25994,5900,17799,3519,24303,2549,28010,1301,44022,9449,80254,7285,82796,5859,19229,25403,53754,226079,91629,1096368,649391,446977,448,4436,150,1311,28663,324059,190,8258,864,8448,9564,71422,55060,130807,18102,46931,48040,112867,1149,8674,2328,25849,5411,15697,3582,24545,3311,29220,1302,45290,9532,80371,7690,93570,6191,19687,24502,44926,232030,94097,1117782,662331,455451,501,4752,143,1284,29217,320706,249,8539,941,9268,9958,73978,55670,132384,19092,47536,49681,119131,1173,8725,2316,25912,5594,15996,3848,25680,3408,28768,1304,48455,9757,79857,7774,98932,6344,21345,25060,46021,236807,96000,1150047,678551,471496,524,4877,141,1168,29986,319306,310,7198,974,9570,10360,75421,56514,138239,19435,49004,50490,122692,1234,8699,2293,25111,5676,16049,4074,27946,3647,31705,1302,52142,9955,84353,7959,107319,6492,21881,25441,47367,321061,122292,1225829,739030,486799,1215,6749,201,1258,37730,320531,8481,15694,1230,10284,30833,109357,74851,146481,31343,60823,54929,109050,2003,9670,2764,24783,8290,19285,5924,34590,6024,35175,1274,57678,11197,82201,8146,116416,6796,18958,27830,46846,328657,124276,1234314,736135,498179,1236,6693,196,1344,37897,315862,11551,19240,1246,10567,32419,100762,73428,145410,32491,61730,55386,110114,2109,10028,2743,24559,8638,21684,6149,36026,6072,32475,1268,59531,11823,83737,8366,127371,6826,19756,28813,47425
포항시,40356,17959,194651,118755,75896,14,93,14,55,2601,36517,19,511,100,1508,1657,17163,11346,27781,3008,10267,9101,22026,183,1972,471,5976,1191,3410,774,6688,461,10515,138,6562,1863,13945,1406,14452,1146,2788,4863,12422,41227,18511,196055,117876,78179,16,149,15,66,2764,37225,22,551,101,1505,1670,17074,11335,27155,3115,9988,9083,22192,200,2157,471,5644,1277,3564,791,6705,499,9595,135,5345,1921,14904,1449,16041,1277,3040,5086,13155,42330,18959,197496,116954,80542,16,161,14,78,3057,39408,19,320,107,1496,1697,16617,11290,26984,3718,10937,9265,22481,211,2220,462,5842,1139,3112,789,6380,660,9786,137,5693,1944,15009,1523,18143,1343,3040,4939,9789,43053,19396,205513,121665,83848,20,251,13,66,3088,41080,20,327,118,1777,1747,17865,11382,27383,3755,10703,9482,23491,201,2276,457,5837,1184,3209,845,6703,682,10310,141,5962,1974,15353,1532,19146,1367,3679,5045,10095,43428,19573,211843,124669,87174,24,153,12,62,3140,41309,32,351,111,1791,1794,18037,11361,28177,3731,11409,9686,24545,213,2299,434,5769,1166,3231,881,6617,726,11061,137,6954,2051,16358,1524,19964,1377,3621,5028,10135,58581,24348,219408,132821,86587,62,295,14,52,3770,42140,233,583,142,2068,5928,22883,14946,28478,6884,14019,10572,21198,383,2417,552,5636,1728,3718,1292,7626,1170,10073,135,7819,2372,15563,1544,22127,1420,3032,5434,9681,59457,24307,226982,136169,90813,70,300,13,56,3765,42418,271,602,145,2195,6204,22260,14513,28902,7313,15609,10628,21975,429,2540,552,5518,1815,4005,1364,8868,1152,10786,136,8506,2536,16209,1571,23490,1407,2940,5573,9803
경주시,23531,9769,121128,74403,46725,25,239,16,107,3401,43805,17,1955,82,1199,834,5578,5394,12735,1644,4140,5949,15605,87,569,187,2281,565,1584,381,2090,270,3186,88,2876,958,7228,615,7914,571,3065,2447,4972,23826,9868,123614,76628,46986,26,315,16,86,3505,44775,20,3459,73,1177,833,5834,5352,12522,1715,4439,5966,15108,89,721,188,2263,609,1800,423,2145,277,2538,88,2918,930,7104,630,8130,592,3164,2494,5116,24266,10168,123526,75210,48316,29,309,16,62,3605,42796,19,3304,91,1231,829,5998,5440,12711,1699,4257,6151,15607,91,597,194,2371,529,1327,416,2573,411,3206,89,3085,920,7454,659,9022,662,3057,2416,4559,25188,10528,125938,76140,49798,39,356,19,62,3696,42573,25,3360,105,1426,881,5945,5498,12730,1874,4578,6478,16558,95,663,194,2535,562,1374,434,2638,441,3159,90,3298,939,7445,664,9184,688,3407,2466,4647,26067,10852,128663,77403,51260,46,403,17,45,3845,42254,34,1989,107,1358,914,5815,5671,13183,2007,4692,6701,17016,110,720,193,2418,565,1349,434,3974,483,4007,92,3543,957,7524,692,10007,712,3652,2487,4714,33233,13246,131634,80201,51433,99,456,24,61,4946,41374,313,2228,137,1433,2530,8351,7212,13631,2674,5397,7338,15229,180,776,237,1956,841,1607,624,4623,733,4998,84,3762,1099,7399,727,10840,745,2808,2690,4705,33379,13325,131043,79386,51657,104,469,22,84,4921,40032,378,2290,138,1498,2602,8054,7015,13563,2739,5318,7375,15195,177,851,221,2287,862,1791,654,4830,742,4099,84,4001,1146,7605,735,11675,720,2824,2744,4577
김천시,9837,3855,50149,29754,20395,23,231,9,58,928,12955,8,108,44,360,431,2472,2399,5671,931,3487,2072,4749,44,271,109,1211,249,671,126,2265,88,1515,76,3552,415,3621,357,4152,237,488,1291,2312,10244,4035,53317,31982,21335,27,233,8,62,951,13139,9,134,43,347,432,2798,2477,5720,958,3617,2186,5072,45,266,114,1227,286,824,136,3591,102,1417,78,3641,419,3725,380,4485,270,552,1323,2467,10408,4164,54988,32706,22282,30,267,10,77,1007,12968,8,101,48,377,437,3282,2507,6058,952,3569,2225,5298,46,257,112,1235,262,770,141,3636,140,1273,77,3675,424,3822,411,5643,281,582,1290,2098,10654,4260,57816,33487,24329,30,265,12,97,1019,13450,9,111,54,442,456,3209,2500,6192,992,3850,2298,5675,49,270,112,1261,260,842,157,3729,157,1338,76,3728,441,4132,408,6380,298,686,1326,2259,10885,4332,61091,35425,25666,32,265,11,72,1055,14040,10,108,61,461,500,3489,2580,6631,938,3615,2298,5736,56,372,108,1150,267,846,175,3990,176,1734,74,3785,463,4344,430,7488,308,711,1343,2254,14843,5584,62208,36919,25289,77,451,20,112,1273,14052,633,751,76,494,1422,4839,3374,6794,1451,3837,2478,4992,90,400,145,1285,410,1061,262,3832,261,1556,73,4118,557,4082,440,6653,331,631,1470,2268,16101,6055,64625,38316,26309,80,482,25,128,1278,13986,1110,1241,78,528,1731,4821,3475,7066,1496,4147,2563,5275,108,462,145,1216,410,1077,279,3918,295,1821,73,4302,600,4165,444,6904,333,683,1578,2403
안동시,13526,5384,55397,29864,25533,28,286,12,99,868,4029,13,467,30,254,620,3823,3767,9545,1123,2268,2873,6537,96,976,176,2144,281,1120,261,1625,123,971,98,4706,701,5578,436,6347,354,1260,1666,3362,13741,5500,57300,30677,26623,27,270,15,107,861,4105,16,383,26,236,631,4326,3767,9449,1124,2269,2969,6868,113,1085,177,2100,306,1314,270,1575,130,916,100,4772,709,5733,463,7073,376,1286,1661,3433,13817,5534,57272,30953,26319,24,270,15,111,949,4333,14,355,29,338,634,4612,3738,9205,1121,2254,2979,6589,108,1141,180,2059,276,1132,285,1759,183,925,101,4975,705,5657,482,7388,404,1284,1590,2885,14037,5673,59481,31887,27594,27,255,14,114,920,4470,14,361,35,351,609,4517,3705,9333,1198,2407,3119,7283,104,1011,184,2101,256,1113,296,1614,203,871,101,5792,720,5571,491,7776,418,1496,1623,3045,14098,5682,62200,33230,28970,26,269,15,133,944,4775,18,562,34,400,615,4727,3731,9613,1103,2445,3125,7297,110,797,188,2224,267,1097,309,1800,211,967,100,6101,714,5982,500,8454,433,1398,1655,3159,19976,7276,68952,38834,30118,88,421,20,122,1132,5146,477,955,48,413,2738,7722,4878,9802,1909,3647,3377,6471,173,974,229,2031,417,1260,441,2425,356,1088,97,7115,782,5802,510,9133,459,1188,1845,3237,20093,7320,68012,37153,30859,96,493,16,102,1125,5193,725,1271,47,404,2830,6410,4609,9402,1917,3581,3364,6440,184,1041,224,2114,431,1235,441,2262,369,1034,95,6656,809,5963,524,9605,434,1428,1853,3378
구미시,33464,12576,210111,129258,80853,14,193,7,62,4375,99670,12,539,82,715,1217,8183,7672,19432,3733,7449,6397,16295,153,1294,358,4785,952,3847,534,2995,657,9486,96,3108,1766,12747,1103,10277,963,2421,3373,6613,34208,13148,208103,127155,80948,18,207,8,57,4401,94992,15,609,84,731,1258,8743,7787,19541,3496,7507,6575,17256,178,1270,380,5072,1046,4291,564,3105,678,7930,94,3236,1782,12506,1162,10874,1131,2732,3551,7444,34719,13443,208426,126181,82245,20,247,10,66,4542,95569,19,435,79,934,1317,9623,7775,19169,3587,7242,6562,16514,195,1318,380,4727,996,4001,573,2909,747,8123,96,3434,1821,12444,1221,12011,1192,2819,3587,6841,35624,13843,204344,125721,78623,27,246,7,48,4688,89744,30,462,81,925,1385,9918,7857,19096,3791,7299,6782,17319,210,1272,370,4726,982,3854,619,3048,720,7484,93,3675,1874,12353,1236,13198,1214,2796,3658,6881,36282,14151,202772,125416,77356,32,295,7,41,4849,86214,50,485,91,1009,1462,9452,7881,19809,3910,7025,6830,17572,208,1227,378,4418,1044,3947,646,3087,699,7201,96,3903,1881,13212,1236,13580,1224,3097,3758,7198,46784,17606,212082,133229,78853,68,367,14,54,6449,86818,769,1263,116,1108,3706,13208,10221,20166,4737,8188,7431,15622,330,1339,487,4509,1501,4996,907,4009,1173,9374,93,4191,2169,13475,1214,13995,1241,2615,4158,6785,46926,17643,207975,129821,78154,71,328,11,24,6461,87097,859,1293,112,1007,3806,11339,9905,19676,4902,7720,7366,15346,323,1305,497,4522,1612,6195,921,4046,1113,6755,90,4039,2253,13657,1224,14570,1229,2529,4171,6527
영주시,9454,3924,35370,19817,15553,10,71,9,101,753,5474,6,157,21,185,421,2244,2866,6144,762,2412,1963,4075,42,314,108,1337,162,496,113,508,75,647,55,1867,437,3110,266,3248,183,590,1202,2390,9477,3985,36462,20437,16025,12,94,8,89,760,5582,7,164,21,184,428,2423,2815,6437,760,2445,1962,4422,46,347,107,1313,180,562,120,579,77,581,57,1781,425,3087,272,3312,203,644,1217,2416,9604,4103,38429,21237,17192,9,64,10,134,820,5981,4,129,25,235,420,2723,2826,6939,748,2411,2023,4994,43,430,113,1338,150,544,128,642,102,485,56,1654,449,3279,291,3672,222,737,1165,2038,9636,4113,39002,21253,17749,11,76,11,154,805,6086,7,143,29,233,419,2758,2789,6721,757,2199,2047,5108,42,352,115,1442,147,533,138,697,105,510,57,1694,444,3345,296,4118,232,791,1185,2042,9801,4139,40193,21902,18291,13,75,8,121,824,6398,6,126,33,275,428,2771,2789,6810,800,2289,2065,5141,43,322,111,1310,149,511,154,731,115,604,57,1822,448,3446,313,4410,233,923,1212,2108,13324,5224,41477,23411,18066,36,192,10,121,907,6228,627,759,33,255,1768,4077,3559,7029,1063,2515,2197,4490,76,321,127,1218,211,582,198,763,148,689,54,1943,469,3193,310,4287,245,718,1286,2097,13761,5300,42114,23664,18450,38,161,10,151,901,6320,762,916,33,263,1895,3966,3509,7113,1138,2653,2236,4562,80,320,123,1229,229,579,207,794,164,671,54,1883,476,3158,317,4398,249,865,1340,2112
