구군별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015.10,2015.11,2015.12,2015.13,2015.14,2015.15,2015.16,2015.17,2015.18,2015.19,2015.20,2015.21,2015.22,2015.23,2015.24,2015.25,2015.26,2015.27,2015.28,2015.29,2015.30,2015.31,2015.32,2015.33,2015.34,2015.35,2015.36,2015.37,2015.38,2015.39,2015.40,2015.41,2015.42,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.10,2016.11,2016.12,2016.13,2016.14,2016.15,2016.16,2016.17,2016.18,2016.19,2016.20,2016.21,2016.22,2016.23,2016.24,2016.25,2016.26,2016.27,2016.28,2016.29,2016.30,2016.31,2016.32,2016.33,2016.34,2016.35,2016.36,2016.37,2016.38,2016.39,2016.40,2016.41,2016.42
구군별(1),합계,합계,합계,합계,합계,농업·임업 및 어업,농업·임업 및 어업,광업,광업,제조업,제조업,전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,하수·폐기물처리·원료재생 및 환경복원업,하수·폐기물처리·원료재생 및 환경복원업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수업,운수업,숙박 및 음식점업,숙박 및 음식점업,출판·영상·방송통신 및 정보서비스업,출판·영상·방송통신 및 정보서비스업,금융 및 보험업,금융 및 보험업,부동산업 및 임대업,부동산업 및 임대업,전문과학 및 기술서비스업,전문과학 및 기술서비스업,사업시설관리 및 사업지원 서비스업,사업시설관리 및 사업지원 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술스포츠 및 여가관련 서비스업,예술스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업·임업 및 어업,농업·임업 및 어업,광업,광업,제조업,제조업,전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,하수·폐기물처리·원료재생 및 환경복원업,하수·폐기물처리·원료재생 및 환경복원업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수업,운수업,숙박 및 음식점업,숙박 및 음식점업,출판·영상·방송통신 및 정보서비스업,출판·영상·방송통신 및 정보서비스업,금융 및 보험업,금융 및 보험업,부동산업 및 임대업,부동산업 및 임대업,전문과학 및 기술서비스업,전문과학 및 기술서비스업,사업시설관리 및 사업지원 서비스업,사업시설관리 및 사업지원 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술스포츠 및 여가관련 서비스업,예술스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
구군별(1),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
합계,278850,109636,1371843,767956,603887,80,3317,12,101,29793,220964,62,5376,411,5153,8245,90697,80011,225775,28261,109737,49355,148990,1679,16108,3221,51763,10479,36552,6544,42664,3983,74917,702,42397,11740,98294,8157,108047,6271,21237,29844,69754,283554,112584,1408615,777759,630856,79,3138,13,97,29667,217570,65,5409,417,5347,8553,94506,80348,230006,27875,109515,50588,155451,1785,16579,3264,50901,11696,40333,6716,44284,4119,78703,706,43030,12087,101154,8473,116232,6816,23212,30287,73148
중구,14969,6360,69241,39819,29422,24,1438,1,X,693,1428,1,X,8,154,130,1172,6105,14037,2169,20614,2697,8349,104,1193,236,2642,364,1037,322,2547,365,5929,37,2112,174,1065,211,2285,255,867,1073,2320,15158,6452,70924,40258,30666,20,1387,1,X,667,1444,1,X,9,158,147,1442,6077,14103,2176,20904,2773,8975,108,1070,220,2417,412,1144,334,2617,378,5960,37,2195,181,1071,219,2554,303,1027,1095,2405
서구,9682,3822,42854,21756,21098,19,1078,2,X,491,2895,3,101,10,184,190,1194,3649,8842,923,3145,1804,4694,36,130,72,552,223,725,117,430,160,1962,36,1721,360,3432,252,9011,162,487,1173,2247,9552,3824,43532,21312,22220,22,921,2,X,479,2923,3,102,10,178,205,1193,3642,9052,756,3189,1837,4974,32,131,72,561,244,745,119,474,162,1914,36,1614,348,3293,262,9543,173,543,1148,2167
동구,13957,5854,75330,39455,35875,4,79,1,X,1157,2848,1,X,9,122,385,5069,4957,13134,1227,8970,2205,5975,101,1286,374,8662,422,2020,450,3503,366,9884,46,2521,259,1914,329,5135,155,570,1509,3620,13970,5919,76301,40093,36208,5,51,1,X,1176,2942,2,X,9,133,390,6010,4922,12854,1188,8711,2210,6225,101,1368,380,7770,447,2221,444,3393,386,10584,48,2577,262,2022,336,5379,162,615,1501,3433
영도구,9080,3535,40787,25044,15743,5,202,-,-,930,7617,3,66,17,223,232,1661,2114,5128,1133,3889,1656,3588,45,360,48,309,281,753,98,901,55,2057,37,2014,312,3951,249,3228,173,515,1692,4325,9211,3577,43159,25995,17164,4,184,-,-,919,7568,3,68,19,251,260,1953,2119,5484,1122,3783,1712,4140,48,424,49,339,294,790,96,966,65,2424,37,2194,313,3799,254,3504,175,568,1722,4720
부산진구,33104,13347,159911,80288,79623,1,X,1,X,2337,7960,4,596,13,239,1062,12949,10363,27180,2685,8562,6109,19722,233,1639,772,14317,1364,5589,813,4898,584,14965,61,3025,1365,12939,1088,13767,696,2482,3553,9078,33486,13600,167551,82787,84764,2,X,1,X,2316,8494,4,627,13,224,1058,13489,10414,28154,2623,7495,6198,20923,238,1647,784,14734,1501,6641,839,5639,602,15911,62,3044,1382,13283,1110,14654,760,2880,3579,9703
동래구,20383,8515,84479,41706,42773,1,X,1,X,1037,3546,5,216,13,381,875,8908,5376,15001,2566,3898,3877,12148,76,662,165,2064,812,2763,425,2671,334,7834,33,1664,1150,7148,665,8589,573,1746,2399,5172,20463,8676,86545,42946,43599,1,X,1,X,1030,3591,5,215,10,383,893,9794,5299,14763,2423,3744,3950,12509,74,728,169,1928,920,2976,422,2587,327,7719,34,1767,1202,7250,691,9065,600,1882,2412,5466
남구,15763,6371,76301,43549,32752,-,-,-,-,939,5147,3,281,19,261,491,5532,3766,9964,2112,9047,3121,8861,135,746,133,4721,605,1759,291,1592,238,3762,50,2182,859,9799,555,6125,426,1632,2020,4890,15984,6495,80701,45541,35160,-,-,-,-,939,4956,3,402,18,289,495,5456,3711,10323,2151,9762,3130,9240,149,825,142,4476,679,2016,305,1522,243,4004,51,2263,872,11285,576,6945,473,1549,2047,5388
북구,14911,6308,56412,24770,31642,-,-,-,-,593,2401,3,168,12,240,371,2268,3648,9658,2380,3580,2882,8198,48,394,148,2531,641,1810,177,1284,148,2054,41,2449,946,6682,634,7927,502,1358,1737,3410,15137,6528,58771,25850,32921,-,-,1,X,593,2574,3,179,13,302,386,2632,3572,9517,2349,3618,2962,8400,52,399,149,2512,702,1920,180,1351,141,1857,42,2596,987,6942,663,8849,563,1511,1779,3610
해운대구,25483,10759,122814,59772,63042,-,-,-,-,809,6431,6,148,29,420,719,6868,6981,23272,2675,5585,4749,20100,405,4668,255,2769,1478,5757,983,6656,333,5801,65,2877,1668,10980,958,11325,648,2527,2722,6630,26555,11383,129967,62830,67137,-,-,1,X,801,6371,5,152,26,423,762,7434,7411,24529,2692,5673,4816,21252,463,5060,265,3110,1615,6408,1065,7101,366,6318,65,2870,1704,11101,995,12168,698,3091,2805,6897
사하구,21949,8630,110917,64681,46236,8,314,-,-,3415,33338,8,475,49,718,495,5170,5118,14510,2568,9586,4005,10910,52,498,141,1705,745,2452,256,1714,230,2430,52,2497,1065,8927,714,8679,565,1398,2463,5596,22190,8823,109783,62595,47188,8,321,-,-,3351,31744,10,435,49,698,511,4812,5103,14552,2560,9600,4138,10682,62,496,143,1727,778,2406,253,1681,239,2362,52,2593,1084,8728,746,9836,598,1534,2505,5576
금정구,17883,7210,93064,53963,39101,2,X,-,-,1701,10800,5,71,24,321,673,12484,4656,13817,1680,8572,3447,9636,96,867,110,1055,696,1999,495,3162,198,2681,45,2353,911,10894,560,7287,522,2204,2062,4857,17902,7286,92571,53239,39332,1,X,-,-,1682,10847,2,X,22,301,701,11868,4561,13827,1665,8833,3478,9522,89,803,110,996,760,2172,464,2877,189,2615,45,2102,915,11394,563,7203,582,2059,2073,5126
강서구,14765,3757,114531,85880,28651,9,74,4,35,6086,72339,6,171,70,546,345,2387,3810,12446,865,7725,1447,4228,35,560,82,677,488,1202,197,2250,93,776,57,2509,199,2026,151,1377,152,1344,669,1859,15534,4165,114508,84960,29548,9,53,5,32,6093,69781,8,183,75,544,379,2575,3967,13075,838,7413,1628,4771,42,573,83,731,685,1268,220,2629,107,893,56,2521,261,2319,185,1646,179,1439,714,2062
연제구,15901,6180,86512,45732,40780,-,-,-,-,748,3217,-,-,12,88,706,9735,3641,12136,1482,3437,2929,9137,99,1088,404,7029,828,3620,1072,5714,339,5939,49,7835,721,4804,537,6968,373,1069,1961,4696,16327,6357,91071,47030,44041,-,-,-,-,718,3226,-,-,13,91,750,10899,3683,12793,1473,3355,3013,9309,109,1137,411,6834,954,4291,1091,5943,358,7178,49,8045,768,4892,554,7167,399,1174,1984,4737
수영구,12939,5832,53129,28365,24764,-,-,-,-,571,1969,2,X,11,219,527,6879,3603,9594,1032,3083,2737,8245,78,910,92,947,565,1939,312,1820,238,1877,30,1717,710,3716,431,5553,340,817,1660,3547,13296,6006,54444,28456,25988,-,-,-,-,572,2096,2,X,12,213,575,6092,3607,9625,1047,3267,2830,8640,77,908,98,967,644,2048,332,2070,247,2322,29,1726,727,3487,449,6230,356,860,1692,3590
사상구,28360,8981,127197,78040,49157,-,-,1,X,7248,43119,4,130,73,677,647,3859,9555,28892,2063,6982,3591,9055,114,872,129,1174,549,1827,438,3196,195,5006,37,2791,569,6624,468,6807,511,1048,2168,5137,28581,9078,127730,78047,49683,-,-,-,-,7235,42653,4,118,77,722,647,4326,9548,29098,2054,7099,3698,9156,118,803,126,1133,610,1815,447,2999,196,4597,37,2553,572,6707,477,7158,542,1195,2193,5598
