구군별(1),2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.10,2017.11,2017.12,2017.13,2017.14,2017.15,2017.16,2017.17,2017.18,2017.19,2017.20,2017.21,2017.22,2017.23,2017.24,2017.25,2017.26,2017.27,2017.28,2017.29,2017.30,2017.31,2017.32,2017.33,2017.34,2017.35,2017.36,2017.37,2017.38,2017.39,2017.40,2017.41,2017.42,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2018.15,2018.16,2018.17,2018.18,2018.19,2018.20,2018.21,2018.22,2018.23,2018.24,2018.25,2018.26,2018.27,2018.28,2018.29,2018.30,2018.31,2018.32,2018.33,2018.34,2018.35,2018.36,2018.37,2018.38,2018.39,2018.40,2018.41,2018.42,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14,2019.15,2019.16,2019.17,2019.18,2019.19,2019.20,2019.21,2019.22,2019.23,2019.24,2019.25,2019.26,2019.27,2019.28,2019.29,2019.30,2019.31,2019.32,2019.33,2019.34,2019.35,2019.36,2019.37,2019.38,2019.39,2019.40,2019.41,2019.42,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2020.8,2020.9,2020.10,2020.11,2020.12,2020.13,2020.14,2020.15,2020.16,2020.17,2020.18,2020.19,2020.20,2020.21,2020.22,2020.23,2020.24,2020.25,2020.26,2020.27,2020.28,2020.29,2020.30,2020.31,2020.32,2020.33,2020.34,2020.35,2020.36,2020.37,2020.38,2020.39,2020.40,2020.41,2020.42,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2021.8,2021.9,2021.10,2021.11,2021.12,2021.13,2021.14,2021.15,2021.16,2021.17,2021.18,2021.19,2021.20,2021.21,2021.22,2021.23,2021.24,2021.25,2021.26,2021.27,2021.28,2021.29,2021.30,2021.31,2021.32,2021.33,2021.34,2021.35,2021.36,2021.37,2021.38,2021.39,2021.40,2021.41,2021.42,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7,2022.8,2022.9,2022.10,2022.11,2022.12,2022.13,2022.14,2022.15,2022.16,2022.17,2022.18,2022.19,2022.20,2022.21,2022.22,2022.23,2022.24,2022.25,2022.26,2022.27,2022.28,2022.29,2022.30,2022.31,2022.32,2022.33,2022.34,2022.35,2022.36,2022.37,2022.38,2022.39,2022.40,2022.41,2022.42
구군별(1),합계,합계,합계,합계,합계,농업·임업 및 어업,농업·임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문과학 및 기술서비스업,전문과학 및 기술서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술스포츠 및 여가관련 서비스업,예술스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업·임업 및 어업,농업·임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문과학 및 기술서비스업,전문과학 및 기술서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술스포츠 및 여가관련 서비스업,예술스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업·임업 및 어업,농업·임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문과학 및 기술서비스업,전문과학 및 기술서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술스포츠 및 여가관련 서비스업,예술스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업·임업 및 어업,농업·임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문과학 및 기술서비스업,전문과학 및 기술서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술스포츠 및 여가관련 서비스업,예술스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업·임업 및 어업,농업·임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문과학 및 기술서비스업,전문과학 및 기술서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술스포츠 및 여가관련 서비스업,예술스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업,합계,합계,합계,합계,합계,농업·임업 및 어업,농업·임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문과학 및 기술서비스업,전문과학 및 기술서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술스포츠 및 여가관련 서비스업,예술스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타개인서비스업,협회 및 단체 수리 및 기타개인서비스업
구군별(1),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
합계,286571,114762,1424317,781000,643317,79,3263,18,160,31012,219037,49,3678,431,6448,8819,99475,80645,231875,27227,110616,51352,157538,1796,16534,3301,51659,11388,36047,6825,43844,5240,84531,705,44449,12282,101774,9147,128997,7228,24373,29027,60019,288860,116168,1442115,785846,656269,82,3827,18,114,30656,216091,61,3711,447,6518,9003,100385,80557,232787,26904,110705,52240,162889,1892,17122,3302,51295,11751,36048,7319,46485,5325,82742,708,45485,12549,102104,9246,136523,7261,24700,29539,62584,290357,116960,1465433,797445,667988,85,3495,17,107,30630,214649,85,3927,467,6867,9043,102948,79464,234742,26955,110016,53391,165099,1942,17072,3241,51020,12303,35748,7487,48478,5274,85020,703,46187,12792,102349,9667,149854,7239,24997,29572,62858,402003,151229,1537281,860497,676784,156,3840,20,83,38222,216869,287,4189,621,7419,25772,133675,112358,246846,49890,127783,57553,141053,3857,20517,4085,49906,19797,44630,12404,57503,10352,79998,693,47845,15016,102424,10130,166675,8054,22039,32736,63987,401254,150891,1544504,853723,690781,164,2757,20,85,38105,213028,299,4130,636,7905,26204,123951,110109,247220,49764,131749,57185,142912,4111,21361,4011,50922,20972,47738,12634,58661,9303,78673,693,50384,16039,104539,10292,176077,8188,22726,32525,59686,400565,150904,1554664,852905,701759,152,2985,16,41,38067,210883,301,4456,681,7853,26465,118404,108084,241934,49937,133110,56687,153289,4376,21702,3842,49857,21414,47341,12707,58659,9083,77706,698,51659,16472,105593,10719,184789,8177,24790,32687,59613
중구,15170,6463,69659,39876,29783,21,1329,1,X,685,1546,-,-,7,178,140,1505,6082,14141,2154,20715,2771,8887,104,1044,209,2299,370,1000,344,2463,422,5627,37,2204,176,1024,221,2586,330,996,1096,2096,15028,6397,69090,39187,29903,21,1644,1,X,661,1711,-,-,9,185,139,1347,5988,13690,2150,20407,2791,8872,104,919,215,2287,370,1065,347,2270,406,5387,37,2264,185,1067,229,2910,294,877,1081,2171,14619,6250,66776,38108,28668,20,1373,2,X,630,1594,-,-,10,189,140,1309,5784,13037,2102,19768,2741,8130,98,787,207,2232,393,1026,345,2233,369,5180,37,2345,171,1096,240,3477,291,751,1039,2222,18939,7132,67285,40059,27226,18,1596,1,X,697,1521,2,X,11,192,307,1888,6511,12027,4937,21150,2746,6533,128,832,219,1911,650,1459,425,2831,448,5306,37,2374,179,972,241,3932,292,638,1090,2112,18306,6728,69033,41057,27976,16,1129,1,X,680,1387,3,11,12,194,355,1799,6118,11946,4744,23633,2668,6534,139,705,218,2243,690,1464,421,2334,423,5263,37,2494,186,997,238,4256,279,622,1078,2017,18083,6672,69373,41283,28090,18,1101,1,X,655,1322,3,4,13,208,371,1859,5997,11935,4676,23822,2615,6948,151,703,204,2100,734,1454,422,2352,401,5412,38,2590,184,939,246,3893,284,775,1070,1953
서구,9480,3828,44093,21466,22627,23,988,3,34,498,3034,3,87,12,210,208,1473,3616,9190,739,3330,1795,4793,27,93,67,494,240,700,123,531,181,1872,33,1716,339,3226,289,9659,174,575,1110,2088,9368,3782,44330,21533,22797,21,1056,3,22,484,3149,4,75,12,204,208,1320,3515,9004,748,3277,1809,4950,32,114,66,512,247,726,128,508,176,1856,33,1547,348,2984,284,10419,167,624,1083,1983,9345,3781,45538,21997,23541,19,1001,3,19,471,2931,3,71,13,218,190,1233,3445,9020,777,3124,1805,5163,31,180,64,520,265,805,122,477,171,2421,32,1497,356,3324,357,10964,170,602,1051,1968,11630,4540,46854,22835,24019,19,1290,2,X,542,2756,8,78,14,210,377,1482,4310,9336,1446,3514,1870,4335,58,213,80,518,387,796,194,595,281,2424,31,1713,384,3177,386,12039,163,551,1078,1825,11376,4460,45728,21556,24172,19,730,3,7,529,2833,5,72,15,219,336,1517,4159,8844,1461,3839,1821,4229,52,197,76,509,410,813,190,565,265,1879,31,1617,398,3306,372,12254,171,544,1063,1754,11216,4402,46187,21784,24403,19,984,3,6,531,2698,3,72,14,222,340,1530,3994,8446,1449,3905,1798,4411,59,204,73,491,412,830,198,566,267,1907,31,1624,420,3375,379,12596,174,544,1052,1776
동구,13890,5942,74982,39645,35337,5,39,1,X,1227,3016,2,X,9,134,384,5420,4857,12433,1156,9020,2228,6133,97,1323,385,7038,379,1964,436,3112,448,11420,48,2371,259,1961,361,6227,172,637,1436,2721,13880,5942,75957,39199,36758,6,42,3,11,1195,3024,2,X,10,135,394,5514,4788,12178,1143,10174,2227,6228,97,1203,412,7399,406,1783,447,3339,471,10777,47,2219,240,1910,367,6250,177,630,1448,3137,13826,5933,76815,40012,36803,4,37,2,X,1167,2926,4,6,9,137,403,4842,4706,12428,1125,10877,2237,6117,112,1165,382,7538,433,1853,444,3486,463,10652,48,2248,249,1904,398,6741,180,683,1460,3170,18639,7319,77434,41127,36307,6,40,1,X,1246,2826,10,16,11,143,1025,5723,5735,11705,3188,12043,2291,5363,177,1391,600,7491,654,2072,592,3669,645,9147,48,2296,290,1870,395,8073,193,685,1532,2875,18208,7047,76827,41021,35806,7,37,1,X,1197,2704,9,14,11,142,1018,4990,5545,11516,3085,12382,2270,5350,193,1546,581,7313,701,1988,566,3698,595,8626,48,2602,296,1771,393,8551,202,720,1490,2876,17943,6993,77395,40354,37041,7,40,1,X,1161,2590,4,5,13,159,1009,4586,5463,11553,3064,13243,2253,5816,200,1451,543,7793,695,2087,567,3819,575,7611,48,2387,291,1823,390,9220,215,781,1444,2430
영도구,9282,3595,44557,27097,17460,3,172,-,-,1573,10203,2,X,20,260,266,1817,2131,5481,1097,3898,1759,4174,41,423,49,314,238,680,103,1575,139,2770,37,2227,298,3923,274,4037,180,599,1072,1972,9270,3582,45233,26792,18441,2,X,-,-,1552,9874,2,X,20,264,258,1761,2141,5711,1082,3606,1756,4328,44,454,50,343,254,661,108,1615,138,2755,38,2283,311,4071,282,4637,180,533,1052,2109,9394,3624,46222,27466,18756,3,191,-,-,1608,9815,2,X,22,296,265,1699,2148,5728,1077,3562,1754,4435,46,393,48,319,265,603,119,1875,162,2961,37,2285,305,4087,303,5418,176,548,1054,1977,11308,4175,45666,27303,18363,7,255,-,-,1922,10480,4,32,25,323,492,1751,2701,5763,1340,3741,1817,3780,83,463,52,326,402,842,194,1569,297,2308,37,2070,342,4036,304,5642,198,545,1091,1740,11616,4265,46978,27998,18980,6,201,-,-,1941,10668,5,35,26,381,526,1542,2736,5779,1432,3849,1859,3964,101,405,54,313,440,960,208,2007,297,2586,38,2604,358,3939,305,5461,206,587,1078,1697,11755,4343,46778,27166,19612,6,194,1,X,1981,9772,5,35,28,379,555,1594,2775,5827,1347,3543,1893,4289,114,403,56,347,463,969,224,1846,299,2415,38,2380,367,4095,312,6468,204,528,1087,1693
부산진구,33579,13745,168795,82244,86551,2,X,-,-,2351,8397,1,X,16,507,1077,13839,10334,28365,2550,7120,6282,20782,220,1448,805,15326,1450,5844,869,5646,744,16870,62,3121,1403,13269,1196,17248,775,2988,3442,7649,33863,14038,169292,82111,87181,-,-,-,-,2250,8011,1,X,16,497,1108,13476,10379,28309,2522,7137,6428,21695,213,1462,778,14805,1481,5874,915,5866,768,16277,62,3283,1423,12865,1212,18257,782,2950,3525,8145,33696,14101,170046,82267,87779,-,-,-,-,2097,7348,1,X,16,565,1082,14348,10123,28079,2490,6813,6629,21949,207,1122,765,14478,1536,5672,931,6061,730,16204,61,3263,1445,12623,1243,19691,783,3004,3557,8424,45040,17751,171416,85268,86148,8,11,2,X,2466,7034,7,445,21,577,3883,16263,13660,27518,3761,8431,7174,18332,392,1560,854,13174,2452,6858,1445,6778,1246,14101,60,3305,1605,12422,1281,20972,812,2671,3911,10962,44355,17275,174317,84906,89411,9,20,1,X,2429,6763,7,461,20,582,3953,15940,12828,27380,3828,8588,7122,18900,405,1618,827,14165,2529,7414,1459,7170,1118,14650,60,3683,1669,12523,1322,24299,838,2760,3931,7400,44035,17290,176113,85917,90196,8,22,1,X,2391,6686,6,473,25,606,3979,15194,12400,26454,3746,8803,7141,20844,458,1751,829,13534,2594,7090,1446,7464,1064,15061,61,3959,1730,12652,1354,24918,834,3045,3968,7555
동래구,20304,8787,87632,43146,44486,1,X,3,12,1039,3481,3,104,11,537,894,9823,5228,14665,2171,3831,3988,12272,76,682,176,1994,911,2731,376,2540,388,7926,34,1838,1245,7715,761,10772,634,1929,2365,4576,20095,8863,88672,43752,44920,2,X,3,10,992,3391,3,89,12,551,885,10288,5200,14608,1881,3495,4040,12496,73,681,171,1894,921,2182,405,2761,389,8022,34,1911,1254,7462,777,11838,635,1950,2418,4700,19596,8650,88421,43559,44862,2,X,2,X,918,3116,5,92,13,566,831,10253,4837,14157,1959,3475,4036,12509,67,614,172,1988,895,2139,397,2730,367,8263,34,1978,1263,7866,804,11884,641,2002,2353,4464,27739,11429,99318,51390,47928,7,166,1,X,1235,3364,16,104,21,667,2757,17327,7460,15216,2659,3896,4446,10364,213,886,242,2182,1481,2921,767,3534,762,7344,34,2200,1458,8038,841,14913,683,1770,2656,4424,27667,11347,97700,48719,48981,8,137,1,X,1222,3197,15,107,23,687,2748,13931,7160,15828,2807,4039,4393,10759,223,860,234,2208,1606,3378,769,3476,684,7146,33,1992,1567,8602,859,15279,710,1808,2605,4262,27647,11421,97006,46898,50108,10,156,1,X,1192,3034,16,105,24,641,2742,12455,7232,15325,2716,3769,4228,11223,249,885,215,2226,1692,3258,782,3352,654,6627,33,2062,1644,8562,904,17139,703,1908,2610,4278
남구,16061,6564,81440,45870,35570,-,-,-,-,975,5445,3,380,18,282,517,5683,3689,10298,2116,10479,3096,9404,153,786,147,4483,675,1853,313,1560,308,4084,51,2343,871,10803,626,7676,485,1680,2018,4201,16552,6750,84665,46985,37680,-,-,-,-,963,5400,5,398,17,287,531,5506,3806,10936,2087,10199,3254,10227,160,734,145,4640,710,2050,387,1890,315,4092,51,2363,921,10966,644,8870,491,1760,2065,4347,16526,6843,86061,47261,38800,1,X,-,-,942,5387,4,452,18,287,514,5377,3771,11285,1999,9987,3345,10470,162,839,149,5515,787,2048,385,1952,303,4312,49,2254,904,9944,656,9696,492,1826,2045,4422,24635,9302,94930,54353,40577,3,14,1,X,1236,5970,14,480,30,327,1444,7695,6086,12556,4294,12726,3557,8713,337,1101,198,5858,1283,2549,759,2441,700,5281,49,2821,1103,11136,696,9446,543,1564,2302,4248,24190,9191,93744,53833,39911,5,12,1,X,1241,5652,12,479,30,329,1409,6992,5766,12072,4198,11594,3506,8833,356,1218,181,5611,1338,2764,793,2637,626,5202,48,2886,1191,11440,707,10398,539,1490,2243,4132,23966,9106,92796,52702,40094,4,4,-,-,1213,5604,12,589,32,340,1410,6095,5674,11860,4132,11273,3427,9298,397,1204,161,5439,1379,2841,769,2458,634,5330,49,2571,1205,11332,724,10829,523,1725,2221,4004
