구분별(1),구분별(2),구분별(3),자치구별(1),산업대분류별(1),2015,2016,2017,2018,2019,2020,2021
합계,사업체수 (개),소계,서울시,합계,820658,820156,822863,823385,823624,1211053,1188091
합계,사업체수 (개),소계,서울시,농업 임업 및 어업,17,24,29,30,24,170,154
합계,사업체수 (개),소계,서울시,광업,23,18,21,24,20,25,25
합계,사업체수 (개),소계,서울시,제조업,62211,61140,61583,58970,57321,78642,76870
합계,사업체수 (개),소계,서울시,전기 가스 증기 및 수도사업,137,137,-,-,-,-,-
합계,사업체수 (개),소계,서울시,전기 가스 증기 및 공기조절 공급업,-,-,139,183,225,824,683
합계,사업체수 (개),소계,서울시,하수폐기물처리 원료재생 및 환경복원업,463,439,-,-,-,-,-
합계,사업체수 (개),소계,서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,445,451,475,728,720
합계,사업체수 (개),소계,서울시,건설업,22695,22260,22228,21825,21626,67598,67382
합계,사업체수 (개),소계,서울시,도매 및 소매업,234494,230834,228295,223955,220055,352424,335817
합계,사업체수 (개),소계,서울시,운수업,93642,94842,-,-,-,-,-
합계,사업체수 (개),소계,서울시,운수 및 창고업,-,-,93702,95412,94759,105405,110339
합계,사업체수 (개),소계,서울시,숙박 및 음식점업,126785,128141,130195,130595,132475,145757,141679
합계,사업체수 (개),소계,서울시,출판 영상 방송통신 및 정보서비스업,23903,23356,-,-,-,-,-
합계,사업체수 (개),소계,서울시,정보통신업,-,-,23206,23384,23356,55937,57615
합계,사업체수 (개),소계,서울시,금융 및 보험업,10849,10955,11165,11220,11444,22538,23328
합계,사업체수 (개),소계,서울시,부동산업 및 임대업,38571,40946,-,-,-,-,-
합계,사업체수 (개),소계,서울시,부동산업,-,-,39677,41282,43611,73431,72984
합계,사업체수 (개),소계,서울시,전문 과학 및 기술 서비스업,40627,39104,38937,41654,42782,85480,82402
합계,사업체수 (개),소계,서울시,사업시설관리 및 사업지원 서비스업,13977,13375,-,-,-,-,-
합계,사업체수 (개),소계,서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,15950,16198,16354,34072,31460
합계,사업체수 (개),소계,서울시,공공행정 국방 및 사회보장 행정,1285,1293,1296,1282,1296,1307,1303
합계,사업체수 (개),소계,서울시,교육 서비스업,33612,34065,34762,35377,35761,44933,46855
합계,사업체수 (개),소계,서울시,보건업 및 사회복지 서비스업,26528,27267,28683,28824,29168,31268,31866
합계,사업체수 (개),소계,서울시,예술 스포츠 및 여가관련 서비스업,20547,21653,22913,23025,23527,30044,28722
합계,사업체수 (개),소계,서울시,협회 및 단체 수리 및 기타 개인서비스업,70292,70307,69637,69694,69345,80470,77887
합계,사업체수 (개),여성대표자,서울시,합계,272567,274620,278152,279711,281318,414281,407948
합계,사업체수 (개),여성대표자,서울시,농업 임업 및 어업,3,6,6,6,4,58,43
합계,사업체수 (개),여성대표자,서울시,광업,3,2,2,1,-,1,1
합계,사업체수 (개),여성대표자,서울시,제조업,13725,13783,14202,13904,13732,21242,21011
합계,사업체수 (개),여성대표자,서울시,전기 가스 증기 및 수도사업,5,5,-,-,-,-,-
합계,사업체수 (개),여성대표자,서울시,전기 가스 증기 및 공기조절 공급업,-,-,8,11,25,271,226
합계,사업체수 (개),여성대표자,서울시,하수폐기물처리 원료재생 및 환경복원업,59,56,-,-,-,-,-
합계,사업체수 (개),여성대표자,서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,51,54,60,103,98
합계,사업체수 (개),여성대표자,서울시,건설업,3131,3130,3227,3297,3407,12772,12814
