군구별,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015.10,2015.11,2015.12,2015.13,2015.14,2015.15,2015.16,2015.17,2015.18,2015.19,2015.20,2015.21,2015.22,2015.23,2015.24,2015.25,2015.26,2015.27,2015.28,2015.29,2015.30,2015.31,2015.32,2015.33,2015.34,2015.35,2015.36,2015.37,2015.38,2015.39,2015.40,2015.41,2015.42,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.10,2016.11,2016.12,2016.13,2016.14,2016.15,2016.16,2016.17,2016.18,2016.19,2016.20,2016.21,2016.22,2016.23,2016.24,2016.25,2016.26,2016.27,2016.28,2016.29,2016.30,2016.31,2016.32,2016.33,2016.34,2016.35,2016.36,2016.37,2016.38,2016.39,2016.40,2016.41,2016.42,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.10,2017.11,2017.12,2017.13,2017.14,2017.15,2017.16,2017.17,2017.18,2017.19,2017.20,2017.21,2017.22,2017.23,2017.24,2017.25,2017.26,2017.27,2017.28,2017.29,2017.30,2017.31,2017.32,2017.33,2017.34,2017.35,2017.36,2017.37,2017.38,2017.39,2017.40,2017.41,2017.42,2017.43,2017.44,2017.45,2017.46,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2018.15,2018.16,2018.17,2018.18,2018.19,2018.20,2018.21,2018.22,2018.23,2018.24,2018.25,2018.26,2018.27,2018.28,2018.29,2018.30,2018.31,2018.32,2018.33,2018.34,2018.35,2018.36,2018.37,2018.38,2018.39,2018.40,2018.41,2018.42,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14,2019.15,2019.16,2019.17,2019.18,2019.19,2019.20,2019.21,2019.22,2019.23,2019.24,2019.25,2019.26,2019.27,2019.28,2019.29,2019.30,2019.31,2019.32,2019.33,2019.34,2019.35,2019.36,2019.37,2019.38,2019.39,2019.40,2019.41,2019.42,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2020.8,2020.9,2020.10,2020.11,2020.12,2020.13,2020.14,2020.15,2020.16,2020.17,2020.18,2020.19,2020.20,2020.21,2020.22,2020.23,2020.24,2020.25,2020.26,2020.27,2020.28,2020.29,2020.30,2020.31,2020.32,2020.33,2020.34,2020.35,2020.36,2020.37,2020.38,2020.39,2020.40,2020.41,2020.42
군구별,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업 및 임대업,부동산업 및 임대업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설 관리 사업지원 및 임대 서비스업,사업시설 관리 사업지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인서비스업,협회 및 단체 수리 및 기타 개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업 및 임대업,부동산업 및 임대업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설 관리 사업지원 및 임대 서비스업,사업시설 관리 사업지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인서비스업,협회 및 단체 수리 및 기타 개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업 및 임대업,부동산업 및 임대업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설 관리 사업지원 및 임대 서비스업,사업시설 관리 사업지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인서비스업,협회 및 단체 수리 및 기타 개인서비스업,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,국제 및 외국기관,국제 및 외국기관,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업 및 임대업,부동산업 및 임대업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설 관리 사업지원 및 임대 서비스업,사업시설 관리 사업지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인서비스업,협회 및 단체 수리 및 기타 개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업 및 임대업,부동산업 및 임대업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설 관리 사업지원 및 임대 서비스업,사업시설 관리 사업지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인서비스업,협회 및 단체 수리 및 기타 개인서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업 및 임대업,부동산업 및 임대업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설 관리 사업지원 및 임대 서비스업,사업시설 관리 사업지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인서비스업,협회 및 단체 수리 및 기타 개인서비스업
군구별,사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성 종사자수 (명),여성 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성 종사자수 (명),여성 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성 종사자수 (명),여성 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성 종사자수 (명),여성 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성 종사자수 (명),여성 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성 종사자수 (명),여성 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
합계,186011,69031,984652,565838,418814,27,205,32,610,24200,242922,71,4423,438,5512,5346,49158,45176,136048,23243,76389,33312,99680,854,8039,1685,25460,7295,22154,3279,28152,2180,45015,473,33623,7361,71351,6499,74889,5421,15846,19119,45176,191645,71882,1004235,567368,436867,26,261,33,626,24195,247360,69,4217,435,5646,5512,47332,46056,139656,24243,76399,34312,102448,868,8734,1720,25495,7907,23788,3333,28196,2169,40761,478,32767,7706,70857,6835,84304,6082,18149,19666,47239,196705,74390,1034344,579823,454521,33,294,35,634,24826,250329,63,3799,452,6160,5859,51119,46705,143663,24187,76998,35316,104921,947,9043,1770,25929,7729,21758,3498,27677,2919,46653,483,35245,8067,72855,7333,95218,6684,19842,19799,42207,-,-,-,-,202493,76261,1070454,596449,474005,36,201,32,549,25235,247361,67,3726,495,6488,6278,55565,47008,146626,26111,84685,36043,111297,1023,9902,1802,25635,8175,23363,3840,30601,3029,47082,485,36806,8321,73735,7384,101680,6882,21974,20247,43178,206244,77735,1092494,606759,485735,47,209,31,531,25190,244352,71,4069,516,7096,6463,56774,46874,147971,26774,83113,37321,114801,1089,10200,1771,25519,8523,23743,4105,31577,3142,51649,486,38067,8553,76559,7586,109265,6968,22560,20734,44439,306108,110146,1208269,693717,514552,147,485,36,567,33657,253606,446,4403,734,7661,24181,92870,78706,172776,38015,96036,41888,101750,3749,14027,2491,24618,14124,31465,8347,41922,7937,57530,490,40912,10933,77194,8011,125916,7943,19659,24273,44872
강화군,5551,2387,19471,10439,9032,10,68,1,X,376,2437,3,89,9,91,204,1333,1382,2787,356,847,1725,3822,35,149,51,663,178,277,61,227,25,82,57,1282,170,1715,181,2024,127,384,600,1156,5482,2350,18877,10026,8851,9,79,1,X,384,2600,3,76,9,48,198,1091,1300,2539,364,633,1705,3666,29,153,48,509,208,330,60,261,30,98,57,1284,161,1686,184,2142,131,420,601,1218,5534,2396,19166,10187,8979,12,81,2,X,420,2868,2,X,9,117,205,1081,1280,2460,347,590,1739,3718,28,143,46,531,215,296,60,212,40,147,58,1311,173,1750,193,2376,132,384,573,1015,-,-,-,-,5745,2483,20579,10779,9800,14,77,4,52,429,2967,2,X,9,87,209,946,1277,2583,359,747,1875,4144,29,154,44,503,238,337,69,246,38,154,57,1361,174,1736,194,2897,136,467,588,1079,6026,2598,21929,11500,10429,19,107,4,61,450,2957,1,X,10,116,219,1112,1326,2730,428,835,1957,4463,30,187,42,483,248,347,77,251,43,187,55,1540,177,1806,201,3115,137,548,602,1043,8929,3506,25600,14357,11243,74,286,3,53,648,3461,243,297,24,209,787,2105,1975,3440,902,1346,2159,4308,58,195,51,524,432,563,151,346,107,273,56,1662,211,1757,214,3188,181,546,653,1041
옹진군,1910,814,6872,4279,2593,5,24,2,X,53,168,19,940,-,-,84,1003,289,537,65,199,1001,2009,12,60,18,103,34,49,6,39,25,103,45,501,41,375,40,362,51,93,120,299,1880,845,6645,3966,2679,6,89,2,X,47,156,18,846,-,-,74,763,292,530,61,184,982,1894,12,59,17,93,37,49,6,21,27,171,45,686,42,381,40,352,53,94,119,270,1897,843,6842,4114,2728,8,104,2,X,58,195,17,806,2,X,74,751,289,520,77,205,985,1908,13,56,17,101,27,34,5,17,35,171,45,904,41,385,40,353,48,95,114,227,-,-,-,-,1984,872,6765,4055,2710,7,58,2,X,69,205,17,777,2,X,83,787,287,530,94,204,1019,1978,13,59,17,110,34,46,7,64,39,141,45,843,41,349,41,358,50,99,117,148,2082,931,7820,4853,2967,11,54,2,X,71,439,18,907,3,7,95,1022,302,597,97,281,1050,2180,13,60,16,107,41,53,6,78,43,128,44,809,40,396,49,403,53,130,128,164,2486,1109,8201,5182,3019,20,58,1,6,80,421,30,1001,6,14,198,1289,400,695,93,231,1142,2033,15,61,14,110,72,100,13,83,54,130,44,688,41,378,50,414,70,150,143,339
중구,11821,4303,91689,55782,35907,3,49,15,387,386,7900,8,178,36,386,269,1766,3519,10420,2025,26693,2789,10313,56,1034,92,910,361,1644,130,1015,210,8601,73,6738,282,3630,289,4717,281,1952,997,3356,12382,4459,90750,54638,36112,3,42,17,365,401,7207,8,185,38,446,281,1804,3526,10686,2413,26577,2772,10192,52,1093,102,1081,446,1962,129,871,223,8242,72,6253,299,3690,301,4899,302,1969,997,3186,12935,4739,92892,55194,37698,3,42,18,391,511,7592,10,188,37,428,295,2210,3634,10719,2504,25997,2886,10491,58,784,98,1098,463,1437,149,948,271,9851,71,6308,312,3473,323,5636,325,2634,967,2665,-,-,-,-,13291,4874,97759,57645,40114,2,X,16,325,524,7654,9,177,39,514,320,1875,3617,10659,2553,26764,3053,11943,62,951,95,1119,517,1578,165,1350,271,9744,71,7806,327,3502,314,5717,345,3233,991,2816,13589,4972,103973,62523,41450,3,3,16,310,514,8509,12,190,35,462,306,1547,3471,10893,2686,28591,3207,11788,75,988,92,1041,545,1591,169,1359,292,13416,70,7171,372,3777,329,6119,369,3403,1026,2815,22111,7345,115297,72880,42417,4,9,21,361,745,9424,32,128,36,392,897,2592,5313,12807,6369,34267,3734,10627,200,1190,102,960,1042,2335,367,1517,584,13707,71,7849,551,4157,368,7160,455,2891,1220,2924
동구,7851,2350,32873,22488,10385,-,-,1,X,1579,10612,-,-,22,147,323,1446,2767,6583,750,2692,830,1811,21,53,56,422,183,579,110,379,74,918,22,981,141,1794,200,2426,99,270,673,1728,7834,2320,33744,22592,11152,-,-,1,X,1556,10666,-,-,19,142,348,1833,2778,6832,734,2588,798,1789,20,61,56,389,191,536,110,388,70,591,22,1101,143,1712,216,3011,92,256,680,1823,7860,2342,34361,23335,11026,1,X,-,-,1625,11140,-,-,22,164,360,2081,2770,6764,736,2662,806,1849,29,83,53,370,158,390,108,371,114,883,23,1202,144,1757,221,3046,100,265,590,1331,-,-,-,-,7778,2316,34550,23482,11068,1,X,-,-,1619,11457,1,X,25,176,373,2322,2692,6730,740,2834,806,2014,30,72,53,382,159,406,102,349,104,538,23,973,143,1682,223,3004,100,320,584,1284,7875,2320,35238,23831,11407,1,X,-,-,1566,11000,1,X,29,191,380,2344,2678,6727,880,3050,806,2080,31,77,52,339,157,367,110,453,109,588,24,1207,142,1673,222,3378,94,382,593,1370,11700,3174,41273,27366,13907,1,3,-,-,1991,11196,2,11,36,208,1518,3396,3594,7365,1746,3732,841,1764,71,127,59,278,231,477,195,544,230,966,25,1821,167,1645,225,5847,108,314,660,1579
미추홀구,26577,10471,117909,63104,54805,-,-,-,-,2055,16303,6,354,33,272,858,5423,6516,18243,3762,9980,4854,12394,192,1366,319,4808,1029,2759,721,4280,352,6263,58,5607,917,10253,858,10134,782,1874,3265,7596,27241,10895,120241,63585,56656,-,-,-,-,2031,15799,6,353,33,320,873,5336,6626,18422,3873,9773,4986,13094,191,1271,319,4936,1114,2998,746,4612,336,6172,59,5682,945,10082,885,11336,887,2100,3331,7955,27735,11162,120884,62344,58540,1,X,-,-,2129,16110,2,X,34,538,912,5971,6636,18180,3789,9375,5091,13064,201,1185,320,5085,1062,2676,766,4559,470,6362,59,5501,956,9994,972,12888,966,2192,3369,7072,-,-,-,-,27927,11209,122819,63744,59075,1,X,-,-,2140,15610,4,133,33,533,933,6488,6558,18221,3925,9642,5115,13784,181,1108,323,4719,1090,2705,795,4782,467,6911,59,5328,976,9826,976,13651,984,2397,3367,6979,28017,11207,125290,63448,61842,1,X,-,-,2179,14677,5,255,34,532,952,6644,6496,18277,3825,9173,5274,14409,156,921,315,4882,1078,2641,832,4981,481,6815,64,5691,972,10435,999,15539,1016,2549,3338,6863,41566,15462,134996,71486,63510,3,3,1,1,2822,15216,15,242,62,639,4970,12702,10150,19561,5385,10460,5877,12495,446,1274,390,4347,1715,3486,1345,6184,1190,6885,63,5802,1179,10261,1048,16680,1136,2154,3769,6604
연수구,16312,6564,94818,53155,41663,-,-,1,X,777,10133,7,592,26,435,447,9320,3955,13685,2079,4756,3256,13243,144,1033,117,1267,886,3424,377,7407,197,3501,33,2362,1081,11548,666,6458,598,2057,1665,3591,17509,7009,99459,54586,44873,-,-,-,-,812,12446,7,544,22,474,494,7549,4370,15434,2275,5232,3374,13743,153,1286,119,1298,959,3636,394,6591,208,3174,34,2197,1161,12402,712,7198,651,2381,1764,3874,18533,7483,106999,58246,48753,-,-,-,-,857,13704,8,586,28,571,558,7644,4561,17177,2203,5242,3622,14550,185,1468,127,1275,983,3532,445,6285,291,4233,36,2601,1280,12950,803,8901,726,2563,1820,3717,-,-,-,-,19191,7842,115358,63313,52045,-,-,1,X,893,15904,7,507,34,578,580,8596,4728,18440,2017,4961,3723,14741,220,1660,129,1244,1122,4013,522,7496,302,4965,36,2903,1357,13122,827,9142,781,2989,1912,4069,19802,8115,119825,64224,55601,-,-,1,X,905,17769,5,522,33,811,576,8608,4741,18396,2058,4875,3838,15220,240,1945,133,1418,1260,4353,564,7493,304,4143,36,3121,1421,14110,880,9939,822,2876,1985,4222,30960,12318,136317,75593,60724,6,8,-,-,1445,19362,23,526,49,872,1433,12606,9123,22601,3037,6116,4472,14154,715,2708,210,1536,2109,5227,1355,9243,750,4967,37,3588,1933,14471,965,11408,960,2664,2338,4260
