행정구역(구군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015.10,2015.11,2015.12,2015.13,2015.14,2015.15,2015.16,2015.17,2015.18,2015.19,2015.20,2015.21,2015.22,2015.23,2015.24,2015.25,2015.26,2015.27,2015.28,2015.29,2015.30,2015.31,2015.32,2015.33,2015.34,2015.35,2015.36,2015.37,2015.38,2015.39,2015.40,2015.41,2015.42,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.10,2016.11,2016.12,2016.13,2016.14,2016.15,2016.16,2016.17,2016.18,2016.19,2016.20,2016.21,2016.22,2016.23,2016.24,2016.25,2016.26,2016.27,2016.28,2016.29,2016.30,2016.31,2016.32,2016.33,2016.34,2016.35,2016.36,2016.37,2016.38,2016.39,2016.40,2016.41,2016.42,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.10,2017.11,2017.12,2017.13,2017.14,2017.15,2017.16,2017.17,2017.18,2017.19,2017.20,2017.21,2017.22,2017.23,2017.24,2017.25,2017.26,2017.27,2017.28,2017.29,2017.30,2017.31,2017.32,2017.33,2017.34,2017.35,2017.36,2017.37,2017.38,2017.39,2017.40,2017.41,2017.42,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2018.15,2018.16,2018.17,2018.18,2018.19,2018.20,2018.21,2018.22,2018.23,2018.24,2018.25,2018.26,2018.27,2018.28,2018.29,2018.30,2018.31,2018.32,2018.33,2018.34,2018.35,2018.36,2018.37,2018.38,2018.39,2018.40,2018.41,2018.42,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14,2019.15,2019.16,2019.17,2019.18,2019.19,2019.20,2019.21,2019.22,2019.23,2019.24,2019.25,2019.26,2019.27,2019.28,2019.29,2019.30,2019.31,2019.32,2019.33,2019.34,2019.35,2019.36,2019.37,2019.38,2019.39,2019.40,2019.41,2019.42,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2020.8,2020.9,2020.10,2020.11,2020.12,2020.13,2020.14,2020.15,2020.16,2020.17,2020.18,2020.19,2020.20,2020.21,2020.22,2020.23,2020.24,2020.25,2020.26,2020.27,2020.28,2020.29,2020.30,2020.31,2020.32,2020.33,2020.34,2020.35,2020.36,2020.37,2020.38,2020.39,2020.40,2020.41,2020.42
행정구역(구군)별(1),합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가 관련 서비스업,예술 스포츠 및 여가 관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
행정구역(구군)별(1),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
합계,147227,60029,690466,406743,283723,526,6151,1057,3378,12003,114737,283,7335,483,4908,6784,67235,41235,97849,11203,38382,30216,72455,770,6003,1713,21222,2679,9694,2208,14046,1575,19359,1256,40082,6113,52236,5262,64889,3524,12630,18337,37875,149715,61781,694326,402092,292234,586,6716,1060,3333,12014,108542,318,7608,487,4852,6909,67635,41374,97564,11282,37890,30809,74588,782,6304,1720,21609,2980,10751,2264,13734,1704,20545,1255,40275,6234,51619,5473,67231,3861,14137,18603,39393,153280,63595,707972,407923,300049,614,7055,1054,3294,13489,114092,260,6716,569,6032,6947,68464,41835,98718,11629,38728,31772,77758,839,6887,1727,21280,2744,9523,2311,14423,2316,22346,1255,40818,6380,53151,5762,73146,4145,14364,17632,31177,156914,65326,733925,420902,313023,642,7622,1006,2859,14014,117989,338,6991,585,6386,7298,71614,42209,101376,11690,38408,32584,81035,884,7232,1727,21304,2986,9999,2498,15593,2442,22996,1267,42317,6481,54097,5811,78061,4304,15368,18148,32678,161883,67078,774294,444621,329673,711,8038,862,2638,14537,122103,460,7620,607,6644,7752,78492,42532,105159,12815,41685,33360,85101,962,7626,1732,21365,3288,10776,2756,16984,2698,25686,1266,44138,6574,55963,5913,83770,4445,16645,18613,33861,228219,88974,847692,501882,345810,2337,10281,1010,2864,17079,125923,11410,19607,793,7735,23632,112334,55624,107990,23629,49900,36085,76107,1468,8832,2023,20490,5154,13334,4214,21105,4191,27832,1259,48623,7233,55200,6100,90452,4753,15256,20225,33827
목포시,20524,8650,79897,40673,39224,3,177,5,33,979,3632,9,279,28,316,744,4245,6339,15758,1490,5254,4301,10675,103,990,250,3656,575,1930,339,1519,255,2093,76,4466,987,7304,700,10543,589,1520,2752,5507,20867,8872,81120,40783,40337,4,118,6,34,976,3374,7,267,29,366,745,4379,6312,15040,1549,5691,4453,11359,92,969,243,3758,602,2088,334,1632,266,2185,76,3825,989,7290,740,11127,617,1685,2827,5933,21463,9109,82523,41587,40936,4,117,6,41,1152,3981,9,153,31,511,763,4968,6372,15125,1688,5842,4555,11359,108,988,233,3616,563,1904,346,1775,380,2173,77,3918,1007,7396,780,11797,671,1774,2718,5085,21392,9113,81681,40977,40704,4,112,11,45,1164,4137,18,167,32,511,762,5142,6273,14837,1614,5546,4551,11176,116,998,233,3397,588,1968,360,1829,387,2087,76,3602,1016,7314,762,12000,678,1722,2747,5091,21738,9236,84688,42575,42113,5,114,4,17,1179,4360,28,177,36,425,790,5779,6215,14836,1870,5841,4561,11712,115,960,219,3555,602,2022,379,1841,429,2111,75,3867,1011,7722,776,12467,670,1784,2774,5098,28781,11356,86495,45530,40965,12,122,6,23,1433,4648,167,351,47,522,2807,7547,7658,14462,3582,6871,4885,10392,187,955,299,3344,869,2317,567,2071,612,2144,75,4230,1077,6885,780,12777,696,1711,3022,5123
여수시,22850,10064,112829,69749,43080,38,1047,3,43,1265,20737,28,1057,75,1119,976,13712,6520,15563,1893,7594,5346,12847,74,815,246,3449,404,1810,337,2035,267,4665,129,3348,1113,7378,659,8088,624,1581,2853,5941,23099,10240,117162,71392,45770,39,1282,3,42,1234,20745,31,1042,73,1052,1019,14848,6496,16122,1822,7920,5502,13530,73,806,250,3448,439,1937,335,2077,287,5019,124,3426,1104,7254,704,8650,654,1879,2910,6083,23576,10513,122447,74559,47888,42,1659,3,40,1474,22008,28,952,84,1312,1076,16170,6459,16235,1808,7904,5681,14902,78,835,258,3472,365,1719,339,2089,412,5842,124,3494,1132,7506,744,9561,683,1845,2786,4902,24379,10889,129581,79544,50037,43,2226,4,39,1553,23477,34,934,93,1400,1115,17732,6530,16520,1921,7991,5939,15802,80,806,258,3300,427,1862,352,2335,420,5722,125,3545,1128,7568,753,10375,705,2096,2899,5851,24978,11094,137559,85281,52278,46,2386,5,53,1601,23751,32,913,97,1646,1202,19952,6554,17062,1845,8484,6139,16377,94,821,263,3558,504,2004,407,2631,456,6803,125,3721,1099,7622,773,11310,728,2361,3008,6104,33046,13749,144928,92161,52767,70,1124,6,50,1858,24955,380,1275,129,1860,2588,25862,8416,16913,4095,9995,6793,14552,150,912,312,3193,826,2658,595,3151,728,6759,127,4200,1184,7663,791,12329,775,2099,3223,5378
순천시,21046,9122,95099,50158,44941,11,112,3,29,1093,7848,19,390,37,473,861,10225,5938,15697,1944,6019,4343,11291,81,973,282,4326,523,2264,377,2167,266,2649,79,3632,1167,9233,756,10157,652,2072,2614,5542,22155,9682,97670,50199,47471,16,133,4,40,1190,7412,19,431,41,461,950,9757,6024,15942,2103,5394,4504,12092,81,917,302,4834,591,2700,432,2364,310,2907,82,3961,1232,9104,789,10767,737,2447,2748,6007,22685,9969,98479,50181,48298,14,119,4,29,1294,7880,14,220,49,652,942,9294,6163,16320,2252,5849,4598,12055,77,891,313,4841,526,2260,430,2493,395,3242,80,3766,1213,9230,825,11463,807,2590,2689,5285,23003,10275,103397,52357,51040,13,125,3,19,1309,8145,22,237,48,675,998,10455,6171,16233,2056,5608,4723,12813,83,967,305,5056,570,2456,464,2587,423,3424,82,4317,1234,9578,830,12517,837,2673,2832,5512,23797,10434,108114,55224,52890,19,121,6,61,1383,8579,37,328,51,643,994,11449,6120,16426,2528,6186,4787,13400,90,888,315,4915,643,2662,506,2752,436,3662,83,4363,1245,10052,832,13056,839,2767,2883,5804,31691,13445,110062,56839,53223,92,356,12,49,1582,8583,815,1111,68,893,3806,13161,8409,16655,2301,5417,5086,11359,200,1211,386,4494,1009,3017,752,3447,708,3813,82,4185,1435,10238,840,13936,880,2462,3228,5675
나주시,7152,2552,42018,25790,16228,38,1156,11,108,772,6017,16,2222,50,307,401,5501,1968,4847,584,1282,1212,3251,55,381,81,1246,224,629,154,1977,93,673,71,2792,211,3062,296,4299,144,841,771,1427,7542,2767,43761,26322,17439,47,1395,11,114,754,5943,16,2344,52,251,384,5791,2037,5018,593,1165,1307,3784,76,755,83,956,273,686,171,1899,110,739,73,2853,243,3274,319,4380,181,824,812,1590,8056,3056,46831,27921,18910,51,1368,10,65,846,6671,14,2386,52,307,373,6083,2095,5027,567,1195,1460,4028,102,1225,84,993,312,792,190,2253,147,791,73,2880,294,3537,368,4744,214,962,804,1524,8704,3324,50343,29666,20677,56,1469,10,71,937,7202,27,2593,49,336,393,5756,2214,5650,619,1361,1564,4441,118,1322,86,1171,317,795,228,2524,163,872,76,3070,347,3711,394,5150,227,1137,879,1712,9263,3546,53324,31518,21806,52,1470,9,50,996,7835,32,2774,52,363,416,5917,2320,6015,738,1639,1635,4475,150,1671,92,1062,328,876,249,2772,187,1049,77,3248,371,3929,394,5251,243,1211,922,1717,14796,5314,62425,37871,24554,175,1886,10,47,1172,8055,820,4086,71,451,1723,7815,3185,6540,1863,2853,1853,4149,278,2446,105,1105,570,1291,424,3962,324,1802,77,3234,459,4032,419,5727,271,1118,997,1826
광양시,11015,5064,71044,48496,22548,6,39,4,49,814,16299,10,233,53,1125,580,7372,2768,7423,726,7135,2701,6147,64,509,99,1163,270,1111,152,1251,164,5584,62,1891,530,4142,365,3552,331,874,1316,5145,11348,5225,71042,47968,23074,12,67,4,31,848,16113,14,234,54,1118,594,7064,2802,7201,780,6825,2741,6283,67,548,102,1179,299,1205,151,829,179,6287,60,2009,541,4059,381,3711,379,949,1340,5330,11925,5600,72600,48364,24236,15,46,4,31,958,18619,19,191,55,1047,602,7002,3030,7796,809,6981,2884,6696,65,622,103,1209,269,954,145,842,253,6364,61,2328,538,4096,408,4375,410,950,1297,2451,12231,5655,76537,50351,26186,14,58,4,33,1003,18830,24,194,63,1159,664,7585,3037,8132,881,7224,2876,7115,62,548,104,1173,286,983,160,898,279,6473,63,2582,544,4486,402,5425,430,1130,1335,2509,12712,5797,81906,53677,28229,10,36,5,47,1086,19935,37,273,63,1176,729,8055,3042,8348,946,7967,2916,7572,76,720,106,1228,314,1084,189,1154,316,7295,63,2738,574,4452,408,5882,440,1243,1392,2701,18478,7496,88059,58691,29368,41,126,4,39,1310,20760,365,662,75,1341,2201,11767,4153,8395,2619,8954,3156,6489,110,773,123,1153,436,1133,299,1246,450,7524,62,2793,638,4471,415,6421,454,1135,1567,2877
담양군,3732,1321,18566,11008,7558,26,173,2,11,619,4276,4,50,16,164,244,2353,943,2277,256,961,754,2168,28,156,41,316,46,110,46,260,32,272,42,979,85,1114,137,1727,61,388,350,811,3714,1335,18800,11072,7728,30,193,1,5,623,4232,5,46,13,152,244,2469,927,2253,259,977,747,2031,26,161,35,261,53,161,44,284,38,229,42,1013,81,1331,144,1717,58,396,344,889,3800,1381,18510,10840,7670,33,213,1,4,639,4101,4,41,19,165,245,2091,922,2253,270,1018,792,2260,31,168,34,262,53,115,47,317,52,247,41,967,83,1243,156,1990,65,428,313,627,4057,1494,18645,10928,7717,35,208,1,4,661,4032,8,54,18,167,266,2085,994,2306,289,1019,850,2242,41,164,32,232,70,129,51,371,54,277,41,997,89,1163,158,2147,74,444,325,604,4279,1567,19803,11450,8353,35,174,1,8,700,4380,8,55,20,173,281,2155,1012,2476,324,960,902,2461,38,179,33,243,79,127,57,394,61,314,41,1056,94,1278,162,2244,92,477,339,649,6783,2301,22629,13578,9051,91,258,1,9,830,4609,326,383,30,148,771,3008,1451,2815,1074,1738,1002,2425,48,172,35,232,136,207,114,616,105,380,39,1250,106,1191,171,2149,105,389,348,650
