행정구역(시군)별(1),2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015.10,2015.11,2015.12,2015.13,2015.14,2015.15,2015.16,2015.17,2015.18,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.10,2016.11,2016.12,2016.13,2016.14,2016.15,2016.16,2016.17,2016.18,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.10,2017.11,2017.12,2017.13,2017.14,2017.15,2017.16,2017.17,2017.18,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2018.15,2018.16,2018.17,2018.18,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14,2019.15,2019.16,2019.17,2019.18,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2020.8,2020.9,2020.10,2020.11,2020.12,2020.13,2020.14,2020.15,2020.16,2020.17,2020.18,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2021.8,2021.9,2021.10,2021.11,2021.12,2021.13,2021.14,2021.15,2021.16,2021.17,2021.18
행정구역(시군)별(1),합계,합계,합계,합계,합계,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,합계,합계,합계,합계,합계,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,합계,합계,합계,합계,합계,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,합계,합계,합계,합계,합계,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,합계,합계,합계,합계,합계,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,합계,합계,합계,합계,합계,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,합계,합계,합계,합계,합계,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,조직형태별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별,사업체구분별
행정구역(시군)별(1),소계,소계,소계,소계,소계,개인사업체,개인사업체,회사법인,회사법인,회사이외법인,회사이외법인,비법인단체,비법인단체,단독사업체,단독사업체,공장지사(점)영업소,공장지사(점)영업소,본사 본점 등,본사 본점 등,소계,소계,소계,소계,소계,개인사업체,개인사업체,회사법인,회사법인,회사이외법인,회사이외법인,비법인단체,비법인단체,단독사업체,단독사업체,공장지사(점)영업소,공장지사(점)영업소,본사 본점 등,본사 본점 등,소계,소계,소계,소계,소계,개인사업체,개인사업체,회사법인,회사법인,회사이외법인,회사이외법인,비법인단체,비법인단체,단독사업체,단독사업체,공장지사(점)영업소,공장지사(점)영업소,본사 본점 등,본사 본점 등,소계,소계,소계,소계,소계,개인사업체,개인사업체,회사법인,회사법인,회사이외법인,회사이외법인,비법인단체,비법인단체,단독사업체,단독사업체,공장지사(점)영업소,공장지사(점)영업소,본사 본점 등,본사 본점 등,소계,소계,소계,소계,소계,개인사업체,개인사업체,회사법인,회사법인,회사이외법인,회사이외법인,비법인단체,비법인단체,단독사업체,단독사업체,공장지사(점)영업소,공장지사(점)영업소,본사 본점 등,본사 본점 등,소계,소계,소계,소계,소계,개인사업체,개인사업체,회사법인,회사법인,회사이외법인,회사이외법인,비법인단체,비법인단체,단독사업체,단독사업체,공장지사(점)영업소,공장지사(점)영업소,본사 본점 등,본사 본점 등,소계,소계,소계,소계,소계,개인사업체,개인사업체,회사법인,회사법인,회사이외법인,회사이외법인,비법인단체,비법인단체,단독사업체,단독사업체,공장지사(점)영업소,공장지사(점)영업소,본사 본점 등,본사 본점 등
행정구역(시군)별(1),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
합계,146691,57182,667386,375777,291609,115921,263453,15575,234054,7859,143121,7336,26758,138448,497370,6882,124925,1361,45091,147505,57677,675948,378012,297936,116180,267649,16327,238778,7807,143465,7191,26056,139000,506338,7174,125068,1331,44542,148269,58837,681638,378957,302681,116216,268415,16468,237413,8165,148469,7420,27341,139584,511611,7309,124819,1376,45208,151011,60316,694669,381728,312941,117851,273186,17451,239180,8374,152861,7335,29442,141893,522949,7696,125217,1422,46503,154082,61408,720052,393065,326987,119296,282249,18312,242067,8967,162697,7507,33039,144187,538724,8265,134456,1630,46872,225964,87215,794929,447213,347716,179146,312404,27610,262603,14771,188858,4437,31064,214239,613799,9550,129877,2175,51253,231380,89039,791096,441633,349463,183453,306506,27655,262239,15359,189089,4913,33262,219340,603892,9624,133863,2416,53341
전주시,52351,20804,230018,120064,109954,42984,103167,5670,74225,1556,44477,2141,8149,49291,176233,2621,39097,439,14688,52628,...,236651,123789,112862,42909,104992,5997,79374,1612,44045,2110,8240,49375,182522,2815,39292,438,14837,52839,21602,238895,124430,114465,42895,105433,6108,79123,1653,45721,2183,8618,49509,185075,2872,38721,458,15099,53859,22294,247388,127540,119848,43546,108911,6368,81174,1785,47988,2160,9315,50439,191231,2958,39514,462,16643,55159,22674,254316,130419,123897,44379,111558,6714,81814,1901,51092,2165,9852,51480,195551,3154,43334,525,15431,76263,29994,271729,142798,128931,61341,115958,9975,85069,3601,61161,1346,9541,71849,213363,3680,41540,734,16826,76227,29954,265378,137511,127867,61273,113836,9763,81448,3727,60056,1464,10038,71774,205769,3639,41847,814,17762
군산시,22242,9096,108014,66659,41355,17788,40310,2611,46353,809,17607,1034,3744,21026,76451,1009,23399,207,8164,22221,...,107017,64617,42400,17798,40801,2597,44875,806,17421,1020,3920,21021,76061,1003,22782,197,8174,22174,9176,105360,62890,42470,17644,39577,2680,44514,813,17173,1037,4096,20950,75770,1024,22033,200,7557,22283,9282,104296,60502,43794,17667,40192,2750,41240,842,18511,1024,4353,21001,76294,1060,20087,222,7915,22440,9325,106246,61194,45052,17596,41036,2886,40907,879,19481,1079,4822,21117,77557,1085,20838,238,7851,32326,12818,117122,68879,48243,25722,43916,4342,45165,1631,23192,631,4849,30636,88344,1384,20169,306,8609,33592,13199,116443,68204,48239,26747,44102,4440,45985,1762,21119,643,5237,31848,87579,1395,20151,349,8713
익산시,22898,8786,107973,59908,48065,18439,41531,2385,41942,929,19623,1145,4877,21676,76921,1010,24305,212,6747,23055,...,107377,59337,48040,18590,42712,2416,40631,936,19374,1113,4660,21835,77651,1015,23332,205,6394,22885,8847,108112,59523,48589,18324,42702,2453,40265,948,20318,1160,4827,21639,77452,1037,23223,209,7437,23291,9042,108991,59603,49388,18569,42928,2579,40091,1000,20933,1143,5039,21976,78486,1111,23703,204,6802,23835,9190,114659,62571,52088,18859,45266,2737,40583,1080,23171,1159,5639,22392,81965,1188,24902,255,7792,34546,13233,125030,70639,54391,27968,50641,3993,44372,1943,25201,642,4816,32839,93016,1364,24039,343,7975,35427,13556,123241,68335,54906,28651,48206,4092,43424,2025,26509,659,5102,33633,89408,1397,25571,397,8262
정읍시,8868,3470,36490,19924,16566,6903,14418,815,11264,626,8718,524,2090,8412,28256,382,6136,74,2098,8989,...,37738,20409,17329,6979,14991,860,11908,630,9023,520,1816,8536,28922,383,6716,70,2100,9051,3596,39583,21279,18304,7017,15309,859,11976,652,10472,523,1826,8599,29848,384,7785,68,1950,9228,3635,38844,20907,17937,7063,14681,916,12147,684,9583,565,2433,8727,30246,428,6847,73,1751,9346,3705,40219,21274,18945,7107,15233,977,12810,702,9502,560,2674,8823,31067,445,7025,78,2127,15137,5881,45390,25084,20306,12112,18676,1509,13798,1183,10612,333,2304,14541,36516,482,6563,114,2311,15625,6011,47020,26013,21007,12473,18846,1513,14096,1242,11459,397,2619,14995,37854,509,6817,121,2349
남원시,7191,2754,26643,14101,12542,5637,11402,613,6262,585,7877,356,1102,6816,22024,318,3518,57,1101,7171,...,27166,14198,12968,5617,11303,627,6416,575,8308,352,1139,6790,21997,325,3713,56,1456,7175,2796,27166,14032,13134,5617,11408,615,6439,577,7927,366,1392,6803,22344,314,3580,58,1242,7166,2826,27124,13992,13132,5620,11487,626,6345,580,8020,340,1272,6785,22359,326,3770,55,995,7439,2883,28448,14875,13573,5788,11984,698,6730,607,8521,346,1213,6976,23156,392,4206,71,1086,11437,4340,31593,17147,14446,9249,13791,1105,7588,880,8967,203,1247,10930,26427,424,3954,83,1212,11634,4442,31403,17236,14167,9498,13622,1071,7411,876,8992,189,1378,11147,26271,403,4098,84,1034
