시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 수원시,5,196,0,0,"3,641","39,903",12,829,67,690,"2,297","22,230","16,945","56,115","7,503","19,171","13,184","44,634",530,"6,239",829,"14,337","3,568","12,512","2,184","46,396","1,190","32,806",135,"15,416","4,234","36,692","3,085","34,085","2,401","8,030","8,194","21,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 성남시,8,101,0,0,"4,295","41,703",26,"1,269",72,"1,098","2,111","30,461","16,262","65,305","5,890","15,982","11,209","41,060","1,595","51,917",689,"11,030","3,528","15,175","2,425","40,195",862,"20,803",124,"8,669","3,803","32,990","2,682","31,176","1,997","7,532","6,391","17,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 안양시,1,6,2,79,"4,025","35,652",9,295,49,784,"1,871","18,773","12,131","40,648","4,113","11,363","7,149","23,777",764,"7,341",500,"8,537","2,155","8,476","1,717","22,130",571,"13,690",73,"4,649","2,378","18,389","1,564","16,452","1,295","3,871","4,400","11,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 부천시,2,34,0,0,"10,780","72,470",6,186,58,"1,459","1,712","14,124","13,372","41,628","5,847","11,106","9,541","28,770",418,"3,957",626,"10,261","2,644","8,424","1,169","6,895",588,"14,219",82,"4,797","2,537","20,923","2,080","24,869","1,898","5,460","6,473","16,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 광명시,1,2,0,0,"1,798","15,067",4,135,28,348,639,"5,305","5,016","17,470","2,096","5,400","2,901","9,508",107,822,140,"2,485",896,"2,850",260,"2,129",145,"2,687",45,"2,038","1,171","8,358",859,"7,924",494,"2,391","2,079","4,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 평택시,46,546,2,43,"3,592","80,151",17,"1,065",134,"1,293","1,208","9,072","8,035","23,666","3,512","12,203","6,844","19,878",91,971,316,"4,138","1,849","4,343",622,"4,481",505,"9,301",85,"4,190","1,468","10,857","1,098","10,692",944,"2,261","3,632","8,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 안산시,7,62,6,38,"9,150","128,339",21,758,135,"1,593","1,828","12,959","11,646","36,839","6,182","12,957","8,917","24,964",239,"1,638",484,"6,567","2,032","6,260","1,121","9,574",796,"14,920",90,"6,309","2,069","18,862","1,700","20,274","1,742","4,897","4,969","11,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 과천시,5,34,0,0,81,359,3,88,9,119,159,"2,431","1,356","5,214",293,890,548,"2,302",40,"1,626",32,578,210,879,118,"3,923",51,"1,700",32,"4,852",246,"1,908",149,"1,412",93,"4,711",315,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 오산시,2,38,0,0,782,"10,573",4,145,37,433,354,"3,217","2,593","8,824","1,667","3,382","2,438","7,610",36,293,77,"1,049",471,"1,208",161,"1,224",243,"5,166",24,"1,950",606,"6,526",531,"5,685",411,"1,342","1,228","3,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도 시흥시,6,21,0,0,"11,992","90,446",5,180,92,826,988,"7,403","8,588","26,704","3,545","7,178","5,157","14,512",97,731,170,"2,028","1,476","3,498",478,"2,874",297,"3,257",52,"3,129","1,213","9,621",978,"10,117",934,"2,352","2,774","5,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
