시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,
경기도 수원시,32,237,0,0,"5,570","38,712",85,692,135,"1,443","9,148","39,914","28,231","64,823","10,065","20,298","16,064","43,204","2,211","8,441","1,236","13,871","5,873","14,416","4,921","61,024","3,428","39,263",144,"19,003","5,600","38,230","3,397","47,195","3,201","7,841","9,989","19,354",
경기도 성남시,25,125,0,0,"5,990","41,622",142,"1,429",103,"1,605","5,769","36,374","27,260","81,414","7,991","15,998","12,588","36,673","4,413","78,890","1,016","12,583","5,783","18,171","5,512","47,482","2,545","32,918",126,"11,091","4,897","32,815","3,069","42,468","2,648","7,111","7,628","16,821",
경기도 안양시,5,15,3,50,"5,038","35,480",46,322,68,957,"3,948","24,033","17,828","42,262","6,520","12,307","7,571","19,628","2,054","11,125",741,"7,651","3,241","9,355","3,842","28,148","1,584","17,817",73,"5,724","2,842","18,428","1,708","20,968","1,515","3,545","4,721","9,464",
경기도 부천시,10,28,1,1,"13,472","69,655",25,235,112,"1,568","5,901","23,518","23,426","50,168","8,558","14,168","11,146","26,093","1,703","6,030",915,"10,260","4,149","10,669","2,862","10,019","2,373","18,487",86,"6,138","3,225","21,217","2,340","33,575","2,422","4,871","7,524","13,039",
경기도 광명시,4,7,0,0,"2,369","15,256",12,110,48,525,"1,652","9,487","8,278","19,416","3,171","5,947","3,129","8,748",648,"1,515",202,"2,184","1,376","3,635",901,"3,125",643,"5,247",41,"2,729","1,380","7,914",870,"10,429",612,"2,470","2,181","4,025",
경기도 평택시,135,935,6,38,"5,527","92,861",365,"1,606",238,"2,065","6,587","25,427","13,329","30,022","6,988","18,418","9,146","21,603",366,"1,226",411,"3,885","3,642","6,554","1,403","6,084","1,975","14,280",85,"7,468","2,115","13,302","1,356","16,740","1,308","2,657","4,709","8,977",
경기도 안산시,57,193,6,43,"12,580","125,704",77,820,241,"2,214","9,428","26,774","18,988","41,147","7,767","14,166","10,655","23,535",802,"2,393",681,"7,176","3,435","7,865","2,333","11,605","2,330","15,909",94,"6,254","2,480","18,555","1,815","27,370","2,078","4,557","5,937","10,623",
경기도 과천시,10,33,0,0,150,450,9,13,20,368,275,"2,855","2,225","5,453",505,984,552,"2,063",173,"1,494",47,639,352,"1,866",281,"4,049",120,"2,492",31,"5,022",296,"1,631",165,"1,916",504,"4,852",353,"1,008",
경기도 오산시,7,63,0,0,"1,378","14,030",15,150,54,603,"1,710","5,890","4,501","10,380","2,342","4,186","3,047","7,638",208,531,119,"1,230",969,"2,110",480,"2,040",838,"6,588",25,"2,207",914,"6,778",636,"7,699",584,"1,387","1,705","3,068",
경기도 시흥시,27,61,1,3,"17,356","98,139",59,184,176,"1,312","4,573","14,761","16,628","37,370","6,735","11,088","7,421","16,657",606,"1,372",264,"1,959","2,737","5,478","1,408","4,312","1,468","7,480",53,"4,292","2,051","12,133","1,353","15,990","1,388","2,792","3,697","6,274",
