구분,항목,2014_평균,2015_평균,2016_평균,2017_평균,2018_평균,2019_평균,2020_평균,2021_평균,2022_평균,2023_평균
총계,년평균,0.027,0.027,0.027,0.029,0.027,0.03,0.03,0.032,0.033,0.033
서울특별시,년평균,0.023,0.022,0.024,0.028,0.023,0.025,0.025,0.028,0.029,0.031
부산광역시,년평균,0.029,0.029,0.029,0.03,0.029,0.031,0.031,0.033,0.033,0.033
대구광역시,년평균,0.026,0.026,0.027,0.03,0.027,0.029,0.028,0.03,0.032,0.031
인천광역시,년평균,0.026,0.025,0.026,0.027,0.025,0.029,0.029,0.031,0.031,0.033
광주광역시,년평균,0.028,0.028,0.03,0.03,0.028,0.03,0.029,0.033,0.033,0.033
대전광역시,년평균,0.026,0.025,0.028,0.029,0.027,0.025,0.027,0.03,0.03,0.031
울산광역시,년평균,0.028,0.028,0.027,0.03,0.028,0.031,0.032,0.033,0.034,0.033
세종특별자치시,년평균,,,0.028,0.03,0.027,0.028,0.029,0.031,0.032,0.03
경기도평균,년평균,0.025,0.025,0.025,0.027,0.025,0.027,0.028,0.029,0.029,0.031
강원도평균,년평균,0.028,0.028,0.027,0.028,0.029,0.031,0.03,0.03,0.032,0.033
충청북도평균,년평균,0.026,0.025,0.026,0.028,0.026,0.027,0.028,0.03,0.03,0.03
충청남도평균,년평균,0.029,0.028,0.032,0.031,0.029,0.032,0.032,0.036,0.036,0.035
전라북도평균,년평균,0.03,0.029,0.032,0.032,0.031,0.033,0.032,0.034,0.034,0.035
전라남도평균,년평균,0.031,0.03,0.031,0.03,0.029,0.033,0.032,0.034,0.035,0.034
경상북도평균,년평균,0.029,0.03,0.03,0.03,0.031,0.033,0.033,0.033,0.033,0.033
경상남도평균,년평균,0.03,0.03,0.029,0.033,0.031,0.033,0.033,0.034,0.034,0.033
제주도평균,년평균,0.037,0.037,0.034,0.037,0.039,0.044,0.04,0.042,0.042,0.041
