±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√—∞Ë,≥‚∆Ú±’,0.027,0.027,0.027,0.029,0.027,0.03,0.03,0.032,0.033,0.033
º≠øÔ∆Ø∫∞Ω√,≥‚∆Ú±’,0.023,0.022,0.024,0.028,0.023,0.025,0.025,0.028,0.029,0.031
∫ŒªÍ±§ø™Ω√,≥‚∆Ú±’,0.029,0.029,0.029,0.03,0.029,0.031,0.031,0.033,0.033,0.033
¥Î±∏±§ø™Ω√,≥‚∆Ú±’,0.026,0.026,0.027,0.03,0.027,0.029,0.028,0.03,0.032,0.031
¿Œ√µ±§ø™Ω√,≥‚∆Ú±’,0.026,0.025,0.026,0.027,0.025,0.029,0.029,0.031,0.031,0.033
±§¡÷±§ø™Ω√,≥‚∆Ú±’,0.028,0.028,0.03,0.03,0.028,0.03,0.029,0.033,0.033,0.033
¥Î¿¸±§ø™Ω√,≥‚∆Ú±’,0.026,0.025,0.028,0.029,0.027,0.025,0.027,0.03,0.03,0.031
øÔªÍ±§ø™Ω√,≥‚∆Ú±’,0.028,0.028,0.027,0.03,0.028,0.031,0.032,0.033,0.034,0.033
ºº¡æ∆Ø∫∞¿⁄ƒ°Ω√,≥‚∆Ú±’,,,0.028,0.03,0.027,0.028,0.029,0.031,0.032,0.03
∞Ê±‚µµ∆Ú±’,≥‚∆Ú±’,0.025,0.025,0.025,0.027,0.025,0.027,0.028,0.029,0.029,0.031
∞≠ø¯µµ∆Ú±’,≥‚∆Ú±’,0.028,0.028,0.027,0.028,0.029,0.031,0.03,0.03,0.032,0.033
√Ê√ª∫œµµ∆Ú±’,≥‚∆Ú±’,0.026,0.025,0.026,0.028,0.026,0.027,0.028,0.03,0.03,0.03
√Ê√ª≥≤µµ∆Ú±’,≥‚∆Ú±’,0.029,0.028,0.032,0.031,0.029,0.032,0.032,0.036,0.036,0.035
¿¸∂Û∫œµµ∆Ú±’,≥‚∆Ú±’,0.03,0.029,0.032,0.032,0.031,0.033,0.032,0.034,0.034,0.035
¿¸∂Û≥≤µµ∆Ú±’,≥‚∆Ú±’,0.031,0.03,0.031,0.03,0.029,0.033,0.032,0.034,0.035,0.034
∞ÊªÛ∫œµµ∆Ú±’,≥‚∆Ú±’,0.029,0.03,0.03,0.03,0.031,0.033,0.033,0.033,0.033,0.033
∞ÊªÛ≥≤µµ∆Ú±’,≥‚∆Ú±’,0.03,0.03,0.029,0.033,0.031,0.033,0.033,0.034,0.034,0.033
¡¶¡÷µµ∆Ú±’,≥‚∆Ú±’,0.037,0.037,0.034,0.037,0.039,0.044,0.04,0.042,0.042,0.041
