행정구역(시군구)별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
총계,0.024,0.023,0.023,0.022,0.02,0.019,0.016,0.015,0.014,0.013
서울특별시,0.033,0.032,0.031,0.03,0.028,0.028,0.024,0.023,0.021,0.02
부산광역시,0.02,0.02,0.021,0.02,0.019,0.019,0.016,0.015,0.015,0.014
대구광역시,0.024,0.021,0.019,0.021,0.02,0.019,0.017,0.016,0.015,0.015
인천광역시,0.028,0.026,0.025,0.024,0.025,0.024,0.02,0.021,0.019,0.018
광주광역시,0.021,0.019,0.018,0.019,0.017,0.018,0.014,0.014,0.014,0.014
대전광역시,0.02,0.019,0.019,0.018,0.019,0.019,0.017,0.017,0.017,0.016
울산광역시,0.023,0.023,0.022,0.022,0.02,0.02,0.018,0.017,0.016,0.016
세종특별자치시,,,0.022,0.02,0.019,0.019,0.017,0.016,0.016,0.014
경기도평균,0.029,0.029,0.027,0.027,0.025,0.024,0.02,0.019,0.018,0.017
강원도평균,0.019,0.019,0.018,0.017,0.016,0.012,0.01,0.009,0.01,0.009
충청북도평균,0.024,0.02,0.02,0.02,0.021,0.018,0.014,0.013,0.013,0.012
충청남도평균,0.018,0.018,0.019,0.016,0.015,0.014,0.013,0.012,0.012,0.011
전라북도평균,0.016,0.016,0.016,0.015,0.013,0.012,0.011,0.011,0.01,0.01
전라남도평균,0.016,0.016,0.015,0.014,0.013,0.011,0.01,0.009,0.009,0.008
경상북도평균,0.017,0.018,0.017,0.015,0.015,0.014,0.011,0.01,0.01,0.01
경상남도평균,0.02,0.019,0.02,0.019,0.018,0.016,0.014,0.013,0.014,0.014
제주도평균,0.01,0.011,0.013,0.011,0.009,0.009,0.008,0.008,0.007,0.007
