±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√—∞Ë,≥‚∆Ú±’,0.024,0.023,0.023,0.022,0.02,0.019,0.016,0.015,0.014,0.013
º≠øÔ∆Ø∫∞Ω√,≥‚∆Ú±’,0.033,0.032,0.031,0.03,0.028,0.028,0.024,0.023,0.021,0.02
∫ŒªÍ±§ø™Ω√,≥‚∆Ú±’,0.02,0.02,0.021,0.02,0.019,0.019,0.016,0.015,0.015,0.014
¥Î±∏±§ø™Ω√,≥‚∆Ú±’,0.024,0.021,0.019,0.021,0.02,0.019,0.017,0.016,0.015,0.015
¿Œ√µ±§ø™Ω√,≥‚∆Ú±’,0.028,0.026,0.025,0.024,0.025,0.024,0.02,0.021,0.019,0.018
±§¡÷±§ø™Ω√,≥‚∆Ú±’,0.021,0.019,0.018,0.019,0.017,0.018,0.014,0.014,0.014,0.014
¥Î¿¸±§ø™Ω√,≥‚∆Ú±’,0.02,0.019,0.019,0.018,0.019,0.019,0.017,0.017,0.017,0.016
øÔªÍ±§ø™Ω√,≥‚∆Ú±’,0.023,0.023,0.022,0.022,0.02,0.02,0.018,0.017,0.016,0.016
ºº¡æ∆Ø∫∞¿⁄ƒ°Ω√,≥‚∆Ú±’,,,0.022,0.02,0.019,0.019,0.017,0.016,0.016,0.014
∞Ê±‚µµ∆Ú±’,≥‚∆Ú±’,0.029,0.029,0.027,0.027,0.025,0.024,0.02,0.019,0.018,0.017
∞≠ø¯µµ∆Ú±’,≥‚∆Ú±’,0.019,0.019,0.018,0.017,0.016,0.012,0.01,0.009,0.01,0.009
√Ê√ª∫œµµ∆Ú±’,≥‚∆Ú±’,0.024,0.02,0.02,0.02,0.021,0.018,0.014,0.013,0.013,0.012
√Ê√ª≥≤µµ∆Ú±’,≥‚∆Ú±’,0.018,0.018,0.019,0.016,0.015,0.014,0.013,0.012,0.012,0.011
¿¸∂Û∫œµµ∆Ú±’,≥‚∆Ú±’,0.016,0.016,0.016,0.015,0.013,0.012,0.011,0.011,0.01,0.01
¿¸∂Û≥≤µµ∆Ú±’,≥‚∆Ú±’,0.016,0.016,0.015,0.014,0.013,0.011,0.01,0.009,0.009,0.008
∞ÊªÛ∫œµµ∆Ú±’,≥‚∆Ú±’,0.017,0.018,0.017,0.015,0.015,0.014,0.011,0.01,0.01,0.01
∞ÊªÛ≥≤µµ∆Ú±’,≥‚∆Ú±’,0.02,0.019,0.02,0.019,0.018,0.016,0.014,0.013,0.014,0.014
¡¶¡÷µµ∆Ú±’,≥‚∆Ú±’,0.01,0.011,0.013,0.011,0.009,0.009,0.008,0.008,0.007,0.007
