행정구역(시군구)별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
총계,0.51,0.52,0.49,0.48,0.48,0.47,0.43,0.43,0.36,0.39
서울특별시,0.51,0.53,0.53,0.53,0.51,0.54,0.48,0.47,0.43,0.45
부산광역시,0.37,0.38,0.4,0.36,0.35,0.38,0.38,0.33,0.32,0.32
대구광역시,0.42,0.42,0.4,0.45,0.42,0.46,0.44,0.38,0.35,0.36
인천광역시,0.59,0.61,0.58,0.57,0.53,0.54,0.49,0.49,0.46,0.47
광주광역시,0.56,0.49,0.47,0.45,0.51,0.46,0.41,0.49,0.39,0.42
대전광역시,0.47,0.47,0.48,0.44,0.43,0.42,0.4,0.47,0.43,0.37
울산광역시,0.49,0.53,0.49,0.57,0.52,0.49,0.48,0.42,0.42,0.47
세종특별자치시,,,0.62,0.53,0.55,0.53,0.48,0.48,0.45,0.45
경기도평균,0.53,0.53,0.53,0.5,0.47,0.5,0.46,0.45,0.39,0.4
강원도평균,0.63,0.6,0.55,0.49,0.45,0.45,0.42,0.44,0.38,0.38
충청북도평균,0.52,0.52,0.53,0.51,0.48,0.46,0.44,0.45,0.4,0.41
충청남도평균,0.53,0.54,0.47,0.48,0.48,0.51,0.43,0.43,0.37,0.39
전라북도평균,0.51,0.47,0.46,0.53,0.48,0.4,0.36,0.34,0.35,0.34
전라남도평균,0.51,0.53,0.5,0.48,0.47,0.48,0.43,0.41,0.36,0.37
경상북도평균,0.58,0.6,0.56,0.53,0.48,0.43,0.39,0.42,0.35,0.37
경상남도평균,0.46,0.47,0.46,0.45,0.44,0.43,0.41,0.43,0.42,0.41
제주도평균,0.34,0.35,0.32,0.29,0.26,0.27,0.3,0.27,0.26,0.28
