±∏∫–,«◊∏Ò,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√—∞Ë,≥‚∆Ú±’,25.58 ,26.08 ,25.00 ,23.33 ,23.42 ,18.92 ,18.08 ,17.50 ,18.42 
º≠øÔ∆Ø∫∞Ω√,≥‚∆Ú±’,23.17 ,26.08 ,24.50 ,23.00 ,24.83 ,20.75 ,19.75 ,18.33 ,19.75 
∫ŒªÍ±§ø™Ω√,≥‚∆Ú±’,25.58 ,26.83 ,25.58 ,23.17 ,21.33 ,16.92 ,15.25 ,15.33 ,16.25 
¥Î±∏±§ø™Ω√,≥‚∆Ú±’,25.73 ,24.50 ,23.50 ,22.25 ,22.50 ,20.00 ,17.67 ,16.50 ,17.67 
¿Œ√µ±§ø™Ω√,≥‚∆Ú±’,29.17 ,26.42 ,25.18 ,22.25 ,23.25 ,18.45 ,20.50 ,19.00 ,21.50 
±§¡÷±§ø™Ω√,≥‚∆Ú±’,26.91 ,23.42 ,24.17 ,24.00 ,23.50 ,18.00 ,18.08 ,16.75 ,16.83 
¥Î¿¸±§ø™Ω√,≥‚∆Ú±’,28.33 ,22.50 ,21.08 ,21.67 ,22.25 ,17.42 ,16.82 ,17.08 ,18.42 
øÔªÍ±§ø™Ω√,≥‚∆Ú±’,24.67 ,23.17 ,24.75 ,23.17 ,20.33 ,17.00 ,15.25 ,15.83 ,17.83 
ºº¡æ∆Ø∫∞¿⁄ƒ°Ω√,≥‚∆Ú±’,,23.38 ,22.75 ,21.50 ,25.83 ,19.42 ,18.08 ,17.92 ,18.67 
ºˆø¯,≥‚∆Ú±’,24.78 ,24.88 ,25.75 ,23.67 ,25.25 ,20.58 ,19.25 ,17.42 ,20.00 
æ»æÁ,≥‚∆Ú±’,,26.67 ,23.75 ,26.83 ,23.73 ,21.92 ,19.80 ,19.83 ,20.67 
º∫≥≤,≥‚∆Ú±’,20.42 ,23.83 ,26.08 ,24.82 ,23.08 ,19.75 ,18.33 ,17.58 ,18.17 
¿«¡§∫Œ,≥‚∆Ú±’,46.00 ,34.33 ,27.73 ,24.73 ,23.50 ,20.00 ,18.75 ,18.00 ,18.33 
±§∏Ì,≥‚∆Ú±’,,26.00 ,27.00 ,25.33 ,25.75 ,21.92 ,22.00 ,20.25 ,19.00 
æ»ªÍ,≥‚∆Ú±’,25.67 ,28.67 ,26.67 ,24.00 ,23.58 ,20.50 ,20.08 ,18.42 ,19.33 
∆Ú≈√,≥‚∆Ú±’,,,32.50 ,29.70 ,29.25 ,22.25 ,24.08 ,23.25 ,24.58 
∞˙√µ,≥‚∆Ú±’,,23.00 ,24.17 ,23.33 ,22.17 ,18.83 ,18.17 ,17.45 ,18.58 
±∏∏Æ,≥‚∆Ú±’,32.33 ,33.27 ,29.58 ,24.55 ,26.09 ,20.42 ,19.08 ,17.33 ,19.92 
