±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√—∞Ë,≥‚∆Ú±’,0.027 ,0.027 ,0.027 ,0.029 ,0.027 ,0.030 ,0.030 ,0.032 ,0.033 ,0.033 
º≠øÔ∆Ø∫∞Ω√,≥‚∆Ú±’,0.023 ,0.022 ,0.024 ,0.028 ,0.023 ,0.025 ,0.025 ,0.028 ,0.029 ,0.031 
∫ŒªÍ±§ø™Ω√,≥‚∆Ú±’,0.029 ,0.029 ,0.029 ,0.030 ,0.029 ,0.031 ,0.031 ,0.033 ,0.033 ,0.033 
¥Î±∏±§ø™Ω√,≥‚∆Ú±’,0.026 ,0.026 ,0.027 ,0.030 ,0.027 ,0.029 ,0.028 ,0.030 ,0.032 ,0.031 
¿Œ√µ±§ø™Ω√,≥‚∆Ú±’,0.026 ,0.025 ,0.026 ,0.027 ,0.025 ,0.029 ,0.029 ,0.031 ,0.031 ,0.033 
±§¡÷±§ø™Ω√,≥‚∆Ú±’,0.028 ,0.028 ,0.030 ,0.030 ,0.028 ,0.030 ,0.029 ,0.033 ,0.033 ,0.033 
¥Î¿¸±§ø™Ω√,≥‚∆Ú±’,0.026 ,0.025 ,0.028 ,0.029 ,0.027 ,0.025 ,0.027 ,0.030 ,0.030 ,0.031 
øÔªÍ±§ø™Ω√,≥‚∆Ú±’,0.028 ,0.028 ,0.027 ,0.030 ,0.028 ,0.031 ,0.032 ,0.033 ,0.034 ,0.033 
ºº¡æ∆Ø∫∞¿⁄ƒ°Ω√,≥‚∆Ú±’,,,0.028 ,0.030 ,0.027 ,0.028 ,0.029 ,0.031 ,0.032 ,0.030 
ºˆø¯,≥‚∆Ú±’,0.023 ,0.023 ,0.023 ,0.027 ,0.023 ,0.025 ,0.026 ,0.029 ,0.029 ,0.030 
æ»æÁ,≥‚∆Ú±’,0.023 ,0.021 ,0.024 ,0.027 ,0.022 ,0.024 ,0.027 ,0.027 ,0.029 ,0.030 
º∫≥≤,≥‚∆Ú±’,0.022 ,0.021 ,0.022 ,0.026 ,0.023 ,0.024 ,0.025 ,0.028 ,0.029 ,0.030 
¿«¡§∫Œ,≥‚∆Ú±’,0.025 ,0.026 ,0.025 ,0.027 ,0.029 ,0.028 ,0.026 ,0.029 ,0.028 ,0.028 
±§∏Ì,≥‚∆Ú±’,0.025 ,0.024 ,0.025 ,0.028 ,0.023 ,0.027 ,0.028 ,0.029 ,0.031 ,0.031 
æ»ªÍ,≥‚∆Ú±’,0.026 ,0.026 ,0.025 ,0.028 ,0.025 ,0.027 ,0.028 ,0.029 ,0.029 ,0.030 
∆Ú≈√,≥‚∆Ú±’,0.023 ,0.026 ,0.028 ,0.029 ,0.024 ,0.029 ,0.029 ,0.031 ,0.032 ,0.034 
∞˙√µ,≥‚∆Ú±’,0.022 ,0.022 ,0.023 ,0.025 ,0.021 ,0.024 ,0.026 ,0.027 ,0.027 ,0.030 
±∏∏Æ,≥‚∆Ú±’,0.027 ,0.027 ,0.026 ,0.027 ,0.024 ,0.025 ,0.027 ,0.028 ,0.027 ,0.026 
¿«ø’,≥‚∆Ú±’,0.021 ,0.021 ,0.022 ,0.025 ,0.021 ,0.024 ,0.027 ,0.027 ,0.029 ,0.030 
∞ÌæÁ,≥‚∆Ú±’,0.025 ,0.027 ,0.026 ,0.028 ,0.025 ,0.029 ,0.030 ,0.030 ,0.030 ,0.032 
±§¡÷,≥‚∆Ú±’,0.022 ,0.021 ,0.022 ,0.025 ,0.019 ,0.023 ,0.024 ,0.026 ,0.028 ,0.028 
±∫∆˜,≥‚∆Ú±’,0.024 ,0.023 ,0.027 ,0.028 ,0.023 ,0.027 ,0.029 ,0.028 ,0.028 ,0.031 
Ω√»Ô,≥‚∆Ú±’,0.025 ,0.025 ,0.027 ,0.029 ,0.024 ,0.027 ,0.029 ,0.031 ,0.028 ,0.029 
∫Œ√µ,≥‚∆Ú±’,0.022 ,0.024 ,0.024 ,0.026 ,0.021 ,0.025 ,0.026 ,0.028 ,0.028 ,0.030 
≥≤æÁ¡÷,≥‚∆Ú±’,0.026 ,0.025 ,0.025 ,0.027 ,0.027 ,0.026 ,0.026 ,0.028 ,0.029 ,0.030 
øÎ¿Œ,≥‚∆Ú±’,0.023 ,0.022 ,0.021 ,0.023 ,0.021 ,0.025 ,0.026 ,0.028 ,0.029 ,0.031 
±Ë∆˜,≥‚∆Ú±’,0.030 ,0.027 ,0.028 ,0.031 ,0.027 ,0.031 ,0.031 ,0.034 ,0.033 ,0.035 
ø¿ªÍ,≥‚∆Ú±’,0.025 ,0.025 ,0.025 ,0.026 ,0.024 ,0.026 ,0.027 ,0.028 ,0.028 ,0.032 
