±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√—∞Ë,≥‚∆Ú±’,0.024 ,0.023 ,0.023 ,0.022 ,0.020 ,0.019 ,0.016 ,0.015 ,0.014 ,0.013 
º≠øÔ∆Ø∫∞Ω√,≥‚∆Ú±’,0.033 ,0.032 ,0.031 ,0.030 ,0.028 ,0.028 ,0.024 ,0.023 ,0.021 ,0.020 
∫ŒªÍ±§ø™Ω√,≥‚∆Ú±’,0.020 ,0.020 ,0.021 ,0.020 ,0.019 ,0.019 ,0.016 ,0.015 ,0.015 ,0.014 
¥Î±∏±§ø™Ω√,≥‚∆Ú±’,0.024 ,0.021 ,0.019 ,0.021 ,0.020 ,0.019 ,0.017 ,0.016 ,0.015 ,0.015 
¿Œ√µ±§ø™Ω√,≥‚∆Ú±’,0.028 ,0.026 ,0.025 ,0.024 ,0.025 ,0.024 ,0.020 ,0.021 ,0.019 ,0.018 
±§¡÷±§ø™Ω√,≥‚∆Ú±’,0.021 ,0.019 ,0.018 ,0.019 ,0.017 ,0.018 ,0.014 ,0.014 ,0.014 ,0.014 
¥Î¿¸±§ø™Ω√,≥‚∆Ú±’,0.020 ,0.019 ,0.019 ,0.018 ,0.019 ,0.019 ,0.017 ,0.017 ,0.017 ,0.016 
øÔªÍ±§ø™Ω√,≥‚∆Ú±’,0.023 ,0.023 ,0.022 ,0.022 ,0.020 ,0.020 ,0.018 ,0.017 ,0.016 ,0.016 
ºº¡æ∆Ø∫∞¿⁄ƒ°Ω√,≥‚∆Ú±’,,,0.022 ,0.020 ,0.019 ,0.019 ,0.017 ,0.016 ,0.016 ,0.014 
ºˆø¯,≥‚∆Ú±’,0.035 ,0.034 ,0.032 ,0.033 ,0.030 ,0.029 ,0.025 ,0.024 ,0.022 ,0.020 
æ»æÁ,≥‚∆Ú±’,0.034 ,0.035 ,0.030 ,0.030 ,0.031 ,0.029 ,0.025 ,0.024 ,0.021 ,0.021 
º∫≥≤,≥‚∆Ú±’,0.037 ,0.036 ,0.035 ,0.032 ,0.031 ,0.030 ,0.025 ,0.023 ,0.021 ,0.020 
¿«¡§∫Œ,≥‚∆Ú±’,0.028 ,0.027 ,0.024 ,0.024 ,0.019 ,0.025 ,0.021 ,0.021 ,0.019 ,0.020 
±§∏Ì,≥‚∆Ú±’,0.033 ,0.033 ,0.029 ,0.032 ,0.032 ,0.032 ,0.023 ,0.022 ,0.021 ,0.020 
æ»ªÍ,≥‚∆Ú±’,0.032 ,0.031 ,0.030 ,0.027 ,0.026 ,0.026 ,0.025 ,0.022 ,0.021 ,0.020 
∆Ú≈√,≥‚∆Ú±’,0.023 ,0.024 ,0.022 ,0.024 ,0.023 ,0.021 ,0.019 ,0.018 ,0.018 ,0.016 
∞˙√µ,≥‚∆Ú±’,0.032 ,0.031 ,0.030 ,0.028 ,0.027 ,0.028 ,0.024 ,0.023 ,0.020 ,0.019 
±∏∏Æ,≥‚∆Ú±’,0.027 ,0.027 ,0.027 ,0.027 ,0.025 ,0.024 ,0.019 ,0.016 ,0.016 ,0.017 
¿«ø’,≥‚∆Ú±’,0.036 ,0.036 ,0.035 ,0.033 ,0.030 ,0.029 ,0.024 ,0.023 ,0.023 ,0.022 
∞ÌæÁ,≥‚∆Ú±’,0.025 ,0.023 ,0.021 ,0.023 ,0.021 ,0.020 ,0.018 ,0.021 ,0.018 ,0.016 
±§¡÷,≥‚∆Ú±’,0.031 ,0.034 ,0.032 ,0.033 ,0.028 ,0.027 ,0.021 ,0.017 ,0.019 ,0.017 
±∫∆˜,≥‚∆Ú±’,0.033 ,0.033 ,0.030 ,0.029 ,0.028 ,0.027 ,0.024 ,0.023 ,0.021 ,0.019 
Ω√»Ô,≥‚∆Ú±’,0.036 ,0.034 ,0.034 ,0.032 ,0.030 ,0.029 ,0.025 ,0.022 ,0.022 ,0.021 
∫Œ√µ,≥‚∆Ú±’,0.032 ,0.029 ,0.029 ,0.029 ,0.027 ,0.028 ,0.026 ,0.025 ,0.022 ,0.021 
≥≤æÁ¡÷,≥‚∆Ú±’,0.024 ,0.023 ,0.023 ,0.022 ,0.021 ,0.022 ,0.020 ,0.017 ,0.017 ,0.015 
øÎ¿Œ,≥‚∆Ú±’,0.032 ,0.033 ,0.030 ,0.029 ,0.029 ,0.026 ,0.020 ,0.019 ,0.018 ,0.016 
±Ë∆˜,≥‚∆Ú±’,0.024 ,0.023 ,0.022 ,0.020 ,0.019 ,0.016 ,0.014 ,0.015 ,0.014 ,0.013 
ø¿ªÍ,≥‚∆Ú±’,0.031 ,0.030 ,0.030 ,0.029 ,0.028 ,0.028 ,0.024 ,0.025 ,0.024 ,0.022 
«œ≥≤,≥‚∆Ú±’,0.035 ,0.033 ,0.035 ,0.036 ,0.032 ,0.030 ,0.025 ,0.022 ,0.023 ,0.020 
»≠º∫,≥‚∆Ú±’,0.022 ,0.022 ,0.022 ,0.021 ,0.020 ,0.018 ,0.017 ,0.017 ,0.016 ,0.015 
æÁ¡÷,≥‚∆Ú±’,0.018 ,0.016 ,0.017 ,0.017 ,0.013 ,0.017 ,0.015 ,0.014 ,0.014 ,0.014 
µøµŒ√µ,≥‚∆Ú±’,0.019 ,0.016 ,0.018 ,0.020 ,0.016 ,0.016 ,0.014 ,0.014 ,0.012 ,0.013 
æ»º∫,≥‚∆Ú±’,0.016 ,0.014 ,0.014 ,0.018 ,0.017 ,0.018 ,0.015 ,0.013 ,0.014 ,0.012 
¿Ã√µ,≥‚∆Ú±’,0.023 ,0.021 ,0.021 ,0.022 ,0.021 ,0.018 ,0.016 ,0.015 ,0.015 ,0.014 
∆ƒ¡÷,≥‚∆Ú±’,0.022 ,0.023 ,0.023 ,0.022 ,0.020 ,0.021 ,0.016 ,0.016 ,0.015 ,0.016 
∆˜√µ,≥‚∆Ú±’,0.033 ,0.028 ,0.018 ,0.018 ,0.013 ,0.015 ,0.013 ,0.011 ,0.010 ,0.010 
ø©¡÷,≥‚∆Ú±’,0.016 ,0.016 ,0.021 ,0.021 ,0.019 ,0.019 ,0.014 ,0.014 ,0.013 ,0.012 
ø¨√µ,≥‚∆Ú±’,0.010 ,0.009 ,0.010 ,0.010 ,0.009 ,0.009 ,0.009 ,0.008 ,0.007 ,0.007 
∞°∆Ú,≥‚∆Ú±’,0.013 ,0.012 ,0.012 ,0.013 ,0.011 ,0.011 ,0.011 ,0.010 ,0.009 ,0.009 
æÁ∆Ú,≥‚∆Ú±’,0.016 ,0.016 ,0.016 ,0.016 ,0.015 ,0.014 ,0.014 ,0.014 ,0.011 ,0.010 
µµ∆Ú±’,≥‚∆Ú±’,0.029 ,0.029 ,0.027 ,0.027 ,0.025 ,0.024 ,0.020 ,0.019 ,0.018 ,0.017 
æÁ±∏,≥‚∆Ú±’,,,,,,0.008 ,0.008 ,0.007 ,0.008 ,0.008 
∞Ìº∫,≥‚∆Ú±’,,,,,0.006 ,0.006 ,0.005 ,0.004 ,0.005 ,0.005 
¡§º±,≥‚∆Ú±’,,,,,,0.010 ,0.009 ,0.007 ,0.008 ,0.008 
»æº∫,≥‚∆Ú±’,,,,,0.018 ,0.012 ,0.011 ,0.009 ,0.011 ,0.011 
√·√µ,≥‚∆Ú±’,0.019 ,0.017 ,,0.015 ,0.017 ,0.016 ,0.013 ,0.010 ,0.011 ,0.013 
∞≠∏™,≥‚∆Ú±’,0.013 ,0.013 ,0.014 ,0.012 ,0.014 ,0.012 ,0.012 ,0.011 ,0.010 ,0.008 
ø¯¡÷,≥‚∆Ú±’,0.023 ,0.022 ,0.022 ,0.020 ,0.019 ,0.017 ,0.016 ,0.014 ,0.014 ,0.013 
µø«ÿ,≥‚∆Ú±’,0.019 ,0.018 ,0.017 ,0.016 ,0.016 ,0.016 ,0.013 ,0.012 ,0.012 ,0.012 
ªÔ√¥,≥‚∆Ú±’,0.016 ,0.019 ,0.016 ,0.014 ,0.014 ,0.014 ,0.011 ,0.011 ,0.011 ,0.011 
∆Ú√¢,≥‚∆Ú±’,,,,,0.010 ,0.010 ,0.010 ,0.008 ,0.009 ,0.009 
æÁæÁ,≥‚∆Ú±’,,,,,,0.007 ,0.006 ,0.006 ,0.007 ,0.005 
º”√ ,≥‚∆Ú±’,,,,,,0.011 ,0.009 ,0.009 ,0.009 ,0.008 
øµø˘,≥‚∆Ú±’,,,,,,0.008 ,0.008 ,0.008 ,0.007 ,0.008 
√∂ø¯,≥‚∆Ú±’,,,,,,0.008 ,0.007 ,0.008 ,0.007 ,0.006 
»´√µ,≥‚∆Ú±’,,,,,,0.014 ,0.013 ,0.012 ,0.011 ,0.011 
»≠√µ,≥‚∆Ú±’,,,,,,0.006 ,0.007 ,0.007 ,0.008 ,0.007 
≈¬πÈ,≥‚∆Ú±’,,,,,,0.009 ,0.008 ,0.008 ,0.008 ,0.008 
¿Œ¡¶,≥‚∆Ú±’,,,,,,0.005 ,0.005 ,0.006 ,0.006 ,0.006 
µµ∆Ú±’,≥‚∆Ú±’,0.019 ,0.019 ,0.018 ,0.017 ,0.016 ,0.012 ,0.010 ,0.009 ,0.010 ,0.009 
±´ªÍ,≥‚∆Ú±’,,,,,,0.011 ,0.010 ,0.008 ,0.009 ,0.008 
¿Ωº∫,≥‚∆Ú±’,,,,,,0.012 ,0.012 ,0.011 ,0.012 ,0.010 
√ª¡÷,≥‚∆Ú±’,0.021 ,0.019 ,0.020 ,0.019 ,0.022 ,0.022 ,0.017 ,0.016 ,0.014 ,0.015 
√Ê¡÷,≥‚∆Ú±’,0.026 ,0.023 ,0.022 ,0.023 ,0.023 ,0.022 ,0.016 ,0.018 ,0.014 ,0.014 
¡¶√µ,≥‚∆Ú±’,0.036 ,0.028 ,0.022 ,0.021 ,0.025 ,0.020 ,0.016 ,0.015 ,0.015 ,0.015 
√ªø¯,≥‚∆Ú±’,0.022 ,,,,,,,,,
¥‹æÁ,≥‚∆Ú±’,0.015 ,0.014 ,0.017 ,0.021 ,0.016 ,0.012 ,0.010 ,0.012 ,0.013 ,0.012 
¡¯√µ,≥‚∆Ú±’,,,0.016 ,0.016 ,0.020 ,0.020 ,0.015 ,0.014 ,0.013 ,0.012 
ø¡√µ,≥‚∆Ú±’,,,,0.015 ,0.020 ,0.018 ,0.016 ,0.019 ,0.017 ,0.014 
øµµø,≥‚∆Ú±’,,,,,0.012 ,0.012 ,0.011 ,0.010 ,0.009 ,0.009 
¡ı∆Ú,≥‚∆Ú±’,,,,,0.016 ,0.018 ,0.012 ,0.013 ,0.011 ,0.009 
∫∏¿∫,≥‚∆Ú±’,,,,,,0.011 ,0.010 ,0.010 ,0.009 ,0.008 
µµ∆Ú±’,≥‚∆Ú±’,0.024 ,0.020 ,0.020 ,0.020 ,0.021 ,0.018 ,0.014 ,0.013 ,0.013 ,0.012 
√µæ»,≥‚∆Ú±’,0.022 ,0.023 ,0.023 ,0.022 ,0.023 ,0.023 ,0.018 ,0.017 ,0.018 ,0.017 
¥Á¡¯,≥‚∆Ú±’,0.013 ,0.013 ,0.013 ,0.010 ,0.015 ,0.015 ,0.014 ,0.014 ,0.012 ,0.011 
º≠ªÍ,≥‚∆Ú±’,0.017 ,0.020 ,0.020 ,0.018 ,0.016 ,0.015 ,0.013 ,0.014 ,0.012 ,0.012 
æ∆ªÍ,≥‚∆Ú±’,0.019 ,0.018 ,0.019 ,0.022 ,0.017 ,0.016 ,0.015 ,0.015 ,0.014 ,0.014 
≥ÌªÍ,≥‚∆Ú±’,,,,0.016 ,0.015 ,0.016 ,0.014 ,0.012 ,0.012 ,0.011 
≈¬æ»,≥‚∆Ú±’,,,,0.009 ,0.011 ,0.010 ,0.011 ,0.010 ,0.009 ,0.010 
∫∏∑…,≥‚∆Ú±’,,,,0.010 ,0.011 ,0.010 ,0.010 ,0.010 ,0.010 ,0.009 
»´º∫,≥‚∆Ú±’,,,,0.014 ,0.013 ,0.013 ,0.011 ,0.011 ,0.011 ,0.010 
∞¯¡÷,≥‚∆Ú±’,,,,0.012 ,0.011 ,0.010 ,0.009 ,0.011 ,0.010 ,0.009 
∫Œø©,≥‚∆Ú±’,,,,0.015 ,0.013 ,0.014 ,0.013 ,0.010 ,0.012 ,0.011 
√ªæÁ,≥‚∆Ú±’,,,,,0.009 ,0.009 ,0.008 ,0.008 ,0.008 ,0.007 
±›ªÍ,≥‚∆Ú±’,,,,,0.012 ,0.012 ,0.012 ,0.011 ,0.011 ,0.010 
øπªÍ,≥‚∆Ú±’,,,,0.013 ,0.014 ,0.013 ,0.010 ,0.011 ,0.010 ,0.009 
∞Ë∑Ê,≥‚∆Ú±’,,,,,0.015 ,0.016 ,0.014 ,0.013 ,0.012 ,0.012 
º≠√µ,≥‚∆Ú±’,,,,,0.009 ,0.009 ,0.010 ,0.010 ,0.010 ,0.009 
µµ∆Ú±’,≥‚∆Ú±’,0.018 ,0.018 ,0.019 ,0.016 ,0.015 ,0.014 ,0.013 ,0.012 ,0.012 ,0.011 
¿”Ω«,≥‚∆Ú±’,,,,,0.009 ,0.007 ,0.008 ,0.011 ,0.010 ,0.009 
¿¸¡÷,≥‚∆Ú±’,0.018 ,0.018 ,0.018 ,0.016 ,0.016 ,0.018 ,0.015 ,0.015 ,0.014 ,0.013 
±∫ªÍ,≥‚∆Ú±’,0.016 ,0.017 ,0.016 ,0.015 ,0.013 ,0.012 ,0.010 ,0.010 ,0.012 ,0.011 
¿ÕªÍ,≥‚∆Ú±’,0.016 ,0.017 ,0.018 ,0.017 ,0.015 ,0.015 ,0.011 ,0.011 ,0.010 ,0.010 
≥≤ø¯,≥‚∆Ú±’,0.011 ,0.012 ,0.014 ,0.012 ,0.014 ,0.012 ,0.011 ,0.010 ,0.008 ,0.007 
¡§¿æ,≥‚∆Ú±’,0.013 ,0.013 ,0.014 ,0.014 ,0.014 ,0.013 ,0.013 ,0.010 ,0.009 ,0.009 
∞Ì√¢,≥‚∆Ú±’,0.009 ,0.009 ,0.011 ,0.011 ,0.011 ,0.009 ,0.008 ,0.007 ,0.006 ,0.006 
∫Œæ»,≥‚∆Ú±’,,0.011 ,0.013 ,0.013 ,0.014 ,0.012 ,0.013 ,0.012 ,0.010 ,0.008 
±Ë¡¶,≥‚∆Ú±’,,,0.016 ,0.015 ,0.015 ,0.016 ,0.015 ,0.014 ,0.013 ,0.011 
øœ¡÷,≥‚∆Ú±’,,,,,0.008 ,0.010 ,0.011 ,0.009 ,0.009 ,0.007 
¡¯æ»,≥‚∆Ú±’,,,,,0.010 ,0.010 ,0.009 ,0.009 ,0.009 ,0.007 
π´¡÷,≥‚∆Ú±’,,,,,0.009 ,0.008 ,0.008 ,0.007 ,0.007 ,0.007 
