±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√—∞Ë,≥‚∆Ú±’,0.51,0.52,0.49,0.48,0.48,0.47,0.43,0.43,0.36,0.39
º≠øÔ∆Ø∫∞Ω√,≥‚∆Ú±’,0.51,0.53,0.53,0.53,0.51,0.54,0.48,0.47,0.43,0.45
∫ŒªÍ±§ø™Ω√,≥‚∆Ú±’,0.37,0.38,0.4,0.36,0.35,0.38,0.38,0.33,0.32,0.32
¥Î±∏±§ø™Ω√,≥‚∆Ú±’,0.42,0.42,0.4,0.45,0.42,0.46,0.44,0.38,0.35,0.36
¿Œ√µ±§ø™Ω√,≥‚∆Ú±’,0.59,0.61,0.58,0.57,0.53,0.54,0.49,0.49,0.46,0.47
±§¡÷±§ø™Ω√,≥‚∆Ú±’,0.56,0.49,0.47,0.45,0.51,0.46,0.41,0.49,0.39,0.42
¥Î¿¸±§ø™Ω√,≥‚∆Ú±’,0.47,0.47,0.48,0.44,0.43,0.42,0.4,0.47,0.43,0.37
øÔªÍ±§ø™Ω√,≥‚∆Ú±’,0.49,0.53,0.49,0.57,0.52,0.49,0.48,0.42,0.42,0.47
ºº¡æ∆Ø∫∞¿⁄ƒ°Ω√,≥‚∆Ú±’,,,0.62,0.53,0.55,0.53,0.48,0.48,0.45,0.45
ºˆø¯,≥‚∆Ú±’,0.68,0.63,0.63,0.6,0.58,0.6,0.54,0.52,0.45,0.48
æ»æÁ,≥‚∆Ú±’,0.52,0.53,0.5,0.52,0.51,0.53,0.53,0.48,0.38,0.37
º∫≥≤,≥‚∆Ú±’,0.6,0.6,0.6,0.57,0.52,0.58,0.54,0.52,0.48,0.48
¿«¡§∫Œ,≥‚∆Ú±’,0.63,0.52,0.51,0.46,0.46,0.57,0.53,0.48,0.33,0.34
±§∏Ì,≥‚∆Ú±’,0.57,0.6,0.55,0.53,0.52,0.54,0.5,0.51,0.48,0.49
æ»ªÍ,≥‚∆Ú±’,0.57,0.54,0.5,0.48,0.47,0.51,0.43,0.41,0.38,0.38
∆Ú≈√,≥‚∆Ú±’,0.4,0.47,0.45,0.49,0.46,0.4,0.42,0.43,0.33,0.35
∞˙√µ,≥‚∆Ú±’,0.62,0.61,0.59,0.58,0.56,0.61,0.52,0.53,0.43,0.47
±∏∏Æ,≥‚∆Ú±’,0.52,0.49,0.43,0.41,0.39,0.41,0.39,0.34,0.23,0.31
¿«ø’,≥‚∆Ú±’,0.67,0.66,0.68,0.62,0.58,0.61,0.46,0.53,0.45,0.45
∞ÌæÁ,≥‚∆Ú±’,0.43,0.48,0.45,0.45,0.44,0.46,0.45,0.46,0.39,0.39
