"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2014.01 ¿ù","2014.02 ¿ù","2014.03 ¿ù","2014.04 ¿ù","2014.05 ¿ù","2014.06 ¿ù","2014.07 ¿ù","2014.08 ¿ù","2014.09 ¿ù","2014.10 ¿ù","2014.11 ¿ù","2014.12 ¿ù","2015.01 ¿ù","2015.02 ¿ù","2015.03 ¿ù","2015.04 ¿ù","2015.05 ¿ù","2015.06 ¿ù","2015.07 ¿ù","2015.08 ¿ù","2015.09 ¿ù","2015.10 ¿ù","2015.11 ¿ù","2015.12 ¿ù","2016.01 ¿ù","2016.02 ¿ù","2016.03 ¿ù","2016.04 ¿ù","2016.05 ¿ù","2016.06 ¿ù","2016.07 ¿ù","2016.08 ¿ù","2016.09 ¿ù","2016.10 ¿ù","2016.11 ¿ù","2016.12 ¿ù","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù","2021.11 ¿ù","2021.12 ¿ù","2022.01 ¿ù","2022.02 ¿ù","2022.03 ¿ù","2022.04 ¿ù","2022.05 ¿ù","2022.06 ¿ù","2022.07 ¿ù","2022.08 ¿ù","2022.09 ¿ù","2022.10 ¿ù","2022.11 ¿ù","2022.12 ¿ù","2023.01 ¿ù","2023.02 ¿ù","2023.03 ¿ù","2023.04 ¿ù","2023.05 ¿ù","2023.06 ¿ù","2023.07 ¿ù","2023.08 ¿ù","2023.09 ¿ù","2023.10 ¿ù","2023.11 ¿ù","2023.12 ¿ù",
"ÃÑ°è","¿ùÆò±Õ","",".032",".028",".026",".028",".022",".018",".017",".017",".02",".025",".03",".026",".028",".026",".028",".023",".023",".019",".015",".017",".019",".025",".025",".029",".027",".025",".027",".025",".022",".019",".016",".016",".019",".022",".027",".028",".027",".025",".027",".022",".021",".017",".015",".015",".019",".019",".026",".026",".026",".025",".023",".02",".017",".016",".013",".012",".014",".02",".029",".025",".027",".024",".021",".019",".018",".014",".011",".012",".013",".016",".023",".024",".022",".02",".017",".014",".012",".012",".01",".009",".011",".017",".02",".022",".02",".019",".019",".014",".012",".011",".01",".009",".009",".014",".02",".021",".022",".017",".017",".013",".011",".009",".009",".009",".01",".013",".019",".019",".0194",".0198",".0176",".0121",".0112",".0095",".0086",".0081",".0093",".0132",".0147",".0179",
"¼­¿ïÆ¯º°½Ã","¿ùÆò±Õ","",".042",".039",".037",".04",".032",".026",".023",".024",".03",".035",".039",".034",".037",".036",".04",".033",".032",".025",".021",".023",".027",".035",".034",".039",".035",".034",".038",".036",".031",".028",".024",".023",".026",".029",".035",".036",".035",".035",".038",".031",".028",".024",".023",".021",".027",".027",".033",".034",".035",".034",".033",".031",".025",".024",".019",".017",".019",".028",".039",".035",".039",".036",".034",".029",".028",".02",".018",".018",".021",".025",".034",".035",".034",".032",".027",".021",".02",".019",".016",".014",".016",".025",".03",".032",".031",".03",".032",".022",".019",".018",".016",".015",".014",".022",".031",".031",".032",".026",".026",".02",".015",".013",".014",".013",".016",".02",".028",".028",".0296",".029",".0269",".0183",".0168",".0142",".0135",".0123",".0137",".0211",".0216",".0283",
"ºÎ»ê±¤¿ª½Ã","¿ùÆò±Õ","",".024",".02",".02",".023",".021",".018",".017",".015",".016",".018",".024",".021",".022",".02",".021",".019",".025",".019",".016",".018",".015",".021",".023",".025",".024",".023",".026",".024",".023",".019",".017",".015",".016",".018",".024",".026",".024",".021",".022",".021",".021",".018",".017",".013",".017",".016",".025",".023",".022",".022",".021",".019",".018",".019",".016",".012",".014",".019",".027",".023",".024",".022",".02",".019",".021",".016",".015",".014",".015",".017",".023",".026",".021",".02",".016",".014",".014",".015",".014",".011",".012",".017",".02",".02",".019",".018",".017",".015",".014",".014",".01",".011",".01",".015",".021",".021",".021",".016",".018",".016",".015",".01",".012",".011",".01",".013",".019",".017",".0177",".0187",".0168",".0118",".0128",".0124",".0118",".0092",".0105",".0147",".0162",".0179",
"´ë±¸±¤¿ª½Ã","¿ùÆò±Õ","",".038",".03",".026",".027",".022",".015",".015",".015",".017",".026",".034",".027",".031",".026",".027",".019",".018",".016",".014",".016",".017",".022",".022",".026",".027",".023",".023",".02",".017",".014",".012",".012",".016",".019","0.029*",".028",".028",".025",".024",".019",".018",".014",".013",".012","0.017*","0.018*",".028",".028",".027",".025",".022",".017",".013",".013",".01",".01",".014",".021",".033",".029",".029",".026",".021",".017",".016",".013",".011",".012",".013",".017",".026",".03",".027",".023",".017",".013",".011",".012",".011",".009",".013",".019",".024",".024",".023",".022",".018",".013",".012",".01",".009",".01",".01",".016",".024",".025",".025",".018",".018",".013",".011",".008",".008",".009",".01",".014",".025",".023",".0243",".0244",".0193",".011",".0103",".0094",".0089",".0076",".0097",".016",".0195",".0218",
"ÀÎÃµ±¤¿ª½Ã","¿ùÆò±Õ","",".036",".035",".03",".033",".026",".021",".02",".02",".026",".032",".032",".028",".03",".029",".033",".03",".026",".022",".018",".017",".022",".026",".028",".033",".026",".026",".031",".031",".025",".021",".018",".017",".022",".025",".027",".028",".027",".026",".03",".025",".022",".018",".018",".019",".022",".022",".026",".031",".029",".027",".029",".027",".023",".022",".017",".016",".019",".026",".035",".03",".032",".029",".028",".026",".023",".017",".015",".015",".021",".023",".031",".031",".028",".027",".023",".017",".017",".016",".014",".012",".015",".021",".027",".027",".027",".024",".028",".021",".017",".017",".014",".014",".014",".02",".026",".028",".026",".022",".024",".018",".014",".012",".012",".011",".015",".019",".026",".024",".0267",".0245",".0239",".0179",".0171",".0125",".0117",".0114",".0134",".018",".0186",".025",
"±¤ÁÖ±¤¿ª½Ã","¿ùÆò±Õ","",".028",".024",".023",".02",".015",".013",".012",".022",".028",".02",".025",".021",".024",".021",".023",".019",".018",".014",".011",".012","0.014*",".021",".025",".026",".024",".021",".022",".018",".016",".013",".011",".014",".014",".019",".024",".025",".023",".022",".025",".018",".017",".015",".011",".012",".015",".017",".026",".024",".024",".024",".019",".016",".013",".011",".009",".008",".013",".019",".03",".024",".025",".02",".022",".019",".017",".014",".011",".011",".012",".017",".023",".025",".021",".018",".015",".013",".01",".009",".008",".006",".011",".016",".019",".022",".021",".019",".016",".013",".009",".009",".007",".008",".009",".013",".021",".021",".02",".017",".016",".013",".011",".007",".006",".007",".011",".014",".021",".022",".0201",".0208",".0178",".0127",".0107",".0091",".0072",".0078",".0097",".0136",".0161",".0195",
"´ëÀü±¤¿ª½Ã","¿ùÆò±Õ","",".031",".026",".022",".022",".016",".013",".012",".012",".014",".021",".026",".024",".024",".02",".021",".017",".017",".014",".011",".012",".017",".024",".022",".024",".021",".019",".019",".021",".017",".014",".013",".015",".016",".019",".028",".027",".024",".023",".021",".016",".015",".014",".011",".012",".016",".018",".023",".024",".026",".028",".022",".017",".014",".014",".011",".011",".012",".02",".03",".028",".029",".027",".023",".018",".017",".013",".011",".011",".013",".018",".025",".028",".026",".023",".018",".014",".011",".012",".01",".01",".012",".021",".024",".027",".025",".02",".021",".015",".012",".012",".009",".011",".011",".018",".024",".025",".027",".022",".021",".016",".013",".01",".01",".01",".012",".017",".025",".025",".0243",".0242",".0211",".0137",".0131",".0103",".0103",".0097",".0115",".0162",".0187",".0234",
"¿ï»ê±¤¿ª½Ã","¿ùÆò±Õ","",".028",".024",".025",".029",".026",".02",".021",".018",".016",".021",".027",".023",".025",".024",".026",".024",".028",".023",".018",".018",".015",".022",".022",".025",".026",".023",".026",".024",".024",".022",".019",".015",".018",".019",".026",".026",".024",".023",".025",".024",".026",".02",".019",".012",".017",".016",".028",".025",".024",".024",".023",".021",".019",".02",".017",".013",".013",".018",".027",".022",".024",".022",".022",".021",".024",".019",".016",".014",".015",".016",".022",".025",".021",".021",".018",".016",".015",".018",".015",".013",".014",".017",".022",".023",".022",".021",".02",".018",".017",".016",".013",".013",".011",".015",".021",".021",".022",".018",".019",".018",".017",".013",".014",".013",".012",".014",".02",".018",".0194",".02",".0198",".0146",".0155",".0153",".0146",".0116",".0119",".0158",".0172",".0183",
"¼¼Á¾Æ¯º°ÀÚÄ¡½Ã","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","",".028",".021",".026",".021",".017",".013",".016",".017",".019",".023",".03",".028",".027",".025",".024",".018",".015",".014",".012",".013",".02",".022",".021",".025",".028",".025",".019",".015",".013",".014",".011",".008",".012",".021",".031",".026",".024",".021",".022",".018",".018",".015",".012",".013",".015",".019",".026",".029",".027",".024",".019",".014",".012",".012",".01",".009",".012",".02",".024",".025",".025",".02",".02",".015",".012",".011",".009",".01",".01",".016",".021",".024",".025",".02",".018",".015",".011",".009",".009",".009",".012",".016",".023",".021",".0204",".0213",".0182",".0124",".0112",".0092",".0081",".0084",".0101",".0137",".0155",".0191",
"¼ö¿ø","¿ùÆò±Õ","",".046",".044",".036",".039",".029",".025",".023",".024",".031",".037",".045",".039",".042",".037",".042",".034",".031",".026",".021",".025",".029",".038",".038",".044",".039",".035",".036",".034",".03",".025",".022",".025",".03",".034",".038",".041",".041",".038",".042",".031",".028",".023","0.020*",".022",".03",".031",".036",".037",".039",".037",".031",".028",".024",".024",".017",".017",".021",".033",".046",".04",".045",".039",".034",".029",".026",".02",".015",".018",".021",".026",".035",".038",".037",".033",".027",".019",".019",".018",".015",".012",".017",".029",".034",".036",".033",".031",".032",".023",".019",".018",".015",".015",".014",".024",".033",".034",".037",".03",".028",".019",".015",".012",".012",".012",".017",".024",".032",".03",".0279",".0298",".0265",".0162",".016",".0123",".0109",".0111",".0145",".0217",".0227",".0275",
"¾È¾ç","¿ùÆò±Õ","",".042",".042",".037",".038",".03",".024",".023",".026",".032",".036",".038",".035",".041",".038",".042",".035",".031",".027","0.019**",".023",".03",".038",".037",".044",".038",".037",".039",".036",".03",".026",".022",".024",".026",".026",".028",".03",".03",".03",".036",".032",".027",".022",".022",".023",".031",".03",".036",".039",".042",".041",".039",".032",".025",".024",".019",".017",".022",".03",".041",".041",".045",".04",".033",".03",".027",".02",".015",".017",".022",".027",".036",".038",".038",".033",".03",".022",".02",".019",".015",".012",".015",".027",".035",".034",".033",".031",".033",".023",".02",".019",".015",".014",".014",".022",".03",".03",".032",".026",".026",".02",".015",".012",".012",".011",".015",".021",".029",".029",".0295",".033",".028",".0172",".0155",".0132",".011","0.0116*",".0146",".0206",".0221",".0269",
"¼º³²","¿ùÆò±Õ","",".047",".043",".037",".043",".034",".031",".027",".028",".035",".038",".045",".038",".043",".039",".046",".036",".036",".03",".024",".027",".03",".042",".038",".046",".041",".036",".042",".039",".034",".032",".025",".027",".029",".033",".038",".041",".041",".039",".043",".033",".031",".027",".022",".021",".027",".029",".037",".038",".04",".039",".034",".03",".026",".026",".02",".019",".022",".031",".043",".039",".044",".04",".036",".029",".029",".022",".018",".02",".02",".025",".035",".036",".035",".032",".029",".022",".021",".021",".016",".013",".016",".028",".033",".033",".029",".03",".031",".022",".019",".017",".014",".014",".013",".023",".032",".031",".034",".027",".026",".019",".016",".013",".013",".012",".015",".021",".029",".029",".0296",".0325",".0281",".0161",".0161",".0146",".0113",".0117",".0135",".0203",".0212",".0251",
"ÀÇÁ¤ºÎ","¿ùÆò±Õ","",".04",".033",".03",".031",".024",".018",".018",".019",".023",".031",".035",".033",".036",".033",".034",".028",".025",".018",".017",".018",".023",".03",".029",".035",".032",".03",".032",".029",".018",".019",".017",".012",".021",".019",".025",".03",".032",".031",".032",".028",".018",".015",".016",".013",".023",".024",".031",".029",".026",".025",".023",".013",".012",".01",".008",".008",".01",".021",".032",".034",".038",".032",".031",".023",".022",".016",".015",".015",".018",".022",".032",".035",".033",".029",".024",".02",".016",".014",".013",".013",".014",".024",".027",".029",".028",".027",".026",".021",".018",".015",".013",".013",".013",".019",".029",".029",".031",".026",".024",".019",".015",".013",".012",".013",".014",".017",".024",".025",".0268",".0265",".0247",".0194",".0168","0.0128*","0.0107*",".0119",".0118",".0183",".0188",".0242",
"±¤¸í","¿ùÆò±Õ","",".038",".042",".034",".039",".028",".026",".023",".024",".036",".04",".039",".033",".039",".035",".04",".035",".032",".029",".022",".024",".029",".035",".033",".038",".029",".028",".034",".033",".03",".026",".021",".025",".029",".03",".033",".034",".033",".033",".037",".03",".029",".028",".025",".026",".036",".037",".036",".037",".038",".037",".036",".034",".028",".029",".02",".02",".023",".032",".045",".039",".043",".038",".039",".033",".031",".025",".022",".022",".028",".032",".039",".036",".036",".032",".027",".02",".021",".019",".014",".011",".015",".024",".029",".028",".029",".026",".03",".02",".017",".018",".015",".014",".013",".022",".031",".031",".031",".025",".027",".019",".014",".012",".012",".012",".017",".023",".03",".028",".0299",".0302",".0262","0.0159*",".0164",".0121",".0112",".0114",".014",".0194",".0191",".0262",
"¾È»ê","¿ùÆò±Õ","",".042",".041",".031",".036",".027",".023",".02",".022",".031",".038",".041",".035",".039",".033",".038",".031",".026",".023",".018",".021",".027",".034",".035",".043",".035",".032",".034",".033",".028",".022",".019",".022",".027",".032",".034",".036",".035",".033",".035",".028",".024",".02",".017",".019",".028",".028",".03",".031",".034",".031",".027",".025",".021",".02",".015",".015",".02",".029",".041",".034",".036",".032",".029",".026",".023",".019",".014",".015",".021",".029",".037",".037",".037",".032",".026",".019",".018",".017",".015","0.010*","0.016*",".026",".03",".03",".029",".027",".029",".022",".018",".017",".014",".014",".014",".021",".03",".031",".033",".027",".027",".02",".014",".01",".011",".011",".016",".023",".029",".029",".0287",".0307",".0261",".0185",".0175",".0117",".0105",".0113",".0148",".0206",".0209",".0262",
"ÆòÅÃ","¿ùÆò±Õ","",".026",".025",".026",".03",".022",".018",".016",".016",".02",".022",".031",".027",".028",".029",".033",".028",".025",".019",".013",".015",".019",".022",".025",".029",".025",".021",".023",".027",".022",".018",".015",".017",".019",".024",".028",".028",".028",".027",".028",".025",".022",".018",".017",".018",".023",".025",".027",".031",".035",".029",".025","0.023*","0.019*",".017",".014",".012",".015",".024",".033",".029",".03",".027",".024",".021",".017",".013",".012",".014",".016",".021",".028",".028",".029",".025",".02",".014",".013",".013",".011",".01",".013",".022",".026",".028",".026",".023",".023",".017",".014",".013",".011",".012",".011",".018",".024",".026",".028",".022",".022",".017",".013",".01",".009",".009",".013",".018",".025",".025",".0238",".0264",".0225",".0143",".0125",".0103",".0093",".0089",".0105",".0161",".0178",".0224",
