Metric,Value,Unnamed: 0
Correlation,-0.8296731963927382,0.0
P-Value,0.0029817184009781,1.0
Correlation,-0.9475764956259708,0.0
P-Value,3.100958763302439e-05,1.0
Correlation,-0.4960583266084296,0.0
P-Value,0.1447795616545278,1.0
Correlation,0.3219260643578298,0.0
P-Value,0.3643426739794106,1.0
Correlation,-0.8507737619451701,0.0
P-Value,0.0018046417154736,1.0
Correlation,-0.6454475827722231,0.0
P-Value,0.0438461089982138,1.0
Correlation,-0.927206411456176,0.0
P-Value,0.0001124345047047,1.0
Correlation,0.5667981903599516,0.0
P-Value,0.1429286965064134,1.0
Correlation,0.8750979115151523,0.0
P-Value,0.0009133391093545,1.0
Correlation,-0.9327503673153944,0.0
P-Value,8.246162747166429e-05,1.0
Correlation,0.4503300715781376,0.0
P-Value,0.1915433175241904,1.0
Correlation,0.5463891316782514,0.0
P-Value,0.1022251352508501,1.0
Correlation,-0.8822748882512796,0.0
P-Value,0.0007273494486172,1.0
Correlation,-0.8509540108756471,0.0
P-Value,0.0017963490759227,1.0
Correlation,-0.8861297731251996,0.0
P-Value,0.0006397421841069,1.0
Correlation,-0.5620633022922312,0.0
P-Value,0.0908213595861694,1.0
Correlation,0.7125930198423258,0.0
P-Value,0.0207384066983888,1.0
