,Metric,Value,Unnamed: 0
0,Correlation,0.9840296667054518,0.0
1,P-Value,2.791814318804118e-07,1.0
0,Correlation,0.9500228008178474,0.0
1,P-Value,2.569086257928022e-05,1.0
0,Correlation,0.5480344820059684,0.0
1,P-Value,0.1009876462847398,1.0
0,Correlation,-0.2812565993755679,0.0
1,P-Value,0.4311541180724076,1.0
0,Correlation,0.8802379105648039,0.0
1,P-Value,0.0007770241164668,1.0
0,Correlation,0.8825570295438546,0.0
1,P-Value,0.000720656659246,1.0
0,Correlation,0.9772805167975052,0.0
1,P-Value,1.1341799216445925e-06,1.0
0,Correlation,-0.9507808538495996,0.0
1,P-Value,0.0002871910976632,1.0
0,Correlation,-0.9679085420297708,0.0
1,P-Value,4.463876759340257e-06,1.0
0,Correlation,0.8152841842887446,0.0
1,P-Value,0.0040488775424071,1.0
0,Correlation,-0.5574820362109179,0.0
1,P-Value,0.0940658854485511,1.0
0,Correlation,-0.7456593960555976,0.0
1,P-Value,0.0132908855194341,1.0
0,Correlation,0.9693055774495056,0.0
1,P-Value,3.742215633786213e-06,1.0
0,Correlation,0.9745979480119172,0.0
1,P-Value,1.7666597042544249e-06,1.0
0,Correlation,0.9544565989177658,0.0
1,P-Value,1.7813311261301026e-05,1.0
0,Correlation,0.7480836229067691,0.0
1,P-Value,0.0128323920748639,1.0
0,Correlation,-0.674121355114173,0.0
1,P-Value,0.0325434772482179,1.0
0,Correlation,0.9840296667054518,0.0
1,P-Value,2.791814318804118e-07,1.0
0,Correlation,0.9500228008178474,0.0
1,P-Value,2.569086257928022e-05,1.0
0,Correlation,0.5480344820059684,0.0
1,P-Value,0.1009876462847398,1.0
0,Correlation,-0.2812565993755679,0.0
1,P-Value,0.4311541180724076,1.0
0,Correlation,0.8802379105648039,0.0
1,P-Value,0.0007770241164668,1.0
0,Correlation,0.8825570295438546,0.0
1,P-Value,0.000720656659246,1.0
0,Correlation,0.9772805167975052,0.0
1,P-Value,1.1341799216445925e-06,1.0
0,Correlation,-0.9507808538495996,0.0
1,P-Value,0.0002871910976632,1.0
0,Correlation,-0.9679085420297708,0.0
1,P-Value,4.463876759340257e-06,1.0
0,Correlation,0.8152841842887446,0.0
1,P-Value,0.0040488775424071,1.0
0,Correlation,-0.5574820362109179,0.0
1,P-Value,0.0940658854485511,1.0
0,Correlation,-0.7456593960555976,0.0
1,P-Value,0.0132908855194341,1.0
0,Correlation,0.9693055774495056,0.0
1,P-Value,3.742215633786213e-06,1.0
0,Correlation,0.9745979480119172,0.0
1,P-Value,1.7666597042544249e-06,1.0
0,Correlation,0.9544565989177658,0.0
1,P-Value,1.7813311261301026e-05,1.0
0,Correlation,0.7480836229067691,0.0
1,P-Value,0.0128323920748639,1.0
0,Correlation,-0.674121355114173,0.0
1,P-Value,0.0325434772482179,1.0
