,Metric,Value,Unnamed: 0
0,Correlation,0.8164538037544363,0.0
1,P-Value,0.0039532396362299,1.0
0,Correlation,0.795825034748418,0.0
1,P-Value,0.005894082731923,1.0
0,Correlation,0.537991560420772,0.0
1,P-Value,0.1086902726058723,1.0
0,Correlation,-0.1565442157819113,0.0
1,P-Value,0.665828734206084,1.0
0,Correlation,0.6947473428532562,0.0
1,P-Value,0.025763728366853,1.0
0,Correlation,0.676241390486628,0.0
1,P-Value,0.0317963379800436,1.0
0,Correlation,0.7439509040231393,0.0
1,P-Value,0.0136208144317119,1.0
0,Correlation,-0.9373972550771508,0.0
1,P-Value,0.0005849283703637,1.0
0,Correlation,-0.8951435559733081,0.0
1,P-Value,0.0004651976763457,1.0
0,Correlation,0.7293646488786455,0.0
1,P-Value,0.0166742254650201,1.0
0,Correlation,-0.5624056155485435,0.0
1,P-Value,0.0905818432427041,1.0
0,Correlation,-0.6417375478109503,0.0
1,P-Value,0.0454774828513193,1.0
0,Correlation,0.9046708677661096,0.0
1,P-Value,0.000321597797791,1.0
0,Correlation,0.9720499650484922,0.0
1,P-Value,2.581464346705916e-06,1.0
0,Correlation,0.9395430231707154,0.0
1,P-Value,5.431284840406497e-05,1.0
0,Correlation,0.6986655139658048,0.0
1,P-Value,0.0245957086499628,1.0
0,Correlation,-0.8933527857183128,0.0
1,P-Value,0.0004966888061932,1.0
0,Correlation,0.8164538037544363,0.0
1,P-Value,0.0039532396362299,1.0
0,Correlation,0.795825034748418,0.0
1,P-Value,0.005894082731923,1.0
0,Correlation,0.537991560420772,0.0
1,P-Value,0.1086902726058723,1.0
0,Correlation,-0.1565442157819113,0.0
1,P-Value,0.665828734206084,1.0
0,Correlation,0.6947473428532562,0.0
1,P-Value,0.025763728366853,1.0
0,Correlation,0.676241390486628,0.0
1,P-Value,0.0317963379800436,1.0
0,Correlation,0.7439509040231393,0.0
1,P-Value,0.0136208144317119,1.0
0,Correlation,-0.9373972550771508,0.0
1,P-Value,0.0005849283703637,1.0
0,Correlation,-0.8951435559733081,0.0
1,P-Value,0.0004651976763457,1.0
0,Correlation,0.7293646488786455,0.0
1,P-Value,0.0166742254650201,1.0
0,Correlation,-0.5624056155485435,0.0
1,P-Value,0.0905818432427041,1.0
0,Correlation,-0.6417375478109503,0.0
1,P-Value,0.0454774828513193,1.0
0,Correlation,0.9046708677661096,0.0
1,P-Value,0.000321597797791,1.0
0,Correlation,0.9720499650484922,0.0
1,P-Value,2.581464346705916e-06,1.0
0,Correlation,0.9395430231707154,0.0
1,P-Value,5.431284840406497e-05,1.0
0,Correlation,0.6986655139658048,0.0
1,P-Value,0.0245957086499628,1.0
0,Correlation,-0.8933527857183128,0.0
1,P-Value,0.0004966888061932,1.0
