행정구역(시군구)별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울특별시,16694.039986781227,16557.378159590287,16408.816920026435,16287.881692002642,16136.19134170522,16075.854263053534,15975.652676801057,15712.918043621941,15578.935888962325,15508.978849966952
부산광역시,4571.838139776565,4564.532346063913,4544.134303156255,4507.341558441559,4470.0,4432.984028048305,4404.552655499286,4350.012983640612,4301.584338130429,4269.8846103980295
대구광역시,2822.0305602716467,2815.560208239022,2811.8571751923946,2801.3026256224534,2786.382569326542,2759.5144312393886,2737.2337294850026,2699.345931877334,2670.2338454586534,1583.8346115371792
인천광역시,2770.721649484536,2789.1468064823644,2769.6866177300963,2773.5321230364034,2778.7472961534845,2780.9893727076087,2762.6999624483665,2764.5335208626348,2780.987816307404,2808.9307468840784
광주광역시,2944.700718276137,2937.3483639265764,2931.392657621708,2920.530726256983,2911.683958499601,2906.541608461385,2893.7577329874275,2876.892835761325,2856.3872255489023,2832.808383233533
대전광역시,2840.365288336733,2816.196921935843,2808.0289263860564,2784.480074142725,2761.6978683966636,2733.26538176427,2712.3994811932553,2691.846153846154,2679.3996664813785,2671.7599110781775
울산광역시,1099.6294899594607,1106.0640904806787,1105.1131221719459,1097.9381831888427,1088.6698068770609,1080.997175141243,1069.5951417004048,1055.8147415984185,1045.0348136996613,1038.446556266466
세종특별자치시,335.8249085824909,453.611529361153,522.79630027963,602.4951602495161,675.6850935685094,732.5768982576899,765.3925575392558,799.9462249946225,825.1043235104324,831.236559139785
경기도,1214.803346210937,1230.6866628010969,1248.7631953650514,1263.8068639192663,1283.6091207130098,1298.9615894039734,1316.9807656469159,1330.376494356017,1332.3625667924898,1336.3943057148738
강원특별자치도,91.79119912514265,92.08785004516712,92.16121613349895,92.11792391162244,91.696052389187,91.60176607262765,91.67364837162873,91.41529557864965,91.29464471393516,90.77447298999454
충청북도,213.16480133925558,213.83950750621017,214.87249065111445,215.23981802718794,215.8875779583682,216.01865852999944,216.12488186850277,215.66450654786013,215.33304533304533,215.1301471580937
충청남도,251.07722463688714,252.9399805210616,254.88712755740872,257.3142565399203,258.3825888300199,257.55975986901944,257.2128980621377,256.9730811204074,257.4251867300417,258.2745074264929
전북특별자치도,231.99623165410551,231.77852432191202,231.10272521099006,229.8434750278845,227.63777868659452,225.41758064716015,223.56241790378942,221.36185131502333,219.19523856711095,217.3531269740998
전라남도,154.82817450645868,155.04032356309236,154.55352794103322,153.74208559314476,152.54625878998021,151.3742183196708,149.9460645767365,148.29823042503784,147.0569151733344,145.94509112382002
경상북도,141.92818443137688,142.02451827836074,141.89171579600028,141.42682254039144,140.64230884415932,140.06168136896912,138.66880319428392,137.9898396620926,136.6062911054611,138.64036777915882
경상남도,317.9215221104574,319.26803810680536,320.11376143307143,320.72752803658517,320.10967637878196,319.0156920040985,316.8904995920536,314.3819425340783,311.19202785129534,308.3858667299028
제주특별자치도,328.4726879394267,337.6750851765724,346.97798929208807,355.141606312831,360.60479948113715,362.6575505350773,364.628148308291,365.75636383289196,366.53280726407957,364.94190131330055
