"시군구별","적용인구별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"총합계","건강보험적용인구","시군구별 적용인구 현황","명","50490157","50763283","50940885","51071982","51391447","51344938","51412137","51409978",
"총합계","사업장수","시군구별 적용인구 현황","개","1465354","1621520","1659619","1752678","1840671","1915756","2005323","2051984",
"총합계","총가입자수","시군구별 적용인구 현황","명","36224766","36674739","36898912","36989716","37227477","37149795","37179823","36632790",
"총합계","가입자수","시군구별 적용인구 현황","명","15760157","16337524","16829663","17479465","18123124","18542657","19089710","19593873",
"총합계","피부양자수","시군구별 적용인구 현황","명","20464609","20337215","20069249","19510251","19104353","18607138","18090113","17038917",
"총합계","가입자수","시군구별 적용인구 현황","명","14265391","14088544","14041973","14082266","14163970","14195143","14232314","14777188",
"총합계","세대수","시군구별 적용인구 현황","세대","7653483","7665056","7786208","8052557","8376732","8589611","8816767","9314231",
"서울특별시","건강보험적용인구","시군구별 적용인구 현황","명","9873985","9786846","9730439","9657503","9682667","9602088","9523120","9496371",
"서울특별시","사업장수","시군구별 적용인구 현황","개","380843","402793","418376","436467","450477","463036","479195","487282",
"서울특별시","총가입자수","시군구별 적용인구 현황","명","7041605","7041101","7025591","6973331","6986787","6921362","6864947","6760408",
"서울특별시","가입자수","시군구별 적용인구 현황","명","3298988","3381556","3456886","3562474","3671974","3731642","3813832","3895558",
"서울특별시","피부양자수","시군구별 적용인구 현황","명","3742617","3659545","3568705","3410857","3314813","3189720","3051115","2864850",
"서울특별시","가입자수","시군구별 적용인구 현황","명","2832380","2745745","2704848","2684172","2695880","2680726","2658173","2735963",
"서울특별시","세대수","시군구별 적용인구 현황","세대","1550317","1524678","1532147","1571572","1640495","1669601","1701628","1778735",
"종로구","건강보험적용인구","시군구별 적용인구 현황","명","155982","153090","155238","153542","152812","150236","150247","149865",
"종로구","사업장수","시군구별 적용인구 현황","개","18282","18830","19300","19709","20049","19864","19995","20248",
"종로구","총가입자수","시군구별 적용인구 현황","명","103275","102486","105092","104115","103581","102177","100154","98202",
"종로구","가입자수","시군구별 적용인구 현황","명","49041","49972","52489","53817","54945","56044","56507","57694",
"종로구","피부양자수","시군구별 적용인구 현황","명","54234","52514","52603","50298","48636","46133","43647","40508",
"종로구","가입자수","시군구별 적용인구 현황","명","52707","50604","50146","49427","49231","48059","50093","51663",
"종로구","세대수","시군구별 적용인구 현황","세대","29588","28682","28880","29247","30218","30178","33055","34877",
"중구","건강보험적용인구","시군구별 적용인구 현황","명","131175","129925","130605","131246","134349","131497","131039","130352",
"중구","사업장수","시군구별 적용인구 현황","개","24139","24993","25431","25946","26626","26430","26487","26703",
"중구","총가입자수","시군구별 적용인구 현황","명","85230","85285","86925","87844","89817","87592","87222","86158",
"중구","가입자수","시군구별 적용인구 현황","명","43534","44946","46611","49225","51565","51584","53010","53911",
"중구","피부양자수","시군구별 적용인구 현황","명","41696","40339","40314","38619","38252","36008","34212","32247",
"중구","가입자수","시군구별 적용인구 현황","명","45945","44640","43680","43402","44532","43905","43817","44194",
"중구","세대수","시군구별 적용인구 현황","세대","25691","25267","25098","25621","27626","27690","28757","29396",
"용산구","건강보험적용인구","시군구별 적용인구 현황","명","228126","224902","224494","224489","226130","226388","223143","221735",
"용산구","사업장수","시군구별 적용인구 현황","개","11153","11890","12236","12752","13073","13478","14039","14220",
"용산구","총가입자수","시군구별 적용인구 현황","명","155698","155257","156002","156839","157799","157884","156371","153881",
"용산구","가입자수","시군구별 적용인구 현황","명","76654","78650","81397","85470","88630","91472","93963","96117",
"용산구","피부양자수","시군구별 적용인구 현황","명","79044","76607","74605","71369","69169","66412","62408","57764",
"용산구","가입자수","시군구별 적용인구 현황","명","72428","69645","68492","67650","68331","68504","66772","67854",
"용산구","세대수","시군구별 적용인구 현황","세대","41390","40148","40263","40785","42469","43455","43526","44588",
"성동구","건강보험적용인구","시군구별 적용인구 현황","명","292125","294915","301411","304980","299051","291355","287798","284942",
"성동구","사업장수","시군구별 적용인구 현황","개","13053","14067","14833","15650","16595","17569","18697","18982",
"성동구","총가입자수","시군구별 적용인구 현황","명","204740","210365","216525","220365","216178","210295","207559","203602",
"성동구","가입자수","시군구별 적용인구 현황","명","97916","103260","109503","115602","116020","115733","117604","119657",
"성동구","피부양자수","시군구별 적용인구 현황","명","106824","107105","107022","104763","100158","94562","89955","83945",
"성동구","가입자수","시군구별 적용인구 현황","명","87385","84550","84886","84615","82873","81060","80239","81340",
"성동구","세대수","시군구별 적용인구 현황","세대","47438","46694","47906","49433","49891","49908","51236","52787",
"광진구","건강보험적용인구","시군구별 적용인구 현황","명","356822","354561","355894","353629","352389","347194","345012","344755",
"광진구","사업장수","시군구별 적용인구 현황","개","9809","10639","10957","11415","11872","12164","12591","12581",
"광진구","총가입자수","시군구별 적용인구 현황","명","248257","248736","251404","250707","249207","244922","241368","238139",
"광진구","가입자수","시군구별 적용인구 현황","명","119993","123197","127871","132374","135326","136640","139266","142287",
"광진구","피부양자수","시군구별 적용인구 현황","명","128264","125539","123533","118333","113881","108282","102102","95852",
"광진구","가입자수","시군구별 적용인구 현황","명","108565","105825","104490","102922","103182","102272","103644","106616",
"광진구","세대수","시군구별 적용인구 현황","세대","61032","60171","60568","61568","64279","65556","69009","72166",
"동대문구","건강보험적용인구","시군구별 적용인구 현황","명","348895","343968","340376","337963","338180","334641","338656","341681",
"동대문구","사업장수","시군구별 적용인구 현황","개","11210","11770","12134","12602","12745","12861","13278","13525",
"동대문구","총가입자수","시군구별 적용인구 현황","명","232921","232427","231478","231846","232938","230553","230821","229215",
"동대문구","가입자수","시군구별 적용인구 현황","명","105312","107582","109580","113667","117592","119163","123489","126533",
"동대문구","피부양자수","시군구별 적용인구 현황","명","127609","124845","121898","118179","115346","111390","107332","102682",
"동대문구","가입자수","시군구별 적용인구 현황","명","115974","111541","108898","106117","105242","104088","107835","112466",
"동대문구","세대수","시군구별 적용인구 현황","세대","63427","61903","61811","62388","63677","64534","70610","75437",
"중랑구","건강보험적용인구","시군구별 적용인구 현황","명","399838","396954","394547","388971","383414","380700","375453","374910",
"중랑구","사업장수","시군구별 적용인구 현황","개","6691","7168","7427","7669","7821","8222","8723","9009",
"중랑구","총가입자수","시군구별 적용인구 현황","명","263034","264463","264122","260463","257336","255785","253144","249777",
"중랑구","가입자수","시군구별 적용인구 현황","명","120016","123704","126852","130443","132726","135364","138161","142071",
"중랑구","피부양자수","시군구별 적용인구 현황","명","143018","140759","137270","130020","124610","120421","114983","107706",
"중랑구","가입자수","시군구별 적용인구 현황","명","136804","132491","130425","128508","126078","124915","122309","125133",
"중랑구","세대수","시군구별 적용인구 현황","세대","74595","73568","73754","75040","75612","76842","76598","79610",
"성북구","건강보험적용인구","시군구별 적용인구 현황","명","445974","437023","431748","423885","432051","426482","426978","430260",
"성북구","사업장수","시군구별 적용인구 현황","개","7780","8255","8508","8977","9232","9534","9791","9872",
"성북구","총가입자수","시군구별 적용인구 현황","명","307788","304871","302786","298098","306341","302838","301000","299019",
"성북구","가입자수","시군구별 적용인구 현황","명","135042","136490","138206","140983","149135","151339","154207","158315",
"성북구","피부양자수","시군구별 적용인구 현황","명","172746","168381","164580","157115","157206","151499","146793","140704",
"성북구","가입자수","시군구별 적용인구 현황","명","138186","132152","128962","125787","125710","123644","125978","131241",
"성북구","세대수","시군구별 적용인구 현황","세대","72129","69968","69370","69926","72039","72780","77222","82142",
"강북구","건강보험적용인구","시군구별 적용인구 현황","명","314857","310855","308930","303261","298655","292553","286095","282189",
"강북구","사업장수","시군구별 적용인구 현황","개","4984","5256","5453","5753","5943","6151","6345","6317",
"강북구","총가입자수","시군구별 적용인구 현황","명","203263","202998","202667","198509","195989","190674","187097","181477",
"강북구","가입자수","시군구별 적용인구 현황","명","89003","91049","93312","95138","96714","96137","97690","98597",
"강북구","피부양자수","시군구별 적용인구 현황","명","114260","111949","109355","103371","99275","94537","89407","82880",
"강북구","가입자수","시군구별 적용인구 현황","명","111594","107857","106263","104752","102666","101879","98998","100712",
"강북구","세대수","시군구별 적용인구 현황","세대","59772","58833","59255","60392","60933","61896","61685","63899",
"도봉구","건강보험적용인구","시군구별 적용인구 현황","명","341690","338107","333918","328899","323471","315527","309015","304681",
"도봉구","사업장수","시군구별 적용인구 현황","개","4986","5371","5532","5774","5969","6136","6418","6460",
"도봉구","총가입자수","시군구별 적용인구 현황","명","238093","237630","235177","230559","226369","219501","214991","208185",
"도봉구","가입자수","시군구별 적용인구 현황","명","104335","106507","107790","109403","110463","108973","110058","111241",
"도봉구","피부양자수","시군구별 적용인구 현황","명","133758","131123","127387","121156","115906","110528","104933","96944",
"도봉구","가입자수","시군구별 적용인구 현황","명","103597","100477","98741","98340","97102","96026","94024","96496",
"도봉구","세대수","시군구별 적용인구 현황","세대","53637","52804","52971","54719","55517","56126","55904","58571",
"노원구","건강보험적용인구","시군구별 적용인구 현황","명","549235","542435","530715","519776","509786","500116","491934","487331",
"노원구","사업장수","시군구별 적용인구 현황","개","8174","8456","8769","9175","9526","9803","10104","10155",
"노원구","총가입자수","시군구별 적용인구 현황","명","409449","407601","399988","391235","383602","376483","369111","359687",
"노원구","가입자수","시군구별 적용인구 현황","명","176217","179026","179286","181484","181975","183466","185153","186989",
"노원구","피부양자수","시군구별 적용인구 현황","명","233232","228575","220702","209751","201627","193017","183958","172698",
"노원구","가입자수","시군구별 적용인구 현황","명","139786","134834","130727","128541","126184","123633","122823","127644",
"노원구","세대수","시군구별 적용인구 현황","세대","72032","70437","69992","71720","72028","72251","73880","78206",
"은평구","건강보험적용인구","시군구별 적용인구 현황","명","479294","472872","469182","465229","463047","462963","460000","455524",
"은평구","사업장수","시군구별 적용인구 현황","개","6977","7592","7869","8201","8547","8838","9212","9224",
"은평구","총가입자수","시군구별 적용인구 현황","명","333790","333193","332245","329535","328974","329452","328311","320779",
"은평구","가입자수","시군구별 적용인구 현황","명","150497","154105","158001","162832","167337","172008","176779","179434",
"은평구","피부양자수","시군구별 적용인구 현황","명","183293","179088","174244","166703","161637","157444","151532","141345",
"은평구","가입자수","시군구별 적용인구 현황","명","145504","139679","136937","135694","134073","133511","131689","134745",
"은평구","세대수","시군구별 적용인구 현황","세대","77674","75585","75772","77638","78575","80337","81239","84118",
"서대문구","건강보험적용인구","시군구별 적용인구 현황","명","305516","306996","305790","303024","303623","306445","305983","310961",
"서대문구","사업장수","시군구별 적용인구 현황","개","6390","6843","7091","7409","7691","7858","8160","8358",
"서대문구","총가입자수","시군구별 적용인구 현황","명","214624","219036","219589","218331","219045","221417","218887","218722",
"서대문구","가입자수","시군구별 적용인구 현황","명","97564","102137","104458","107755","110951","114541","116582","120448",
"서대문구","피부양자수","시군구별 적용인구 현황","명","117060","116899","115131","110576","108094","106876","102305","98274",
"서대문구","가입자수","시군구별 적용인구 현황","명","90892","87960","86201","84693","84578","85028","87096","92239",
"서대문구","세대수","시군구별 적용인구 현황","세대","49620","48791","48501","49221","50674","52305","56511","61255",
"마포구","건강보험적용인구","시군구별 적용인구 현황","명","383687","375811","370990","371013","371871","368826","370730","369065",
"마포구","사업장수","시군구별 적용인구 현황","개","20134","21641","22705","23785","24271","25007","25826","26228",
"마포구","총가입자수","시군구별 적용인구 현황","명","276669","274415","272880","273471","274638","271794","272066","266674",
"마포구","가입자수","시군구별 적용인구 현황","명","134731","136944","139145","144617","149108","151030","155494","157855",
"마포구","피부양자수","시군구별 적용인구 현황","명","141938","137471","133735","128854","125530","120764","116572","108819",
"마포구","가입자수","시군구별 적용인구 현황","명","107018","101396","98110","97542","97233","97032","98664","102391",
"마포구","세대수","시군구별 적용인구 현황","세대","60388","58000","57184","58824","60509","61865","65120","68854",
"양천구","건강보험적용인구","시군구별 적용인구 현황","명","476614","469776","463917","456520","451363","447395","441675","436820",
"양천구","사업장수","시군구별 적용인구 현황","개","9476","10122","10430","10622","10880","11014","11263","11207",
"양천구","총가입자수","시군구별 적용인구 현황","명","357391","355293","352185","346383","343667","338739","335420","327053",
"양천구","가입자수","시군구별 적용인구 현황","명","159287","162259","164444","167184","170089","171246","174782","176947",
"양천구","피부양자수","시군구별 적용인구 현황","명","198104","193034","187741","179199","173578","167493","160638","150106",
"양천구","가입자수","시군구별 적용인구 현황","명","119223","114483","111732","110137","107696","108656","106255","109767",
"양천구","세대수","시군구별 적용인구 현황","세대","62552","60854","60661","61850","62493","64466","64482","67765",
"강서구","건강보험적용인구","시군구별 적용인구 현황","명","570722","577446","585420","580269","577143","565085","561142","557802",
"강서구","사업장수","시군구별 적용인구 현황","개","13838","14944","16216","17916","19622","21224","22668","23545",
"강서구","총가입자수","시군구별 적용인구 현황","명","419916","427855","435282","432144","429605","417587","416530","408598",
"강서구","가입자수","시군구별 적용인구 현황","명","199884","209554","219620","226906","232334","231259","237597","242334",
"강서구","피부양자수","시군구별 적용인구 현황","명","220032","218301","215662","205238","197271","186328","178933","166264",
"강서구","가입자수","시군구별 적용인구 현황","명","150806","149591","150138","148125","147538","147498","144612","149204",
"강서구","세대수","시군구별 적용인구 현황","세대","81420","82068","84883","86951","89283","91353","91678","96236",
"구로구","건강보험적용인구","시군구별 적용인구 현황","명","427706","426142","422241","418583","430220","424735","416949","415837",
"구로구","사업장수","시군구별 적용인구 현황","개","18016","18985","19441","20007","20537","20931","21362","21438",
"구로구","총가입자수","시군구별 적용인구 현황","명","304733","303816","300013","295800","299237","297014","294017","290117",
"구로구","가입자수","시군구별 적용인구 현황","명","144240","147120","148338","151481","157439","160143","162864","167169",
"구로구","피부양자수","시군구별 적용인구 현황","명","160493","156696","151675","144319","141798","136871","131153","122948",
