"사망원인별(104항목)","성별","연령(5세)별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"계","계","계","사망자수[명]","명","275895","280827","285534","298820","295110","304948","317680","372939",
"계","계","계","사망률[십만명당]","십만명당","541.5","549.4","557.3","582.5","574.8","593.9","618.9","727.6",
"계","계","0세","사망자수[명]","명","1190","1154","1000","931","822","674","626","565",
"계","계","0세","사망률[십만명당]","십만명당","281.9","282.1","270.5","280.7","268.3","240.6","241.2","226.8",
"계","계","1 - 4세","사망자수[명]","명","287","278","261","220","233","185","151","201",
"계","계","1 - 4세","사망률[십만명당]","십만명당","15.4","15.2","14.7","13","14.5","12.5","11.2","16.3",
"계","계","5 - 9세","사망자수[명]","명","207","205","210","177","178","142","136","183",
"계","계","5 - 9세","사망률[십만명당]","십만명당","8.9","8.7","8.9","7.6","7.7","6.2","6","8.4",
"계","계","10 - 14세","사망자수[명]","명","220","193","197","221","184","203","237","246",
"계","계","10 - 14세","사망률[십만명당]","십만명당","8.6","8","8.4","9.5","8","8.8","10.1","10.4",
"계","계","15 - 19세","사망자수[명]","명","685","718","626","620","610","563","536","550",
"계","계","15 - 19세","사망률[십만명당]","십만명당","20.9","22.5","20.6","21.6","22.4","22.1","22.4","23.5",
"계","계","20 - 24세","사망자수[명]","명","1155","1131","1087","1144","1126","1118","1138","1073",
"계","계","20 - 24세","사망률[십만명당]","십만명당","32.9","32","31.1","33.3","33.6","34.2","35.8","35.5",
"계","계","25 - 29세","사망자수[명]","명","1479","1374","1384","1384","1435","1588","1640","1684",
"계","계","25 - 29세","사망률[십만명당]","십만명당","47.2","43.5","42.6","41.3","41.8","45.3","46.5","48.2",
"계","계","30 - 34세","사망자수[명]","명","2315","2122","1849","1861","1788","1752","1770","1837",
"계","계","30 - 34세","사망률[십만명당]","십만명당","61","59","54.6","57.7","56.7","56","56","56.5",
"계","계","35 - 39세","사망자수[명]","명","3103","3064","3062","3204","3117","3007","2771","2590",
"계","계","35 - 39세","사망률[십만명당]","십만명당","79.9","77.7","76.6","79.5","78.7","79.4","77.2","76.5",
"계","계","40 - 44세","사망자수[명]","명","5537","5192","4680","4513","4219","4155","4217","4568",
"계","계","40 - 44세","사망률[십만명당]","십만명당","125.5","122","114","114","109.4","107.5","107.4","114.7",
"계","계","45 - 49세","사망자수[명]","명","8624","8192","8022","8071","7701","7419","7005","6971",
"계","계","45 - 49세","사망률[십만명당]","십만명당","197.2","183.6","176.9","178.1","171.9","169.4","165.7","170.9",
"계","계","50 - 54세","사망자수[명]","명","12609","11927","11260","11207","11096","10802","10660","11176",
"계","계","50 - 54세","사망률[십만명당]","십만명당","295.6","285.9","274.3","269.7","260.5","249.4","241","248.6",
"계","계","55 - 59세","사망자수[명]","명","16144","16688","16431","16667","16195","15588","14753","15165",
"계","계","55 - 59세","사망률[십만명당]","십만명당","415.8","409.4","389","390","380.2","370.5","358.2","374.1",
"계","계","60 - 64세","사망자수[명]","명","16696","17831","17721","18793","19261","19894","20960","22683",
"계","계","60 - 64세","사망률[십만명당]","십만명당","614.9","601.3","558","556.6","534.8","522.9","524.3","547.4",
