"행정구역별(읍면동)",2015,2016,2017,2018,2019,2020,2021,2022
"전국",19560603,19837665,20167922,20499543,20891348,21484785,22022753,22383187
"서울특별시",3914820,3915023,3948850,3981741,4043957,4126524,4191171,4252134
"부산광역시",1348315,1357230,1368360,1378164,1392291,1420252,1447194,1464557
"대구광역시",937573,945483,958273,968265,979852,997416,1013488,1024104
"인천광역시",1066297,1085407,1105006,1122041,1150455,1178564,1216719,1249056
"광주광역시",573181,575918,583068,586263,596078,608316,625511,634113
"대전광역시",588395,596752,604490,608260,616363,639020,648593,656236
"울산광역시",434058,435829,437889,439930,445731,452995,460289,462748
"세종특별자치시",76419,91854,105932,120629,131679,141133,147347,156289
"경기도",4537581,4647205,4773632,4934208,5097857,5294836,5492783,5617507
"강원도",611578,621943,627054,634847,641021,668479,682635,693576
"충청북도",613004,630578,643006,656101,670865,695948,713434,724108
"충청남도",816247,836296,859796,877628,892159,922067,947235,966019
"전라북도",726572,734037,738801,743341,749586,767803,785218,791720
"전라남도",730743,737423,743942,747681,751965,772660,788992,797720
"경상북도",1078479,1093211,1105213,1113008,1123145,1152097,1178040,1189287
"경상남도",1282617,1299027,1318106,1331278,1347182,1376240,1405646,1420266
"제주특별자치도",224724,234449,246504,256158,261162,270435,278458,283747
