"행정구역별(1)",2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"행정구역별(1)",인구 천명당 외국인수<br>(A÷B×1000),등록외국인<br>(A),주민등록인구<br>(B),인구 천명당 외국인수<br>(A÷B×1000),등록외국인<br>(A),주민등록인구<br>(B),인구 천명당 외국인수<br>(A÷B×1000),등록외국인<br>(A),주민등록인구<br>(B),인구 천명당 외국인수<br>(A÷B×1000),등록외국인<br>(A),주민등록인구<br>(B),인구 천명당 외국인수<br>(A÷B×1000),등록외국인<br>(A),주민등록인구<br>(B),인구 천명당 외국인수<br>(A÷B×1000),등록외국인<br>(A),주민등록인구<br>(B),인구 천명당 외국인수<br>(A÷B×1000),등록외국인<br>(A),주민등록인구<br>(B),인구 천명당 외국인수<br>(A÷B×1000),등록외국인<br>(A),주민등록인구<br>(B)
"전국",22.18,1143087,51529338,22.47,1161677,51696216,22.63,1171762,51778544,24.05,1246626,51826059,24.53,1271807,51849861,22.10,1145540,51829023,21.18,1093891,51638809,23.13,1189585,51439038
"서울특별시",27.43,274957,10022181,27.54,273441,9930616,27.10,267153,9857426,29.08,283984,9765623,28.97,281876,9729107,25.09,242623,9668465,23.83,226569,9509458,25.38,239297,9428372
"부산광역시",11.38,39991,3513777,11.96,41840,3498529,12.34,42837,3470653,13.29,45738,3441453,13.47,45999,3413841,11.90,40366,3391946,11.77,39420,3350380,12.92,42863,3317812
"대구광역시",10.51,26141,2487829,10.66,26493,2484557,10.68,26442,2475231,11.39,28033,2461769,12.38,30191,2438031,11.49,27798,2418346,11.42,27230,2385412,12.51,29568,2363691
"인천광역시",19.71,57669,2925815,20.08,59103,2943069,21.23,62596,2948542,22.97,67869,2954642,24.44,72259,2957026,22.99,67648,2942828,22.51,66364,2948375,24.21,71849,2967314
"광주광역시",12.54,18455,1472199,13.56,19920,1469214,14.54,21279,1463770,15.63,22815,1459336,16.36,23825,1456468,14.70,21323,1450062,14.52,20934,1441611,16.05,22967,1431050
"대전광역시",10.81,16416,1518775,11.25,17035,1514370,11.60,17431,1502227,12.20,18184,1489936,12.96,19109,1474870,11.54,16895,1463882,11.91,17292,1452251,14.24,20594,1446072
"울산광역시",22.31,26183,1173534,20.01,23457,1172304,17.61,20513,1165132,17.31,20002,1155623,17.81,20450,1148019,15.74,17884,1136017,15.00,16827,1121592,16.55,18379,1110663
"세종특별자치시",16.51,3481,210884,15.41,3745,243048,14.73,4125,280100,15.73,4940,314126,16.74,5700,340575,14.27,5076,355831,13.13,4884,371895,13.91,5336,383591
"경기도",29.52,369665,12522606,29.40,373923,12716780,29.64,381628,12873895,31.24,408526,13077153,31.29,414318,13239666,28.31,380144,13427014,26.57,360412,13565450,28.17,382865,13589432
"강원특별자치도",9.75,15108,1549507,10.21,15833,1550806,10.93,16949,1550142,11.83,18261,1543052,12.37,19069,1541502,11.23,17332,1542840,11.30,17384,1538492,13.32,20472,1536498
"충청북도",20.60,32637,1583952,22.30,35499,1591625,22.99,36656,1594432,24.72,39537,1599252,25.45,40714,1600007,23.15,37060,1600837,22.56,36045,1597427,25.87,41270,1595058
"충청남도",27.23,56583,2077649,28.78,60353,2096727,30.31,64155,2116770,32.09,68234,2126282,33.28,70675,2123709,30.43,64546,2121029,29.53,62578,2119257,33.52,71159,2123037
"전라북도",14.01,26194,1869711,14.65,27320,1864791,15.41,28588,1854607,17.07,31347,1836832,18.18,33074,1818917,17.34,31288,1804104,16.97,30331,1786855,19.75,34941,1769607
"전라남도",16.01,30566,1908996,16.68,31750,1903914,16.46,31221,1896424,17.55,33042,1882970,18.54,34638,1868745,17.77,32906,1851549,17.82,32656,1832803,21.45,38988,1817697
"경상북도",18.41,49765,2702826,19.02,51351,2700398,19.83,53364,2691706,21.28,56969,2676831,21.80,58119,2665836,19.88,52469,2639422,19.45,51100,2626609,21.94,57055,2600492
"경상남도",24.46,82316,3364702,24.01,81021,3373871,22.23,75136,3380404,22.02,74304,3373988,22.64,76123,3362553,20.13,67239,3340216,19.05,63148,3314183,21.46,70390,3280493
"제주특별자치도",27.16,16960,624395,30.54,19593,641597,33.01,21689,657083,37.23,24841,667191,38.25,25668,670989,34.01,22943,674635,30.61,20717,676759,31.84,21592,678159
