"행정구역(동읍면)별","5세별","항목","단위","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월",
"전국","계","총인구수[명]","명","51342881","51360454","51378174","51395238","51413925","51431100","51448183","51465228","51482816","51500986","51515399","51529338","51541582","51555409","51569536","51584349","51601265","51619330","51634618","51649552","51664244","51677054","51687682","51696216","51704332","51712221","51714935","51722903","51732586","51736224","51744948","51753820","51762492","51769092","51774649","51778544","51779148","51779892","51784669","51790131","51796179","51801449","51806977","51812153","51817851","51821881","51824477","51826059","51826287","51829538","51833175","51836763","51840339","51842636","51845612","51847538","51849253","51850705","51851427","51849861","51847509","51844627","51843195","51842524","51841371","51839408","51839852","51839953","51841786","51838016","51834302","51829023","51825932","51824142","51705905","51702100","51683025","51672400","51671569","51669716","51667688","51662290","51652704","51638809","51632473","51625561","51610695","51592660","51583722","51578178","51574446","51558441","51466658","51459626","51450829","51439038","51430018","51421479","51414281","51408155","51400521","51392745","51387133","51377213","51370001","51354226","51337076","51325329",
"전국","계","남자인구수[명]","명","25675816","25683724","25691721","25699428","25707941","25715304","25722769","25730212","25738014","25746132","25752345","25758186","25763237","25769138","25775322","25781628","25788953","25796204","25802692","25809031","25815202","25820488","25824429","25827594","25830890","25833963","25833566","25836516","25840361","25840911","25844117","25847379","25850675","25852884","25854608","25855919","25855611","25855513","25856654","25857963","25859449","25861116","25862378","25863568","25865557","25866067","25866371","25866129","25865518","25866255","25866984","25867727","25868330","25868406","25868638","25868377","25868023","25867179","25866604","25864816","25862863","25860491","25858743","25857509","25856030","25853937","25852796","25851388","25851003","25847719","25844667","25841029","25838512","25836561","25787390","25784538","25775853","25770033","25768310","25766031","25763891","25760238","25754446","25746684","25742528","25738197","25730584","25721053","25715591","25711784","25708650","25699579","25653998","25649509","25643889","25636951","25631538","25626211","25621573","25617485","25612361","25607244","25603147","25596921","25592335","25582773","25572695","25565736",
"전국","계","여자인구수[명]","명","25667065","25676730","25686453","25695810","25705984","25715796","25725414","25735016","25744802","25754854","25763054","25771152","25778345","25786271","25794214","25802721","25812312","25823126","25831926","25840521","25849042","25856566","25863253","25868622","25873442","25878258","25881369","25886387","25892225","25895313","25900831","25906441","25911817","25916208","25920041","25922625","25923537","25924379","25928015","25932168","25936730","25940333","25944599","25948585","25952294","25955814","25958106","25959930","25960769","25963283","25966191","25969036","25972009","25974230","25976974","25979161","25981230","25983526","25984823","25985045","25984646","25984136","25984452","25985015","25985341","25985471","25987056","25988565","25990783","25990297","25989635","25987994","25987420","25987581","25918515","25917562","25907172","25902367","25903259","25903685","25903797","25902052","25898258","25892125","25889945","25887364","25880111","25871607","25868131","25866394","25865796","25858862","25812660","25810117","25806940","25802087","25798480","25795268","25792708","25790670","25788160","25785501","25783986","25780292","25777666","25771453","25764381","25759593",
"전국","0 - 4세","총인구수[명]","명","2287973","2287062","2287457","2287366","2287554","2288732","2288295","2285680","2278064","2273557","2266748","2266781","2252633","2251213","2246122","2240866","2238335","2234706","2228374","2225116","2220320","2214251","2208351","2204271","2189956","2182298","2171642","2160668","2154267","2145774","2134244","2123734","2111877","2097747","2087252","2079115","2065227","2056028","2047498","2039283","2033077","2026268","2017730","2009641","1996984","1989832","1981793","1974244","1960995","1949960","1938272","1928429","1919871","1908552","1898790","1886793","1872869","1862496","1853895","1845122","1827643","1814637","1799753","1784299","1770084","1756612","1743226","1729645","1716872","1700800","1687896","1677023","1659105","1646210","1631796","1619492","1606712","1595533","1584170","1572868","1560008","1549314","1539170","1530469","1516736","1507838","1497685","1489468","1481270","1472109","1462542","1455094","1447698","1441190","1434268","1427590","1417505","1410275","1402248","1392925","1385492","1378543","1370536","1362560","1354266","1347862","1340661","1334588",
"전국","0 - 4세","남자인구수[명]","명","1174721","1173997","1174036","1173872","1174027","1174601","1174434","1173085","1168977","1166652","1162988","1162807","1155577","1154765","1152181","1149166","1147734","1145827","1142473","1140604","1137957","1134981","1131881","1129953","1122571","1118389","1112799","1107285","1104091","1099662","1093860","1088310","1082252","1075121","1069972","1066180","1058936","1054038","1049707","1045472","1042175","1038736","1034283","1030201","1023710","1020023","1016054","1012380","1005810","1000122","993961","988931","984700","978783","973745","967563","960729","955320","950868","946540","937713","931188","923406","915265","907897","901007","894086","887062","880373","872295","865652","860253","851013","844572","837299","831066","824557","818846","812867","807150","800511","795057","789986","785425","778266","773633","768358","764015","759706","754921","749841","746099","742149","738766","735117","731554","726460","722848","718749","713998","710118","706625","702534","698391","694081","690593","686869","683649",
"전국","0 - 4세","여자인구수[명]","명","1113252","1113065","1113421","1113494","1113527","1114131","1113861","1112595","1109087","1106905","1103760","1103974","1097056","1096448","1093941","1091700","1090601","1088879","1085901","1084512","1082363","1079270","1076470","1074318","1067385","1063909","1058843","1053383","1050176","1046112","1040384","1035424","1029625","1022626","1017280","1012935","1006291","1001990","997791","993811","990902","987532","983447","979440","973274","969809","965739","961864","955185","949838","944311","939498","935171","929769","925045","919230","912140","907176","903027","898582","889930","883449","876347","869034","862187","855605","849140","842583","836499","828505","822244","816770","808092","801638","794497","788426","782155","776687","771303","765718","759497","754257","749184","745044","738470","734205","729327","725453","721564","717188","712701","708995","705549","702424","699151","696036","691045","687427","683499","678927","675374","671918","668002","664169","660185","657269","653792","650939",
"전국","5 - 9세","총인구수[명]","명","2299061","2300378","2300765","2302941","2304476","2307282","2310302","2313165","2318584","2325476","2331738","2334907","2342316","2343317","2345912","2349105","2350959","2353102","2356860","2359473","2360633","2361140","2362029","2361897","2363630","2364149","2365326","2365601","2365648","2367265","2368496","2366439","2363846","2360617","2357934","2356083","2353778","2352220","2348448","2346473","2344617","2343069","2341465","2340363","2337604","2333921","2331416","2328818","2326003","2326246","2324672","2324492","2324580","2324842","2325757","2326493","2326415","2325239","2322652","2321792","2321011","2320187","2319722","2319549","2319378","2319182","2319048","2316305","2310893","2304230","2296576","2293047","2285139","2281218","2276998","2271913","2267462","2263696","2259589","2254317","2249841","2243234","2236333","2229881","2219906","2211012","2200049","2190424","2181422","2172465","2162139","2151118","2139473","2125432","2114023","2105052","2093251","2084380","2076042","2067217","2059793","2053367","2044583","2035855","2025104","2015700","2007367","1998304",
"전국","5 - 9세","남자인구수[명]","명","1185914","1186775","1187009","1188220","1188717","1189948","1191067","1192339","1195307","1198722","1201715","1203174","1206856","1207307","1208315","1210051","1210816","1211714","1213525","1214802","1215258","1215307","1215519","1215209","1216052","1216405","1217366","1217428","1217338","1218201","1218576","1217792","1216208","1214399","1212968","1211669","1210535","1209752","1207547","1206319","1205156","1204426","1203437","1202835","1201674","1199655","1197972","1196477","1194692","1194795","1193942","1193631","1193567","1193910","1194235","1194726","1194515","1193658","1192358","1191675","1190827","1190088","1189831","1189680","1189600","1189568","1189456","1188023","1185038","1181462","1177525","1175459","1171455","1169307","1167059","1164146","1161838","1159925","1157784","1154806","1152427","1149123","1145510","1142373","1137135","1132431","1126676","1121950","1117361","1112691","1107540","1101740","1095857","1088748","1083105","1078825","1072653","1067962","1063773","1059248","1055519","1052112","1047595","1043210","1037757","1032949","1028808","1024361",
"전국","5 - 9세","여자인구수[명]","명","1113147","1113603","1113756","1114721","1115759","1117334","1119235","1120826","1123277","1126754","1130023","1131733","1135460","1136010","1137597","1139054","1140143","1141388","1143335","1144671","1145375","1145833","1146510","1146688","1147578","1147744","1147960","1148173","1148310","1149064","1149920","1148647","1147638","1146218","1144966","1144414","1143243","1142468","1140901","1140154","1139461","1138643","1138028","1137528","1135930","1134266","1133444","1132341","1131311","1131451","1130730","1130861","1131013","1130932","1131522","1131767","1131900","1131581","1130294","1130117","1130184","1130099","1129891","1129869","1129778","1129614","1129592","1128282","1125855","1122768","1119051","1117588","1113684","1111911","1109939","1107767","1105624","1103771","1101805","1099511","1097414","1094111","1090823","1087508","1082771","1078581","1073373","1068474","1064061","1059774","1054599","1049378","1043616","1036684","1030918","1026227","1020598","1016418","1012269","1007969","1004274","1001255","996988","992645","987347","982751","978559","973943",
"전국","10 - 14세","총인구수[명]","명","2642390","2623031","2602499","2585749","2568959","2555759","2541904","2527183","2511687","2494529","2477675","2459825","2443333","2430813","2417173","2406512","2397295","2390867","2383506","2376960","2369707","2363208","2357287","2349979","2344872","2340897","2336754","2333791","2331817","2331314","2330623","2334974","2340252","2346513","2350519","2350767","2352183","2348772","2345098","2340656","2337291","2335607","2335998","2336012","2334702","2332165","2328816","2325548","2324450","2321421","2315507","2312926","2310418","2308903","2307173","2305476","2304950","2302482","2300817","2299958","2301928","2303211","2303504","2305680","2307180","2309910","2312869","2315672","2321149","2328052","2334337","2337589","2345005","2346014","2348504","2351681","2353447","2355482","2359174","2361735","2362857","2363390","2364308","2364196","2365898","2366443","2367644","2367899","2367903","2369555","2370782","2368657","2365627","2362437","2359740","2357952","2355722","2354205","2350514","2348692","2346881","2345319","2343738","2342608","2339862","2336067","2333537","2330969",
