"행정구역(동읍면)별","5세별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"전국","15 - 19세","총인구수[명]","명","3257264","3131059","2953658","2805605","2659052","2455747","2345120","2345244","2320491",
"전국","15 - 19세","남자인구수[명]","명","1702043","1632122","1541483","1461559","1383262","1274757","1215429","1211418","1196135",
"전국","15 - 19세","여자인구수[명]","명","1555221","1498937","1412175","1344046","1275790","1180990","1129691","1133826","1124356",
"전국","20 - 24세","총인구수[명]","명","3557583","3541061","3486427","3414902","3319645","3249676","3121322","2941841","2794440",
"전국","20 - 24세","남자인구수[명]","명","1886202","1877127","1840481","1795166","1736875","1695036","1624175","1532372","1452989",
"전국","20 - 24세","여자인구수[명]","명","1671381","1663934","1645946","1619736","1582770","1554640","1497147","1409469","1341451",
"전국","25 - 29세","총인구수[명]","명","3141465","3217367","3324540","3409071","3490711","3556477","3534601","3475340","3403046",
"전국","25 - 29세","남자인구수[명]","명","1641611","1682988","1747478","1796667","1846052","1878631","1867507","1829217","1783849",
"전국","25 - 29세","여자인구수[명]","명","1499854","1534379","1577062","1612404","1644659","1677846","1667094","1646123","1619197",
"전국","30 - 34세","총인구수[명]","명","3731387","3517868","3311945","3189361","3158230","3145998","3216061","3317257","3399252",
"전국","30 - 34세","남자인구수[명]","명","1911972","1806754","1702336","1645627","1633656","1636675","1675607","1737578","1785954",
"전국","30 - 34세","여자인구수[명]","명","1819415","1711114","1609609","1543734","1524574","1509323","1540454","1579679","1613298",
"전국","35 - 39세","총인구수[명]","명","3939579","4016272","4056704","4080782","3912794","3727119","3507374","3298254","3176296",
"전국","35 - 39세","남자인구수[명]","명","2007424","2045265","2070532","2077946","1997634","1904873","1797104","1691286","1635037",
"전국","35 - 39세","여자인구수[명]","명","1932155","1971007","1986172","2002836","1915160","1822246","1710270","1606968","1541259",
"전국","40 - 44세","총인구수[명]","명","4396186","4212243","4091743","3916194","3882192","3926316","3992831","4026249","4049259",
"전국","40 - 44세","남자인구수[명]","명","2238667","2143639","2072984","1993955","1970568","1996771","2030491","2052382","2059426",
"전국","40 - 44세","여자인구수[명]","명","2157519","2068604","2018759","1922239","1911624","1929545","1962340","1973867","1989833",
"전국","45 - 49세","총인구수[명]","명","4462807","4584810","4611009","4572393","4501038","4368471","4173961","4046868","3872875",
"전국","45 - 49세","남자인구수[명]","명","2266945","2317182","2343868","2322659","2290410","2218200","2119757","2046616","1968824",
"전국","45 - 49세","여자인구수[명]","명","2195862","2267628","2267141","2249734","2210628","2150271","2054204","2000252","1904051",
"전국","65 - 69세","총인구수[명]","명","2191617","2237345","2347021","2406790","2545616","2794037","3027963","3185502","3411009",
"전국","65 - 69세","남자인구수[명]","명","1050474","1072395","1128219","1155935","1227645","1345308","1462656","1544617","1660036",
"전국","65 - 69세","여자인구수[명]","명","1141143","1164950","1218802","1250855","1317971","1448729","1565307","1640885","1750973",
"전국","70 - 74세","총인구수[명]","명","1789894","1781229","1793132","1880192","1972502","2080134","2109712","2208256","2265989",
"전국","70 - 74세","남자인구수[명]","명","801927","806680","820056","869294","918569","971198","986553","1035925","1062361",
"전국","70 - 74세","여자인구수[명]","명","987967","974549","973076","1010898","1053933","1108936","1123159","1172331","1203628",
"전국","75 - 79세","총인구수[명]","명","1386543","1457890","1585974","1617744","1623542","1618112","1605372","1617461","1700214",
"전국","75 - 79세","남자인구수[명]","명","564174","600607","662122","680342","688481","693142","696848","710630","756369",
"전국","75 - 79세","여자인구수[명]","명","822369","857283","923852","937402","935061","924970","908524","906831","943845",
"전국","80 - 84세","총인구수[명]","명","838507","909130","968146","1032594","1103019","1143935","1201825","1303349","1331277",
"전국","80 - 84세","남자인구수[명]","명","288017","319391","346908","376285","409083","430519","457975","503828","519060",
"전국","80 - 84세","여자인구수[명]","명","550490","589739","621238","656309","693936","713416","743850","799521","812217",
"전국","85 - 89세","총인구수[명]","명","386703","416164","451453","484398","530317","585487","633656","667244","713747",
"전국","85 - 89세","남자인구수[명]","명","103656","113221","126131","139164","156334","177942","196253","210419","229165",
"전국","85 - 89세","여자인구수[명]","명","283047","302943","325322","345234","373983","407545","437403","456825","484582",
"전국","90 - 94세","총인구수[명]","명","134214","141488","153236","165694","185868","203704","217247","229306","246429",
"전국","90 - 94세","남자인구수[명]","명","31436","32695","34873","37592","42658","46761","49809","53694","59066",
"전국","90 - 94세","여자인구수[명]","명","102778","108793","118363","128102","143210","156943","167438","175612","187363",
"전국","95 - 99세","총인구수[명]","명","31414","34844","39294","44213","45891","48756","47297","48439","53209",
"전국","95 - 99세","남자인구수[명]","명","6937","7658","8592","9709","10089","10297","9042","8825","9487",
"전국","95 - 99세","여자인구수[명]","명","24477","27186","30702","34504","35802","38459","38255","39614","43722",
"전국","100+","총인구수[명]","명","16209","17562","17850","18783","20160","21912","7961","7733","8537",
"전국","100+","남자인구수[명]","명","3782","4137","4024","4327","4830","5351","1372","1261","1423",
"전국","100+","여자인구수[명]","명","12427","13425","13826","14456","15330","16561","6589","6472","7114",
"서울특별시","15 - 19세","총인구수[명]","명","567984","538419","503852","474755","449014","410214","388257","386616","378197",
"서울특별시","15 - 19세","남자인구수[명]","명","294144","278216","260173","244207","230579","210272","198819","197487","193013",
"서울특별시","15 - 19세","여자인구수[명]","명","273840","260203","243679","230548","218435","199942","189438","189129","185184",
"서울특별시","20 - 24세","총인구수[명]","명","703783","690728","674674","658915","641964","630115","603077","578374","555058",
