,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,출생아수,합계출산율,남녀성비,인구증가율,주민등록인구,가구수,일반공공행정예산비중,소멸위험지수,소멸위험등급
0,세종특별자치시_2015,11,12,8,9,16,18,19,15,162,7,36,1356,3570,0,1,96,51,0,40,5.8,1229.0,89.5,87.7,2708,1.893,100.6,34.94,210884,76419,6.3,3.333634781804432,D
1,경기도 수원시_2015,14,17,15,14,22,26,30,32,1809,158,73,20400,69880,4,34,650,395,2,308,8.9,10526.0,99.0,100.0,12036,1.292,101.4,1.06,1184624,444991,6.6,4.421850330675927,D
2,경기도 성남시_2015,13,17,14,12,22,25,30,29,1628,103,55,11510,48568,6,16,679,423,2,312,9.4,9131.0,99.5,99.9,8864,1.159,98.8,-0.26,971424,365646,5.7,2.417350443071441,D
3,경기도 안양시_2015,13,17,14,12,21,25,31,31,1045,63,55,7555,31499,4,13,345,234,1,173,8.0,4785.0,100.0,100.0,5160,1.177,99.0,-0.47,597789,209332,7.1,2.8188522413958963,D
4,경기도 부천시_2015,14,17,15,11,19,25,30,27,1167,100,75,11582,42474,5,22,481,269,7,204,14.0,11868.0,100.0,100.0,6909,1.072,99.9,-0.64,848987,310306,5.0,2.9333219329782816,D
5,경기도 광명시_2015,15,18,14,12,22,27,30,29,504,15,79,4592,20718,1,3,191,108,0,79,6.0,2076.0,98.5,100.0,3364,1.235,98.5,-0.88,344978,120612,6.2,2.52598892233238,D
6,경기도 평택시_2015,13,16,15,14,16,24,30,32,612,35,70,7631,27812,4,12,220,121,0,97,9.1,4171.0,85.3,97.8,4462,1.469,103.9,2.67,460532,171406,5.4,2.160819079793824,D
7,경기도 안산시_2015,14,17,16,13,20,25,30,30,982,80,84,9801,40017,4,20,327,183,10,127,13.6,9492.0,98.9,99.8,5880,1.219,105.1,-1.05,697885,283872,9.6,4.634025584497635,D
8,경기도 과천시_2015,14,17,16,12,19,25,33,27,69,1,115,684,3665,0,0,33,18,0,13,0.3,18.0,98.5,99.7,492,1.099,94.5,-1.74,68946,22728,13.8,1.9306425794600288,D
9,경기도 오산시_2015,15,17,16,14,21,26,32,34,240,8,112,6259,15598,1,3,90,62,0,33,9.6,1987.0,98.9,100.0,2537,1.458,105.1,-0.42,206828,80655,8.1,5.336184782631133,D
10,경기도 시흥시_2015,15,17,15,15,20,25,29,33,545,29,94,5290,24994,3,3,164,100,7,57,10.5,4199.0,94.5,99.9,3346,1.306,110.4,1.21,398256,159123,11.6,4.974503124317034,D
11,경기도 군포시_2015,15,16,15,14,23,26,31,32,371,29,86,4396,16802,2,3,134,86,0,59,8.7,2507.0,99.8,100.0,3191,1.422,98.9,-0.16,287519,101518,6.4,3.0974965451465275,D
12,경기도 의왕시_2015,13,16,15,12,23,24,29,27,177,4,78,2020,7842,0,1,62,43,0,27,12.6,1994.0,99.3,99.9,1357,1.209,99.8,-0.48,157740,53949,8.0,2.471767943509892,D
13,경기도 하남시_2015,15,17,13,11,20,25,27,26,162,5,90,2106,7861,0,4,77,42,0,33,4.4,728.0,88.0,98.0,1212,1.076,103.1,11.83,166713,56482,8.7,2.318406663490741,D
14,경기도 용인시_2015,15,18,16,14,21,26,32,33,1645,45,77,18159,67783,3,9,434,282,0,199,9.2,8985.0,92.9,98.5,9296,1.316,98.7,1.59,975746,330661,6.2,2.6927401408249017,D
15,경기도 이천시_2015,13,15,14,12,17,23,28,29,336,27,73,2718,12787,1,4,96,53,0,41,9.1,1867.0,90.0,94.0,2036,1.47,103.2,0.11,204935,73823,4.7,1.6932241785483333,D
16,경기도 안성시_2015,12,13,13,14,16,20,27,29,1322,15,13,2784,10861,1,3,70,45,0,32,12.8,2308.0,77.5,91.2,1509,1.335,104.1,-0.79,180199,71895,7.4,0.9552066815703866,C
17,경기도 김포시_2015,15,17,15,13,19,24,29,28,493,21,82,8285,22951,2,4,150,101,2,75,8.4,2927.0,83.9,92.7,3757,1.461,101.0,3.06,349990,123493,6.9,2.3847195089215667,D
18,경기도 화성시_2015,16,17,16,16,20,25,32,36,919,29,81,13381,44842,2,9,246,168,0,107,7.8,4675.0,82.9,98.4,6726,1.555,106.7,10.02,596525,211944,10.6,4.468961816399332,D
19,경기도 광주시_2015,14,19,16,14,21,27,32,31,359,9,81,2830,16940,0,3,97,60,0,56,4.6,1424.0,94.3,88.9,3253,1.45,105.7,4.64,312579,111807,9.3,2.6154622288839704,D
