행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시_2018,9.0,12.0,8.0,9.0,15.0,19.0,20.0,22.0,483.0,16.0,8.0,532.0,2352.0
경기도 수원시_2018,13.0,17.0,14.0,11.0,19.0,26.0,29.0,27.0,1913.0,178.0,64.0,20185.0,69067.0
경기도 성남시_2018,11.0,16.0,13.0,10.0,17.0,25.0,28.0,26.0,1825.0,129.0,45.0,10848.0,47386.0
경기도 안양시_2018,12.0,17.0,14.0,12.0,17.0,25.0,28.0,28.0,1009.0,64.0,50.0,6474.0,29276.0
경기도 부천시_2018,12.0,16.0,13.0,10.0,17.0,24.0,27.0,24.0,1155.0,105.0,67.0,10934.0,41572.0
경기도 광명시_2018,12.0,16.0,13.0,11.0,17.0,25.0,28.0,27.0,533.0,32.0,67.0,3795.0,19063.0
경기도 평택시_2018,13.0,16.0,13.0,12.0,14.0,24.0,27.0,28.0,655.0,50.0,66.0,7768.0,29706.0
경기도 안산시_2018,12.0,16.0,14.0,11.0,16.0,24.0,27.0,26.0,919.0,86.0,75.0,8336.0,35622.0
경기도 과천시_2018,10.0,16.0,14.0,10.0,12.0,25.0,30.0,23.0,72.0,4.0,82.0,353.0,2799.0
경기도 오산시_2018,14.0,16.0,15.0,12.0,17.0,25.0,31.0,29.0,261.0,13.0,102.0,6222.0,16320.0
경기도 시흥시_2018,14.0,16.0,13.0,12.0,17.0,24.0,28.0,28.0,652.0,34.0,77.0,5821.0,27185.0
경기도 군포시_2018,13.0,15.0,13.0,12.0,18.0,25.0,28.0,29.0,410.0,34.0,69.0,3650.0,15530.0
경기도 의왕시_2018,12.0,15.0,13.0,11.0,16.0,24.0,27.0,25.0,172.0,6.0,71.0,1614.0,7397.0
경기도 하남시_2018,14.0,17.0,13.0,9.0,18.0,25.0,28.0,21.0,269.0,9.0,84.0,2917.0,14275.0
경기도 용인시_2018,14.0,17.0,14.0,12.0,17.0,26.0,30.0,29.0,1821.0,54.0,67.0,17554.0,68419.0
경기도 이천시_2018,12.0,15.0,13.0,11.0,14.0,23.0,27.0,25.0,354.0,25.0,66.0,2754.0,13080.0
