시도별_2018,하수도보급률,상수도보급률
경기도 수원시_2018,99.4,100
경기도 성남시_2018,99.7,100
경기도 안양시_2018,100,100
경기도 부천시_2018,99.9,100
경기도 광명시_2018,98.9,99.9
경기도 평택시_2018,77.4,99.8
경기도 안산시_2018,99.1,99.9
경기도 과천시_2018,98.5,98.4
경기도 오산시_2018,98.1,100
경기도 시흥시_2018,94.6,99.9
경기도 군포시_2018,99.8,100
경기도 의왕시_2018,99,99.9
경기도 하남시_2018,95.4,98.4
경기도 용인시_2018,95.7,99.1
경기도 이천시_2018,91.5,98.1
경기도 안성시_2018,78.1,92.4
경기도 김포시_2018,88.2,94.9
경기도 화성시_2018,84,100
경기도 광주시_2018,94.5,91.1
경기도 여주시_2018,82.2,88.4
경기도 양평군_2018,78.4,77
경기도 의정부시_2018,98.8,99.3
경기도 동두천시_2018,98.9,98.5
경기도 고양시_2018,93.8,99.7
경기도 구리시_2018,99.7,99.9
경기도 남양주시_2018,96.6,97.1
경기도 파주시_2018,93.8,99
경기도 양주시_2018,92.7,97.9
경기도 포천시_2018,84.9,84.8
경기도 연천군_2018,86.8,97.6
경기도 가평군_2018,80.3,81.6
강원특별자치도 춘천시_2018,95,97.2
강원특별자치도 원주시_2018,87.5,95.4
강원특별자치도 강릉시_2018,91.8,95.1
강원특별자치도 동해시_2018,98.4,99.2
강원특별자치도 태백시_2018,81.2,98
강원특별자치도 속초시_2018,99.5,99.6
강원특별자치도 삼척시_2018,89.3,91.4
강원특별자치도 홍천군_2018,79.3,73.7
강원특별자치도 횡성군_2018,65.4,80.5
강원특별자치도 영월군_2018,75.2,78.1
강원특별자치도 평창군_2018,76.5,82.2
강원특별자치도 정선군_2018,86,80.6
강원특별자치도 철원군_2018,82,90.3
강원특별자치도 화천군_2018,68.6,64.2
강원특별자치도 양구군_2018,86.3,81.9
강원특별자치도 인제군_2018,73.7,82.6
강원특별자치도 고성군_2018,86.1,85.1
강원특별자치도 양양군_2018,75.2,91.7
경상남도 창원시_2018,100,98.4
경상남도 진주시_2018,100,100
경상남도 통영시_2018,100,99
경상남도 사천시_2018,100,96.3
경상남도 김해시_2018,97.6,98.1
경상남도 밀양시_2018,86.4,81.6
경상남도 거제시_2018,80.5,97.1
경상남도 양산시_2018,100,98.4
경상남도 의령군_2018,98.3,69.7
경상남도 함안군_2018,100,95.8
경상남도 창녕군_2018,100,99.6
경상남도 고성군_2018,98.6,79.8
경상남도 남해군_2018,100,69.5
경상남도 하동군_2018,100,55.1
경상남도 산청군_2018,100,48.3
경상남도 함양군_2018,99,65.4
경상남도 거창군_2018,100,76.8
경상남도 합천군_2018,100,54.1
경상북도 포항시_2018,83.4,95.6
경상북도 경주시_2018,93.1,95.5
경상북도 김천시_2018,80,88
경상북도 안동시_2018,78.9,91.6
경상북도 구미시_2018,97.9,99.9
경상북도 영주시_2018,86.8,88.4
경상북도 영천시_2018,72.7,95.8
경상북도 상주시_2018,72.6,75.1
경상북도 문경시_2018,82.4,93.3
경상북도 경산시_2018,93.2,99.3
경상북도 군위군_2018,38.1,74.7
경상북도 의성군_2018,44.2,89.2
경상북도 청송군_2018,43.6,71.5
경상북도 영양군_2018,54.7,89.2
경상북도 영덕군_2018,74.7,93
경상북도 청도군_2018,56,79.7
경상북도 고령군_2018,62.3,96.3
경상북도 성주군_2018,38.1,73.9
경상북도 칠곡군_2018,77.3,92.9
경상북도 예천군_2018,57.9,86.4
경상북도 봉화군_2018,61.9,67.4
경상북도 울진군_2018,70.8,73.8
경상북도 울릉군_2018,1.6,89.4
광주광역시 동구_2018,99.5,100
광주광역시 서구_2018,99.9,100
광주광역시 남구_2018,99.4,100
광주광역시 북구_2018,99.2,99.78
광주광역시 광산구_2018,95.7,99.92
대구광역시 중구_2018,100,100
대구광역시 동구_2018,98.9,99.8
대구광역시 서구_2018,100,100
대구광역시 남구_2018,100,100
대구광역시 북구_2018,99.8,100
대구광역시 수성구_2018,99.6,100
대구광역시 달서구_2018,100,100
대구광역시 달성군_2018,89.6,100
대전광역시 동구_2018,99.2,99.99
대전광역시 중구_2018,99.4,100
대전광역시 서구_2018,99.2,99.91
대전광역시 유성구_2018,91.8,99.81
대전광역시 대덕구_2018,99.6,99.96
부산광역시 중구_2018,100,100
부산광역시 서구_2018,100,100
부산광역시 동구_2018,100,100
부산광역시 영도구_2018,100,100
부산광역시 부산진구_2018,100,100
부산광역시 동래구_2018,100,100
부산광역시 남구_2018,100,100
부산광역시 북구_2018,100,100
부산광역시 해운대구_2018,100,100
부산광역시 사하구_2018,100,100
부산광역시 금정구_2018,100,100
부산광역시 강서구_2018,94.07,100
부산광역시 연제구_2018,100,100
부산광역시 수영구_2018,100,100
부산광역시 사상구_2018,100,100
부산광역시 기장군_2018,90.28,100
서울특별시 종로구_2018,100,100
서울특별시 중구_2018,100,100
서울특별시 용산구_2018,100,100
서울특별시 성동구_2018,100,100
서울특별시 광진구_2018,100,100
서울특별시 동대문구_2018,100,100
서울특별시 중랑구_2018,100,100
서울특별시 성북구_2018,100,100
서울특별시 강북구_2018,100,100
서울특별시 도봉구_2018,100,100
서울특별시 노원구_2018,100,100
서울특별시 은평구_2018,100,100
서울특별시 서대문구_2018,100,100
서울특별시 마포구_2018,100,100
서울특별시 양천구_2018,100,100
서울특별시 강서구_2018,100,100
서울특별시 구로구_2018,100,100
서울특별시 금천구_2018,99,100
서울특별시 영등포구_2018,100,100
서울특별시 동작구_2018,100,100
서울특별시 관악구_2018,100,100
서울특별시 서초구_2018,100,100
서울특별시 강남구_2018,100,100
서울특별시 송파구_2018,100,100
서울특별시 강동구_2018,100,100
세종특별자치시_2018,95.6,92.5
울산광역시 중구_2018,99.8,100
울산광역시 남구_2018,99.9,100
울산광역시 동구_2018,99.9,99.9
울산광역시 북구_2018,99,99.9
울산광역시 울주군_2018,96.2,92.3
인천광역시 강화군_2018,31.3,72.5
인천광역시 옹진군_2018,43.1,25.3
인천광역시 중구_2018,87.2,99.5
인천광역시 동구_2018,98.3,100
인천광역시 미추홀구_2018,100,100
인천광역시 연수구_2018,99.6,100
인천광역시 남동구_2018,99.2,100
인천광역시 부평구_2018,100,100
인천광역시 계양구_2018,99.2,100
인천광역시 서구_2018,98.6,99.9
전라남도 목포시_2018,98,99.8
전라남도 여수시_2018,84,92.4
전라남도 순천시_2018,91.5,96
전라남도 나주시_2018,68.2,81.6
전라남도 광양시_2018,92.7,87.1
전라남도 담양군_2018,73.3,78.8
전라남도 곡성군_2018,77.5,79
전라남도 구례군_2018,89.2,73.9
전라남도 고흥군_2018,57.5,73.1
전라남도 보성군_2018,57.3,57
전라남도 화순군_2018,78.8,87.7
전라남도 장흥군_2018,59.7,83.8
전라남도 강진군_2018,60.3,63.1
전라남도 해남군_2018,51.5,73.9
전라남도 영암군_2018,72.8,85.7
전라남도 무안군_2018,65,98.6
전라남도 함평군_2018,63.9,87.2
전라남도 영광군_2018,55.9,93.6
전라남도 장성군_2018,60.3,91.7
전라남도 완도군_2018,58.8,96.4
전라남도 진도군_2018,59.9,99.1
전라남도 신안군_2018,31.2,89.8
전북특별자치도 전주시_2018,99,100
전북특별자치도 군산시_2018,93,98.9
전북특별자치도 익산시_2018,90,99.4
전북특별자치도 정읍시_2018,78,98.8
전북특별자치도 남원시_2018,82,92
전북특별자치도 김제시_2018,63,100
전북특별자치도 완주군_2018,84,80.3
전북특별자치도 진안군_2018,78,83.8
전북특별자치도 무주군_2018,76,81
전북특별자치도 장수군_2018,83,86.3
전북특별자치도 임실군_2018,64,88.8
전북특별자치도 순창군_2018,52,79.4
전북특별자치도 고창군_2018,67,99.6
전북특별자치도 부안군_2018,71,99.9
제주특별자치도 제주시_2018,92.4,100
제주특별자치도 서귀포시_2018,93.4,100
충청남도 천안시_2018,96.3,99.1
충청남도 공주시_2018,72.1,96.2
충청남도 보령시_2018,76,98
충청남도 아산시_2018,82,99.8
충청남도 서산시_2018,75.1,98
충청남도 논산시_2018,73.1,93.4
충청남도 계룡시_2018,97.1,99.4
충청남도 당진시_2018,64.4,94.9
충청남도 금산군_2018,78,92.2
충청남도 부여군_2018,59.7,92.6
충청남도 서천군_2018,53.7,95.4
충청남도 청양군_2018,51.8,92.7
충청남도 홍성군_2018,71.1,98.7
충청남도 예산군_2018,56.3,92.4
충청남도 태안군_2018,58,87.6
충청북도 청주시_2018,93.1,97.1
충청북도 충주시_2018,92.1,92
충청북도 제천시_2018,93.2,94
충청북도 보은군_2018,71,52.3
충청북도 옥천군_2018,87.9,86.9
충청북도 영동군_2018,68.8,78.6
충청북도 증평군_2018,97.1,99.9
충청북도 진천군_2018,79.9,89.8
충청북도 괴산군_2018,50.4,66.1
충청북도 음성군_2018,62.7,86.8
충청북도 단양군_2018,76.9,74
서울특별시_2018,0,0
인천광역시_2018,0,0
경기도_2018,0,0
강원도_2018,0,0
충청남도_2018,0,0
충청북도 _2018,0,0
대전광역시_2018,0,0
전북특별자치도_2018,0,0
전라남도_2018,0,0
광주광역시_2018,0,0
경상북도_2018,0,0
대구광역시_2018,0,0
경상남도_2018,0,0
울산광역시_2018,0,0
부산광역시_2018,0,0
제주특별자치도_2018,0,0
