시도별,하수도보급률,상수도보급률
경기도 수원시_2021,99.8,100
경기도 성남시_2021,99.6,100
경기도 안양시_2021,100,100
경기도 부천시_2021,99.9,100
경기도 광명시_2021,98.7,99.9
경기도 평택시_2021,90.3,100
경기도 안산시_2021,99.4,99.8
경기도 과천시_2021,98.7,99.1
경기도 오산시_2021,99,100
경기도 시흥시_2021,96.2,99.9
경기도 군포시_2021,99.8,100
경기도 의왕시_2021,100,100
경기도 하남시_2021,99.5,99.6
경기도 용인시_2021,92.9,99.5
경기도 이천시_2021,92.4,95.2
경기도 안성시_2021,77.7,93.1
경기도 김포시_2021,91.4,96.5
경기도 화성시_2021,87.7,100
경기도 광주시_2021,96.8,93
경기도 여주시_2021,83.7,91.5
경기도 양평군_2021,79.2,81.3
경기도 의정부시_2021,99,99.4
경기도 동두천시_2021,98.9,97.7
경기도 고양시_2021,93,99.8
경기도 구리시_2021,99.6,100
경기도 남양주시_2021,96,97.7
경기도 파주시_2021,94.2,99.1
경기도 양주시_2021,96.4,98.2
경기도 포천시_2021,85.6,90.9
경기도 연천군_2021,72.5,97.9
경기도 가평군_2021,82.8,54.1
강원특별자치도 춘천시_2021,95.5,98.2
강원특별자치도 원주시_2021,91.3,95.6
강원특별자치도 강릉시_2021,92.3,95.5
강원특별자치도 동해시_2021,98.4,99.6
강원특별자치도 태백시_2021,82,97.8
강원특별자치도 속초시_2021,99.5,99.7
강원특별자치도 삼척시_2021,89.3,91.1
강원특별자치도 홍천군_2021,78.6,79.7
강원특별자치도 횡성군_2021,70.2,88.6
강원특별자치도 영월군_2021,78.8,78.7
강원특별자치도 평창군_2021,82,82.4
강원특별자치도 정선군_2021,90.1,81.1
강원특별자치도 철원군_2021,83,93.4
강원특별자치도 화천군_2021,72.1,68.2
강원특별자치도 양구군_2021,89.2,80.7
강원특별자치도 인제군_2021,83.9,85.5
강원특별자치도 고성군_2021,88.8,89.9
강원특별자치도 양양군_2021,83.7,92.8
경상남도 창원시_2021,96.6,98.8
경상남도 진주시_2021,93.8,100
경상남도 통영시_2021,87.2,98.6
경상남도 사천시_2021,96,97.4
경상남도 김해시_2021,99.6,98.6
경상남도 밀양시_2021,84.6,87.4
경상남도 거제시_2021,86.2,98.1
경상남도 양산시_2021,98.6,98.4
경상남도 의령군_2021,67.2,77.5
경상남도 함안군_2021,67.9,98.2
경상남도 창녕군_2021,78.6,99.8
경상남도 고성군_2021,70.5,81.5
경상남도 남해군_2021,81.2,77.9
경상남도 하동군_2021,78.3,60.8
경상남도 산청군_2021,68.8,50
경상남도 함양군_2021,78.7,67.3
경상남도 거창군_2021,84.2,80.4
경상남도 합천군_2021,69,58.7
경상북도 포항시_2021,85.1,96
경상북도 경주시_2021,94.4,94
경상북도 김천시_2021,84.9,89.3
경상북도 안동시_2021,80.1,93.2
경상북도 구미시_2021,98.5,99.8
경상북도 영주시_2021,87.1,90.3
경상북도 영천시_2021,75.7,97.1
경상북도 상주시_2021,73.5,79.2
경상북도 문경시_2021,82.4,90.8
경상북도 경산시_2021,92.9,99.3
경상북도 군위군_2021,45.6,92
경상북도 의성군_2021,48.9,95.2
경상북도 청송군_2021,52.4,77.3
경상북도 영양군_2021,63.1,90.9
경상북도 영덕군_2021,77.5,96.7
경상북도 청도군_2021,57.8,87.6
경상북도 고령군_2021,63.6,99.1
경상북도 성주군_2021,50,81.9
경상북도 칠곡군_2021,77.8,95.2
경상북도 예천군_2021,65.3,91.8
경상북도 봉화군_2021,72.8,70.9
경상북도 울진군_2021,71.3,83.7
경상북도 울릉군_2021,5.4,92.3
광주광역시 동구_2021,99.9,100
광주광역시 서구_2021,99.9,100
광주광역시 남구_2021,99.1,100
광주광역시 북구_2021,98.7,99.82
광주광역시 광산구_2021,97.9,100
대구광역시 중구_2021,100,100
대구광역시 동구_2021,99,99.81
대구광역시 서구_2021,100,100
대구광역시 남구_2021,100,100
대구광역시 북구_2021,99.8,100
대구광역시 수성구_2021,99.6,100
대구광역시 달서구_2021,100,100
대구광역시 달성군_2021,92.1,100
대전광역시 동구_2021,99.2,100
대전광역시 중구_2021,99.4,100
대전광역시 서구_2021,99.3,99.93
대전광역시 유성구_2021,93.9,99.85
대전광역시 대덕구_2021,99.6,99.96
부산광역시 중구_2021,100,100
부산광역시 서구_2021,100,100
부산광역시 동구_2021,100,100
부산광역시 영도구_2021,100,100
부산광역시 부산진구_2021,100,100
부산광역시 동래구_2021,100,100
부산광역시 남구_2021,100,100
부산광역시 북구_2021,100,100
부산광역시 해운대구_2021,100,100
부산광역시 사하구_2021,100,100
부산광역시 금정구_2021,100,100
부산광역시 강서구_2021,94.58,100
부산광역시 연제구_2021,100,100
부산광역시 수영구_2021,100,100
부산광역시 사상구_2021,100,100
부산광역시 기장군_2021,96.36,100
서울특별시 종로구_2021,100,100
서울특별시 중구_2021,100,100
서울특별시 용산구_2021,100,100
서울특별시 성동구_2021,100,100
서울특별시 광진구_2021,100,100
서울특별시 동대문구_2021,100,100
서울특별시 중랑구_2021,100,100
서울특별시 성북구_2021,100,100
서울특별시 강북구_2021,100,100
서울특별시 도봉구_2021,100,100
서울특별시 노원구_2021,100,100
서울특별시 은평구_2021,100,100
서울특별시 서대문구_2021,100,100
서울특별시 마포구_2021,100,100
서울특별시 양천구_2021,98,100
서울특별시 강서구_2021,100,100
서울특별시 구로구_2021,100,100
