시도별_2017,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
경기도 수원시_2017,6,205,0,0,"3,900","42,643",9,654,78,"1,012","2,376","23,943","17,131","57,152","7,306","18,536","13,606","47,389",592,"6,524",859,"14,822","3,444","11,489","2,280","45,124","1,468","33,095",138,"16,055","4,469","38,622","3,329","38,695","2,671","8,724","8,236","18,965"
경기도 성남시_2017,8,93,0,0,"4,248","39,519",25,970,73,"1,575","2,085","34,103","16,166","67,742","5,802","15,336","11,229","41,134","1,517","55,562",692,"11,306","3,365","14,231","2,376","39,287","1,102","23,762",124,"9,350","3,997","35,303","2,842","34,928","2,141","7,549","6,396","17,058"
경기도 안양시_2017,1,3,2,55,"4,005","35,152",9,256,53,798,"1,854","19,902","11,858","39,521","4,334","11,429","7,025","23,591",803,"8,922",533,"9,134","2,071","7,580","1,791","22,817",716,"15,157",73,"4,643","2,422","19,247","1,672","18,973","1,344","3,953","4,248","9,918"
경기도 부천시_2017,4,31,0,0,"10,657","71,475",5,215,56,"1,490","1,738","16,533","13,196","42,122","5,967","11,039","9,643","28,981",414,"3,858",631,"10,119","2,469","7,569","1,205","6,988",804,"17,645",82,"4,977","2,615","21,596","2,199","28,095","2,013","5,646","6,378","13,443"
경기도 광명시_2017,1,2,0,0,"1,793","14,550",4,89,29,328,641,"4,882","5,040","17,675","2,320","5,689","2,976","10,111",105,810,149,"2,453",867,"2,715",264,"2,263",220,"4,455",45,"1,898","1,208","8,744",904,"8,850",530,"2,337","2,018","4,159"
경기도 평택시_2017,46,532,2,38,"3,672","82,769",15,984,125,"1,407","1,212","10,259","8,004","23,795","3,375","12,660","7,192","20,895",100,"1,052",308,"3,964","1,956","3,920",639,"4,617",686,"9,344",85,"4,645","1,480","11,409","1,157","12,332","1,083","2,587","3,593","7,747"
경기도 안산시_2017,10,90,5,42,"9,265","128,838",15,557,146,"1,682","1,838","14,053","11,598","36,219","6,130","12,728","9,031","25,473",228,"1,573",502,"6,594","1,887","5,146","1,151","8,537",986,"14,442",89,"5,485","2,075","19,952","1,736","22,643","1,829","5,014","4,882","10,164"
경기도 과천시_2017,4,26,0,0,86,385,0,0,12,290,146,"2,645","1,314","5,069",290,926,531,"2,231",43,"1,835",32,649,190,772,105,"4,430",49,"1,761",34,"5,030",243,"1,865",151,"1,500",90,"4,518",308,912
경기도 오산시_2017,4,48,0,0,862,"11,390",3,134,35,435,378,"3,574","2,696","9,295","1,762","3,277","2,549","8,032",50,392,82,"1,138",449,"1,128",171,"1,071",312,"5,551",24,"1,444",638,"6,859",568,"6,264",494,"1,375","1,279","2,975"
경기도 시흥시_2017,6,25,0,0,"12,128","92,131",5,160,91,741,"1,005","8,392","8,873","27,228","3,529","7,211","5,460","15,668",110,662,181,"2,070","1,408","3,209",508,"3,044",447,"3,560",52,"3,065","1,275","9,909","1,055","10,918","1,051","2,499","2,626","5,163"
경기도 군포시_2017,0,0,0,0,"3,078","28,186",3,152,34,369,586,"5,023","3,375","12,545","1,686","9,298","2,703","8,633",138,"1,199",94,966,742,"2,310",440,"4,128",275,"6,431",27,"1,768","1,072","8,080",765,"8,212",541,"2,012","1,727","3,822"
경기도 의왕시_2017,2,6,0,0,"1,085","10,323",2,32,25,244,312,"2,514","1,828","6,806","1,150","4,476","1,335","4,242",89,"1,834",41,371,442,"1,535",222,"4,566",103,"1,170",26,"1,987",435,"3,524",378,"4,083",259,900,868,"1,960"
경기도 하남시_2017,2,8,0,0,"1,436","8,749",5,178,28,378,590,"5,367","4,867","21,106","1,290","4,112","1,821","6,765",68,926,68,784,669,"1,777",230,"1,520",238,"2,166",31,"1,627",510,"4,298",544,"4,640",309,"1,603","1,142","2,570"
경기도 용인시_2017,25,175,11,201,"4,066","56,148",14,213,106,"1,735","1,579","15,778","11,219","42,552","5,075","18,773","8,640","29,278",375,"4,558",348,"4,783","2,923","8,701","1,328","27,421",763,"12,124",97,"5,960","3,842","35,160","2,461","26,080","1,717","11,668","5,046","12,810"
경기도 이천시_2017,44,498,0,0,"1,888","38,197",6,87,52,829,581,"6,985","3,723","11,997","1,806","10,339","3,144","10,259",58,459,128,"1,863",576,"1,369",298,"3,702",367,"6,553",65,"2,135",769,"6,657",546,"6,924",523,"2,585","1,667","3,365"
경기도 안성시_2017,56,730,5,19,"2,534","39,706",5,136,79,791,484,"3,570","3,014","9,175","1,403","4,615","2,879","7,299",29,558,94,"1,206",409,823,217,"1,317",261,"3,783",58,"2,072",596,"6,623",527,"5,588",461,"2,080","1,331","2,760"
경기도 김포시_2017,16,123,1,5,"8,768","71,059",9,185,127,919,739,"4,874","5,864","19,962","2,292","6,678","3,895","12,051",75,478,151,"1,837","1,153","3,020",404,"1,769",364,"1,844",47,"2,167","1,209","9,848",934,"9,379",684,"2,170","2,060","4,893"
경기도 화성시_2017,27,273,22,116,"18,222","225,269",15,306,266,"2,298","1,803","17,846","11,032","36,813","4,481","12,625","8,232","26,390",150,"1,409",280,"3,024","2,562","6,727","1,013","31,125",692,"9,926",82,"4,058","2,409","21,863","1,755","16,454","1,377","4,979","3,774","8,506"
경기도 광주시_2017,25,185,3,36,"6,587","49,127",5,85,49,615,936,"7,124","5,934","22,932","3,177","9,848","3,569","10,542",56,434,88,"1,295",946,"2,069",404,"2,037",347,"1,424",40,"2,514",811,"7,075",785,"8,438",693,"2,696","2,142","5,016"
경기도 여주시_2017,23,244,10,72,"1,107","8,530",3,55,35,295,310,"1,767","2,081","6,188",716,"1,975","1,818","4,814",22,175,62,718,310,657,157,983,153,"2,023",60,"2,056",321,"2,949",316,"3,681",297,"3,086",882,"1,862"
경기도 양평군_2017,34,269,0,0,405,"1,539",7,58,31,248,408,"2,004","1,630","4,264",493,"1,042","2,316","5,971",45,322,51,580,441,770,171,699,104,337,49,"1,748",315,"2,604",300,"3,488",276,"1,026",775,"1,444"
경기도 의정부시_2017,3,21,1,47,"1,350","7,625",6,664,25,504,738,"5,075","6,395","20,004","2,679","5,720","5,368","16,072",116,"1,425",347,"5,127","1,117","3,208",646,"4,194",338,"3,545",64,"5,939","1,492","12,277","1,336","16,157","1,020","2,798","3,275","6,953"
경기도 동두천시_2017,2,10,0,0,508,"5,915",7,233,28,321,188,976,"1,444","3,560",658,"1,302","1,471","3,808",15,209,56,874,226,575,65,197,71,280,29,"1,211",279,"2,307",323,"4,323",178,635,840,"1,516"
경기도 고양시_2017,16,151,0,0,"5,751","32,476",17,532,108,"1,761","2,256","18,728","18,032","63,659","6,451","17,992","10,226","35,864",898,"6,747",596,"8,126","3,074","10,381","1,703","9,102","1,238","15,390",107,"7,054","4,212","30,052","2,629","34,684","2,313","9,122","6,994","17,613"
경기도 구리시_2017,0,0,1,2,838,"4,207",1,64,17,293,459,"3,703","4,146","13,927","1,636","3,791","2,497","8,249",48,604,180,"3,379",579,"1,732",269,"2,419",183,"2,386",30,"2,149",770,"5,289",602,"6,642",414,"1,490","1,531","4,234"
경기도 남양주시_2017,15,65,3,40,"5,662","32,941",9,237,71,902,"1,194","7,965","8,798","31,834","4,140","8,400","6,154","18,012",107,764,165,"2,040","1,613","4,116",473,"2,143",439,"2,559",59,"3,340","1,890","15,334","1,655","16,660","1,086","4,114","3,406","6,968"
경기도 파주시_2017,20,211,4,43,"5,555","78,434",10,209,76,"1,117",869,"7,154","6,196","21,386","2,567","9,703","5,067","15,078",403,"4,139",165,"2,146","1,076","3,118",434,"1,778",395,"3,852",65,"2,542","1,154","10,905","1,089","10,897",909,"3,431","2,478","5,714"
경기도 양주시_2017,10,34,5,63,"4,227","35,330",11,107,92,889,573,"3,740","3,703","11,285","1,615","3,423","2,514","7,027",23,113,65,804,581,"1,318",201,938,278,"1,659",39,"1,770",586,"5,334",565,"5,951",430,"1,673","1,434","3,086"
경기도 포천시_2017,33,225,15,357,"5,897","43,271",10,376,137,938,479,"3,161","3,525","10,846","1,314","3,132","3,218","8,518",33,201,92,"1,413",305,634,215,"1,003",202,908,55,"1,927",353,"4,749",428,"4,734",397,"2,271","1,289","2,621"
경기도 연천군_2017,12,143,8,64,376,"2,887",5,59,32,307,207,"1,274",796,"1,728",204,400,895,"1,921",16,91,38,348,107,171,48,202,47,152,37,"1,098",121,"1,021",144,"1,382",130,372,436,692
경기도 가평군_2017,2,102,3,119,326,"1,745",6,162,22,239,290,"1,707","1,123","2,806",222,696,"2,866","7,552",25,156,40,447,173,353,124,535,60,428,29,"1,302",189,"2,070",193,"2,270",248,"1,962",541,"1,341"
강원특별자치도 춘천시_2017,26,487,5,194,"1,195","7,121",11,662,51,505,861,"7,346","4,964","13,914","1,947","5,108","5,494","15,006",222,"3,427",277,"3,894",646,"2,753",585,"3,657",365,"3,403",90,"6,551","1,151","11,783",885,"12,157",850,"3,753","2,733","5,791"
강원특별자치도 원주시_2017,34,244,13,223,"1,866","19,472",22,352,80,857,"1,373","13,108","7,167","20,143","2,726","6,064","6,213","16,640",149,"1,622",378,"8,614","1,121","3,837",647,"3,923",592,"7,419",86,"4,512","1,363","13,030","1,066","14,067",911,"3,011","3,319","6,953"
강원특별자치도 강릉시_2017,38,301,26,315,"1,263","7,427",13,465,53,580,893,"7,805","4,852","13,324","1,622","4,528","5,661","15,258",104,938,248,"3,207",444,"1,315",375,"2,184",358,"3,019",76,"4,007","1,015","8,195",649,"8,320",593,"1,576","2,235","4,384"
강원특별자치도 동해시_2017,2,21,3,100,481,"3,212",7,446,20,187,361,"3,763","2,118","5,084",707,"2,678","2,062","4,903",20,233,80,985,137,518,97,385,150,"1,214",42,"1,879",350,"2,292",249,"3,176",221,552,878,"1,626"
강원특별자치도 태백시_2017,10,45,16,842,228,"1,239",10,105,21,235,264,"1,651","1,210","2,753",377,"1,071","1,006","2,408",34,148,56,585,57,231,48,448,96,"1,098",32,"1,609",158,"1,503",136,"1,541",149,599,691,"1,133"
강원특별자치도 속초시_2017,6,45,0,0,386,"2,149",5,54,23,209,310,"2,011","2,216","5,391",732,"1,784","2,553","7,581",33,286,86,"1,091",226,789,139,518,128,570,40,"1,892",296,"2,265",269,"2,563",281,926,874,"1,621"
강원특별자치도 삼척시_2017,17,298,40,"1,651",358,"2,057",11,583,29,180,424,"3,532","1,604","3,232",383,833,"1,994","4,549",28,205,71,733,86,314,97,727,116,"1,358",57,"2,148",235,"2,673",194,"2,237",212,814,696,"1,133"
강원특별자치도 홍천군_2017,26,217,3,36,410,"2,614",9,77,26,227,325,"2,468","1,439","3,421",395,"1,120","1,778","5,591",22,165,59,766,135,272,113,761,128,"1,056",43,"1,533",228,"2,016",200,"1,867",169,"1,024",683,"1,104"
강원특별자치도 횡성군_2017,14,131,1,27,362,"3,999",5,49,20,216,199,"1,086",913,"2,181",232,474,"1,048","2,690",25,120,31,326,117,235,73,310,74,372,38,"1,257",125,"1,446",130,"1,209",111,639,375,705
강원특별자치도 영월군_2017,2,44,20,433,243,"1,979",5,150,11,98,223,"2,094",849,"1,817",226,598,"1,097","2,319",22,130,33,289,48,103,67,274,55,519,45,"1,562",137,"1,272",118,"1,297",151,605,417,731
강원특별자치도 평창군_2017,36,349,2,33,236,"1,093",3,39,18,226,197,"1,499",967,"2,303",181,445,"1,716","5,054",21,152,45,496,103,196,85,498,107,813,37,"1,998",137,"1,235",112,875,133,584,365,708
강원특별자치도 정선군_2017,10,123,13,343,214,977,5,40,11,92,172,"1,065",883,"1,721",261,598,"1,295","3,909",20,119,76,390,42,134,46,133,93,"1,752",42,"1,375",121,989,92,921,118,"3,607",407,806
강원특별자치도 철원군_2017,22,233,1,6,236,"1,328",3,14,15,116,220,"1,370",870,"1,800",228,378,"1,057","2,168",18,107,35,284,58,106,56,221,43,120,25,"1,055",156,"1,212",118,"1,464",152,477,421,631
강원특별자치도 화천군_2017,14,90,0,0,126,517,3,57,13,154,133,856,454,874,95,234,694,"1,362",21,140,16,173,32,56,25,73,29,97,24,"1,749",86,793,66,580,99,204,219,362
강원특별자치도 양구군_2017,6,69,3,18,126,606,3,27,17,86,141,793,399,828,76,206,622,"1,278",11,77,19,160,31,62,27,105,39,148,25,899,83,864,56,535,78,303,194,318
강원특별자치도 인제군_2017,13,111,3,25,193,896,2,31,14,132,178,"1,057",771,"1,590",135,211,"1,198","2,304",10,70,29,334,35,52,46,276,38,169,30,"1,044",113,988,82,"1,642",151,662,283,499
강원특별자치도 고성군_2017,13,113,11,52,214,"1,181",3,26,12,153,186,"1,124",620,"1,169",125,252,"1,044","2,620",9,41,25,204,33,57,28,125,49,410,32,995,84,"1,016",77,"1,526",76,464,237,429
강원특별자치도 양양군_2017,23,124,10,72,209,"1,088",4,114,29,177,181,"1,043",799,"1,507",162,346,"1,594","3,503",14,71,27,223,75,165,36,158,91,307,34,"1,004",135,976,72,"1,440",121,403,285,574
경상남도 창원시_2017,19,245,12,81,"10,128","131,305",19,735,147,"1,927","3,176","27,031","20,769","56,154","6,916","20,036","17,820","46,593",449,"4,029","1,018","15,309","3,144","10,654","1,813","11,959","1,411","21,423",224,"13,265","4,329","29,297","2,912",3,"2,459","7,164","8,980","18,085"
경상남도 진주시_2017,54,585,3,20,"2,669","15,516",17,549,52,738,"1,180","10,695","7,893","20,526","2,310","7,126","6,261","16,357",129,"1,589",395,"5,063","1,018","4,903",605,"5,059",469,"3,121",90,"5,495","1,693","13,735","1,027","14,155",928,"2,298","3,242","6,462"
경상남도 통영시_2017,0,0,1,7,601,"6,362",11,295,26,320,336,"2,526","3,030","7,138",772,"1,947","3,359","7,429",40,361,164,"2,121",318,932,145,729,154,923,63,"2,577",458,"3,333",369,"4,109",330,901,"1,168","2,031"
경상남도 사천시_2017,20,206,1,7,990,"16,886",4,127,41,398,383,"3,005","2,832","6,575",616,"1,843","2,258","5,607",32,375,95,"1,072",300,697,140,719,131,608,49,"1,588",404,"2,779",350,"4,234",227,849,"1,071","2,020"
경상남도 김해시_2017,15,90,12,202,"10,052","92,058",14,272,183,"1,761","1,287","8,886","10,338","29,451","3,494","8,733","7,679","20,495",105,"1,132",305,"3,846","1,605","3,541",736,"4,115",537,"5,163",70,"3,848","2,250","15,035","1,415","15,525","1,150","4,226","3,810","7,496"
경상남도 밀양시_2017,21,224,1,7,989,"8,783",10,137,38,284,380,"2,433","2,149","5,092",779,"1,633","2,061","4,061",36,249,96,"1,067",287,590,147,942,92,490,50,"2,018",323,"2,172",314,"3,680",190,484,"1,122","1,830"
경상남도 거제시_2017,3,4,1,7,853,"50,680",2,28,31,655,489,"10,883","3,444","8,678",872,"2,835","5,131","12,697",54,465,160,"2,238",533,"1,763",291,"4,984",237,"2,728",65,"2,146",868,"6,482",568,"6,274",525,"1,417","1,638","2,981"
경상남도 양산시_2017,14,116,6,87,"3,912","50,113",10,181,99,931,808,"6,107","5,151","15,082","2,546","8,582","5,049","13,670",65,547,177,"2,259","1,115","2,650",324,"1,812",359,"3,104",58,"2,391","1,222","8,607",878,"11,821",696,"2,919","2,490","5,291"
경상남도 의령군_2017,10,178,5,46,282,"2,035",2,28,12,95,97,655,357,737,116,203,457,851,17,86,30,216,25,41,34,89,13,50,34,"1,562",67,775,102,"1,125",43,187,236,404
경상남도 함안군_2017,17,168,1,7,"2,501","23,897",11,118,51,536,215,"1,389","1,296","3,149",448,"1,190","1,140","2,464",23,113,40,372,179,326,75,353,64,444,32,999,193,"1,478",193,"2,634",107,391,583,"1,126"
경상남도 창녕군_2017,25,268,4,29,875,"9,335",17,65,26,183,211,"1,246","1,177","2,835",501,985,"1,233","2,556",22,131,50,465,156,256,70,356,67,366,36,"1,397",190,"1,449",186,"2,394",123,576,580,964
경상남도 고성군_2017,17,142,0,0,557,"6,187",6,610,11,82,213,"1,689","1,082","2,186",284,695,"1,062","2,177",28,134,51,479,97,193,63,222,63,440,45,"1,148",168,"1,243",155,"1,645",94,461,545,951
경상남도 남해군_2017,25,162,1,7,307,"1,122",2,28,25,126,186,"1,152",978,"2,080",250,554,"1,652","3,698",27,142,51,472,78,119,56,242,66,207,42,"1,089",147,"1,203",143,"1,855",92,376,441,788
경상남도 하동군_2017,15,210,6,16,378,"1,355",16,687,13,111,178,"1,032","1,059","2,007",132,326,"1,030","1,840",27,154,44,519,66,102,56,232,43,703,45,"1,076",134,"1,100",145,"1,732",79,200,462,757
경상남도 산청군_2017,30,249,17,74,428,"2,097",7,100,8,80,180,"1,080",703,"1,445",138,380,787,"1,637",20,109,28,270,47,77,44,135,31,126,37,984,105,980,120,"1,420",69,147,323,578
경상남도 함양군_2017,16,114,3,47,334,"1,884",3,43,12,97,194,"1,472",890,"1,823",203,519,923,"1,923",25,130,42,428,55,99,49,178,31,83,32,"1,079",136,"1,002",126,"1,383",58,266,365,652
경상남도 거창군_2017,10,142,8,122,439,"2,813",4,45,11,144,254,"2,330","1,228","2,792",266,799,"1,091","2,302",38,170,56,715,67,164,90,412,61,200,39,"1,297",259,"1,824",198,"2,188",127,398,577,900
경상남도 합천군_2017,25,164,7,32,373,"1,425",2,28,13,125,206,"1,500",786,"1,519",213,352,769,"1,426",26,158,47,422,40,59,55,258,28,154,49,"1,391",139,"1,020",139,"1,358",63,182,418,826
경상북도 포항시_2017,16,161,14,78,"3,057","39,408",19,320,107,"1,496","1,697","16,617","11,290","26,984","3,718","10,937","9,265","22,481",211,"2,220",462,"5,842","1,139","3,112",789,"6,380",660,"9,786",137,"5,693","1,944","15,009","1,523","18,143","1,343","3,040","4,939","9,789"
경상북도 경주시_2017,29,309,16,62,"3,605","42,796",19,"3,304",91,"1,231",829,"5,998","5,440","12,711","1,699","4,257","6,151","15,607",91,597,194,"2,371",529,"1,327",416,"2,573",411,"3,206",89,"3,085",920,"7,454",659,"9,022",662,"3,057","2,416","4,559"
경상북도 김천시_2017,30,267,10,77,"1,007","12,968",8,101,48,377,437,"3,282","2,507","6,058",952,"3,569","2,225","5,298",46,257,112,"1,235",262,770,141,"3,636",140,"1,273",77,"3,675",424,"3,822",411,"5,643",281,582,"1,290","2,098"
경상북도 안동시_2017,24,270,15,111,949,"4,333",14,355,29,338,634,"4,612","3,738","9,205","1,121","2,254","2,979","6,589",108,"1,141",180,"2,059",276,"1,132",285,"1,759",183,925,101,"4,975",705,"5,657",482,"7,388",404,"1,284","1,590","2,885"
경상북도 구미시_2017,20,247,10,66,"4,542","95,569",19,435,79,934,"1,317","9,623","7,775","19,169","3,587","7,242","6,562","16,514",195,"1,318",380,"4,727",996,"4,001",573,"2,909",747,"8,123",96,"3,434","1,821","12,444","1,221","12,011","1,192","2,819","3,587","6,841"
경상북도 영주시_2017,9,64,10,134,820,"5,981",4,129,25,235,420,"2,723","2,826","6,939",748,"2,411","2,023","4,994",43,430,113,"1,338",150,544,128,642,102,485,56,"1,654",449,"3,279",291,"3,672",222,737,"1,165","2,038"
경상북도 영천시_2017,36,275,2,22,"1,687","17,947",8,59,70,486,345,"1,995","2,062","4,858",695,"1,322","1,543","3,280",31,180,98,904,239,639,105,678,104,806,59,"1,710",275,"2,090",301,"3,930",173,816,897,"1,576"
경상북도 상주시_2017,20,208,8,49,785,"4,643",4,63,19,174,403,"3,529","1,875","4,288",657,"1,470","1,528","3,069",48,255,94,"1,102",114,342,124,743,111,589,67,"2,039",377,"2,790",311,"3,623",177,742,949,"1,557"
경상북도 문경시_2017,19,130,4,55,538,"3,261",3,39,26,336,250,"1,713","1,528","3,503",475,869,"1,491","3,055",25,156,62,753,108,220,83,300,71,275,56,"1,363",241,"1,834",234,"4,173",150,536,722,"1,194"
경상북도 경산시_2017,16,156,5,101,"3,380","36,461",14,367,63,523,575,"4,677","4,549","11,977","1,528","4,415","3,719","9,749",91,623,139,"1,527",745,"1,864",377,"2,444",263,"1,484",56,"2,450",924,"14,596",700,"8,125",571,"1,949","2,020","3,975"
경상북도 군위군_2017,11,73,1,11,292,"2,186",4,34,22,111,128,"1,078",385,899,127,275,361,880,15,80,24,222,43,81,31,134,11,48,38,837,44,388,64,722,42,326,231,374
경상북도 의성군_2017,33,241,5,8,434,"1,954",9,60,24,153,275,"1,470","1,026","2,031",281,446,728,"1,292",30,160,62,537,46,100,63,291,41,153,57,"1,510",104,904,171,"2,057",52,197,540,821
경상북도 청송군_2017,9,214,4,28,185,460,2,26,13,60,120,645,504,"1,072",103,260,651,"1,268",13,93,29,217,17,18,22,81,16,29,38,"2,040",60,521,88,"2,141",47,166,268,401
경상북도 영양군_2017,16,77,1,11,106,379,3,44,6,19,146,538,296,447,73,131,262,441,12,75,14,110,5,6,17,72,19,44,27,762,50,420,55,458,27,78,177,250
경상북도 영덕군_2017,14,99,9,60,298,"1,258",5,48,18,123,155,"1,034",988,"1,727",198,324,"1,156","2,205",20,106,50,418,51,73,32,159,36,171,41,"1,117",105,759,115,"1,124",84,470,426,632
경상북도 청도군_2017,50,856,4,26,477,"2,649",16,60,12,111,199,"1,054",960,"2,275",220,398,942,"2,238",17,79,37,269,126,193,55,218,37,136,38,"1,079",117,770,134,"1,602",69,465,418,841
경상북도 고령군_2017,22,176,7,65,"1,455","10,633",4,40,45,354,163,"1,148",818,"1,963",176,379,492,"1,064",18,100,30,213,63,127,40,180,28,75,29,922,82,573,114,990,64,230,289,552
경상북도 성주군_2017,19,171,1,11,"1,270","9,754",2,26,42,300,249,"1,260",886,"1,827",195,620,807,"1,712",18,107,36,290,74,155,52,213,44,138,36,"1,151",95,735,116,"1,082",57,163,334,587
경상북도 칠곡군_2017,15,120,5,42,"2,890","26,978",10,113,64,499,415,"2,640","2,674","7,203",919,"3,897","2,072","4,762",38,267,68,618,279,718,100,497,118,709,47,"1,590",424,"3,378",331,"3,444",290,970,951,"1,874"
경상북도 예천군_2017,14,79,0,0,309,"1,135",6,112,14,133,179,"1,080",822,"1,648",241,440,697,"1,358",27,133,42,354,86,142,48,135,40,181,51,"1,280",114,862,151,"1,611",71,267,409,648
경상북도 봉화군_2017,16,169,7,107,233,"1,832",9,54,20,162,237,"1,866",587,"1,128",129,389,610,"1,092",16,103,30,205,21,29,30,131,12,44,37,"1,114",78,648,75,830,62,355,285,510
경상북도 울진군_2017,9,69,12,123,259,"1,192",4,"2,338",18,226,305,"2,256","1,223","2,333",173,347,"1,379","2,970",25,113,59,447,37,94,60,339,77,388,45,"1,246",150,"1,217",126,"1,598",128,355,488,746
경상북도 울릉군_2017,1,8,0,0,85,282,4,57,9,67,86,584,301,562,87,279,397,949,11,81,13,91,5,10,11,31,40,152,24,564,29,221,17,181,23,83,111,178
광주광역시 동구_2017,2,16,0,0,"1,037","2,401",19,46,7,141,444,"3,421","5,095","13,610",726,"1,590","2,969","8,785",227,"1,220",349,"4,942",567,"1,593",789,"3,764",402,"5,216",35,"2,964",667,"6,070",450,"8,467",517,"1,699","1,874","4,058"
광주광역시 서구_2017,10,108,5,30,"1,065","10,714",30,331,27,658,"1,440","15,453","7,554","24,737","2,126","6,314","4,407","14,948",203,"2,032",691,"14,129","1,236","7,436",873,"5,154",566,"10,128",70,"5,918","1,508","8,078","1,090","11,850",911,"2,462","2,989","7,642"
광주광역시 남구_2017,2,16,0,0,541,"1,893",7,14,28,342,607,"7,251","3,192","7,854","1,337","3,095","2,162","5,815",132,"1,108",100,798,604,"1,814",259,"1,327",222,"2,641",31,"1,983","1,085","8,467",735,"10,110",517,"1,604","2,012","4,624"
광주광역시 북구_2017,2,16,0,0,"2,360","21,439",39,401,21,346,"1,616","19,512","8,803","25,451","3,415","8,580","5,426","15,202",194,"2,129",268,"3,059","1,216","4,338",786,"5,511",599,"8,244",70,"4,244","1,884","15,912","1,323","17,008","1,269","3,957","4,030","8,316"
광주광역시 광산구_2017,9,231,2,12,"4,014","50,348",19,430,80,605,939,"7,727","7,014","20,663","2,457","9,171","4,934","14,901",104,"1,688",176,"1,833","1,066","3,000",373,"1,839",409,"4,484",63,"3,444","1,799","13,437","1,201","14,395",994,"2,833","2,935","6,239"
대구광역시 중구_2017,0,0,0,0,"2,152","5,037",3,298,9,64,275,"4,791","9,578","23,069",572,"1,411","3,461","11,572",177,"1,877",593,"12,519",410,"1,679",676,"2,979",480,"5,226",37,"3,087",607,"4,291",605,"11,962",398,"1,285","1,710","4,021"
대구광역시 동구_2017,2,7,3,10,"1,363","7,606",11,"1,203",39,331,901,"8,460","6,715","20,370","3,417","9,645","4,759","13,380",209,"2,469",229,"2,901",971,"3,044",604,"4,413",383,"8,185",74,"3,265","1,232","7,440",954,"10,904",742,"1,953","3,088","6,474"
대구광역시 서구_2017,0,0,1,1,"3,220","20,513",10,313,43,452,709,"3,795","5,627","15,274","1,883","4,905","3,078","6,221",38,527,154,"2,016",404,"1,387",229,"1,512",281,"2,425",38,"2,530",507,"3,524",560,"7,292",439,792,"2,172","4,539"
대구광역시 남구_2017,1,19,0,0,827,"1,961",2,10,17,202,658,"3,081","3,734","8,051","1,165","2,039","2,605","6,108",165,"1,307",127,"1,071",362,"1,280",501,"2,417",276,"6,607",33,"1,613",599,"5,276",490,"8,799",457,981,"2,013","3,378"
