시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
경기도 수원시_2021,26,243,1,10,"5,521","38,897",81,875,129,"1,419","9,259","31,798","28,027","67,121","10,979","21,209","15,951","43,897","2,531","8,857","1,229","14,765","5,988","15,334","5,206","63,559","3,145","38,380",146,"21,519","6,059","37,876","3,484","47,771","3,226","8,105","9,999","19,748"
경기도 성남시_2021,19,114,1,2,"6,061","40,627",136,"1,460",105,"1,671","5,808","39,525","26,820","78,650","8,384","17,292","12,205","37,015","4,704","88,073","1,068","14,565","6,017","18,504","5,640","49,741","2,439","33,072",132,"12,854","5,165","33,580","3,112","43,807","2,656","7,434","7,483","16,806"
경기도 안양시_2021,5,18,2,45,"5,163","35,444",39,282,75,"1,328","3,974","23,635","17,840","44,881","6,189","11,660","7,421","19,805","2,222","12,456",725,"7,920","3,404","9,214","3,892","29,857","1,505","16,601",73,"5,907","3,014","19,183","1,734","20,845","1,538","3,653","4,637","9,331"
경기도 부천시_2021,12,43,0,0,"13,221","66,509",21,243,127,"1,782","5,772","22,304","22,160","49,907","8,473","14,086","10,848","26,122","1,871","6,100",888,"10,033","4,129","11,041","2,790","10,017","2,084","19,020",85,"6,412","3,396","21,540","2,377","35,854","2,342","4,887","7,293","12,770"
경기도 광명시_2021,4,13,0,0,"2,324","15,635",15,112,49,420,"1,520","8,830","7,629","19,979","3,245","6,227","3,114","8,820",622,"1,568",176,"2,050","1,372","3,382",962,"3,563",530,"5,607",42,"3,594","1,449","8,141",885,"10,851",622,"2,524","2,093","4,026"
경기도 평택시_2021,131,966,5,48,"5,580","95,282",398,"1,610",247,"1,982","6,823","23,904","13,464","30,219","7,123","18,187","9,319","21,906",678,"1,562",379,"3,904","3,643","6,711","1,483","6,774","1,888","13,879",92,"7,844","2,287","13,302","1,416","17,586","1,314","2,574","4,640","7,990"
경기도 안산시_2021,52,250,7,31,"12,329","123,436",72,843,233,"2,214","9,453","25,302","17,953","40,191","8,865","15,358","10,607","23,400",803,"2,477",657,"7,300","3,546","8,413","2,397","11,563","2,111","13,719",94,"6,502","2,501","18,382","1,827","27,728","2,080","4,698","5,785","10,152"
경기도 과천시_2021,8,43,0,0,140,441,6,7,18,361,256,"3,463","2,154","5,431",476,960,579,"2,211",203,"1,605",49,581,368,"1,022",295,"4,456",116,"1,546",33,"5,246",330,"1,888",181,"2,115",473,"4,800",354,"1,066"
경기도 오산시_2021,4,59,0,0,"1,410","14,237",19,114,69,736,"1,895","6,256","4,673","10,627","2,448","4,148","3,010","7,478",235,577,116,"1,112","1,009","2,239",530,"2,295",714,"5,954",26,"2,182","1,004","6,840",657,"8,043",592,"1,252","1,683","3,135"
경기도 시흥시_2021,26,69,0,0,"16,990","94,158",65,249,174,"1,245","4,739","15,558","17,088","37,880","7,351","11,752","7,574","17,264",689,"1,581",253,"1,983","2,732","5,524","1,528","5,006","1,408","6,318",56,"4,326","2,315","12,785","1,416","17,554","1,426","2,633","3,807","6,302"
경기도 군포시_2021,7,12,0,0,"3,962","29,566",11,115,52,503,"1,698","6,181","5,936","14,517","3,619","11,481","3,064","8,083",600,"1,802",107,789,"1,288","2,953",960,"4,797",621,"6,697",28,"1,959","1,355","7,496",808,"12,268",676,"1,847","2,051","4,309"
경기도 의왕시_2021,10,29,0,0,"1,393","10,009",17,48,42,280,758,"3,888","3,473","9,157","1,956","4,947","1,500","4,620",416,"2,799",70,405,744,"1,936",653,"6,636",273,"2,134",29,"2,603",646,"3,782",425,"5,597",367,"1,039",989,"1,981"
경기도 하남시_2021,12,50,0,0,"2,836","12,402",38,395,53,511,"1,954","10,055","11,231","33,011","2,919","5,901","3,168","9,534","1,084","3,360",136,923,"1,821","3,831","1,471","4,533",825,"4,635",35,"2,476","1,289","6,669",826,"9,115",665,"2,110","2,023","4,181"
경기도 용인시_2021,124,557,16,276,"6,861","63,467",204,463,166,"2,362","6,992","31,122","25,701","64,805","10,918","26,811","10,940","31,622","2,970","10,183",576,"4,295","7,942","16,882","4,869","41,208","2,463","17,982",108,"6,635","5,726","36,402","2,666","34,687","2,462","11,019","6,761","14,089"
경기도 이천시_2021,121,811,2,27,"2,717","46,473",463,545,85,888,"3,330","10,141","5,943","14,891","4,817","13,645","3,772","9,798",157,745,182,"1,898","1,312","2,464",560,"3,269",773,"8,678",66,"2,532",987,"6,673",620,"8,158",611,"2,978","2,090","3,566"
경기도 안성시_2021,157,894,9,34,"3,800","42,428",723,922,128,802,"1,858","6,181","5,537","13,541","4,346","7,395","3,431","7,840",154,461,124,"1,288","1,031","1,796",514,"2,351",656,"5,293",58,"2,633",814,"6,858",586,"7,199",581,"2,643","1,816","3,558"
경기도 김포시_2021,80,329,4,20,"13,582","80,067",306,546,201,"1,402","3,393","9,896","16,175","35,180","5,194","10,386","5,756","14,568","1,328","2,575",295,"2,017","3,913","7,606","2,094","4,496","1,372","4,106",52,"2,928","2,676","13,360","1,300","14,903","1,131","2,665","3,458","6,719"
경기도 화성시_2021,162,607,17,126,"27,607","257,574",759,"1,074",490,"3,674","6,853","29,308","23,882","56,795","8,071","21,948","11,543","30,368","1,888","4,443",456,"3,720","7,037","14,732","3,538","47,060","2,428","17,801",87,"5,695","5,025","27,769","2,252","24,081","2,046","5,664","5,830","12,207"
경기도 광주시_2021,63,300,4,72,"8,324","47,527",151,300,68,790,"4,116","12,154","11,964","31,067","6,075","12,846","4,358","11,325",534,997,151,"1,550","2,520","4,218","1,239","3,671","1,095","2,723",41,"3,029","1,367","7,670",888,"11,134",954,"3,111","2,922","5,577"
경기도 여주시_2021,130,748,11,85,"1,556","9,281",559,628,71,530,"1,093","3,852","3,246","7,400","5,664","8,618","2,157","4,974",85,243,80,742,593,"1,070",265,"1,296",372,"2,628",58,"2,436",396,"3,074",360,"5,080",341,"3,047","1,117","2,183"
경기도 양평군_2021,74,245,2,2,712,"2,061",224,288,39,290,"1,673","4,515","2,779","5,814",946,"1,726","2,674","5,934",230,516,69,676,"1,017","1,527",423,"1,116",251,619,48,"2,140",539,"2,958",373,"5,085",391,"1,064","1,021","1,770"
경기도 의정부시_2021,2,45,1,42,"1,885","6,878",19,500,58,663,"4,056","9,542","11,235","24,100","3,834","6,911","5,958","14,713",542,"1,896",492,"5,003","1,924","4,524","1,412","5,109",952,"5,106",63,"7,115","2,004","12,151","1,432","21,567","1,155","2,550","3,840","6,411"
경기도 동두천시_2021,7,22,0,0,618,"5,067",32,210,47,401,613,"1,877","2,260","4,232",963,"1,707","1,665","3,793",60,238,72,807,425,832,149,311,187,563,31,"1,449",326,"2,340",320,"4,724",223,658,"1,013","1,612"
경기도 고양시_2021,60,275,2,22,"8,135","32,641",186,837,199,"2,506","8,107","30,738","33,473","78,644","9,959","25,530","12,147","34,152","3,735","11,099",914,"8,137","5,468","13,977","4,640","15,401","3,026","16,703",110,"8,009","5,862","30,402","2,922","46,238","3,032","8,745","8,683","17,555"
경기도 구리시_2021,5,18,1,1,"1,114","3,780",10,73,31,336,"1,927","5,007","6,501","15,237","2,260","4,700","2,745","6,657",304,749,238,"2,508",962,"2,226",670,"2,839",549,"4,066",31,"2,179","1,010","4,918",647,"9,043",532,"1,499","1,788","3,300"
경기도 남양주시_2021,48,151,2,5,"8,069","36,493",86,329,111,"1,274","5,090","17,215","20,213","48,999","5,293","10,551","7,824","20,574","1,033","2,332",284,"2,423","3,570","7,473","2,007","4,718","1,670","4,848",63,"5,044","3,198","17,319","1,930","23,130","1,479","4,013","4,824","8,345"
경기도 파주시_2021,92,346,3,47,"8,313","80,586",332,624,132,"1,502","4,932","12,558","13,350","31,458","6,343","14,582","6,551","16,239","1,429","5,653",254,"2,149","3,479","6,541","1,623","4,087","1,315","6,303",66,"3,313","2,148","12,792","1,272","15,872","1,320","4,458","3,550","6,882"
경기도 양주시_2021,31,95,4,81,"5,388","32,545",129,261,113,"1,122","2,393","6,807","7,119","16,034","2,446","5,571","3,358","7,976",211,412,97,677,"1,421","2,603",534,"1,503",624,"2,170",43,"2,448",917,"6,380",708,"9,932",599,"1,563","1,997","3,366"
경기도 포천시_2021,99,440,15,362,"7,876","45,006",387,779,149,982,"2,086","5,377","5,805","14,130","2,389","4,308","3,643","7,876",99,330,115,"1,341",823,"1,302",399,"1,476",509,"1,505",62,"2,647",435,"4,760",469,"6,159",476,"2,391","1,544","2,833"
경기도 연천군_2021,51,260,4,46,486,"2,848",381,456,46,409,559,"2,060","1,076","1,960","3,945","4,376","1,034","1,989",32,125,41,317,197,267,86,297,88,219,35,"1,667",128,"1,013",156,"1,832",131,443,491,766
