,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,소멸위험지수,소멸위험등급
0,세종특별자치시_2015,11,12,8,9,16,18,19,15,162,7,36,1356,3570,-,1,96,51,-,40,5.8,1229,89.5,87.7,3.333634781804432,D
1,경기도 수원시_2015,14,17,15,14,22,26,30,32,1809,158,73,20400,69880,4,34,650,395,2,308,8.9,10526,99.0,100.0,4.421850330675927,D
2,경기도 성남시_2015,13,17,14,12,22,25,30,29,1628,103,55,11510,48568,6,16,679,423,2,312,9.4,9131,99.5,99.9,2.417350443071441,D
3,경기도 안양시_2015,13,17,14,12,21,25,31,31,1045,63,55,7555,31499,4,13,345,234,1,173,8,4785,100.0,100.0,2.8188522413958963,D
4,경기도 부천시_2015,14,17,15,11,19,25,30,27,1167,100,75,11582,42474,5,22,481,269,7,204,14,11868,100.0,100.0,2.9333219329782816,D
5,경기도 광명시_2015,15,18,14,12,22,27,30,29,504,15,79,4592,20718,1,3,191,108,-,79,6,2076,98.5,100.0,2.52598892233238,D
6,경기도 평택시_2015,13,16,15,14,16,24,30,32,612,35,70,7631,27812,4,12,220,121,-,97,9.1,4171,85.3,97.8,2.160819079793824,D
7,경기도 안산시_2015,14,17,16,13,20,25,30,30,982,80,84,9801,40017,4,20,327,183,10,127,13.6,9492,98.9,99.8,4.634025584497635,D
8,경기도 과천시_2015,14,17,16,12,19,25,33,27,69,1,115,684,3665,-,-,33,18,-,13,0.3,18,98.5,99.7,1.9306425794600288,D
9,경기도 오산시_2015,15,17,16,14,21,26,32,34,240,8,112,6259,15598,1,3,90,62,-,33,9.6,1987,98.9,100.0,5.336184782631133,D
10,경기도 시흥시_2015,15,17,15,15,20,25,29,33,545,29,94,5290,24994,3,3,164,100,7,57,10.5,4199,94.5,99.9,4.974503124317034,D
11,경기도 군포시_2015,15,16,15,14,23,26,31,32,371,29,86,4396,16802,2,3,134,86,-,59,8.7,2507,99.8,100.0,3.0974965451465275,D
12,경기도 의왕시_2015,13,16,15,12,23,24,29,27,177,4,78,2020,7842,-,1,62,43,-,27,12.6,1994,99.3,99.9,2.471767943509892,D
13,경기도 하남시_2015,15,17,13,11,20,25,27,26,162,5,90,2106,7861,-,4,77,42,-,33,4.4,728,88.0,98.0,2.318406663490741,D
14,경기도 용인시_2015,15,18,16,14,21,26,32,33,1645,45,77,18159,67783,3,9,434,282,-,199,9.2,8985,92.9,98.5,2.6927401408249017,D
15,경기도 이천시_2015,13,15,14,12,17,23,28,29,336,27,73,2718,12787,1,4,96,53,-,41,9.1,1867,90.0,94.0,1.6932241785483333,D
16,경기도 안성시_2015,12,13,13,14,16,20,27,29,1322,15,13,2784,10861,1,3,70,45,-,32,12.8,2308,77.5,91.2,0.9552066815703866,C
17,경기도 김포시_2015,15,17,15,13,19,24,29,28,493,21,82,8285,22951,2,4,150,101,2,75,8.4,2927,83.9,92.7,2.3847195089215667,D
18,경기도 화성시_2015,16,17,16,16,20,25,32,36,919,29,81,13381,44842,2,9,246,168,-,107,7.8,4675,82.9,98.4,4.468961816399332,D
19,경기도 광주시_2015,14,19,16,14,21,27,32,31,359,9,81,2830,16940,-,3,97,60,-,56,4.6,1424,94.3,88.9,2.6154622288839704,D
20,경기도 여주시_2015,13,12,13,11,17,18,27,23,196,12,47,1471,5699,-,4,48,30,-,22,16.2,1795,79.9,85.6,0.6674322266808987,C
21,경기도 양평군_2015,11,12,11,9,14,19,24,24,78,2,89,680,4983,-,2,39,25,1,27,11,1187,80.3,65.6,0.5513845430961003,B
22,경기도 의정부시_2015,13,16,15,13,19,25,30,32,620,41,73,5473,22595,3,17,241,134,1,87,12.6,5465,98.7,99.6,1.809732492231082,D
23,경기도 동두천시_2015,12,16,14,12,19,23,27,30,92,8,77,939,5358,-,1,38,25,-,16,26,2549,97.8,99.3,0.8412484708503774,C
