sigun_gu,student_per_teacher_kin,teacher_per_student_pri,teacher_per_student_mid,teacher_per_student_high,student_per_class_kin,student_per_class_pri,student_per_class_mid,student_per_class_high,extra_curr_school,extra_curr_lifelong,student_per_extra_curr,kin_stu,pri_stu,extinction_index,extinction_grade,general_hospital,hospital,clinic,dental_clinic,medicine_hospital,beds_per_thousandpeople,total_beds
세종특별자치시_2015,11,12,8,9,16,18,19,15,162,7,36,1356,3570,3.333634781804432,"D",0,1,96,51,0,5.8,1229.0
"경기도 수원시_2015",14,17,15,14,22,26,30,32,1809,158,73,20400,69880,4.421850330675927,"D",4,34,650,395,2,8.9,10526.0
"경기도 성남시_2015",13,17,14,12,22,25,30,29,1628,103,55,11510,48568,2.417350443071441,"D",6,16,679,423,2,9.4,9131.0
"경기도 안양시_2015",13,17,14,12,21,25,31,31,1045,63,55,7555,31499,2.818852241395896,"D",4,13,345,234,1,8.0,4785.0
"경기도 부천시_2015",14,17,15,11,19,25,30,27,1167,100,75,11582,42474,2.933321932978282,"D",5,22,481,269,7,14.0,11868.0
"경기도 광명시_2015",15,18,14,12,22,27,30,29,504,15,79,4592,20718,2.52598892233238,"D",1,3,191,108,0,6.0,2076.0
"경기도 평택시_2015",13,16,15,14,16,24,30,32,612,35,70,7631,27812,2.160819079793824,"D",4,12,220,121,0,9.1,4171.0
"경기도 안산시_2015",14,17,16,13,20,25,30,30,982,80,84,9801,40017,4.634025584497635,"D",4,20,327,183,10,13.6,9492.0
"경기도 과천시_2015",14,17,16,12,19,25,33,27,69,1,115,684,3665,1.930642579460029,"D",0,0,33,18,0,0.3,18.0
"경기도 오산시_2015",15,17,16,14,21,26,32,34,240,8,112,6259,15598,5.336184782631133,"D",1,3,90,62,0,9.6,1987.0
"경기도 시흥시_2015",15,17,15,15,20,25,29,33,545,29,94,5290,24994,4.974503124317034,"D",3,3,164,100,7,10.5,4199.0
"경기도 군포시_2015",15,16,15,14,23,26,31,32,371,29,86,4396,16802,3.097496545146528,"D",2,3,134,86,0,8.7,2507.0
"경기도 의왕시_2015",13,16,15,12,23,24,29,27,177,4,78,2020,7842,2.471767943509892,"D",0,1,62,43,0,12.6,1994.0
"경기도 하남시_2015",15,17,13,11,20,25,27,26,162,5,90,2106,7861,2.318406663490741,"D",0,4,77,42,0,4.4,728.0
"경기도 용인시_2015",15,18,16,14,21,26,32,33,1645,45,77,18159,67783,2.692740140824902,"D",3,9,434,282,0,9.2,8985.0
"경기도 이천시_2015",13,15,14,12,17,23,28,29,336,27,73,2718,12787,1.693224178548333,"D",1,4,96,53,0,9.1,1867.0
"경기도 안성시_2015",12,13,13,14,16,20,27,29,1322,15,13,2784,10861,0.9552066815703866,"C",1,3,70,45,0,12.8,2308.0
