시도별_2015,하수도보급률,상수도보급률
경기도 수원시_2015,99,100
경기도 성남시_2015,99.5,99.9
경기도 안양시_2015,100,100
경기도 부천시_2015,100,100
경기도 광명시_2015,98.5,100
경기도 평택시_2015,85.3,97.8
경기도 안산시_2015,98.9,99.8
경기도 과천시_2015,98.5,99.7
경기도 오산시_2015,98.9,100
경기도 시흥시_2015,94.5,99.9
경기도 군포시_2015,99.8,100
경기도 의왕시_2015,99.3,99.9
경기도 하남시_2015,88,98
경기도 용인시_2015,92.9,98.5
경기도 이천시_2015,90,94
경기도 안성시_2015,77.5,91.2
경기도 김포시_2015,83.9,92.7
경기도 화성시_2015,82.9,98.4
경기도 광주시_2015,94.3,88.9
경기도 여주시_2015,79.9,85.6
경기도 양평군_2015,80.3,65.6
경기도 의정부시_2015,98.7,99.6
경기도 동두천시_2015,97.8,99.3
경기도 고양시_2015,91,99.6
경기도 구리시_2015,100,99.9
경기도 남양주시_2015,96.2,100
경기도 파주시_2015,93.2,98.4
경기도 양주시_2015,91.1,97.4
경기도 포천시_2015,63.6,75.9
경기도 연천군_2015,85.5,94.3
경기도 가평군_2015,76.7,77
강원특별자치도 춘천시_2015,93.3,95.9
강원특별자치도 원주시_2015,87.1,89.3
강원특별자치도 강릉시_2015,91.1,94.3
강원특별자치도 동해시_2015,98.1,99
강원특별자치도 태백시_2015,81,98
강원특별자치도 속초시_2015,99.1,99.8
강원특별자치도 삼척시_2015,87.8,88.2
강원특별자치도 홍천군_2015,74.9,70.2
강원특별자치도 횡성군_2015,55,73.6
강원특별자치도 영월군_2015,72.6,80.6
강원특별자치도 평창군_2015,67.9,79.5
강원특별자치도 정선군_2015,83.2,79.3
강원특별자치도 철원군_2015,78.7,90
강원특별자치도 화천군_2015,66.5,66.2
강원특별자치도 양구군_2015,83.5,79.8
강원특별자치도 인제군_2015,81.6,80
강원특별자치도 고성군_2015,86,83.6
강원특별자치도 양양군_2015,61.5,87
경상남도 창원시_2015,96.2,98.2
경상남도 진주시_2015,91.9,99.9
경상남도 통영시_2015,82.2,98.7
경상남도 사천시_2015,92.3,94.9
경상남도 김해시_2015,95.5,97.4
경상남도 밀양시_2015,72.1,78.8
경상남도 거제시_2015,82.6,96.8
경상남도 양산시_2015,96.6,95.4
경상남도 의령군_2015,62.8,67.1
경상남도 함안군_2015,52.2,91.2
경상남도 창녕군_2015,67.7,97.7
경상남도 고성군_2015,59.2,77.3
경상남도 남해군_2015,73.3,65.4
경상남도 하동군_2015,66.5,53.8
경상남도 산청군_2015,66.1,45.6
경상남도 함양군_2015,75,57
경상남도 거창군_2015,81,74.6
경상남도 합천군_2015,57.2,47.4
경상북도 포항시_2015,96,95
경상북도 경주시_2015,94,91
경상북도 김천시_2015,89.3,86
경상북도 안동시_2015,93.2,91
경상북도 구미시_2015,99.8,99
경상북도 영주시_2015,90.3,88
경상북도 영천시_2015,97.1,93
경상북도 상주시_2015,79.2,74
경상북도 문경시_2015,90.8,89
경상북도 경산시_2015,99.3,99
경상북도 군위군_2015,92,72
경상북도 의성군_2015,95.2,76
경상북도 청송군_2015,77.3,68
경상북도 영양군_2015,90.9,90
경상북도 영덕군_2015,96.7,89
경상북도 청도군_2015,87.6,71
경상북도 고령군_2015,99.1,91
경상북도 성주군_2015,81.9,73
경상북도 칠곡군_2015,95.2,90
경상북도 예천군_2015,91.8,78
경상북도 봉화군_2015,70.9,63
경상북도 울진군_2015,83.7,68
경상북도 울릉군_2015,92.3,86
광주광역시 동구_2015,99.2,100
광주광역시 서구_2015,99.8,100
광주광역시 남구_2015,98.7,100
광주광역시 북구_2015,99.2,99.8
광주광역시 광산구_2015,96.7,99.5
대구광역시 중구_2015,100,100
대구광역시 동구_2015,98.7,99.5
