 시도별_2017,하수도보급률,상수도보급률
경기도 수원시_2017,99.4,100
경기도 성남시_2017,99.7,99.9
경기도 안양시_2017,100,100
경기도 부천시_2017,99.9,100
경기도 광명시_2017,98.8,100
경기도 평택시_2017,83,99.4
경기도 안산시_2017,99.1,99.9
경기도 과천시_2017,98.5,98.4
경기도 오산시_2017,98.9,100
경기도 시흥시_2017,94.2,99.9
경기도 군포시_2017,99.7,100
경기도 의왕시_2017,99,99.9
경기도 하남시_2017,95.3,98.3
경기도 용인시_2017,93,98.9
경기도 이천시_2017,91.1,96.4
경기도 안성시_2017,77.9,92
경기도 김포시_2017,87.3,94.5
경기도 화성시_2017,83.5,98.6
경기도 광주시_2017,94.3,94.8
경기도 여주시_2017,81.2,86.8
경기도 양평군_2017,79.1,73.6
경기도 의정부시_2017,98.8,99.5
경기도 동두천시_2017,98.9,98.5
경기도 고양시_2017,92.9,99.7
경기도 구리시_2017,99.6,99.9
경기도 남양주시_2017,95.9,96.9
경기도 파주시_2017,93.7,98.7
경기도 양주시_2017,92.3,97.7
경기도 포천시_2017,84.5,79.6
경기도 연천군_2017,87,94
경기도 가평군_2017,79,80.2
강원특별자치도 춘천시_2017,95,96.5
강원특별자치도 원주시_2017,87.3,93.2
강원특별자치도 강릉시_2017,91.7,94.7
강원특별자치도 동해시_2017,97.8,99.2
강원특별자치도 태백시_2017,81.2,98
강원특별자치도 속초시_2017,99.5,99.7
강원특별자치도 삼척시_2017,88.3,92
강원특별자치도 홍천군_2017,78.8,72.5
강원특별자치도 횡성군_2017,55,76.4
강원특별자치도 영월군_2017,72.7,78.2
강원특별자치도 평창군_2017,74.2,80.4
강원특별자치도 정선군_2017,85.9,80.2
강원특별자치도 철원군_2017,80.4,90.1
강원특별자치도 화천군_2017,68.4,65.3
강원특별자치도 양구군_2017,84.8,83.1
강원특별자치도 인제군_2017,73.7,81.8
강원특별자치도 고성군_2017,86.9,84.2
강원특별자치도 양양군_2017,68.5,89.8
경상남도 창원시_2017,100,98.2
경상남도 진주시_2017,100,99.9
경상남도 통영시_2017,100,98.7
경상남도 사천시_2017,100,95.6
경상남도 김해시_2017,97.5,97.9
경상남도 밀양시_2017,91.7,81.8
경상남도 거제시_2017,81.3,96.9
경상남도 양산시_2017,100,98.2
경상남도 의령군_2017,98.2,69.7
경상남도 함안군_2017,100,95.7
경상남도 창녕군_2017,100,99.4
경상남도 고성군_2017,98.7,79.6
경상남도 남해군_2017,100,67.4
경상남도 하동군_2017,100,54.4
경상남도 산청군_2017,100,46.8
경상남도 함양군_2017,100,64
경상남도 거창군_2017,100,77.4
경상남도 합천군_2017,100,49.9
경상북도 포항시_2017,82.5,95.3
경상북도 경주시_2017,90.8,91.8
경상북도 김천시_2017,79,87.7
