시도별,하수도보급률,상수도보급률
경기도 수원시_2020,99.8,100
경기도 성남시_2020,99.6,100
경기도 안양시_2020,100,100
경기도 부천시_2020,99.9,100
경기도 광명시_2020,99.2,99.9
경기도 평택시_2020,86.6,100
경기도 안산시_2020,99.3,99.8
경기도 과천시_2020,98.6,98.6
경기도 오산시_2020,99,100
경기도 시흥시_2020,96.2,99.9
경기도 군포시_2020,99.8,100
경기도 의왕시_2020,99.9,100
경기도 하남시_2020,99.4,98.7
경기도 용인시_2020,93,99.4
경기도 이천시_2020,92.2,99.4
경기도 안성시_2020,77.8,93
경기도 김포시_2020,91.2,96.2
경기도 화성시_2020,86.1,100
경기도 광주시_2020,96.1,92.5
경기도 여주시_2020,82,90.7
경기도 양평군_2020,79.2,80.8
경기도 의정부시_2020,98.9,99.3
경기도 동두천시_2020,98.9,97.7
경기도 고양시_2020,92.8,99.7
경기도 구리시_2020,99.6,100
경기도 남양주시_2020,95.9,97.2
경기도 파주시_2020,93.9,99.1
경기도 양주시_2020,95,98.1
경기도 포천시_2020,85.4,90.9
경기도 연천군_2020,92.6,98
경기도 가평군_2020,82.5,82.2
강원특별자치도 춘천시_2020,95.4,98.1
강원특별자치도 원주시_2020,91.1,95.6
강원특별자치도 강릉시_2020,92.3,95.1
강원특별자치도 동해시_2020,98.4,99.6
강원특별자치도 태백시_2020,81.1,97.9
강원특별자치도 속초시_2020,99.5,99.7
강원특별자치도 삼척시_2020,89.4,91.1
강원특별자치도 홍천군_2020,78.8,77.1
강원특별자치도 횡성군_2020,69.8,84.1
강원특별자치도 영월군_2020,78.6,78.8
강원특별자치도 평창군_2020,79.5,81.9
강원특별자치도 정선군_2020,88.8,83.2
강원특별자치도 철원군_2020,82.9,92.7
강원특별자치도 화천군_2020,70.7,68.6
강원특별자치도 양구군_2020,86.4,81.1
강원특별자치도 인제군_2020,76.1,85.7
강원특별자치도 고성군_2020,88.4,90.8
강원특별자치도 양양군_2020,82.6,92.8
경상남도 창원시_2020,96.5,98.7
경상남도 진주시_2020,93.8,100
경상남도 통영시_2020,90.7,99
경상남도 사천시_2020,93.2,96.9
경상남도 김해시_2020,97.7,98.5
