시도별_2018,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
경기도 수원시_2018,6,252,0,0,"3,892","47,932",10,685,80,"1,021","2,409","24,865","17,186","58,530","7,715","18,589","13,864","50,138",619,"6,155",842,"14,888","3,669","12,036","2,521","55,753","1,522","32,710",139,"16,857","4,531","38,976","3,296","41,454","2,745","8,985","8,395","19,714"
경기도 성남시_2018,10,116,0,0,"4,164","39,467",33,"1,090",74,"1,525","2,113","30,597","16,348","73,763","5,950","15,141","11,292","42,581","1,639","60,352",714,"12,130","3,545","14,779","2,618","39,248","1,143","23,190",128,"10,156","4,149","35,882","2,875","36,852","2,208","7,920","6,508","17,294"
경기도 안양시_2018,3,6,2,54,"3,887","34,588",7,247,56,"1,005","1,893","20,971","11,817","39,786","4,082","11,174","7,048","24,366",801,"9,459",552,"8,680","2,152","7,766","1,967","24,260",754,"15,348",74,"4,976","2,435","19,397","1,662","19,222","1,359","4,292","4,273","9,805"
경기도 부천시_2018,2,35,0,0,"10,501","70,185",6,207,58,"1,465","1,799","18,415","13,358","42,966","5,672","11,041","9,768","30,667",438,"4,172",625,"10,234","2,551","8,068","1,336","7,505",833,"18,575",82,"5,410","2,667","22,184","2,213","30,480","2,060","6,039","6,444","13,376"
경기도 광명시_2018,0,0,0,0,"1,756","15,337",3,93,32,427,620,"4,976","4,918","17,751","2,325","5,579","2,949","10,208",100,853,144,"2,239",911,"2,732",276,"2,171",234,"5,716",43,"2,066","1,209","8,723",878,"9,225",546,"2,291","2,046","4,260"
경기도 평택시_2018,47,563,3,43,"3,817","86,014",18,"1,134",138,"1,535","1,273","11,303","8,289","25,122","3,421","13,490","7,468","22,162",102,995,309,"3,901","2,124","4,536",690,"4,371",732,"9,292",86,"4,946","1,517","11,592","1,176","13,235","1,143","2,767","3,780","8,076"
경기도 안산시_2018,12,108,3,19,"9,421","125,877",18,577,164,"1,880","1,887","15,997","11,593","36,732","6,308","13,357","9,220","26,860",230,"1,570",511,"7,075","1,920","5,419","1,206","8,841",991,"12,477",89,"5,586","2,086","20,119","1,701","23,025","1,866","5,253","4,967","10,810"
경기도 과천시_2018,3,20,0,0,79,328,10,600,14,334,141,"2,426","1,295","4,309",307,946,538,"2,322",41,"1,475",34,685,218,819,113,"4,180",51,"2,399",34,"5,418",241,"1,894",156,"1,716",95,"4,599",315,957
경기도 오산시_2018,4,49,0,0,928,"11,748",3,136,42,474,423,"4,882","2,744","9,460","1,966","3,894","2,670","8,623",52,335,85,"1,025",472,"1,490",192,"1,231",331,"5,504",23,"1,350",679,"6,973",584,"6,853",499,"1,469","1,353","2,957"
경기도 시흥시_2018,6,17,0,0,"12,194","92,375",7,162,101,783,"1,098","8,334","9,153","28,272","3,769","7,623","5,794","17,133",111,726,182,"1,822","1,491","3,445",547,"3,371",471,"3,784",53,"3,538","1,401","10,747","1,123","12,387","1,145","2,736","2,825","5,374"
경기도 군포시_2018,2,10,0,0,"3,125","28,265",3,146,35,368,601,"5,753","3,389","12,759","1,876","9,972","2,725","9,282",139,"1,297",95,914,788,"2,511",468,"4,184",290,"7,511",27,"1,613","1,079","8,608",774,"9,177",554,"2,147","1,766","4,007"
경기도 의왕시_2018,2,6,0,0,"1,114","10,256",2,37,26,238,339,"3,256","1,875","7,246","1,316","4,954","1,334","4,469",97,"1,981",41,350,455,"1,604",249,"5,092",110,"1,919",27,"2,170",441,"3,533",384,"4,576",270,"1,107",877,"2,076"
경기도 하남시_2018,3,13,0,0,"1,470","8,771",5,199,30,332,620,"5,769","5,243","23,246","1,603","4,552","2,016","7,882",89,992,68,747,775,"2,092",290,"1,717",265,"3,073",31,"1,815",606,"4,792",614,"5,431",362,"1,925","1,238","2,871"
경기도 용인시_2018,35,226,9,266,"4,322","56,238",14,218,104,"1,775","1,683","17,934","11,945","48,139","5,582","20,525","9,102","33,190",423,"5,177",346,"4,688","3,220","9,889","1,452","29,678",818,"12,588",99,"5,952","4,055","37,024","2,495","28,648","1,791","11,982","5,228","13,379"
경기도 이천시_2018,51,487,0,0,"1,948","40,778",6,77,55,863,593,"7,512","3,752","12,555","1,934","11,510","3,199","10,837",56,386,135,"1,792",635,"1,584",312,"2,603",383,"8,490",65,"2,248",808,"6,652",547,"7,042",535,"2,650","1,743","3,515"
경기도 안성시_2018,70,785,4,21,"2,677","40,904",7,158,82,646,533,"4,203","3,112","10,145","1,365","4,587","2,949","7,813",37,644,99,"1,201",448,"1,319",247,"1,538",294,"3,995",59,"2,074",604,"7,115",529,"6,000",483,"2,186","1,383","2,918"
경기도 김포시_2018,20,137,1,4,"9,291","73,772",11,210,142,"1,055",803,"5,391","6,467","22,700","2,397","6,810","4,299","13,906",84,528,163,"1,890","1,410","3,528",443,"2,041",405,"1,904",48,"2,367","1,330","10,687","1,037","10,634",766,"2,464","2,268","5,270"
경기도 화성시_2018,36,272,19,149,"19,066","232,793",16,322,291,"2,608","2,020","19,996","11,687","40,630","5,196","14,610","8,735","29,640",189,"2,055",294,"3,407","2,961","7,714","1,192","34,527",776,"10,827",85,"4,565","2,608","23,388","1,842","18,090","1,433","5,415","4,054","9,375"
경기도 광주시_2018,27,173,3,31,"6,587","48,720",6,90,52,574,962,"7,619","6,083","24,040","3,354","10,543","3,681","11,442",51,420,95,"1,298","1,045","2,250",453,"2,234",376,"1,668",42,"2,585",852,"7,400",794,"9,076",708,"2,704","2,249","5,173"
경기도 여주시_2018,27,261,10,76,"1,135","8,598",4,58,34,366,344,"2,155","2,101","6,304",806,"2,081","1,896","5,138",26,187,69,710,307,653,167,"1,008",178,"2,220",59,"2,131",340,"3,172",321,"3,703",308,"3,166",945,"1,917"
경기도 양평군_2018,26,218,0,0,398,"1,578",6,58,26,247,444,"2,422","1,611","4,399",549,999,"2,384","6,165",46,223,53,587,504,834,170,700,97,307,50,"1,716",344,"2,906",295,"3,723",281,"1,108",796,"1,441"
경기도 의정부시_2018,2,21,2,48,"1,341","7,110",6,636,28,549,758,"5,627","6,317","19,686","3,100","6,150","5,441","16,645",112,"1,439",326,"4,764","1,193","3,561",684,"4,280",357,"3,443",64,"6,422","1,534","12,673","1,354","17,519","1,040","3,063","3,369","7,089"
